fragment_smiles,occurences,example_ligands
Cc1cnccn1,6003,91:09100:0:Z2960875577;91:09100:0:Z4026348975;91:09100:0:Z1782338997;
c1ccc2sccc2c1,7785,91:09100:0:Z2960875577;91:09100:0:Z4384425376;91:09100:0:Z2498946457;
C1CCNCC1,533928,91:09100:0:Z2226537252;91:09100:0:Z3782404519;91:09100:0:Z3363386821;
c1ccc2[nH]ncc2c1,9271,91:09100:0:Z2226537252;91:09100:0:Z295763038;91:09100:0:Z951965146;
C1CCNC1,359365,91:09100:0:Z2466068027;91:09100:0:Z3864346307;91:09100:0:Z3861602692;
c1nnco1,28163,91:09100:0:Z2466068027;91:09100:0:Z666138486;91:09100:0:Z3707592851;
Fc1cccc(F)c1,56784,91:09100:0:Z2466068027;91:09100:0:Z1126753930;91:09100:0:Z4104888071;
c1ccc2c(c1)CCCC2,14120,91:09100:0:Z1712151270;91:09100:0:Z1845903480;91:09100:0:Z2793579102;
C1CCOC1,143567,91:09100:0:Z4291087885;91:09100:0:Z3606710103;91:09100:0:Z4471766061;
Cc1nc2cccnc2s1,212,91:09100:0:Z4291087885;91:09100:2:Z4151450684;91:09100:5:Z4294866128;
c1ccccc1,1350988,91:09100:0:Z2998302791;91:09100:0:Z2962740000;91:09100:0:Z2017714486;
c1cocn1,50735,91:09100:0:Z2998302791;91:09100:0:Z2715164809;91:09100:0:Z3705775694;
C1CCOCC1,167294,91:09100:0:Z2998302791;91:09100:0:Z2771401775;91:09100:0:Z4437172256;
c1ccc2c(c1)CCN2,20139,91:09100:0:Z4360139536;91:09100:0:Z3843134035;91:09100:0:Z1953209550;
c1cnoc1,79654,91:09100:0:Z4360139536;91:09100:0:Z3861602692;91:09100:0:Z3836520074;
Oc1ccc2c(c1)C1(CC1)CNC2,218,91:09100:0:Z4214633156;91:09100:4:Z2207947413;91:09100:4:Z2713626301;
OC1CCCCC1,16293,91:09100:0:Z4214633156;91:09100:0:Z4087585662;91:09100:0:Z1171722777;
FC1CCOCC1,929,91:09100:0:Z3782404519;91:09100:0:Z2772490156;91:09100:1:Z2784199797;
Cc1ccccc1,212178,91:09100:0:Z2594135981;91:09100:0:Z1004033748;91:09100:0:Z4319543973;
C1NC2CC1C2,3401,91:09100:0:Z2594135981;91:09100:0:Z4188184281;91:09100:0:Z2610952659;
C1CCCC1,133631,91:09100:0:Z4608670972;91:09100:0:Z1160444834;91:09100:0:Z3009758281;
OC1CCNCC1,19902,91:09100:0:Z4608670972;91:09100:0:Z4091813637;91:09100:0:Z2483311445;
Cc1cc[nH]n1,30582,91:09100:0:Z3534347989;91:09100:0:Z3670146391;91:09100:0:Z2349013969;
O=C1CCNC(=O)N1,20621,91:09100:0:Z3534347989;91:09100:0:Z4432868183;91:09100:0:Z3537607073;
c1cscn1,165335,91:09100:0:Z3534347989;91:09100:0:Z4063725678;91:09100:0:Z2921641039;
