fragment_smiles,occurences,example_ligands
CC1(C)CNC(=O)c2ccoc2C1,244,142:14200:0:Z3790199954;142:14200:0:Z2771864480;142:14200:7:Z2767221961;
c1ncon1,153976,142:14200:0:Z3790199954;142:14200:0:Z2902400869;142:14200:0:Z3776760976;
Fc1cccnc1,26542,142:14200:0:Z3790199954;142:14200:0:Z1786380459;142:14200:0:Z4913740342;
c1cn[nH]c1,286508,142:14200:0:Z4478635091;142:14200:0:Z2961372194;142:14200:0:Z4866747932;
Cc1cocn1,7645,142:14200:0:Z4478635091;142:14200:0:Z4279082964;142:14200:0:Z1833628202;
c1ccccc1,1602105,142:14200:0:Z4393128291;142:14200:0:Z3384784475;142:14200:0:Z4279263528;
Cc1ccc2cn[nH]c2c1,206,142:14200:0:Z1841933371;142:14200:3:Z4998157627;142:14201:5:Z4999056184;
c1ccc2ocnc2c1,8571,142:14200:0:Z1841933371;142:14200:0:Z19651873;142:14200:0:Z3844813541;
C1CCNCC1,621538,142:14200:0:Z3384784475;142:14200:0:Z2828456190;142:14200:0:Z4042307293;
NC1CCC1,3712,142:14200:0:Z3384784475;142:14200:0:Z3793312777;142:14200:0:Z4114922669;
FC1(F)CCC1,12215,142:14200:0:Z4279263528;142:14200:0:Z4152052103;142:14200:0:Z2475473996;
C1CC2(C1)CCN2,2461,142:14200:0:Z4279263528;142:14200:0:Z4111429727;142:14200:1:Z4262778798;
c1ccc2c(c1)CCO2,13850,142:14200:0:Z2772495661;142:14200:0:Z1204230945;142:14200:0:Z4265901884;
Fc1ccccc1,352194,142:14200:0:Z2772495661;142:14200:0:Z4299042703;142:14200:0:Z2963433951;
Cc1ccccc1F,12790,142:14200:0:Z2828456190;142:14200:0:Z1420246766;142:14200:0:Z3712548975;
CC1CCN1,1429,142:14200:0:Z4042307293;142:14200:0:Z4011306689;142:14200:2:Z3606374591;
O=c1cccn[nH]1,6522,142:14200:0:Z4042307293;142:14200:0:Z2645789688;142:14200:0:Z735000138;
O=C1CCC1,2359,142:14200:0:Z4299042703;142:14200:0:Z1985645784;142:14200:1:Z4960401748;
c1nnc[nH]1,70964,142:14200:0:Z4299042703;142:14200:0:Z1348414682;142:14200:0:Z3267948563;
C1CCNC1,382264,142:14200:0:Z4299042703;142:14200:0:Z2902400869;142:14200:0:Z2647499607;
Cc1ccnc(C)n1,2855,142:14200:0:Z3725839124;142:14200:0:Z2613850811;142:14200:0:Z3641726047;
CC1CCNCC1,21789,142:14200:0:Z3725839124;142:14200:0:Z1866783658;142:14200:0:Z2444301561;
c1ccsc1,126375,142:14200:0:Z3725839124;142:14200:0:Z1517472086;142:14200:0:Z4773371258;
Cc1cncc(C)c1,2843,142:14200:0:Z1929028540;142:14200:0:Z3049178544;142:14200:0:Z940633884;
c1nc[nH]n1,52444,142:14200:0:Z1929028540;142:14200:0:Z3295552197;142:14200:0:Z1677961430;
c1ccn2ccnc2c1,10628,142:14200:0:Z185513734;142:14200:0:Z1786380459;142:14200:0:Z4137285965;
C1COCCN1,169456,142:14200:0:Z185513734;142:14200:0:Z2370983405;142:14200:0:Z3361479755;
Cc1nccc(N)n1,437,142:14200:0:Z4451254866;142:14200:0:Z3439002249;142:14200:2:Z4451109846;
C1CNCCN1,198229,142:14200:0:Z4451254866;142:14200:0:Z2447032974;142:14200:0:Z2484130445;
C1CCCCC1,154942,142:14200:0:Z2282747515;142:14200:0:Z2644102360;142:14200:0:Z2370983405;
C1CCOC1,145621,142:14200:0:Z2961372194;142:14200:0:Z1230677672;142:14200:0:Z3267948563;
CN1CCCNC1=O,282,142:14200:0:Z4156142957;142:14200:0:Z4154532203;142:14201:2:Z3235801319;
c1c[nH]cn1,72446,142:14200:0:Z4156142957;142:14200:0:Z3686119643;142:14200:0:Z3205667741;
Cc1cc(C)[nH]c(=O)n1,579,142:14200:0:Z2963433951;142:14200:2:Z3541441497;142:14200:3:Z4293325024;
c1cc2n(c1)CCNC2,1355,142:14200:0:Z3674027080;142:14200:0:Z3589514687;142:14200:0:Z3438073038;
C1CCN2CCCCC2C1,875,142:14200:0:Z3674027080;142:14200:0:Z3667619894;142:14200:2:Z2504503246;
Cc1cc(C)[nH]n1,32327,142:14200:0:Z3295552197;142:14200:0:Z1655625567;142:14200:0:Z4002522997;
C1CNCCNC1,31718,142:14200:0:Z1786380459;142:14200:0:Z3545838642;142:14200:0:Z3799454419;
c1ccc2ncncc2c1,3787,142:14200:0:Z1348414682;142:14200:0:Z1918488925;142:14200:0:Z1279989326;
Cn1c2c(ccc1=O)CCCC2,498,142:14200:0:Z2477380139;142:14200:0:Z3818862150;142:14200:1:Z2642299289;
O=S1(=O)CCCCC1,8865,142:14200:0:Z2477380139;142:14200:0:Z4590195668;142:14200:0:Z2045195751;
Cc1ccccc1,241093,142:14200:0:Z2991792775;142:14200:0:Z1574936622;142:14200:0:Z2902400869;
Cc1ncno1,8107,142:14200:0:Z1230677672;142:14200:0:Z4541524936;142:14200:0:Z2498255315;
c1c[nH]nn1,88594,142:14200:0:Z1250321648;142:14200:0:Z3639488965;142:14200:0:Z4210344431;
Fc1ccccc1F,27503,142:14200:0:Z1015353036;142:14200:0:Z978781260;142:14200:0:Z3049605725;
FC1CCCOC1,615,142:14200:0:Z4170778649;142:14200:0:Z4459196729;142:14200:1:Z4468744367;
CC1OCCc2sccc21,355,142:14200:0:Z4042498540;142:14200:1:Z3567696327;142:14200:1:Z3567696324;
O=c1cccc[nH]1,28582,142:14200:0:Z4042498540;142:14200:0:Z2090945703;142:14200:0:Z1931002533;
c1ccc2c(c1)NCCO2,4924,142:14200:0:Z1368597764;142:14200:0:Z4344405331;142:14200:0:Z5045653147;
O=C1CCCN1,92507,142:14200:0:Z1368597764;142:14200:0:Z2647499607;142:14200:0:Z2644102360;
Cc1cn[nH]c1,14905,142:14200:0:Z1574936622;142:14200:0:Z4913740342;142:14200:0:Z3361995895;
c1cnoc1,75765,142:14200:0:Z1574936622;142:14200:0:Z3668154225;142:14200:0:Z3142212822;
Cn1cccn1,163977,142:14200:0:Z3817616537;142:14200:0:Z4879040465;142:14200:0:Z3316139014;
Fc1ccccc1Cl,15348,142:14200:0:Z3817616537;142:14200:0:Z1801926065;142:14200:0:Z1752023598;
C1CC2CC(C2)O1,1021,142:14200:0:Z4866747932;142:14200:2:Z5013867640;142:14200:3:Z5018449781;
CC1CNCCS1,415,142:14200:0:Z4316035784;142:14200:0:Z3171952773;142:14200:0:Z3171952323;
c1ccncc1,455407,142:14200:0:Z4316035784;142:14200:0:Z2860023895;142:14200:0:Z1227898973;
c1cnncn1,383,142:14200:0:Z1517472086;142:14200:6:Z1863790711;142:14200:7:Z4333313110;
c1nn[nH]n1,33698,142:14200:0:Z1265301723;142:14200:0:Z4410393241;142:14200:0:Z4462738317;
c1cscn1,169339,142:14200:0:Z2090945703;142:14200:0:Z3645758077;142:14200:0:Z5043318838;
C1CCSCC1,7907,142:14200:0:Z4410393241;142:14200:0:Z2190996317;142:14200:0:Z4612576889;
c1cc2c(s1)CCOC2,1680,142:14200:0:Z4410393241;142:14200:1:Z2650299582;142:14200:2:Z1376311898;
O=C1CCNC(=O)N1,27679,142:14200:0:Z4226320148;142:14200:0:Z3537318388;142:14200:0:Z4539570373;
NC1CCCCC1,3336,142:14200:0:Z3776760976;142:14200:0:Z3347370146;142:14200:0:Z2361428830;
Clc1ccccc1Cl,12457,142:14200:0:Z3776760976;142:14200:0:Z2596081486;142:14200:0:Z3538307706;
C1CCC2(C1)CCCO2,1569,142:14200:0:Z2860023895;142:14200:0:Z2979521315;142:14200:1:Z2494698731;
O=c1[nH]c2ccccc2[nH]1,6128,142:14200:0:Z2965055963;142:14200:0:Z1656875027;142:14200:0:Z3384922205;
C1CC2CCC(C1)N2,10106,142:14200:0:Z4879040465;142:14200:0:Z4541524936;142:14200:0:Z4478050281;
CC1CCCN1,18638,142:14200:0:Z4070994233;142:14200:0:Z2364277731;142:14200:0:Z2615897874;
Cc1nccs1,14082,142:14200:0:Z3668154225;142:14200:0:Z4114502618;142:14200:0:Z3803862677;
C1CCCNCC1,27926,142:14200:0:Z3804515318;142:14200:0:Z2177004477;142:14200:0:Z2635417052;
Cn1ncc2c1CCCC2,2564,142:14200:0:Z3804515318;142:14200:0:Z2273049917;142:14200:1:Z2256591004;
Oc1cn[nH]c1,1942,142:14200:0:Z2884073160;142:14200:0:Z2334914562;142:14200:1:Z2078659589;
c1cocn1,50770,142:14200:0:Z2884073160;142:14200:0:Z3323914749;142:14200:0:Z4608568280;
Cc1ccccn1,29048,142:14200:0:Z3596764861;142:14200:0:Z3869604339;142:14200:0:Z2089424616;
FC1CCC1,8578,142:14200:0:Z4773371258;142:14200:0:Z3781169394;142:14200:0:Z3781162439;
c1ncc2nc[nH]c2n1,16757,142:14200:0:Z4773371258;142:14200:0:Z4773691614;142:14200:0:Z4771030651;
c1ccc2[nH]ccc2c1,36189,142:14200:0:Z1368694828;142:14200:0:Z4394802685;142:14200:0:Z2110161415;
CC1CNCC(C)O1,8136,142:14200:0:Z2591064702;142:14200:0:Z2959178126;142:14200:0:Z1928667207;
C1CCCSCC1,356,142:14200:0:Z2591064702;142:14200:2:Z3683822747;142:14200:3:Z3590237757;
CC1(C)NCCNC1=O,478,142:14200:0:Z3105689749;142:14200:5:Z1127147152;142:14200:6:Z2284100449;
NC1CCOC1,1145,142:14200:0:Z3105689749;142:14200:1:Z2362587301;142:14200:1:Z3380553573;
Clc1ccc(Cl)cc1,3467,142:14200:0:Z2484130445;142:14200:0:Z1891004201;142:14200:0:Z1742440264;
Cc1ccn(C)n1,14445,142:14200:0:Z3267948563;142:14200:0:Z1413995870;142:14200:0:Z1742760840;
CC1CNCC1F,273,142:14200:0:Z3267948563;142:14201:1:Z4230923499;142:14201:5:Z3254744836;
CN1CCCCC1,23774,142:14200:0:Z3667466397;142:14200:0:Z4278934825;142:14200:0:Z1518103103;
O=C1CCCc2[nH]ccc21,264,142:14200:0:Z3667466397;142:14200:1:Z3671145421;142:14200:2:Z3668406246;
C1CC2CCC2N1,2487,142:14200:0:Z3059036087;142:14200:0:Z5039905821;142:14200:0:Z4055078376;
