fragment_smiles,occurences,example_ligands
C=C1CCNCC1,1843,510:51000:0:Z1421901490;510:51000:0:Z1421898658;510:51000:0:Z728497090;
CN1C(=O)CCc2ccccc21,3329,510:51000:0:Z1421901490;510:51000:0:Z2949860675;510:51000:0:Z1270042599;
Cc1cccnn1,4721,510:51000:0:Z2455421226;510:51000:0:Z1357270525;510:51000:0:Z1552493604;
C1CCOC1,103789,510:51000:0:Z2169850792;510:51000:0:Z2025180171;510:51000:0:Z3278177956;
c1ccc2ccccc2c1,42661,510:51000:0:Z2169850792;510:51000:0:Z1277753984;510:51000:0:Z4578445811;
c1ccc2c(c1)CCN2,50576,510:51000:0:Z769157824;510:51000:0:Z1417438072;510:51000:0:Z1711566615;
c1nnn[nH]1,48102,510:51000:0:Z126267886;510:51000:0:Z1877924000;510:51000:0:Z2622884843;
Fc1ccccc1F,36574,510:51000:0:Z126267886;510:51000:0:Z1568807606;510:51000:0:Z1843135147;
Cn1ccnc1,43146,510:51000:0:Z488175252;510:51000:0:Z4768384600;510:51000:0:Z952304114;
c1ccc2c(c1)NCCO2,13665,510:51000:0:Z1617181736;510:51000:0:Z414098814;510:51000:0:Z2961865095;
C1CCCNCC1,40261,510:51000:0:Z1617181736;510:51000:0:Z1030739604;510:51000:0:Z2138261549;
Cc1ccn[nH]1,50953,510:51000:0:Z1338049759;510:51000:0:Z2015712216;510:51000:0:Z1975587108;
Cn1cccn1,145868,510:51000:0:Z1338049759;510:51000:0:Z3844642938;510:51000:0:Z3726722843;
O=c1ccoc2ccccc12,924,510:51000:0:Z3176687191;510:51000:1:Z1993983005;510:51000:3:Z2210060827;
c1ccc2c(c1)CCCC2,19654,510:51000:0:Z3176687191;510:51000:0:Z1752992133;510:51000:0:Z4071290613;
O=C1CNCCN1,31881,510:51000:0:Z1750926826;510:51000:0:Z4769641645;510:51000:0:Z1266787657;
c1nnc[nH]1,114946,510:51000:0:Z2025180171;510:51000:0:Z3526290678;510:51000:0:Z2025173955;
