fragment_smiles,occurences,example_ligands
OC1CCCNC1,48873,330:33000:0:PV-006385098860;330:33000:0:PV-006385100716;330:33000:0:PV-006385100717;
Cc1ccncc1,27114,330:33000:0:PV-006385098860;330:33000:0:PV-006385099640;330:33000:0:PV-006385101151;
Cc1n[nH]c(C)n1,2487,330:33000:0:PV-006385098862;330:33000:0:PV-006385103994;330:33000:0:PV-006385106342;
Cc1cc(Cl)ccc1F,1442,330:33000:0:PV-006385098862;330:33000:1:PV-006385125894;330:33000:1:PV-006385131164;
Cc1cnn(C)c1,13305,330:33000:0:PV-006385098869;330:33000:0:PV-006385099170;330:33000:0:PV-006385099171;
C1CNCC2(C1)CC2,9328,330:33000:0:PV-006385098869;330:33000:0:PV-006385102399;330:33000:0:PV-006385104116;
Clc1ncco1,4195,330:33000:0:PV-006385098869;330:33000:0:PV-006385102801;330:33000:0:PV-006385105511;
Cn1cccn1,129894,330:33000:0:PV-006385098870;330:33000:0:PV-006385099144;330:33000:0:PV-006385099516;
C1CC2(C1)CNCCN2,10286,330:33000:0:PV-006385098870;330:33000:0:PV-006385100402;330:33000:0:PV-006385102554;
CC1CCNCC1,56908,330:33000:0:PV-006385098880;330:33000:0:PV-006385099150;330:33000:0:PV-006385100439;
c1cc2cn[nH]c2cn1,1578,330:33000:0:PV-006385098880;330:33000:4:PV-006385214889;330:33000:4:PV-006385214890;
Clc1cccnc1,29536,330:33000:0:PV-006385098883;330:33000:0:PV-006385098884;330:33000:0:PV-006385098885;
C1CCOC1,137432,330:33000:0:PV-006385098883;330:33000:0:PV-006385098884;330:33000:0:PV-006385098885;
c1ccccc1,385711,330:33000:0:PV-006385098883;330:33000:0:PV-006385098884;330:33000:0:PV-006385098885;
C1CCNCC1,553571,330:33000:0:PV-006385098906;330:33000:0:PV-006385098907;330:33000:0:PV-006385098982;
O=C1CCCCN1,36117,330:33000:0:PV-006385098911;330:33000:0:PV-006385098912;330:33000:0:PV-006385099174;
c1cn[nH]c1,255692,330:33000:0:PV-006385098919;330:33000:0:PV-006385098920;330:33000:0:PV-006385098921;
C1CC2(C1)CCNC2,20156,330:33000:0:PV-006385098919;330:33000:0:PV-006385098920;330:33000:0:PV-006385098921;
