fragment_smiles,occurences,example_ligands
CC1CCCN1,77936,75:07500:0:PV-003363682566;75:07500:0:PV-003363683856;75:07500:0:PV-003363684817;
Nc1ccccn1,10110,75:07500:0:PV-003363682566;75:07500:0:PV-003363689198;75:07500:0:PV-002832674309;
Oc1ccccc1,21493,75:07500:0:PV-003363682570;75:07500:0:PV-002832669232;75:07500:0:PV-002832670052;
C1CC2CCNCC2C1,1183,75:07500:0:PV-003363682570;75:07500:0:PV-003363699893;75:07500:2:PV-003363776732;
c1cocn1,66112,75:07500:0:PV-003363682576;75:07500:0:PV-003363683206;75:07500:0:PV-003363683679;
C1CC2CNCC2O1,4980,75:07500:0:PV-003363682576;75:07500:0:PV-003363706651;75:07500:0:PV-003363721474;
CC1(C)CC1,35536,75:07500:0:PV-003363682590;75:07500:0:PV-003363682591;75:07500:0:PV-001624570127;
c1cc2n(c1)CCC2,996,75:07500:0:PV-003363682590;75:07500:0:PV-003363682591;75:07500:0:PV-005096552564;
O=c1cccc[nH]1,18634,75:07500:0:PV-002832669216;75:07500:0:PV-003363688562;75:07500:0:PV-002832672110;
c1cnc2cnccc2c1,1250,75:07500:0:PV-002832669216;75:07500:0:PV-003363695671;75:07500:1:PV-002832692031;
C1CCOCC1,68310,75:07500:0:PV-002832669221;75:07500:0:PV-003363682635;75:07500:0:PV-003363682724;
c1ccccc1,319083,75:07500:0:PV-002207545933;75:07500:0:PV-003363682682;75:07500:0:PV-003363682724;
Fc1ccccc1,105343,75:07500:0:PV-002207545933;75:07500:0:PV-002832669243;75:07500:0:PV-003363683054;
Clc1cccnc1,22214,75:07500:0:PV-003363682635;75:07500:0:PV-002832670068;75:07500:0:PV-002832672158;
c1nc[nH]n1,126321,75:07500:0:PV-003363682635;75:07500:0:PV-002518043656;75:07500:0:PV-001974743313;
c1cc[nH]c1,67551,75:07500:0:PV-003363682661;75:07500:0:PV-003363682662;75:07500:0:PV-002832669232;
OC1CNC1,33209,75:07500:0:PV-003363682661;75:07500:0:PV-003363682662;75:07500:0:PV-003363683328;
Cc1cscn1,17759,75:07500:0:PV-002832669232;75:07500:0:PV-003363684251;75:07500:0:PV-000510302103;
c1ncc2[nH]ncc2n1,465,75:07500:0:PV-003363682682;75:07500:2:PV-003363777256;75:07500:6:PV-003363912868;
C1CCCNCC1,43849,75:07500:0:PV-002832669243;75:07500:0:PV-002832670254;75:07500:0:PV-001747163777;
c1cc2ccncc2cn1,840,75:07500:0:PV-003363682730;75:07500:0:PV-002832669260;75:07500:0:PV-002832677356;
C1CCNCC1,309006,75:07500:0:PV-003363682731;75:07500:0:PV-002832669336;75:07500:0:PV-003363683135;
C1COCOC1,4826,75:07500:0:PV-003363682731;75:07500:0:PV-003363694667;75:07500:0:PV-003363694668;
c1ccc2c(c1)CCN2,5869,75:07500:0:PV-003363682765;75:07500:0:PV-002104052118;75:07500:0:PV-002832681727;
Clc1ccc(Cl)cc1,3517,75:07500:0:PV-003363682765;75:07500:0:PV-003995521086;75:07500:0:PV-003995521087;
Cc1ccccc1,77911,75:07500:0:PV-003363682774;75:07500:0:PV-003995519748;75:07500:0:PV-003363684131;
CC1CCCNC1,37764,75:07500:0:PV-003363682781;75:07500:0:PV-003363683103;75:07500:0:PV-003363683248;
Cn1cccn1,76934,75:07500:0:PV-003363682781;75:07500:0:PV-003363683806;75:07500:0:PV-003363684282;
O=c1[nH]c2ncccc2o1,184,75:07500:0:PV-002414550061;75:07500:5:PV-005097095010;75:07500:7:PV-002569809804;
Cc1ccccc1C,7371,75:07500:0:PV-003363682798;75:07500:0:PV-003363682799;75:07500:0:PV-002832670617;
Clc1ccccc1,83476,75:07500:0:PV-003363682802;75:07500:0:PV-003363683328;75:07500:0:PV-003363683381;
C1CC2CC1CN2,16701,75:07500:0:PV-003363682802;75:07500:0:PV-003363684043;75:07500:0:PV-003363684679;
O=c1[nH]cco1,9407,75:07500:0:PV-003363682804;75:07500:0:PV-003363683660;75:07500:0:PV-002832669988;
c1ccc2c(c1)OCO2,3412,75:07500:0:PV-003363682849;75:07500:0:PV-002832671738;75:07500:0:PV-003363694385;
C1CCNC1,478291,75:07500:0:PV-002832669336;75:07500:0:PV-002832669372;75:07500:0:PV-002832669378;
C1CC2(C1)CNC2,17463,75:07500:0:PV-003363682880;75:07500:0:PV-003363683470;75:07500:0:PV-003363686345;
