fragment_smiles,occurences,example_ligands
c1cn[nH]c1,255787,312:31200:0:PV-005960829493;312:31200:0:PV-005960829494;312:31200:0:PV-005960829495;
c1ccncc1,288813,312:31200:0:PV-005960829493;312:31200:0:PV-005960829494;312:31200:0:PV-005960829495;
Cc1cncc(C)c1,7947,312:31200:0:PV-005960829504;312:31200:0:PV-005960841317;312:31200:0:PV-005960841318;
C1CCNC1,595714,312:31200:0:PV-005960829504;312:31200:0:PV-005960829713;312:31200:0:PV-005960829743;
c1c[nH]nn1,95993,312:31200:0:PV-005960829504;312:31200:0:PV-005960829634;312:31200:0:PV-005960829893;
C1CCOC1,137561,312:31200:0:PV-005960829504;312:31200:0:PV-005960829529;312:31200:0:PV-005960829530;
Cc1ccccc1,112417,312:31200:0:PV-005960829518;312:31200:0:PV-005960829556;312:31200:0:PV-005960829841;
C1CC2CCNC2C1,15853,312:31200:0:PV-005960829518;312:31200:0:PV-005960830738;312:31200:0:PV-005960830739;
Cn1cccn1,130065,312:31200:0:PV-005960829521;312:31200:0:PV-005960829712;312:31200:0:PV-005960829949;
CC1CCNC1,167834,312:31200:0:PV-005960829521;312:31200:0:PV-005960829865;312:31200:0:PV-005960829866;
Fc1cncnc1,8214,312:31200:0:PV-005960829521;312:31200:0:PV-005960830067;312:31200:0:PV-005960833519;
CC1CCCN1,104575,312:31200:0:PV-005960829529;312:31200:0:PV-005960829530;312:31200:0:PV-005960829531;
OC1CC2(CCCCC2)C1,925,312:31200:0:PV-005960829529;312:31200:0:PV-005960829530;312:31200:0:PV-005960829531;
Cc1ccco1,50859,312:31200:0:PV-005960829538;312:31200:0:PV-005960829539;312:31200:0:PV-005960829540;
CC1(C)CC2(CC2)C1,1893,312:31200:0:PV-005960829538;312:31200:0:PV-005960829539;312:31200:0:PV-005960829540;
Cc1ccc(F)cc1,12419,312:31200:0:PV-005960829556;312:31200:0:PV-005960830818;312:31200:0:PV-005960835942;
CC1CCNCC1,57221,312:31200:0:PV-005960829558;312:31200:0:PV-005960829901;312:31200:0:PV-005960830167;
Cc1cccc(F)c1,25784,312:31200:0:PV-005960829558;312:31200:0:PV-005960833776;312:31200:0:PV-005960836592;
Cc1cc(N)n(C)n1,870,312:31200:0:PV-005960829569;312:31200:0:PV-005960829570;312:31200:0:PV-005960844196;
FC1CCNC1,72208,312:31200:0:PV-005960829569;312:31200:0:PV-005960829570;312:31200:0:PV-005960829801;
C1CCC2(C1)CCC2,6835,312:31200:0:PV-005960829569;312:31200:0:PV-005960829570;312:31200:0:PV-005960831123;
OC1CCNC1,92815,312:31200:0:PV-005960829572;312:31200:0:PV-005960829573;312:31200:0:PV-005960829645;
C1CCCC1,239871,312:31200:0:PV-005960829576;312:31200:0:PV-005960829577;312:31200:0:PV-005960829578;
CC1CNC1,47245,312:31200:0:PV-005960829582;312:31200:0:PV-005960829747;312:31200:0:PV-005960829882;
Oc1cc2ccccc2cn1,388,312:31200:0:PV-005960829582;312:31200:2:PV-005960891590;312:31200:4:PV-005960917951;
O=c1ccnc[nH]1,5530,312:31200:0:PV-005960829588;312:31200:0:PV-005960831861;312:31200:0:PV-005960833276;
C1CC2CNCC(C2)N1,2990,312:31200:0:PV-005960829588;312:31200:0:PV-005960842383;312:31200:1:PV-005960866748;
C1CC2CNCC12,23923,312:31200:0:PV-005960829589;312:31200:0:PV-005960830011;312:31200:0:PV-005960830580;
C1CCOCC1,110799,312:31200:0:PV-005960829589;312:31200:0:PV-005960829829;312:31200:0:PV-005960829830;
c1ccoc1,131140,312:31200:0:PV-005960829591;312:31200:0:PV-005960829634;312:31200:0:PV-005960829637;
c1ccn2cccc2c1,5888,312:31200:0:PV-005960829591;312:31200:0:PV-005960841516;312:31200:0:PV-005960849186;
C1CCNCC1,552907,312:31200:0:PV-005960829592;312:31200:0:PV-005960829633;312:31200:0:PV-005960829657;
Cc1ccccn1,51055,312:31200:0:PV-005960829592;312:31200:0:PV-005960832052;312:31200:0:PV-005960832524;
Cc1cnc(O)s1,2029,312:31200:0:PV-005960829592;312:31200:0:PV-005960837827;312:31200:0:PV-005960848222;
Cc1ncc2ccccn12,1938,312:31200:0:PV-005960829631;312:31200:0:PV-005960829632;312:31200:0:PV-005960842710;
Oc1cccc(F)c1,7581,312:31200:0:PV-005960829631;312:31200:0:PV-005960829632;312:31200:0:PV-005960831687;
CC1CC(F)C1,4180,312:31200:0:PV-005960829633;312:31200:0:PV-005960852253;312:31200:1:PV-005960862566;
O=C1NCCCN1,2997,312:31200:0:PV-005960829633;312:31200:0:PV-005960832253;312:31200:0:PV-005960832254;
c1ccccc1,385832,312:31200:0:PV-005960829634;312:31200:0:PV-005960829815;312:31200:0:PV-005960829816;
Cc1cnoc1,25553,312:31200:0:PV-005960829637;312:31200:0:PV-005960831698;312:31200:0:PV-005960831699;
C1CNC2(C1)CC2,11466,312:31200:0:PV-005960829637;312:31200:0:PV-005960833142;312:31200:0:PV-005960835488;
CN1CCCCC1,39661,312:31200:0:PV-005960829638;312:31200:0:PV-005960829911;312:31200:0:PV-005960830040;
C1COCC2(C1)CCOCC2,337,312:31200:0:PV-005960829638;312:31200:0:PV-005960839290;312:31200:0:PV-005960839291;
Cc1ccncc1,27604,312:31200:0:PV-005960829642;312:31200:0:PV-005960829643;312:31200:0:PV-005960829644;
FC1CCCNC1,63184,312:31200:0:PV-005960829642;312:31200:0:PV-005960829643;312:31200:0:PV-005960829644;
Cc1ccno1,29994,312:31200:0:PV-005960829642;312:31200:0:PV-005960829643;312:31200:0:PV-005960829644;
c1ccc2occc2c1,16735,312:31200:0:PV-005960829645;312:31200:0:PV-005960829646;312:31200:0:PV-005960833205;
CC1CC2CNCC2N1,6869,312:31200:0:PV-005960829650;312:31200:0:PV-005960829964;312:31200:0:PV-005960832228;
FC1CCC1,49696,312:31200:0:PV-005960829650;312:31200:0:PV-005960829893;312:31200:0:PV-005960829927;
c1ccsc1,123474,312:31200:0:PV-005960829651;312:31200:0:PV-005960829652;312:31200:0:PV-005960829653;
C1CC2CCC(C1)C2,453,312:31200:0:PV-005960829657;312:31200:3:PV-005960905686;312:31200:6:PV-005960976844;
Nc1cccnc1,14811,312:31200:0:PV-005960829662;312:31200:0:PV-005960836663;312:31200:0:PV-005960837605;
Fc1ccccc1,169670,312:31200:0:PV-005960829662;312:31200:0:PV-005960830232;312:31200:0:PV-005960830291;
Cc1cscn1,23601,312:31200:0:PV-005960829677;312:31200:0:PV-005960829678;312:31200:0:PV-005960829679;
C1CC2CNCC1N2,22177,312:31200:0:PV-005960829677;312:31200:0:PV-005960829678;312:31200:0:PV-005960829679;
C1NCC2CC12,104313,312:31200:0:PV-005960829694;312:31200:0:PV-005960829695;312:31200:0:PV-005960830331;
C1CCCNCC1,98296,312:31200:0:PV-005960829694;312:31200:0:PV-005960829695;312:31200:0:PV-005960829786;
c1cnsc1,38632,312:31200:0:PV-005960829696;312:31200:0:PV-005960829865;312:31200:0:PV-005960829866;
C1CC2CC2CCN1,2263,312:31200:0:PV-005960829696;312:31200:0:PV-005960832191;312:31200:0:PV-005960849184;
Cn1cccc1,34332,312:31200:0:PV-005960829696;312:31200:0:PV-005960830660;312:31200:0:PV-005960832531;
Cc1cccs1,35750,312:31200:0:PV-005960829705;312:31200:0:PV-005960830516;312:31200:0:PV-005960830561;
C1CNCCNC1,28211,312:31200:0:PV-005960829705;312:31200:0:PV-005960832697;312:31200:0:PV-005960833123;
c1cnoc1,129800,312:31200:0:PV-005960829705;312:31200:0:PV-005960829713;312:31200:0:PV-005960829738;
CC1CCC1,48640,312:31200:0:PV-005960829709;312:31200:0:PV-005960829710;312:31200:0:PV-005960830406;
C1CC2CCC(C1)N2,34619,312:31200:0:PV-005960829709;312:31200:0:PV-005960829710;312:31200:0:PV-005960830182;
Cc1nccs1,21700,312:31200:0:PV-005960829709;312:31200:0:PV-005960829710;312:31200:0:PV-005960830383;
C1COCCN1,64531,312:31200:0:PV-005960829711;312:31200:0:PV-005960830428;312:31200:0:PV-005960830988;
Cc1cc[nH]n1,46784,312:31200:0:PV-005960829711;312:31200:0:PV-005960829865;312:31200:0:PV-005960829866;
Cc1cccnn1,19744,312:31200:0:PV-005960829712;312:31200:0:PV-005960830705;312:31200:0:PV-005960830706;
C1CC2(C1)CCC2,22513,312:31200:0:PV-005960829712;312:31200:0:PV-005960830614;312:31200:0:PV-005960830718;
Cc1cccc2cccnc12,1384,312:31200:0:PV-005960829739;312:31200:0:PV-005960829740;312:31200:0:PV-005960848861;
CC1CC=C(Cl)CC1,1391,312:31200:0:PV-005960829741;312:31200:0:PV-005960837573;312:31200:1:PV-005960859543;
c1ccc2[nH]nnc2c1,4639,312:31200:0:PV-005960829741;312:31200:0:PV-005960832660;312:31200:0:PV-005960842615;
Cc1ccn(C)n1,19765,312:31200:0:PV-005960829743;312:31200:0:PV-005960829744;312:31200:0:PV-005960829745;
c1cc[nH]c1,106808,312:31200:0:PV-005960829747;312:31200:0:PV-005960829898;312:31200:0:PV-005960830230;
CC1CC(F)(F)CN1,1988,312:31200:0:PV-005960829748;312:31200:0:PV-005960829749;312:31200:0:PV-005960845874;
Oc1ccccc1,42407,312:31200:0:PV-005960829748;312:31200:0:PV-005960829749;312:31200:0:PV-005960830160;
Fc1cccc(F)c1,33765,312:31200:0:PV-005960829755;312:31200:0:PV-005960830529;312:31200:0:PV-005960832190;
C1CNCCN1,151994,312:31200:0:PV-005960829755;312:31200:0:PV-005960829816;312:31200:0:PV-005960829822;
OC1CCNCC1,28599,312:31200:0:PV-005960829768;312:31200:0:PV-005960830393;312:31200:0:PV-005960830605;
c1n[nH]c2c1CCCC2,7958,312:31200:0:PV-005960829768;312:31200:0:PV-005960846826;312:31200:0:PV-005960847407;
O=c1cc[nH]c(=O)[nH]1,3177,312:31200:0:PV-005960829782;312:31200:0:PV-005960848809;312:31200:1:PV-005960857222;
C1CC2CCC1O2,9010,312:31200:0:PV-005960829782;312:31200:0:PV-005960831142;312:31200:0:PV-005960831143;
c1c[nH]cn1,96891,312:31200:0:PV-005960829786;312:31200:0:PV-005960830040;312:31200:0:PV-005960830041;
CC1CC1(F)F,9416,312:31200:0:PV-005960829786;312:31200:0:PV-005960833735;312:31200:0:PV-005960835748;
c1cnc2ncccc2c1,2826,312:31200:0:PV-005960829801;312:31200:0:PV-005960829802;312:31200:0:PV-005960830261;
C1CNC2(C1)CCC2,17625,312:31200:0:PV-005960829815;312:31200:0:PV-005960830004;312:31200:0:PV-005960830005;
Fc1cn[nH]c1,6717,312:31200:0:PV-005960829815;312:31200:0:PV-005960830465;312:31200:0:PV-005960830466;
c1cscn1,96602,312:31200:0:PV-005960829820;312:31200:0:PV-005960829821;312:31200:0:PV-005960829984;
C1CNC2CCNCC2C1,8490,312:31200:0:PV-005960829820;312:31200:0:PV-005960829821;312:31200:0:PV-005960850143;
C1CCCCC1,223585,312:31200:0:PV-005960829829;312:31200:0:PV-005960829830;312:31200:0:PV-005960829831;
C1CCC2(C1)CCCNC2,845,312:31200:0:PV-005960829839;312:31200:0:PV-005960830804;312:31200:0:PV-005960848487;
C1CC2CCC1N2,25893,312:31200:0:PV-005960829841;312:31200:0:PV-005960830952;312:31200:0:PV-005960830953;
c1ccc2c(c1)CCCC2,7481,312:31200:0:PV-005960829847;312:31200:0:PV-005960831144;312:31200:0:PV-005960831145;
Cc1ncccn1,10220,312:31200:0:PV-005960829854;312:31200:0:PV-005960832509;312:31200:0:PV-005960836841;
O=S1C=CCCC1,2006,312:31200:0:PV-005960829854;312:31200:1:PV-005960864172;312:31200:3:PV-005960906240;
c1csnn1,14892,312:31200:0:PV-005960829855;312:31200:0:PV-005960830108;312:31200:0:PV-005960830194;
C1CC2(C1)CNC2,27393,312:31200:0:PV-005960829855;312:31200:0:PV-005960830232;312:31200:0:PV-005960830590;
OC1CCCCC1,24367,312:31200:0:PV-005960829855;312:31200:0:PV-005960830740;312:31200:0:PV-005960830933;
Clc1ccc2[nH]ccc2c1,1841,312:31200:0:PV-005960829856;312:31200:0:PV-005960833543;312:31200:1:PV-005960860286;
Cc1cocn1,17691,312:31200:0:PV-005960829882;312:31200:0:PV-005960836730;312:31200:0:PV-005960838104;
FC1(F)CCOCC1,2128,312:31200:0:PV-005960829882;312:31200:0:PV-005960837890;312:31200:2:PV-005960891917;
C1NC2CC1C2,4777,312:31200:0:PV-005960829883;312:31200:0:PV-005960843804;312:31200:0:PV-005960843805;
Cc1ccoc1,44495,312:31200:0:PV-005960829885;312:31200:0:PV-005960829894;312:31200:0:PV-005960829895;
Cc1ccn[nH]1,44975,312:31200:0:PV-005960829893;312:31200:0:PV-005960830170;312:31200:0:PV-005960830197;
Clc1ccccc1,74035,312:31200:0:PV-005960829893;312:31200:0:PV-005960830820;312:31200:0:PV-005960831770;
CC1CCCNC1,74305,312:31200:0:PV-005960829894;312:31200:0:PV-005960829895;312:31200:0:PV-005960830436;
C1CC2(CCN1)CC2,12181,312:31200:0:PV-005960829920;312:31200:0:PV-005960831439;312:31200:0:PV-005960834585;
CC1=CCCO1,8769,312:31200:0:PV-005960829927;312:31200:0:PV-005960829928;312:31200:0:PV-005960829929;
c1ccc2c(c1)CCS2,1954,312:31200:0:PV-005960829927;312:31200:0:PV-005960829928;312:31200:0:PV-005960829929;
Cc1ccsn1,16887,312:31200:0:PV-005960829946;312:31200:0:PV-005960831460;312:31200:0:PV-005960832749;
CC1(C)CCCN1,36140,312:31200:0:PV-005960829946;312:31200:0:PV-005960830818;312:31200:0:PV-005960831292;
c1ccc2c(c1)CCN2,8012,312:31200:0:PV-005960829946;312:31200:1:PV-005960855534;312:31200:1:PV-005960856532;
FC1CNC1,21136,312:31200:0:PV-005960829949;312:31200:0:PV-005960830634;312:31200:0:PV-005960835026;
