fragment_smiles,occurences,example_ligands
C1CCOC1,129522,498:49800:0:PV-006548049646;498:49800:0:PV-006548050714;498:49800:0:PV-006548050715;
FC1CCCNC1,65189,498:49800:0:PV-006548049646;498:49800:0:PV-006548050737;498:49800:0:PV-006548051116;
c1ccc2c(c1)CCO2,21080,498:49800:0:PV-006548049646;498:49800:0:PV-006548052699;498:49800:0:PV-006548052915;
CC1(C)CCNC1,42897,498:49800:0:PV-006548049647;498:49800:0:PV-006548049732;498:49800:0:PV-006548049756;
c1cc2[nH]ncc2cn1,1981,498:49800:0:PV-006548049647;498:49800:1:PV-006548084510;498:49800:1:PV-006548092526;
c1ccccc1,529011,498:49800:0:PV-006548049654;498:49800:0:PV-006548049736;498:49800:0:PV-006548049771;
Oc1ccnnc1,1781,498:49800:0:PV-006548049654;498:49800:0:PV-006548063395;498:49800:0:PV-006548073515;
O=c1cccc[nH]1,56537,498:49800:0:PV-006548049658;498:49800:0:PV-006548049659;498:49800:0:PV-006548051821;
FC1CCNC1,69187,498:49800:0:PV-006548049658;498:49800:0:PV-006548049659;498:49800:0:PV-006548049809;
CC1CC2CC2C1,2228,498:49800:0:PV-006548049658;498:49800:0:PV-006548049659;498:49800:0:PV-006548059814;
Cc1ccc2nccn2c1,4625,498:49800:0:PV-006548049668;498:49800:0:PV-006548051744;498:49800:0:PV-006548051745;
OC1CCNCC1,31464,498:49800:0:PV-006548049668;498:49800:0:PV-006548049736;498:49800:0:PV-006548050037;
Cc1ccnc(C)c1,16904,498:49800:0:PV-006548049696;498:49800:0:PV-006548053545;498:49800:0:PV-006548053546;
C1CC2CCC(C1)N2,37910,498:49800:0:PV-006548049696;498:49800:0:PV-006548051057;498:49800:0:PV-006548052215;
Cc1ccno1,32708,498:49800:0:PV-006548049696;498:49800:0:PV-006548050290;498:49800:0:PV-006548050825;
CN1CCc2ccccc21,4534,498:49800:0:PV-006548049697;498:49800:0:PV-006548049698;498:49800:0:PV-006548049699;
C1CC2(C1)CCOC2,5810,498:49800:0:PV-006548049697;498:49800:0:PV-006548049698;498:49800:0:PV-006548049699;
C1CC2NCCC2CN1,7793,498:49800:0:PV-006548049703;498:49800:0:PV-006548050596;498:49800:0:PV-006548050597;
c1cn[nH]c1,297939,498:49800:0:PV-006548049703;498:49800:0:PV-006548049785;498:49800:0:PV-006548049919;
C1CCOCC1,122301,498:49800:0:PV-006548049703;498:49800:0:PV-006548050105;498:49800:0:PV-006548050548;
CC1C(C)(C)C1(C)C,3613,498:49800:0:PV-006548049716;498:49800:0:PV-006548049978;498:49800:0:PV-006548049979;
C1CCCCCC1,2052,498:49800:0:PV-006548049716;498:49800:0:PV-006548055045;498:49800:0:PV-006548059651;
c1nnc[nH]1,14000,498:49800:0:PV-006548049716;498:49800:0:PV-006548051137;498:49800:0:PV-006548057255;
Cc1cccnc1C,11718,498:49800:0:PV-006548049730;498:49800:0:PV-006548050407;498:49800:0:PV-006548052596;
C1CNCCNC1,30103,498:49800:0:PV-006548049730;498:49800:0:PV-006548050664;498:49800:0:PV-006548050823;
CC1CCOC1,12031,498:49800:0:PV-006548049730;498:49800:0:PV-006548050925;498:49800:0:PV-006548056579;
Cc1cccc(=O)n1C,3120,498:49800:0:PV-006548049732;498:49800:0:PV-006548055126;498:49800:0:PV-006548058197;
c1cc[nH]c1,118966,498:49800:0:PV-006548049732;498:49800:0:PV-006548049869;498:49800:0:PV-006548049909;
Nc1cccnc1,15632,498:49800:0:PV-006548049736;498:49800:0:PV-006548049744;498:49800:0:PV-006548050737;
c1ccc2c(c1)CCOC2,12859,498:49800:0:PV-006548049744;498:49800:0:PV-006548053171;498:49800:0:PV-006548068007;
C1COCCO1,7110,498:49800:0:PV-006548049756;498:49800:0:PV-006548057505;498:49800:0:PV-006548066167;
c1cnc2ncccc2c1,5136,498:49800:0:PV-006548049756;498:49800:0:PV-006548056325;498:49800:0:PV-006548062660;
CC1=CCCC1,8448,498:49800:0:PV-006548049771;498:49800:0:PV-006548049772;498:49800:0:PV-006548054372;
