fragment_smiles,occurences,example_ligands
c1nc[nH]n1,126501,69:06900:0:PV-003158269089;69:06900:0:PV-003158269195;69:06900:0:PV-003158269808;
Cn1cccn1,77737,69:06900:0:PV-003158269089;69:06900:0:PV-002753055585;69:06900:0:PV-002753055586;
C1CC2(CC2)CN1,12087,69:06900:0:PV-003158269101;69:06900:0:PV-003158270688;69:06900:0:PV-004486522446;
C1CNCCNC1,18437,69:06900:0:PV-002753055556;69:06900:0:PV-003158271210;69:06900:0:PV-004486466959;
Cc1ccncc1,12527,69:06900:0:PV-002753055557;69:06900:0:PV-004486526149;69:06900:0:PV-004486583022;
c1ccc2c(c1)CCCC2,5446,69:06900:0:PV-002753055557;69:06900:0:PV-002753055581;69:06900:0:PV-004486522755;
C1CCCCC1,133754,69:06900:0:PV-001583231902;69:06900:0:PV-003158269594;69:06900:0:PV-003158269595;
C1CC2CC1CN2,16690,69:06900:0:PV-003158269120;69:06900:0:PV-004486477968;69:06900:0:PV-004486528994;
Fc1cccc2cccnc12,859,69:06900:0:PV-003158269124;69:06900:1:PV-003158309538;69:06900:2:PV-002753089609;
c1ccc2c(c1)CCO2,6447,69:06900:0:PV-003158269124;69:06900:0:PV-003158281338;69:06900:0:PV-002753064713;
CC1COC1,12299,69:06900:0:PV-003158269191;69:06900:0:PV-004486536781;69:06900:0:PV-004486541595;
Clc1ccccc1,83753,69:06900:0:PV-003158269195;69:06900:0:PV-003158270341;69:06900:0:PV-004486472735;
Cn1ccc(O)n1,2194,69:06900:0:PV-003158269195;69:06900:0:PV-003158270094;69:06900:0:PV-004486610699;
CC1(C)CNCC(O)C1,68,69:06900:0:PV-002753055581;69:06902:3:PV-004488927785;69:06910:0:PV-002247212622;
O=c1cccco1,5437,69:06900:0:PV-002753055583;69:06900:0:PV-004486559079;69:06900:0:PV-003158290219;
C1CC2CC2N1,22854,69:06900:0:PV-003158269265;69:06900:0:PV-003158269266;69:06900:0:PV-003158269267;
FC1CCNC1,54197,69:06900:0:PV-003158269278;69:06900:0:PV-003158269974;69:06900:0:PV-003158270094;
Cc1cccc(Cl)c1,7407,69:06900:0:PV-002143507926;69:06900:0:PV-002753057706;69:06900:0:PV-000493502388;
c1nc2c(s1)CCC2,390,69:06900:0:PV-002143507926;69:06900:3:PV-004486800612;69:06900:5:PV-002247018223;
CC1CCCNC1,37822,69:06900:0:PV-003158269292;69:06900:0:PV-003158270344;69:06900:0:PV-003158270810;
Fc1cccnc1,26557,69:06900:0:PV-003158269292;69:06900:0:PV-001679615802;69:06900:0:PV-003158271265;
Cc1ccc2c(C)noc2n1,111,69:06900:0:PV-002753055600;69:06902:9:PV-001466868138;69:06904:1:PV-001464554941;
Fc1ccccc1F,10340,69:06900:0:PV-002753055600;69:06900:0:PV-002753055894;69:06900:0:PV-003158270740;
CC1=CCNCC1,53,69:06900:0:PV-003158269321;69:06907:1:PV-004493727973;69:06907:5:PV-003160851996;
c1ccoc1,96999,69:06900:0:PV-003158269321;69:06900:0:PV-000420995575;69:06900:0:PV-003158269830;
c1ccc2[nH]nnc2c1,2604,69:06900:0:PV-003158269321;69:06900:0:PV-002753059525;69:06900:0:PV-002753060094;
c1cc[nH]c1,68283,69:06900:0:PV-000270217285;69:06900:0:PV-002298756979;69:06900:0:PV-003158270122;
Cn1ccnn1,15836,69:06900:0:PV-001607006797;69:06900:0:PV-004486470714;69:06900:0:PV-004486495292;
CC1(C)CCC1,18796,69:06900:0:PV-001607006797;69:06900:0:PV-001639610604;69:06900:0:PV-004486609577;
FC1CCCC1,12706,69:06900:0:PV-003158269343;69:06900:0:PV-003158269344;69:06900:0:PV-004486550108;
