fragment_smiles,occurences,example_ligands
c1[nH]nc2c1CCCC2,534,69:06900:1:PV-002753067878;69:06900:4:PV-004486964853;69:06900:4:PV-004487038301;
Clc1cnccn1,567,69:06900:1:PV-003158300124;69:06900:3:PV-002753095396;69:06900:4:PV-004486929289;
Cc1cccn2cccc12,230,69:06900:1:PV-001563629188;69:06900:1:PV-004486700986;69:06900:1:PV-004486700987;
Clc1ccc[nH]1,267,69:06900:1:PV-002753067919;69:06900:3:PV-002402265514;69:06900:8:PV-003158556440;
O=C1CSCCN1,2124,69:06900:1:PV-002753067926;69:06900:1:PV-002753067927;69:06900:2:PV-002753078126;
C1CC2COCCN2C1,411,69:06900:1:PV-002195255160;69:06900:1:PV-002247008398;69:06901:6:PV-003158846544;
NC1C2CNC1C(O)C2,110,69:06900:1:PV-003158300340;69:06900:4:PV-004487040187;69:06901:2:PV-003158691364;
Cc1cccn2ccnc12,1125,69:06900:1:PV-002557507127;69:06900:2:PV-002195257516;69:06900:2:PV-002753086572;
Nc1cc[nH]n1,329,69:06900:1:PV-003158300561;69:06900:3:PV-002753100445;69:06900:8:PV-002753161231;
Fc1cccc2[nH]cnc12,642,69:06900:1:PV-002298758841;69:06900:3:PV-004486826960;69:06900:3:PV-003939829906;
Cc1cc(C)c2c(c1)CCNC2,95,69:06900:1:PV-002247008422;69:06901:1:PV-002350532827;69:06901:7:PV-004488312293;
C1CNC2CCNCC2C1,2018,69:06900:1:PV-003158300826;69:06900:1:PV-003158300827;69:06900:1:PV-000444545974;
Cc1coc2ccccc12,689,69:06900:1:PV-002753068222;69:06900:2:PV-003158336394;69:06900:3:PV-002753102602;
C1COC2CC2N1,199,69:06900:1:PV-003158301059;69:06900:9:PV-003158595214;69:06901:1:PV-004487660005;
Cc1cccc2cc[nH]c12,481,69:06900:1:PV-002753068244;69:06900:2:PV-002753083538;69:06900:3:PV-003158380122;
Nc1ncn[nH]1,360,69:06900:1:PV-002753068343;69:06900:1:PV-003158304302;69:06900:4:PV-004486941452;
Cc1cc2ccccc2cn1,372,69:06900:1:PV-002753068345;69:06900:1:PV-002753075668;69:06900:4:PV-004487028433;
Cc1cccn(C)c1=O,516,69:06900:1:PV-002753068414;69:06900:6:PV-003158500222;69:06900:8:PV-004487383440;
FC1CCCCNC1,1075,69:06900:1:PV-003158301625;69:06900:2:PV-003158335469;69:06900:3:PV-003158389433;
Cc1nnc2[nH]ncc2c1C,74,69:06900:1:PV-002753068493;69:06900:1:PV-002753068494;69:06900:1:PV-002753068495;
Cc1cc(Cl)sc1C,677,69:06900:1:PV-003158301685;69:06900:1:PV-003158301686;69:06900:1:PV-003158301687;
Cc1csc2ncncc12,65,69:06900:1:PV-002753068500;69:06904:8:PV-003159923630;69:06905:3:PV-002753760748;
CC1CC2CC2C1,1827,69:06900:1:PV-002753068500;69:06900:1:PV-000389268549;69:06900:1:PV-000389268547;
Clc1cc2nc[nH]c2cc1Cl,118,69:06900:1:PV-002753068543;69:06900:3:PV-002753095323;69:06901:7:PV-004488338086;
c1ccc2nccnc2c1,1527,69:06900:1:PV-003158301775;69:06900:2:PV-002557509221;69:06900:2:PV-003158352137;
CC1CNCc2c(Cl)cccc21,79,69:06900:1:PV-002454008562;69:06900:2:PV-002557510312;69:06900:5:PV-002298768351;
C=C1Cn2cnnc2S1,213,69:06900:1:PV-003158302051;69:06900:1:PV-003158302052;69:06900:4:PV-002753110878;
Cc1cccc2occc12,227,69:06900:1:PV-002753068703;69:06900:2:PV-002753077663;69:06900:4:PV-002753108772;
CC1(C)CNc2ccccc2O1,88,69:06900:1:PV-002753068743;69:06902:9:PV-002753448275;69:06905:2:PV-002753747525;
Cc1ccnc(N)c1,1168,69:06900:1:PV-002753068756;69:06900:1:PV-003158319558;69:06900:2:PV-002753082199;
CC1CNc2cccnc21,103,69:06900:1:PV-003939804709;69:06901:1:PV-002753203838;69:06905:0:PV-002753716123;
O=S1(=O)CCNCCCCCCN1,44,69:06900:1:PV-002402260748;69:06902:6:PV-002143561867;69:06902:7:PV-003159221717;
CC1CC=NO1,943,69:06900:1:PV-003158302382;69:06900:1:PV-004486656334;69:06900:2:PV-003158340824;
C1CNCC2CC2C1,882,69:06900:1:PV-003158302406;69:06900:1:PV-003158317123;69:06900:3:PV-003158375381;
Cc1ncc(F)cn1,8,69:06900:1:PV-002753068898;69:06919:6:PV-002755667379;69:06930:1:PV-002757066106;
c1cc2n(n1)CCCNC2,366,69:06900:1:PV-003158302836;69:06900:3:PV-004486911736;69:06900:3:PV-003158378815;
Cn1c(=N)sc2ccccc21,112,69:06900:1:PV-002143509929;69:06900:4:PV-003158424157;69:06900:4:PV-004487041061;
O=C1CNc2cccnc2N1,120,69:06900:1:PV-003158302855;69:06900:5:PV-003158447826;69:06902:4:PV-003159115007;
C1CCC2(CNC2)OC1,596,69:06900:1:PV-002753068981;69:06900:3:PV-004486810453;69:06900:5:PV-003158438772;
OC1CCNCC1O,778,69:06900:1:PV-003158302956;69:06900:1:PV-003158302957;69:06900:2:PV-003158362565;
CC1(C)Cc2ccsc2C1,177,69:06900:1:PV-003158303025;69:06900:4:PV-003158427463;69:06902:5:PV-002753386632;
c1scc2c1OCCO2,486,69:06900:1:PV-002753069066;69:06900:4:PV-003158399881;69:06900:4:PV-003158425524;
c1ncc2[nH]ncc2n1,458,69:06900:1:PV-003158303411;69:06900:8:PV-003158568197;69:06901:1:PV-003158644772;
Cc1c(Cl)ccc2ccoc12,51,69:06900:1:PV-002753069188;69:06900:1:PV-002753069189;69:06900:1:PV-002753069190;
Cc1cnc2c(c1)NCC2,93,69:06900:1:PV-003158303567;69:06901:4:PV-003158755623;69:06901:5:PV-002195283687;
OC1CNCC(F)C1,200,69:06900:1:PV-003158303770;69:06900:1:PV-003158322503;69:06900:1:PV-003158322504;
Cc1cnc2ccccc2c1,407,69:06900:1:PV-003158303858;69:06900:2:PV-002753081532;69:06900:3:PV-002753095233;
OC12CC3CC(CC(C3)C1)C2,58,69:06900:1:PV-002753069436;69:06900:1:PV-002753069437;69:06900:1:PV-002753069438;
Cn1ccc2cc(Cl)ccc21,311,69:06900:1:PV-003158304267;69:06900:1:PV-002753075506;69:06901:0:PV-002753189883;
CN1C(=O)CNC2CC21,92,69:06900:1:PV-003158304428;69:06900:3:PV-003158379308;69:06900:5:PV-003158466325;
c1cc2c(cn1)CNCC2,175,69:06900:1:PV-003158304432;69:06900:4:PV-002505766659;69:06900:9:PV-004487447297;
c1scc2c1CCCC2,439,69:06900:1:PV-003158304450;69:06900:2:PV-003158332234;69:06900:2:PV-003158332235;
Cc1cnc(C)[nH]1,3124,69:06900:1:PV-003158304465;69:06900:1:PV-003158304466;69:06900:1:PV-003158304467;
Cc1ccc(=O)[nH]n1,1198,69:06900:1:PV-002753069584;69:06900:1:PV-003158305803;69:06900:3:PV-002195260447;
CC1Cn2nccc2CN1,84,69:06900:1:PV-002557507395;69:06900:2:PV-002753079459;69:06902:6:PV-002091814532;
Fc1ccc2cccnc2c1F,98,69:06900:1:PV-002753069633;69:06901:1:PV-002753212839;69:06904:2:PV-002454094020;
CC1CC(=O)NCCN1,59,69:06900:1:PV-003158304743;69:06901:8:PV-004488387242;69:06904:2:PV-003159709318;
O=C1COc2cccnc2N1,396,69:06900:1:PV-002247008691;69:06900:2:PV-002247010513;69:06900:3:PV-004486814573;
CC1CCS(=O)(=O)N1C,74,69:06900:1:PV-003158304915;69:06901:4:PV-002753254196;69:06903:7:PV-002753552163;
O=c1ccc2c([nH]1)CCCC2,257,69:06900:1:PV-002753069726;69:06900:7:PV-002557519919;69:06901:0:PV-002195275222;
Cn1ncc2cccnc21,699,69:06900:1:PV-002753069743;69:06900:3:PV-002753095723;69:06900:8:PV-002753160991;
O=C1CCc2ccccc2N1,1137,69:06900:1:PV-002753069773;69:06900:4:PV-002753115287;69:06900:5:PV-002247018000;
C1CC2CCC(C1)O2,1620,69:06900:1:PV-002753069773;69:06900:1:PV-004486704616;69:06900:1:PV-004486704617;
O=C1COc2cccc(Cl)c2N1,49,69:06900:1:PV-002753069802;69:06902:8:PV-003159230937;69:06903:5:PV-002753517978;
Clc1ccc2nccnc2c1,75,69:06900:1:PV-002753069802;69:06900:1:PV-003158323559;69:06900:6:PV-004487202196;
C1CNC2CCOCC2C1,124,69:06900:1:PV-003158305198;69:06901:9:PV-003158925597;69:06902:9:PV-004489495972;
C1=Cc2ccccc2C1,211,69:06900:1:PV-003158305244;69:06900:3:PV-004486902278;69:06900:4:PV-002753111508;
Cc1ccc2c(n1)CCCC2,175,69:06900:1:PV-002753069872;69:06901:0:PV-002402280406;69:06901:9:PV-002247045100;
NC12CCC(CC1)OC2,16,69:06900:1:PV-003158305330;69:06902:7:PV-002753417570;69:06908:5:PV-002754192570;
Cn1cnc2ccccc21,2102,69:06900:1:PV-002753069878;69:06900:2:PV-003158364775;69:06900:3:PV-004486805107;
Oc1ccc(F)cn1,1118,69:06900:1:PV-002195255472;69:06900:1:PV-002753073395;69:06900:1:PV-002753073396;
c1cc2sccc2o1,893,69:06900:1:PV-003158305435;69:06900:1:PV-004486740552;69:06900:2:PV-001393994178;
FC1CCOCC1,2422,69:06900:1:PV-003158305452;69:06900:1:PV-003158305453;69:06900:1:PV-002753069920;
Fc1cccc2cnccc12,172,69:06900:1:PV-002753069933;69:06900:6:PV-002298770448;69:06902:4:PV-002298805588;
CC1CCC(=O)NC1,679,69:06900:1:PV-001502072063;69:06900:3:PV-004486830475;69:06900:5:PV-003158441025;
Cc1n[nH]c(=O)o1,306,69:06900:1:PV-002753069985;69:06900:7:PV-002753158913;69:06900:7:PV-003158533547;
C1NCC2CNCC1C2,774,69:06900:1:PV-003158305652;69:06900:5:PV-003158466874;69:06900:7:PV-003158504200;
C1=COCCC1,768,69:06900:1:PV-003158305693;69:06900:7:PV-003158517146;69:06900:9:PV-003158576333;
Fc1ccc2nccn2c1,89,69:06900:1:PV-001846368520;69:06900:2:PV-002350512564;69:06900:9:PV-002091779254;
Cc1csc(Cl)c1,2485,69:06900:1:PV-001467388519;69:06900:1:PV-004486702290;69:06900:2:PV-002617314890;
Cc1cc(F)c2c(c1)CCNC2,97,69:06900:1:PV-002505759560;69:06901:2:PV-002247031378;69:06903:1:PV-004489648831;
OC1CCC12CCOCC2,27,69:06900:1:PV-002753070136;69:06900:2:PV-002753086263;69:06900:7:PV-002505771569;
Fc1cccn2cncc12,219,69:06900:1:PV-002753070140;69:06900:8:PV-002753174757;69:06901:0:PV-002753201016;
NC1CCOC1,444,69:06900:1:PV-003158306114;69:06900:3:PV-003158368995;69:06900:4:PV-003158398304;
O=S1(=O)CC2(CCNCC2)C1,78,69:06900:1:PV-002350511043;69:06901:3:PV-002505784087;69:06902:2:PV-002753344843;
CN1CCC2NCCC2C1,310,69:06900:1:PV-003158306208;69:06900:8:PV-003158569157;69:06901:1:PV-003158652754;
Cc1ncnc2[nH]ncc12,59,69:06900:1:PV-003158306237;69:06901:8:PV-004488466818;69:06903:4:PV-004489948361;
C1COC2(C1)CCNCC2,839,69:06900:1:PV-003158306237;69:06900:1:PV-003158317409;69:06900:3:PV-003158388232;
FC1Cc2ccnn2C1,313,69:06900:1:PV-002753070217;69:06900:1:PV-002753070218;69:06900:1:PV-002753070219;
CN1CCCCC1=O,1776,69:06900:1:PV-000490387276;69:06900:2:PV-002753089461;69:06900:3:PV-002557511659;
OC1CC2CN=CN2C1,59,69:06900:1:PV-002753070260;69:06901:4:PV-003158750007;69:06904:8:PV-002753697751;
Cc1c[nH]cn1,2809,69:06900:1:PV-002753070407;69:06900:2:PV-003158326325;69:06900:2:PV-003158340829;
c1ncc2[nH]cnc2n1,440,69:06900:1:PV-003158306867;69:06900:1:PV-002753077303;69:06900:1:PV-002753077304;
c1cnc2c(c1)CNCC1CCCN21,24,69:06900:1:PV-002247008829;69:06900:1:PV-002298759234;69:06910:1:PV-003161730941;
c1ccc2sncc2c1,2815,69:06900:1:PV-002753070561;69:06900:1:PV-002753073377;69:06900:1:PV-002753073378;
CC1(O)CCNC1,530,69:06900:1:PV-003939806017;69:06900:1:PV-003939806018;69:06900:1:PV-003939806019;
Cn1ccncc1=O,993,69:06900:1:PV-002753070595;69:06900:5:PV-002753121726;69:06900:5:PV-002402269286;
NC1CCC2CC12,183,69:06900:1:PV-003158307439;69:06900:1:PV-003158313743;69:06901:0:PV-003158612851;
FC1CC2CNCCN2C1,50,69:06900:1:PV-002557507558;69:06901:6:PV-002247040844;69:06901:6:PV-003939952548;
c1cnc2cn[nH]c2c1,1374,69:06900:1:PV-003158307804;69:06900:2:PV-003158336823;69:06900:3:PV-002753097178;
O=c1cc[nH]cc1,531,69:06900:1:PV-002350511138;69:06901:2:PV-003158702225;69:06901:3:PV-003158711605;
Cc1n[nH]c2cnccc12,227,69:06900:1:PV-003158308003;69:06900:2:PV-003158328501;69:06900:2:PV-003158328502;
CC1(C)CCC1=O,131,69:06900:1:PV-002195255627;69:06900:2:PV-002753081866;69:06900:3:PV-002753094527;
CC1CC2CNCCN2C1,96,69:06900:1:PV-002753070907;69:06900:2:PV-002753077697;69:06901:2:PV-004487724082;
C1CCC2(C1)CCCN2,1013,69:06900:1:PV-003158308363;69:06900:1:PV-002753071876;69:06900:2:PV-003158344781;
C1CCN2CCCC2C1,793,69:06900:1:PV-001467024135;69:06900:1:PV-001222299547;69:06900:1:PV-001225808335;
CC1(C)CC1N,234,69:06900:1:PV-003158308665;69:06900:6:PV-003158493632;69:06900:7:PV-003158505685;
CC1CCCc2ccccc21,268,69:06900:1:PV-002454008988;69:06900:1:PV-002505759711;69:06900:2:PV-002350512618;
Oc1ccncc1F,897,69:06900:1:PV-003158308766;69:06900:1:PV-003158308767;69:06900:1:PV-003158308768;
Clc1ccc2occc2c1,371,69:06900:1:PV-001976097654;69:06901:2:PV-002753215152;69:06901:5:PV-003158782726;
Cc1ccc(F)cn1,997,69:06900:1:PV-003158308895;69:06900:1:PV-003158308896;69:06900:1:PV-003158308897;
FC1(F)COC1,28,69:06900:1:PV-003158308910;69:06912:5:PV-002754722322;69:06916:4:PV-003163916586;
O=c1nccc[nH]1,1001,69:06900:1:PV-002753071359;69:06900:1:PV-002753075126;69:06900:2:PV-003158326410;
CC12CNCC1CSC2,410,69:06900:1:PV-003158309283;69:06900:2:PV-003158353273;69:06900:2:PV-003158353474;
Clc1ccc2[nH]ncc2c1,407,69:06900:1:PV-003158309283;69:06900:3:PV-003158390454;69:06901:9:PV-002753305445;
CC1CCc2[nH]ncc2C1,32,69:06900:1:PV-002753071390;69:06900:1:PV-004486623117;69:06904:1:PV-004490691791;
C1CC2CCCC(C1)C2,1074,69:06900:1:PV-002753071406;69:06900:2:PV-002195257024;69:06900:5:PV-002753119518;
Fc1ccc2[nH]nnc2c1,393,69:06900:1:PV-002753071428;69:06900:1:PV-003158309408;69:06900:1:PV-002753071429;
C1CC2(CCN1)CNCCO2,381,69:06900:1:PV-000597631500;69:06900:3:PV-002753104637;69:06900:5:PV-003158456958;
Fc1cnccc1Cl,1190,69:06900:1:PV-003158309580;69:06900:3:PV-002557512777;69:06900:6:PV-003158487562;
ClC1=CCCCC1,2689,69:06900:1:PV-003158309659;69:06900:1:PV-003158309660;69:06900:1:PV-003158311442;
FC1CNCC12CCC2,176,69:06900:1:PV-003158309747;69:06902:2:PV-003159013271;69:06902:5:PV-002505808768;
CC1CNc2ccccc2C1=O,30,69:06900:1:PV-002753071576;69:06900:9:PV-002753179793;69:06901:9:PV-003158937626;
O=C1NCCOc2ccccc21,265,69:06900:1:PV-003158309764;69:06900:1:PV-003158318581;69:06900:1:PV-003158318582;
CN1CCCNc2cc(F)ccc21,34,69:06900:1:PV-002753071667;69:06900:4:PV-003158399785;69:06903:0:PV-002753457947;
O=C1COc2ccccc21,24,69:06900:1:PV-002753071679;69:06901:2:PV-004487726145;69:06911:4:PV-004498111265;
C1C2CC3CC1CC(C2)C3,378,69:06900:1:PV-003158310160;69:06900:5:PV-003158466026;69:06900:7:PV-004487333889;
CC1(C)CCCC1O,125,69:06900:1:PV-003939806810;69:06903:4:PV-002753511765;69:06903:4:PV-002753515509;
C1CC2CNCC2CO1,1660,69:06900:1:PV-003158310183;69:06900:2:PV-003158341971;69:06900:2:PV-003158341972;
CC1(C)CNCC(N)C1,66,69:06900:1:PV-002753071807;69:06901:2:PV-004487766349;69:06901:2:PV-004487803885;
CC1=CC(C)=NS(=O)(=O)N1,158,69:06900:1:PV-003158310444;69:06900:1:PV-003158310445;69:06900:9:PV-003158593695;
C1CC2CCCC(C1)NC2,104,69:06900:1:PV-002753071866;69:06901:8:PV-002753297797;69:06902:2:PV-003159017170;
Cc1cnn2ccccc12,235,69:06900:1:PV-003158310517;69:06900:4:PV-002753113006;69:06900:5:PV-002753127769;
c1cn2ccnc2cn1,1000,69:06900:1:PV-002753071876;69:06900:1:PV-004486763211;69:06900:2:PV-002195257615;
Cc1nncn1C,477,69:06900:1:PV-003158310671;69:06900:1:PV-003158310672;69:06900:2:PV-002298761772;
Fc1ccc2cnoc2c1,201,69:06900:1:PV-002298759472;69:06900:2:PV-003158359995;69:06901:1:PV-004487694182;
Fc1ccc2ccccc2c1,423,69:06900:1:PV-002753072083;69:06900:1:PV-003158320492;69:06900:6:PV-002753140861;
Cc1c(F)cccc1F,157,69:06900:1:PV-002753072100;69:06902:4:PV-002753377010;69:06903:3:PV-002753503406;
Cc1nc2ccccc2s1,763,69:06900:1:PV-002753072109;69:06900:1:PV-002753072387;69:06900:2:PV-003158327923;
Cn1ccc2cncnc21,210,69:06900:1:PV-002753072109;69:06901:7:PV-002753292273;69:06903:0:PV-003159295491;
FC1CC12CCCCC2,167,69:06900:1:PV-003158311213;69:06903:0:PV-003159302029;69:06903:1:PV-003159351658;
Fc1cncc(F)c1,1732,69:06900:1:PV-003158311281;69:06900:1:PV-003158311282;69:06900:1:PV-003158311283;
Oc1cnsn1,1803,69:06900:1:PV-003158311416;69:06900:2:PV-003158334323;69:06900:2:PV-003158349500;
C1CNC2(C1)CCC1(CC2)OCCO1,2,69:06900:1:PV-003158311642;69:06925:5:PV-003167015742;
Cn1cc2c(n1)CCC2,432,69:06900:1:PV-002753072363;69:06900:5:PV-001502291088;69:06901:7:PV-004488330439;
c1nc2c(s1)CCNC2,287,69:06900:1:PV-003158311877;69:06900:1:PV-003158311878;69:06900:2:PV-001251521402;
OC1CC(F)(F)C1,1403,69:06900:1:PV-003158311888;69:06900:1:PV-003158311889;69:06900:2:PV-003158334820;
CN1CCC2CCNCC21,236,69:06900:1:PV-003158311901;69:06900:3:PV-004486812782;69:06900:3:PV-003158384954;
O=S1CCNCC1,860,69:06900:1:PV-003158311905;69:06900:1:PV-003158311906;69:06900:1:PV-003158311907;
C1CNCOC1,72,69:06900:1:PV-002247009131;69:06901:2:PV-002350533147;69:06907:2:PV-003160726748;
C1CCc2nc3n(c2CC1)CCNC3,17,69:06900:1:PV-003158312080;69:06902:7:PV-003159217479;69:06907:7:PV-002350666146;
C1CCC2(CCC2)OC1,1156,69:06900:1:PV-003158312118;69:06900:5:PV-002753126982;69:06900:9:PV-002753175169;
Fc1ccc2c(c1)CCCC2,394,69:06900:1:PV-003158312338;69:06900:1:PV-003158312339;69:06900:1:PV-003158312340;
c1cnc2sccc2c1,1117,69:06900:1:PV-003158312435;69:06900:2:PV-002753077962;69:06900:6:PV-002753140304;
c1cc2c(cn1)NCCO2,76,69:06900:1:PV-002753072712;69:06902:1:PV-002753334933;69:06902:2:PV-002195298944;
Clc1ccc2c(c1)NCC2,213,69:06900:1:PV-002557507865;69:06900:5:PV-003158447686;69:06900:5:PV-003158468621;
Cc1cc(C)[nH]c(=O)c1,720,69:06900:1:PV-001975843517;69:06900:3:PV-004486899638;69:06900:6:PV-002753138713;
C1CC2(C1)CC1(CCC1)C2,210,69:06900:1:PV-003158313226;69:06901:3:PV-003158727252;69:06902:5:PV-003159169478;
CC1(C)CC(C)(C)C1N,96,69:06900:1:PV-003158313391;69:06901:2:PV-002753215152;69:06902:1:PV-002753339588;
CC1CCC2(CC1)OCCO2,306,69:06900:1:PV-002753073098;69:06900:1:PV-002247009864;69:06900:4:PV-004486935989;
Cc1nc2ccccc2c(=O)n1C,122,69:06900:1:PV-003158313759;69:06900:4:PV-003158402056;69:06901:3:PV-002753237446;
Nc1ccc(Cl)cn1,198,69:06900:1:PV-002753073168;69:06900:4:PV-002298766368;69:06900:8:PV-002350525842;
O=c1ccc2ccncc2[nH]1,65,69:06900:1:PV-002753073192;69:06901:1:PV-002753213379;69:06902:5:PV-002753393259;
Cc1ccc(O)c(C)c1,380,69:06900:1:PV-002505760016;69:06900:3:PV-002091766463;69:06900:4:PV-004487058605;
c1cc2c(cn1)CCCC2,642,69:06900:1:PV-003158314351;69:06900:2:PV-003158334009;69:06900:3:PV-001588648303;
CC1=CCCCO1,1846,69:06900:1:PV-001220886383;69:06900:1:PV-001256348770;69:06900:1:PV-001224396564;
NC1CCNCC1,435,69:06900:1:PV-002753073382;69:06900:1:PV-002753073711;69:06900:8:PV-003158543890;
CC1CCc2nccn2C1,281,69:06900:1:PV-003158314526;69:06900:7:PV-003158529853;69:06901:1:PV-003158643352;
Cc1cc(O)no1,945,69:06900:1:PV-003158314617;69:06900:3:PV-004486798542;69:06900:5:PV-003158459211;
NC1CCNc2ccc(Cl)cc21,31,69:06900:1:PV-002753073460;69:06900:2:PV-002753086833;69:06901:0:PV-003158633358;
O=c1s[nH]c2ccccc12,15,69:06900:1:PV-003158314758;69:06912:6:PV-003162604408;69:06912:6:PV-003162604409;
O=S1(=O)CCNCC1,1123,69:06900:1:PV-002557507986;69:06900:1:PV-004486641864;69:06900:2:PV-002091763806;
Cn1ncc2c1CNC2,92,69:06900:1:PV-002753073558;69:06901:4:PV-002753248395;69:06901:7:PV-003158852950;
c1ccc2c(c1)CCC21CC1,76,69:06900:1:PV-002454009365;69:06900:3:PV-002753104681;69:06901:7:PV-002298792050;
Cc1nnc2n1CCC2,412,69:06900:1:PV-003158315020;69:06900:1:PV-004486654124;69:06900:5:PV-002753131319;
Clc1cccc2c1CCNC2,227,69:06900:1:PV-002505760077;69:06900:3:PV-002091767021;69:06900:4:PV-003158427274;
Clc1cccc2nsnc12,247,69:06900:1:PV-002753073675;69:06900:1:PV-003158316685;69:06900:1:PV-004486700993;
C1CCC2(C1)CCCO2,491,69:06900:1:PV-003158315201;69:06901:1:PV-004487673706;69:06901:7:PV-002091796336;
OC1CNCC2(CCCC2)C1,89,69:06900:1:PV-002753073752;69:06901:4:PV-002091789301;69:06901:9:PV-002753317693;
Fc1cc2c(cc1F)NCC2,105,69:06900:1:PV-003158315401;69:06902:2:PV-003159019153;69:06906:3:PV-003160421197;
Cn1ncc2ccsc21,383,69:06900:1:PV-003158315405;69:06900:1:PV-003158315406;69:06900:4:PV-002454015639;
O=C1CC2(CCOCC2)CN1,50,69:06900:1:PV-003158315575;69:06900:1:PV-002753077569;69:06901:6:PV-003158836924;
O=S1(=O)C=CNC=C1,103,69:06900:1:PV-003158315660;69:06900:8:PV-004487371573;69:06901:6:PV-003158807729;
O=c1nn[nH][nH]1,476,69:06900:1:PV-003158315682;69:06900:1:PV-003158315683;69:06900:1:PV-003158315685;
CN1CCCC12CCCC2,122,69:06900:1:PV-002753073914;69:06901:1:PV-004487684037;69:06901:3:PV-002753234214;
Clc1cc2[nH]ccc2s1,358,69:06900:1:PV-003158315715;69:06900:1:PV-002753073917;69:06900:7:PV-002753146879;
CC1CCC1(C)C,255,69:06900:1:PV-002091763152;69:06900:9:PV-004487403523;69:06903:4:PV-002454077199;
Nc1noc2ccccc12,200,69:06900:1:PV-002091763152;69:06900:2:PV-002753087384;69:06900:5:PV-002402269596;
Fc1ccc2scnc2c1,388,69:06900:1:PV-003158315778;69:06900:2:PV-003158356536;69:06900:4:PV-002143516294;
CC1(C)COc2ccccc21,425,69:06900:1:PV-002091763159;69:06900:6:PV-002195265772;69:06900:6:PV-002557517896;
CN=S1(=O)CCCC2(CCCN2)C1,2,69:06900:1:PV-003158316030;69:06940:2:PV-004527414692;
Nc1ccnc(O)c1,483,69:06900:1:PV-003158316030;69:06900:2:PV-002753093587;69:06900:6:PV-004487232882;
Cc1cccc2c1CCCC2,208,69:06900:1:PV-003939808554;69:06900:1:PV-003158316972;69:06900:9:PV-001966213735;
Oc1cncc(Cl)c1,142,69:06900:1:PV-003158316513;69:06900:4:PV-002753116800;69:06902:1:PV-002753333922;
Cc1c[nH]c(=O)[nH]1,2438,69:06900:1:PV-003158316536;69:06900:1:PV-004486685774;69:06900:2:PV-001470019854;
NC1CC2CCC1C2,521,69:06900:1:PV-003158316556;69:06901:1:PV-003158644893;69:06901:4:PV-004487916963;
Cc1cn2c(n1)C(C)CCC2,142,69:06900:1:PV-003158316585;69:06901:1:PV-003158670827;69:06901:7:PV-003158860460;
Nc1cncnc1Cl,126,69:06900:1:PV-003158316671;69:06901:3:PV-003158713742;69:06901:3:PV-003158717672;
Cc1cc2n(n1)CCCC2,95,69:06900:1:PV-003158316685;69:06901:1:PV-003158660723;69:06901:5:PV-004488154981;
Clc1ccc2cc[nH]c2c1,898,69:06900:1:PV-003158316722;69:06900:3:PV-002753095631;69:06900:4:PV-002505765307;
CC1CSCCN1,254,69:06900:1:PV-003158316752;69:06900:1:PV-003158316753;69:06900:1:PV-002454009465;
Clc1ccc2c(c1)OCCC2,328,69:06900:1:PV-002247009425;69:06900:3:PV-003158379648;69:06900:6:PV-004487116327;
CC1=CCCCC1,2753,69:06900:1:PV-003158316946;69:06900:1:PV-004486726264;69:06900:1:PV-004486726265;
c1ccc2c(c1)CCOC2,2475,69:06900:1:PV-002402261603;69:06900:1:PV-004486730135;69:06900:2:PV-002753084168;
c1ccn2cncc2c1,3713,69:06900:1:PV-002402261603;69:06900:1:PV-004486625407;69:06900:1:PV-004486766568;
Cc1cncc(F)c1,2081,69:06900:1:PV-003158317074;69:06900:2:PV-003158355638;69:06900:2:PV-003158355639;
Cc1cc(=O)n(C)cn1,190,69:06900:1:PV-003158317088;69:06900:1:PV-004486750851;69:06900:1:PV-004486750852;
CN1CCNc2c(F)cccc21,84,69:06900:1:PV-002753074463;69:06900:5:PV-002753130279;69:06901:2:PV-002753223343;
Oc1cccc(Cl)c1F,380,69:06900:1:PV-002753074463;69:06900:6:PV-002402271271;69:06900:7:PV-002195267705;
c1ccc2c(c1)CCCCN2,336,69:06900:1:PV-003158317154;69:06900:1:PV-002454009487;69:06900:1:PV-002505760207;
Cc1ccnc(C)n1,2533,69:06900:1:PV-002402261636;69:06900:2:PV-003158326008;69:06900:2:PV-002195258098;
CC1Cc2ccccc2CN1,136,69:06900:1:PV-003158317424;69:06900:5:PV-002753125197;69:06901:9:PV-002753319892;
Cc1nc2c([nH]1)C1CCCNC1CC2,86,69:06900:1:PV-003158317488;69:06900:4:PV-003158414638;69:06901:3:PV-003158732082;
Cc1cn2ccsc2n1,787,69:06900:1:PV-002402261664;69:06900:2:PV-003158364936;69:06900:2:PV-003158364937;
Cc1ccc(F)cc1Cl,276,69:06900:1:PV-003158317836;69:06900:5:PV-003158444291;69:06900:9:PV-003158603560;
Cc1ccc2c(c1)CCNC2,98,69:06900:1:PV-002350511727;69:06902:6:PV-004489155569;69:06903:2:PV-002505822647;
C1CC2CCC1CN2,2773,69:06900:1:PV-003158318009;69:06900:1:PV-004486733213;69:06900:3:PV-002753098360;
FC1CNCCOC1,715,69:06900:1:PV-003158318058;69:06900:2:PV-003158331145;69:06900:2:PV-003158331146;
Oc1ccc(Cl)cc1,1193,69:06900:1:PV-002753074843;69:06900:2:PV-002402262539;69:06900:2:PV-002753083141;
FC1(F)C2CCCC1CC2,159,69:06900:1:PV-002753074873;69:06900:3:PV-004486851740;69:06901:1:PV-004487658067;
