fragment_smiles,occurences,example_ligands
C1CC2CC2CCN1,286,49:04900:0:Z3352218371;49:04900:0:Z3359165866;49:04900:4:Z5048705187;
c1ccncc1,371857,49:04900:0:Z3055313068;49:04900:0:Z3381997790;49:04900:0:Z874711596;
Cc1cccnc1,22507,49:04900:0:Z2192816967;49:04900:0:Z2175320215;49:04900:0:Z3655938294;
Cc1nnn[nH]1,1172,49:04900:0:Z3512972145;49:04900:0:Z1230533891;49:04900:0:Z1548751987;
C1CCCC1,133404,49:04900:0:Z3763659852;49:04900:0:Z1667231667;49:04900:0:Z4092554017;
Clc1ccccc1,176425,49:04900:0:Z3763659852;49:04900:0:Z2498047500;49:04900:0:Z5020155947;
C1CCSC1,9023,49:04900:0:Z2899277866;49:04900:0:Z3708240746;49:04900:0:Z1442421409;
Clc1cccnc1,20840,49:04900:0:Z2899277866;49:04900:0:Z2669674374;49:04900:0:Z3653302738;
c1nnc2n1CCC2,2709,49:04900:0:Z3715093753;49:04900:0:Z3493959370;49:04900:0:Z3437575463;
CC1(C)CCCC(C)(C)O1,1300,49:04900:0:Z3348168706;49:04900:0:Z3081699946;49:04900:1:Z3586891836;
c1nnco1,26054,49:04900:0:Z3348168706;49:04900:0:Z3285826224;49:04900:0:Z3521347359;
CC1CCCO1,11897,49:04900:0:Z3348168706;49:04900:0:Z3635068955;49:04900:0:Z3635074250;
Fc1ccccc1,249821,49:04900:0:Z1610150492;49:04900:0:Z1615210597;49:04900:0:Z4443118901;
Cc1cn[nH]n1,2654,49:04900:0:Z2927054620;49:04900:0:Z4101439188;49:04900:0:Z2407723525;
Cc1ccc2scnc2n1,157,49:04900:0:Z4620926643;49:04901:6:Z1839642336;49:04902:3:Z4620908886;
CC1CCCCO1,5695,49:04900:0:Z2406563597;49:04900:0:Z3472049662;49:04900:0:Z3537471298;
CC1CCc2ncncc2C1,113,49:04900:0:Z3088133039;49:04900:3:Z3088133924;49:04900:8:Z3603008752;
CN1CCCS1(=O)=O,1221,49:04900:0:Z3088133039;49:04900:0:Z2453607149;49:04900:0:Z3054414301;
NC1CCCc2ccccc2C1,154,49:04900:0:Z3517937570;49:04900:2:Z3519177147;49:04900:8:Z3517237273;
NC1CCCC1,3004,49:04900:0:Z4212147032;49:04900:0:Z4212162243;49:04900:0:Z3104959724;
c1ccc2c(c1)CNCC1(CNC1)O2,56,49:04900:0:Z4212147032;49:04900:0:Z4212162243;49:04901:3:Z4212142410;
c1ccc2ocnc2c1,6043,49:04900:0:Z3674031292;49:04900:0:Z4359076848;49:04900:0:Z1901638839;
C1CCOC1,141575,49:04900:0:Z3674031292;49:04900:0:Z4285361738;49:04900:0:Z1984034849;
FC1(F)CCOCC1,2016,49:04900:0:Z3818587705;49:04900:0:Z3841269140;49:04900:1:Z4611048474;
OC1CCNC1,24361,49:04900:0:Z5037764575;49:04900:0:Z4297863214;49:04900:0:Z5038034751;
CC1CNC2CCCCC2O1,205,49:04900:0:Z1207732310;49:04900:0:Z2317877698;49:04900:3:Z4612975825;
c1ccc2[nH]cnc2c1,13899,49:04900:0:Z1207732310;49:04900:0:Z409548890;49:04900:0:Z1177016551;
Cc1ccn(C)n1,12650,49:04900:0:Z3406753575;49:04900:0:Z3285826224;49:04900:0:Z4156370170;
CC1CCNC1,20740,49:04900:0:Z2498047500;49:04900:0:Z4006238943;49:04900:0:Z3831504288;
C1COCCN1,118320,49:04900:0:Z2498047500;49:04900:0:Z1563200395;49:04900:0:Z747592792;
Cc1cc2ccccc2n1C,558,49:04900:0:Z3783028192;49:04900:3:Z3780906479;49:04901:0:Z3204869869;
c1cscn1,161469,49:04900:0:Z4346353960;49:04900:0:Z1130342407;49:04900:0:Z1744630335;
CN1CCCC1=O,9402,49:04900:0:Z3207350711;49:04900:0:Z3206106606;49:04900:0:Z2330456580;
Oc1ccccc1,37703,49:04900:0:Z3207350711;49:04900:0:Z3206106606;49:04900:0:Z2330456580;
Cn1ncc2c1CCCC2,2411,49:04900:0:Z1985807222;49:04900:0:Z2803704293;49:04900:0:Z2269047347;
Fc1cccnc1,27214,49:04900:0:Z3696493426;49:04900:0:Z4476228546;49:04900:0:Z2876578572;
CC1CNCCN1,12366,49:04900:0:Z1883369895;49:04900:0:Z1784203958;49:04900:0:Z1765913895;
c1ccc2c(c1)NCC21CC1,183,49:04900:0:Z1883369895;49:04900:9:Z3407129090;49:04901:3:Z3081595539;
CC1CCN1,2649,49:04900:0:Z3712889260;49:04900:0:Z3653583894;49:04900:0:Z4305260008;
Fc1cccc2ccccc12,933,49:04900:0:Z3712889260;49:04900:2:Z2826464662;49:04900:3:Z3795344617;
c1cc2c3c(c1)CNCC3CCC2,105,49:04900:0:Z4169552467;49:04900:2:Z3601338653;49:04901:8:Z3620732576;
c1c[nH]cn1,71321,49:04900:0:Z3867513761;49:04900:0:Z3806323552;49:04900:0:Z4075793192;
C1CC2CC1CO2,4710,49:04900:0:Z4610449953;49:04900:0:Z4477510527;49:04900:0:Z4489201587;
c1nn[nH]n1,30355,49:04900:0:Z4443118901;49:04900:0:Z1129696520;49:04900:0:Z4380564225;
Cc1ccn[nH]1,30686,49:04900:0:Z1773613944;49:04900:0:Z4476228546;49:04900:0:Z2910951627;
c1nncs1,31675,49:04900:0:Z1773613944;49:04900:0:Z4304706726;49:04900:0:Z4474289131;
CC1CCOCCN1,376,49:04900:0:Z1773613944;49:04900:0:Z1587657549;49:04900:1:Z3574407550;
Cc1ccon1,13290,49:04900:0:Z742183164;49:04900:0:Z4923692758;49:04900:0:Z4923692559;
Cc1ccc2c(c1)COCC2,259,49:04900:0:Z5006652055;49:04900:0:Z5004666516;49:04900:2:Z5006582951;
C1CNCCOC1,13763,49:04900:0:Z5006652055;49:04900:0:Z3708448426;49:04900:0:Z4254316384;
Cc1cc(Cl)[nH]n1,1914,49:04900:0:Z3058209587;49:04900:0:Z729937924;49:04900:0:Z1070635744;
CC1CCC1,7265,49:04900:0:Z4039728071;49:04900:0:Z4431891296;49:04900:0:Z3621024014;
Nc1ncnc2[nH]cnc12,508,49:04900:0:Z2635686972;49:04900:1:Z2663463558;49:04900:1:Z4459245807;
C1CCCOCC1,1738,49:04900:0:Z2635686972;49:04900:0:Z3441496331;49:04900:1:Z4392312672;
c1cc2c(s1)CCCC2,1999,49:04900:0:Z4860715524;49:04900:0:Z1396274074;49:04900:0:Z1449316982;
Cc1cc(C)cc(C)c1,3059,49:04900:0:Z1653678928;49:04900:0:Z3666550504;49:04900:0:Z3318047073;
C1COCC2(CCOCC2)CN1,323,49:04900:0:Z1653678928;49:04901:0:Z2149394890;49:04901:2:Z3527171074;
c1cncnc1,85566,49:04900:0:Z1852295329;49:04900:0:Z2617921782;49:04900:0:Z4470794181;
Cc1cn2c(n1)CNCC2,429,49:04900:0:Z1648874057;49:04900:0:Z1645050024;49:04900:2:Z1642609816;
c1cocn1,51745,49:04900:0:Z4285361738;49:04900:0:Z5012912717;49:04900:0:Z2109446728;
Clc1cnc2ccccc2c1,244,49:04900:0:Z2173213051;49:04900:1:Z3856223784;49:04901:9:Z2783468767;
c1cc2c(o1)CNCC2,96,49:04900:0:Z4415782529;49:04900:1:Z4414910536;49:04900:3:Z1367458975;
C1CCCNCC1,23540,49:04900:0:Z2972240028;49:04900:0:Z4217084595;49:04900:0:Z2617921782;
c1cnccn1,30122,49:04900:0:Z2972240028;49:04900:0:Z2258992391;49:04900:0:Z4211210304;
Cc1ccnn1C,9736,49:04900:0:Z4444644993;49:04900:0:Z4470897055;49:04900:0:Z3298316293;
c1ccsc1,126294,49:04900:0:Z2978461506;49:04900:0:Z3495942515;49:04900:0:Z1303452479;
c1c[nH]nn1,80993,49:04900:0:Z3569261626;49:04900:0:Z2897650296;49:04900:0:Z3640982378;
C1CC2(C1)CC1CCC2C1,55,49:04900:0:Z3569261626;49:04901:0:Z4771339352;49:04902:8:Z4003689517;
O=C1CSc2ccccc2N1,1725,49:04900:0:Z4026520655;49:04900:1:Z2105846652;49:04900:1:Z2595003591;
C1C2CC1C2,4040,49:04900:0:Z4248831704;49:04900:0:Z4021822700;49:04900:0:Z4017860056;
O=C1CCCc2occc21,312,49:04900:0:Z2483837404;49:04900:8:Z3384193278;49:04901:4:Z2254993307;
FC1CNCC12COC2,463,49:04900:0:Z2713875294;49:04900:0:Z4049965878;49:04900:3:Z3837015041;
Cc1ccccn1,29488,49:04900:0:Z2963128845;49:04900:0:Z2436177702;49:04900:0:Z3554104609;
C1CCOCC1,150033,49:04900:0:Z2963128845;49:04900:0:Z3351946531;49:04900:0:Z3504335930;
O=C1Cc2ccccc2N1,2837,49:04900:0:Z2932813290;49:04900:0:Z4124179054;49:04900:0:Z1522873097;
Cn1ccnn1,13893,49:04900:0:Z2932813290;49:04900:0:Z3340960953;49:04900:0:Z3441669133;
Cc1cnc2ccccc2n1,636,49:04900:0:Z4492022880;49:04900:1:Z4488149928;49:04900:1:Z2368560582;
CC1CC=NO1,1705,49:04900:0:Z4492022880;49:04900:0:Z4198320566;49:04900:0:Z3874890361;
O=C1CCOc2ccccc21,1303,49:04900:0:Z3599026664;49:04900:2:Z2358523674;49:04900:3:Z3544420009;
O=C1CCCN1,62856,49:04900:0:Z3599026664;49:04900:0:Z1872866086;49:04900:0:Z4023176803;
Cc1cnn[nH]1,4635,49:04900:0:Z3409594672;49:04900:0:Z4307702308;49:04900:0:Z2223528656;
Cc1cccs1,15093,49:04900:0:Z3285826224;49:04900:0:Z4211210304;49:04900:0:Z3537618875;
Cc1cscn1,36132,49:04900:0:Z3780838024;49:04900:0:Z5021479496;49:04900:0:Z2335251567;
C1CSCCN1,11115,49:04900:0:Z3780838024;49:04900:0:Z2406942842;49:04900:0:Z4668804978;
c1cc2n(n1)CCCC2,6840,49:04900:0:Z3554619719;49:04900:0:Z3714117822;49:04900:0:Z2113598734;
C1=CSCCO1,360,49:04900:0:Z4373404118;49:04900:1:Z2802128237;49:04900:1:Z2802128463;
Cc1ncnc2ccccc12,554,49:04900:0:Z4373404118;49:04900:1:Z3648827554;49:04900:5:Z4154263289;
Cc1cccc2c1C(=O)NCN2,17,49:04900:0:Z729937924;49:04900:3:Z1898894296;49:04910:2:Z1827977909;
O=S1(=O)CCCC1,13524,49:04900:0:Z3175508586;49:04900:0:Z649309262;49:04900:0:Z3618903702;
Cc1ccco1,22526,49:04900:0:Z1784269352;49:04900:0:Z1954700533;49:04900:0:Z1312366696;
O=c1[nH]nc2n1CCNC2,521,49:04900:0:Z1784269352;49:04900:0:Z2612425620;49:04900:0:Z2361299075;
Cc1ccc2nccn2c1,1431,49:04900:0:Z3800395411;49:04900:0:Z2075682672;49:04900:0:Z2979504835;
Cc1ccoc1,7205,49:04900:0:Z3911975661;49:04900:0:Z3643697740;49:04900:0:Z2295260025;
C1CC2(C1)CCC2,14063,49:04900:0:Z3911975661;49:04900:0:Z3643697740;49:04900:0:Z3806323552;
OC1CCCNC1,10127,49:04900:0:Z4304706726;49:04900:0:Z4115061261;49:04900:0:Z4116000326;
C1CNCCN1,113318,49:04900:0:Z1872866086;49:04900:0:Z4431891296;49:04900:0:Z103871750;
CC1Cc2ccccc2O1,3690,49:04900:0:Z3481998279;49:04900:0:Z5023855763;49:04900:1:Z3796117452;
O=C1CCCCN1,25744,49:04900:0:Z3481998279;49:04900:0:Z3612998085;49:04900:0:Z3509955279;
Fc1cccc(F)c1,46420,49:04900:0:Z3612998085;49:04900:0:Z2371075486;49:04900:0:Z4272454226;
CC1(C)Cc2ccccc2O1,2121,49:04900:0:Z4582609755;49:04900:0:Z2453253907;49:04900:0:Z2637131601;
C1CCC2CNC2CC1,256,49:04900:0:Z5043672406;49:04900:6:Z1802368797;49:04901:4:Z4319786050;
C1CNCC2(C1)OCCO2,437,49:04900:0:Z2634433674;49:04900:1:Z1560938803;49:04900:5:Z2310825746;
c1ccc2[nH]ccc2c1,23806,49:04900:0:Z2073166183;49:04900:0:Z1570593733;49:04900:0:Z3773927889;
FC1(F)CC2(CNC2)C1,183,49:04900:0:Z2073166183;49:04900:6:Z1535950830;49:04901:0:Z2412985504;
Cn1ncc2cc(F)ccc21,217,49:04900:0:Z3351946531;49:04900:5:Z3553014733;49:04900:9:Z3356502468;
Cc1ccccc1C,13292,49:04900:0:Z1563200395;49:04900:0:Z4178207828;49:04900:0:Z1744339494;
Cn1cnc2ccccc2c1=O,807,49:04900:0:Z3299577130;49:04900:0:Z3574312302;49:04900:1:Z2791626089;
FC1(F)CC12CC2,2294,49:04900:0:Z3299577130;49:04900:0:Z4250101649;49:04900:0:Z4771641624;
c1cc2c(cn1)OCCO2,664,49:04900:0:Z2406942842;49:04900:2:Z3394717210;49:04900:4:Z3177442706;
Cc1ncccn1,7742,49:04900:0:Z4621077995;49:04900:0:Z4621078112;49:04900:0:Z4621069906;
c1ccc2ncccc2c1,18262,49:04900:0:Z1506112252;49:04900:0:Z3809495518;49:04900:0:Z3520005737;
c1cc2c3c(cccc3c1)CC2,177,49:04900:0:Z4149706129;49:04900:0:Z2986612521;49:04900:0:Z2982165752;
Cc1noc2ncccc12,1370,49:04900:0:Z3081699946;49:04900:0:Z1589231087;49:04900:0:Z3611230570;
C1CC2(CCN1)CC2,3445,49:04900:0:Z4007558627;49:04900:0:Z2637138756;49:04900:1:Z3774293875;
CS(C)(=N)=O,4567,49:04900:0:Z3060425926;49:04900:0:Z3366383424;49:04900:1:Z4267161171;
