fragment_smiles,occurences,example_ligands
Cc1cn2cccc(F)c2n1,245,49:04900:1:Z3670132098;49:04900:1:Z3629965410;49:04900:1:Z3703875413;
Cn1ncc2c(c1=O)CCNC2,299,49:04900:1:Z3816012928;49:04900:2:Z3833632369;49:04900:3:Z3889126729;
C1CNCCSC1,1701,49:04900:1:Z2955840335;49:04900:1:Z3087683640;49:04900:1:Z2656415565;
Oc1ccc2ccccc2n1,892,49:04900:1:Z4467260459;49:04900:4:Z2392600519;49:04900:6:Z2146596389;
Fc1ccc2c(c1)CC2,385,49:04900:1:Z4113613688;49:04900:7:Z4055324124;49:04900:8:Z1952668370;
Cc1cc(=O)cc[nH]1,988,49:04900:1:Z2027555952;49:04900:2:Z1313056182;49:04900:2:Z2121696857;
Fc1ccoc1,191,49:04900:1:Z4020799955;49:04900:6:Z4021789299;49:04901:2:Z4022122151;
CC12CNCC1(C)CNC2,262,49:04900:1:Z2791330291;49:04901:5:Z2791376771;49:04901:7:Z3133163976;
Fc1cc(F)c2c(c1)CCO2,244,49:04900:1:Z4486897492;49:04900:4:Z4487539722;49:04900:5:Z4489697620;
CC1CCCCN1C,1822,49:04900:1:Z4885027704;49:04900:2:Z1656398703;49:04900:2:Z3378327041;
O=c1[nH]cncc1Cl,119,49:04900:1:Z2091028133;49:04900:1:Z2091936426;49:04900:9:Z2092083044;
c1nc2c(o1)CCCC2,424,49:04900:1:Z2794729882;49:04900:1:Z2790671237;49:04900:4:Z3370938098;
Cc1ccn(C)c1,555,49:04900:1:Z3528259956;49:04900:2:Z4153953705;49:04900:5:Z1786746362;
Cc1cnc(C)o1,1239,49:04900:1:Z4140139816;49:04900:2:Z1550753019;49:04900:3:Z4024035645;
CN1CCc2ccccc2C1,963,49:04900:1:Z4603146977;49:04900:1:Z1522087133;49:04900:1:Z4883801147;
O=c1cnc2ccccc2[nH]1,704,49:04900:1:Z4335228477;49:04900:1:Z2506099071;49:04900:5:Z4200443295;
O=C1C2CC3CC(C2)CC1C3,27,49:04900:1:Z3438297576;49:04900:2:Z3352441507;49:04901:4:Z4571880919;
NC1CC2CCC(C1)C2,588,49:04900:1:Z2361805795;49:04900:1:Z2362463077;49:04900:5:Z3799568515;
O=C1CC2NCCCC2N1,372,49:04900:1:Z3878499220;49:04900:1:Z3614937107;49:04900:3:Z3590579260;
Clc1noc2ccccc12,110,49:04900:1:Z2774614972;49:04901:6:Z2918473641;49:04902:0:Z2234686525;
CC1C2CNC1C2,54,49:04900:1:Z2610102782;49:04902:3:Z3339583579;49:04902:4:Z4824854383;
Clc1cccnn1,1065,49:04900:1:Z1899468493;49:04900:2:Z4668220577;49:04900:2:Z2089856183;
O=c1[nH]c(=O)c2cccnc2[nH]1,137,49:04900:1:Z1497247223;49:04900:6:Z2228091517;49:04900:9:Z1571336651;
Cc1coc2ccccc12,1948,49:04900:1:Z4200340985;49:04900:1:Z4913236077;49:04900:2:Z2269098170;
CC1(C)CC(C)(C)C1,156,49:04900:1:Z4089784561;49:04900:9:Z4295792391;49:04900:9:Z4089784836;
c1cn2cnnc2cn1,1025,49:04900:1:Z4089784561;49:04900:1:Z3539010390;49:04900:2:Z3298940841;
CC1CN(C)CC(C)N1,145,49:04900:1:Z3608660098;49:04900:1:Z3621180966;49:04900:7:Z4906615858;
O=c1ccc(Cl)c[nH]1,149,49:04900:1:Z4084549736;49:04900:9:Z4081745616;49:04901:0:Z4084470604;
C1CCC2(C1)CNCC1(CCC1)O2,142,49:04900:1:Z4084549736;49:04901:4:Z4275066581;49:04903:6:Z3916043193;
CN1CC2(CCNC2)C1,282,49:04900:1:Z4275275873;49:04900:5:Z1937209489;49:04900:8:Z4192089752;
CN1CCCC(C)(C)C1,730,49:04900:1:Z1929700741;49:04900:1:Z1932154234;49:04900:2:Z4468730380;
Cn1c(=O)cc[nH]c1=O,953,49:04900:1:Z920913790;49:04900:5:Z1658158816;49:04900:5:Z2297972982;
Cc1cccc2c(=O)[nH]cnc12,268,49:04900:1:Z1646046328;49:04900:6:Z2283325967;49:04900:7:Z1961165099;
C1=Cc2ccccc2CC1,686,49:04900:1:Z3538044244;49:04900:2:Z3586516607;49:04900:2:Z3906900555;
C1CC2CCC1C1CNCC21,10,49:04900:1:Z4267161171;49:04902:7:Z2643401951;49:04916:6:Z4983933422;
Cc1cc2ccccc2cn1,489,49:04900:1:Z3522897263;49:04900:2:Z3654768976;49:04900:6:Z3982694349;
O=c1[nH]ccs1,968,49:04900:1:Z1722312071;49:04900:1:Z3622825582;49:04900:2:Z1941724219;
Fc1ccncc1Cl,78,49:04900:1:Z4331198288;49:04900:6:Z4233447340;49:04902:3:Z4228526834;
O=c1[nH]ccc2ccncc12,125,49:04900:1:Z2169459801;49:04902:0:Z2034622555;49:04904:4:Z4304800657;
Oc1cccc2occc12,335,49:04900:1:Z4598371461;49:04900:9:Z2880293986;49:04900:9:Z2500681489;
Fc1c(Cl)ccc2c1CNCC2,140,49:04900:1:Z3078970704;49:04901:1:Z4447930261;49:04901:9:Z3832647241;
c1cnc2cc[nH]c2c1,1729,49:04900:1:Z3532613518;49:04900:2:Z3666761185;49:04900:2:Z4329860651;
O=S1(=O)C2CCNCC1CC2,338,49:04900:1:Z2807715942;49:04900:4:Z3200794622;49:04900:5:Z2720026246;
CC1CNC(C)C(C)N1,18,49:04900:1:Z2438048280;49:04908:8:Z2473803197;49:04909:4:Z2601606910;
CC1CNCC(C)S1(=O)=O,380,49:04900:1:Z3354774484;49:04900:1:Z5044242163;49:04900:2:Z4025916776;
CC1CCCc2nccn21,912,49:04900:1:Z4137405779;49:04900:2:Z4142165732;49:04900:2:Z2802999159;
CC1CCNCCS1=O,353,49:04900:1:Z1867074329;49:04900:9:Z4025811515;49:04900:9:Z1867920075;
C1CCC2CCC2C1,800,49:04900:1:Z2841090599;49:04900:6:Z4507970443;49:04900:6:Z4490819979;
CC1CC2(C1)OCCO2,137,49:04900:1:Z4481349794;49:04900:3:Z4481826226;49:04901:6:Z4481148809;
Nc1ncnc2sc3c(c12)CCCC3,58,49:04900:1:Z97144526;49:04903:5:Z2273423388;49:04905:6:Z3882750683;
O=C1CCC12CCC(F)(F)CC2,186,49:04900:1:Z5034280326;49:04900:2:Z5037757146;49:04900:6:Z5033464797;
c1ccc2c(c1)CCC1CNC21,149,49:04900:1:Z4466641325;49:04901:2:Z4478534285;49:04901:4:Z4478529510;
Cn1cc2c(n1)CCSC2,577,49:04900:1:Z2877126409;49:04900:1:Z2862210554;49:04900:2:Z2838627408;
O=C1CCC2CCCCN12,834,49:04900:1:Z4216356828;49:04900:1:Z2286607510;49:04900:3:Z2358945578;
c1ccc2c(c1)CCCCCN2,100,49:04900:1:Z1265516741;49:04901:6:Z3536880949;49:04902:1:Z4113357194;
Cn1cncc1Cl,2371,49:04900:1:Z209839162;49:04900:1:Z3309049709;49:04900:1:Z1620317180;
CC1CCc2ccccc2N1,826,49:04900:1:Z2793655452;49:04900:1:Z3585549248;49:04900:3:Z4319318874;
O=S1(=O)CCCCCC1,473,49:04900:1:Z2793655452;49:04901:0:Z3392804393;49:04901:4:Z2793751313;
Cc1ccc(F)cc1C,354,49:04900:1:Z5045515395;49:04900:3:Z5043081544;49:04900:8:Z5045262047;
Fc1ccc2c(c1)CCCS2,272,49:04900:1:Z1554278114;49:04900:7:Z4286207453;49:04900:9:Z3434040171;
C1CC2CNCC1O2,1473,49:04900:1:Z3641185557;49:04900:1:Z2161581875;49:04900:1:Z2505012914;
Cc1ccc2c(c1C)OCC2,245,49:04900:1:Z1479212411;49:04901:3:Z1689635523;49:04901:4:Z4008258115;
Cc1ccc2nc(C)ccc2c1,308,49:04900:1:Z71165816;49:04900:6:Z826089676;49:04901:2:Z30809844;
Cn1cc2c(n1)CCOC2,928,49:04900:1:Z2921135834;49:04900:2:Z2921007915;49:04900:3:Z3626622521;
c1ccc2c(c1)CCC1(CCNCC1)C2,38,49:04900:1:Z2722066780;49:04902:7:Z3312800328;49:04903:5:Z2473576752;
O=c1[nH]cnc2cc(Cl)ccc12,218,49:04900:1:Z1328995506;49:04900:6:Z1263959212;49:04900:8:Z400798044;
OC1CCSCC1,768,49:04900:1:Z1549753321;49:04900:2:Z4076330359;49:04900:2:Z2837570019;
Cc1ccc2c(n1)CCCC2,421,49:04900:1:Z4263910818;49:04900:2:Z2977331175;49:04900:4:Z3775775250;
OC1CC2NCCC12,328,49:04900:1:Z4402437599;49:04900:1:Z4403171228;49:04900:1:Z4477284422;
C1CCCSCC1,698,49:04900:1:Z3362385621;49:04900:1:Z3683808818;49:04900:2:Z3509422093;
c1cnc2nccnc2c1,803,49:04900:1:Z2487332465;49:04900:7:Z2805267909;49:04901:1:Z3585623152;
c1scc2c1CCC2,648,49:04900:1:Z3667020108;49:04900:1:Z3908970542;49:04900:1:Z3908986990;
Fc1cc2c(s1)CCOC2,324,49:04900:1:Z4481802857;49:04900:5:Z4622941343;49:04900:6:Z2793636108;
O=C1NS(=O)(=O)c2ccccc21,334,49:04900:1:Z2042266447;49:04900:2:Z5057848559;49:04901:1:Z3341405274;
CC1(C)COC1,726,49:04900:1:Z3783440312;49:04900:1:Z4285354834;49:04900:2:Z3658053647;
c1[nH]nc2c1CCCC2,2218,49:04900:1:Z4313301186;49:04900:1:Z4045251282;49:04900:1:Z1349473586;
O=C1CNCN1,2570,49:04900:1:Z2011703449;49:04900:2:Z3085607857;49:04900:2:Z2600552608;
CC1CCNCC(C)O1,463,49:04900:1:Z2620431539;49:04900:3:Z2914499417;49:04900:7:Z3569099218;
Oc1ccc2c(c1)CCNC2,520,49:04900:1:Z3830095257;49:04900:1:Z3059885689;49:04900:3:Z2863824644;
CC1CCNCCC1(F)F,273,49:04900:1:Z3501508224;49:04900:1:Z3626719885;49:04900:4:Z4347067180;
NC1CC2(CCCCC2)C1,509,49:04900:1:Z4064074038;49:04900:1:Z4063124797;49:04900:7:Z4003423155;
CC1CN(C)CCN1C,392,49:04900:1:Z2291937586;49:04900:1:Z4291906331;49:04900:4:Z2617383651;
CC1=CCNCC1,196,49:04900:1:Z2012090003;49:04900:2:Z4198777769;49:04900:4:Z2776744437;
Cc1cc2c(cc1C)OCC2,502,49:04900:1:Z1718377667;49:04900:3:Z3010567817;49:04900:6:Z2922654904;
NC1CCNc2ccc(Cl)cc21,76,49:04900:1:Z4215885701;49:04900:1:Z4215876304;49:04900:1:Z4215885699;
CC1CC(O)C1,257,49:04900:1:Z4611196689;49:04900:5:Z4141078197;49:04900:5:Z4181292911;
CC1Cc2ccccc2CN1,512,49:04900:1:Z4643200494;49:04900:1:Z3620113720;49:04900:2:Z1528683580;
Nc1nncs1,782,49:04900:1:Z4351165730;49:04900:3:Z4280841020;49:04900:5:Z4094423541;
Cc1cc[nH]c(=O)c1,901,49:04900:1:Z3497422898;49:04900:2:Z2989328547;49:04900:4:Z3610788578;
CC1CNCC2(CCCCC2)O1,200,49:04900:1:Z2495625166;49:04900:6:Z3999414836;49:04900:9:Z2494585305;
O=c1nc[nH]c2cnccc12,31,49:04900:1:Z4239950780;49:04904:2:Z5064726132;49:04911:2:Z4239954220;
CN1CCNCCC1=O,298,49:04900:1:Z3555048888;49:04900:4:Z2646322486;49:04900:5:Z2960826497;
C1COC2(CNC2)N1,27,49:04900:1:Z3207366801;49:04901:6:Z3584354556;49:04903:8:Z4285334261;
Cn1ccc2c1CCNC2,659,49:04900:1:Z4414925144;49:04900:1:Z4418939098;49:04900:3:Z5061136145;
O=c1nccc[nH]1,682,49:04900:1:Z2898168602;49:04900:6:Z3589060871;49:04900:6:Z3536894050;
Cc1csnn1,1820,49:04900:1:Z2948437516;49:04900:1:Z3834367394;49:04900:2:Z3358964323;
CN1CC2CCCC2C1,481,49:04900:1:Z3179979920;49:04900:1:Z3806924086;49:04900:1:Z3197532728;
c1ncc2cn[nH]c2n1,984,49:04900:1:Z4026577857;49:04900:2:Z645178044;49:04900:3:Z4025163469;
C1CC2CNC(C1)C2,2681,49:04900:1:Z2965795411;49:04900:1:Z3136972586;49:04900:1:Z3795482644;
ClC1=CCCCC1,120,49:04900:1:Z1265238614;49:04902:3:Z4573840740;49:04902:9:Z1297410809;
Cc1nccc(N)n1,633,49:04900:1:Z2121911026;49:04900:4:Z4128152531;49:04900:7:Z4451041396;
Cc1ccc2c(c1F)CNCC2,183,49:04900:1:Z3099642012;49:04900:1:Z3060356882;49:04901:0:Z3189691234;
Fc1cnc2ccccc2c1,31,49:04900:1:Z4169217056;49:04902:8:Z4174325065;49:04905:9:Z4174503031;
Cn1ncc(Cl)c1Cl,265,49:04900:1:Z4591824056;49:04900:4:Z3086368418;49:04900:8:Z3371000991;
CC12CCCCC1NCCC2,105,49:04900:1:Z3612990678;49:04900:9:Z3390887430;49:04900:9:Z4442662026;
CC1CCCC(C)(C)C1,899,49:04900:1:Z2697576433;49:04900:1:Z1066615694;49:04900:5:Z1196625492;
NC1CCC2CC12,436,49:04900:1:Z4063523633;49:04900:7:Z4002717685;49:04901:2:Z3790313334;
C1CCC2CNCC2C1,3045,49:04900:1:Z3138459770;49:04900:1:Z2656450224;49:04900:1:Z3561865716;
O=C1CCC2(CCNC2)N1,400,49:04900:1:Z3602073940;49:04900:2:Z3597378612;49:04900:3:Z4109983642;
CC1CC1N,117,49:04900:1:Z4002553225;49:04900:6:Z4002167614;49:04901:4:Z4001992556;
FC1CNCC12CCC2,718,49:04900:1:Z3654516974;49:04900:4:Z4322266835;49:04900:4:Z3679210123;
O=C1C2CCCC1COC2,369,49:04900:1:Z3206871748;49:04900:4:Z2710332744;49:04901:0:Z2495068328;
C1CCC2CNCCC2C1,1608,49:04900:1:Z4600930867;49:04900:2:Z3800094730;49:04900:3:Z3796832971;
OC1CCNCC1F,311,49:04900:1:Z2949609173;49:04900:6:Z2966128367;49:04901:6:Z5059856748;
c1ccc2c(c1)CNCC21CC1,422,49:04900:1:Z3888893805;49:04900:1:Z3888894010;49:04900:1:Z3865029091;
Fc1ccn2ccnc2c1,6,49:04900:1:Z3253789793;49:04908:6:Z3094652154;49:04908:9:Z3094651821;
FC12CCC(CC1)CC2,267,49:04900:1:Z2174604859;49:04900:5:Z4581320119;49:04900:5:Z2172342924;
Oc1ccncc1F,245,49:04900:1:Z1998328436;49:04900:3:Z1815564279;49:04900:4:Z3609051570;
CC1CNc2ccccc2O1,394,49:04900:1:Z4288559545;49:04900:2:Z4111947861;49:04901:5:Z2773424039;
CC1(O)CNOC1,171,49:04900:1:Z3587227484;49:04900:3:Z3587226779;49:04900:5:Z3587238206;
Cn1ccc(=O)cc1,483,49:04900:1:Z2960024308;49:04900:4:Z4351793199;49:04900:4:Z2959294535;
Fc1cccc2ccncc12,371,49:04900:1:Z4395802411;49:04900:1:Z3808037098;49:04900:2:Z4610907260;
c1cnc2c(c1)OCO2,175,49:04900:1:Z3177720459;49:04901:9:Z3093717718;49:04902:0:Z5001295545;
Cc1ccc2[nH]ccc(=O)c2c1,156,49:04900:1:Z4330013888;49:04900:5:Z2802880414;49:04900:8:Z3593466482;
FC12CCCC1CNC2,899,49:04900:1:Z4326951864;49:04900:1:Z4009163486;49:04900:2:Z4610132722;
Cc1cncc(=O)[nH]1,59,49:04900:1:Z4427278203;49:04900:7:Z4236506664;49:04901:5:Z3097778567;
Cc1ccncc1C,450,49:04900:1:Z4082600852;49:04900:8:Z2958217007;49:04900:9:Z2956065130;
CC1CCN(C)C1,955,49:04900:1:Z4418553023;49:04900:5:Z4418522093;49:04900:5:Z4467432165;
O=C1CCC2CNCCN12,464,49:04900:1:Z4320205889;49:04900:3:Z4215114629;49:04900:5:Z3008824444;
c1ncc2c(n1)CC1CCC2N1,443,49:04900:1:Z4451267409;49:04900:3:Z3203804116;49:04900:6:Z4065676271;
CN1CCC(N)C1,195,49:04900:1:Z4004854002;49:04900:5:Z4060850857;49:04901:0:Z4057191500;
c1n[nH]c2c1CC1CC21,152,49:04900:1:Z3351918632;49:04900:3:Z3357792399;49:04900:4:Z3324226271;
Cc1coc2c1C(=O)CCC2,271,49:04900:1:Z3139265261;49:04900:3:Z441877104;49:04900:8:Z2646358369;
Cc1cccc2c1OCCC2,1350,49:04900:1:Z3103452807;49:04900:1:Z3103440156;49:04900:1:Z3131965972;
Cc1c[nH]c2c1C(=O)CCC2,253,49:04900:1:Z113263924;49:04900:2:Z5004995076;49:04901:0:Z2962156639;
OC1CC2(CCNCC2)C1,527,49:04900:1:Z4143212298;49:04900:1:Z4183398047;49:04900:2:Z4140288068;
CC1(C)CCCC(C)(C)C1,373,49:04900:1:Z1608837481;49:04900:5:Z3358492754;49:04900:5:Z3472532955;
C1COC2(CC2)CN1,321,49:04900:1:Z3831756630;49:04900:1:Z3842129381;49:04900:1:Z4032315932;
CC1(O)CCS(=N)(=O)CC1,154,49:04900:1:Z4477412920;49:04900:1:Z4477420949;49:04902:7:Z4477429679;
Cc1c[nH]c2c1CCCC2,204,49:04900:1:Z3698945174;49:04900:3:Z3630467513;49:04900:5:Z3856559875;
CC1(C)NCc2scnc21,136,49:04900:1:Z3698945174;49:04900:1:Z4317151503;49:04902:5:Z3386026191;
C1NCC2CSCC12,403,49:04900:1:Z2870425463;49:04900:2:Z3579931597;49:04901:1:Z2876580824;
O=C1NNS(=O)(=O)c2ccccc21,17,49:04900:1:Z1558630017;49:04900:4:Z2199102486;49:04901:2:Z3339028976;
Cn1c(=O)oc2ccc(F)cc21,82,49:04900:1:Z5044328250;49:04900:4:Z3795429632;49:04901:0:Z2305329607;
O=C1CC2CCC1O2,244,49:04900:1:Z5044328250;49:04900:2:Z5055215783;49:04900:9:Z5044399736;
C1CC2COCCN2C1,1486,49:04900:1:Z4227241069;49:04900:1:Z3555676743;49:04900:3:Z1408153237;
Oc1cccc(Cl)c1,1043,49:04900:1:Z3596843409;49:04900:5:Z2204336335;49:04900:5:Z3258815486;
O=S1(=O)CCC2CNCCN21,391,49:04900:1:Z4329615383;49:04900:3:Z4313809672;49:04900:3:Z4313532419;
Cc1cccc2c1CCC2,784,49:04900:1:Z1440064098;49:04900:4:Z4151437771;49:04900:4:Z2640973486;
Cc1nn2cccnc2c1Cl,133,49:04900:1:Z1556701270;49:04900:7:Z2218652780;49:04901:3:Z1958929053;
c1cnn2nnnc2c1,177,49:04900:1:Z1185874967;49:04900:8:Z220412908;49:04901:5:Z1039117820;
Cc1nn(C)cc1Cl,735,49:04900:1:Z3360031928;49:04900:3:Z3297728445;49:04900:4:Z3354168467;
CC1CC2CCC1O2,803,49:04900:1:Z3539106559;49:04900:1:Z3468976346;49:04900:3:Z3588055112;
FC1CC1(F)F,218,49:04900:1:Z4825582610;49:04900:7:Z4826445927;49:04900:8:Z4829059279;
Oc1nccc2cccnc12,228,49:04900:1:Z4325846340;49:04901:1:Z4130142061;49:04901:3:Z4127897919;
Cn1nnc2cncnc21,165,49:04900:1:Z2611152643;49:04900:6:Z4923498057;49:04901:3:Z2613632583;
O=S1(=O)CCCCC12CCC2,251,49:04900:1:Z3383884676;49:04901:6:Z2963565908;49:04902:2:Z4019102240;
Clc1csc(Cl)c1,58,49:04900:1:Z4291385093;49:04900:8:Z4290197667;49:04901:6:Z4288592360;
Cc1cnn2c1CNCC2,403,49:04900:1:Z3879387324;49:04900:3:Z3898826994;49:04900:6:Z3777581701;
C1CC2CNCC(C1)NC2,165,49:04900:1:Z3795291242;49:04900:2:Z3795285541;49:04902:5:Z3795290358;
O=S1(=O)CCC2(CCNC2)CC1,490,49:04900:1:Z3573043466;49:04900:6:Z4277874100;49:04900:8:Z3519924764;
Cc1ccc(C)c(F)c1,238,49:04900:1:Z2475173226;49:04900:7:Z2959106635;49:04901:2:Z1892943016;
Cc1cc(C)c(C)s1,152,49:04900:1:Z2897241871;49:04900:6:Z2898712025;49:04900:9:Z4525943638;
C1CNCC2(C1)CNC2,328,49:04900:1:Z4028556851;49:04900:5:Z4028903700;49:04900:5:Z4285231091;
O=C1NCCc2cncn21,158,49:04900:1:Z3702984338;49:04901:3:Z3205560466;49:04903:0:Z3196664860;
Clc1cccn2cnnc12,127,49:04900:1:Z3559292720;49:04900:2:Z3717605336;49:04900:2:Z735579668;
c1ncc2c(n1)CCCS2,104,49:04900:1:Z3559292720;49:04900:5:Z4185222085;49:04900:6:Z3558728847;
Cc1cc2ccccc2n(C)c1=O,172,49:04900:1:Z4062293144;49:04900:4:Z2407425592;49:04901:0:Z2955961982;
Fc1cc(F)cc(Cl)c1,330,49:04900:1:Z1587507081;49:04900:1:Z4011798196;49:04900:3:Z4663916794;
C1CCC2(CCOC2)NC1,233,49:04900:1:Z4771044314;49:04900:7:Z3619554032;49:04900:8:Z3206877190;
Cc1cc(Cl)c2c(c1)CCNC2,124,49:04900:1:Z3060367078;49:04901:2:Z3141283777;49:04902:9:Z3060367994;
Cc1ccn(C)c(=O)c1,658,49:04900:1:Z1381819175;49:04900:2:Z1902896992;49:04900:5:Z1411495136;
Cc1cnn(C)c1,3760,49:04900:1:Z3694545882;49:04900:1:Z4883411327;49:04900:1:Z5036030602;
O=C1NCCc2cc(F)ccc21,152,49:04900:1:Z3201276875;49:04900:5:Z4066333278;49:04900:9:Z4141610046;
c1cc2n(c1)CCSC2,650,49:04900:1:Z4022328005;49:04900:2:Z4145590914;49:04900:2:Z4077740922;
CC1CCNCC1C,649,49:04900:1:Z4582662638;49:04900:1:Z1655745660;49:04900:1:Z1557592206;
Fc1cccc2c1CCC2,1227,49:04900:1:Z1438901006;49:04900:1:Z2286607510;49:04900:3:Z2872379058;
Cc1csc2nccn12,906,49:04900:1:Z3844686439;49:04900:4:Z2781998897;49:04900:6:Z4106046985;
CC1(C)CNCc2cn[nH]c2C1,278,49:04900:1:Z2715906335;49:04900:2:Z2608619149;49:04900:6:Z2608250550;
CC1CCc2c(F)cccc2C1,125,49:04900:1:Z4006059522;49:04901:4:Z1354994978;49:04902:5:Z3187189978;
CC1CC(O)CCN1,259,49:04900:1:Z2771288700;49:04901:8:Z2775303054;49:04902:0:Z2781997686;
Cc1ccn2ccnc2c1,1040,49:04900:1:Z1337562489;49:04900:4:Z1934763686;49:04900:5:Z2230607441;
Oc1cc(F)cc(F)c1,325,49:04900:1:Z2963182778;49:04900:4:Z4310605249;49:04900:7:Z2963182825;
FC1(F)CCCNC1,3770,49:04900:1:Z4066482001;49:04900:1:Z4475922972;49:04900:1:Z4184581751;
FC1(F)C2COCC21,352,49:04900:1:Z3629458575;49:04900:6:Z3866495188;49:04901:2:Z3671228138;
Cc1ccc(C)nn1,1147,49:04900:1:Z1817962662;49:04900:2:Z5045377807;49:04900:2:Z2949197979;
Oc1cccc2ccccc12,869,49:04900:1:Z2255798818;49:04900:2:Z3522699667;49:04900:2:Z1227921604;
Cc1cnn2ccc(Cl)nc12,115,49:04900:1:Z3599509429;49:04900:9:Z3556230073;49:04901:8:Z3832792991;
Cn1ncnc1N,202,49:04900:1:Z3599509429;49:04900:6:Z3623085894;49:04901:2:Z3623091440;
Cc1cc(C)nc(C)n1,454,49:04900:1:Z2964013448;49:04900:4:Z1698661078;49:04900:8:Z3939584125;
CC1CCn2ccnc2C1,695,49:04900:1:Z4478782316;49:04900:2:Z3541584882;49:04900:5:Z4138419082;
O=C1CCC2(CNC2)N1,333,49:04900:1:Z3621834984;49:04900:6:Z4876387101;49:04900:6:Z4406940934;
CC1CNCCOC1,964,49:04900:1:Z1971403118;49:04900:8:Z4191798293;49:04900:9:Z2800711683;
Cc1cccc2c1CCO2,297,49:04900:1:Z2902936018;49:04900:2:Z4054712835;49:04900:4:Z2254840131;
OC1CCCOC12CNC2,261,49:04900:1:Z3911704542;49:04900:3:Z4258809980;49:04900:8:Z3818800988;
CN1CCCNCC1=O,453,49:04900:1:Z2949179627;49:04900:2:Z4313134630;49:04900:5:Z1802529502;
CC1CCC(F)(F)C1,503,49:04900:1:Z3060001568;49:04900:4:Z3060006642;49:04900:8:Z3060001899;
CC1(C)OCC2(CCNCC2)CO1,252,49:04900:1:Z4907304622;49:04900:4:Z5063425506;49:04900:4:Z4908017079;
O=S1CC2CC1CN2,361,49:04900:1:Z3405410958;49:04901:0:Z3595105806;49:04901:4:Z4152905055;
Cc1cnc[nH]1,2248,49:04900:1:Z3586891836;49:04900:2:Z3336727478;49:04900:3:Z2966684122;
CC1(C)CC2CCNC21,454,49:04900:1:Z4188637972;49:04900:3:Z4492741047;49:04900:9:Z4023346136;
CN1CCOCC12CNCCOC2,221,49:04900:1:Z3621784714;49:04900:5:Z5004601389;49:04901:0:Z3386252401;
C1COC2(C1)CCOC2,1651,49:04900:1:Z4464927413;49:04900:1:Z3833951358;49:04900:1:Z3640127194;
c1cnc2c(c1)COC2,369,49:04900:1:Z4490015368;49:04900:1:Z4423250424;49:04900:3:Z4459254743;
CN1CC2(C)CNCC2(C)C1,193,49:04900:1:Z2915790175;49:04900:3:Z2915794018;49:04900:3:Z2951609569;
CC1NC2(CNC1=O)COC2,12,49:04900:1:Z3294656267;49:04904:8:Z3294656486;49:04913:9:Z3294655644;
Cc1csc(N)n1,164,49:04900:1:Z2395093884;49:04901:0:Z2395044657;49:04901:2:Z2828110970;
Cc1cc(C)cc(Cl)c1,889,49:04900:1:Z1689498442;49:04900:2:Z847350388;49:04900:3:Z1698092028;
Clc1ccc2ncccc2c1,648,49:04900:1:Z3541554528;49:04900:1:Z4615112292;49:04900:3:Z3078293312;
CC1CCCC(C)N1C,82,49:04900:1:Z3801847290;49:04900:5:Z3806659878;49:04903:3:Z3802206644;
FC1(F)CC12CCCCC2,1824,49:04900:1:Z4269665152;49:04900:1:Z3860892096;49:04900:1:Z3199056453;
OC1C2CC3CNC1C3C2,187,49:04900:1:Z1996483038;49:04900:6:Z1998320169;49:04900:7:Z1998317583;
Cc1ccc(C)n1C,569,49:04900:1:Z2643942171;49:04900:5:Z2720275106;49:04900:5:Z4054532715;
Nc1csc2cccnc12,98,49:04900:1:Z4291906331;49:04900:2:Z4291126729;49:04901:4:Z3331197784;
Cn1ccn2cnnc2c1=O,479,49:04900:1:Z2851293228;49:04900:3:Z2876631830;49:04900:7:Z3134240265;
Cc1ccnc(N)n1,239,49:04900:1:Z4435978580;49:04900:3:Z3647668670;49:04902:6:Z5055506165;
Clc1ncco1,163,49:04900:1:Z5035707796;49:04900:7:Z5035712447;49:04900:9:Z4999185321;
CC1CNCC2(CCOC2)O1,404,49:04900:1:Z3139159594;49:04900:1:Z1948388893;49:04900:1:Z3192225842;
FC1COC1,675,49:04900:1:Z3711967538;49:04900:3:Z3196700888;49:04900:4:Z3613968761;
Clc1cc2[nH]ccc2o1,123,49:04900:1:Z3946232938;49:04901:2:Z3864303497;49:04901:7:Z3837604268;
c1cnc2c(c1)OCCO2,1373,49:04900:1:Z2498260348;49:04900:1:Z1904673717;49:04900:1:Z4445458172;
C1CC2OCCNC2CN1,645,49:04900:1:Z3620831447;49:04900:4:Z4215709866;49:04900:6:Z4205718496;
Cc1nc2cccnc2[nH]1,567,49:04900:1:Z4224741505;49:04900:1:Z3593698245;49:04900:7:Z3379014592;
Nc1cnccn1,675,49:04900:1:Z2231370905;49:04900:1:Z1348332194;49:04900:3:Z2183894218;
Clc1cccc2c1OCC2,244,49:04900:1:Z4109179804;49:04900:5:Z2270373095;49:04901:1:Z2383313637;
Clc1ccc2c(c1)CCN2,208,49:04900:1:Z2177109236;49:04900:4:Z4118874749;49:04900:5:Z2639133344;
CC12CCC(C1)OC2,850,49:04900:1:Z3578976544;49:04900:1:Z3505043074;49:04900:2:Z4268856972;
c1cc2c(cn1)NCCS2,207,49:04900:1:Z4114455159;49:04901:6:Z4691277670;49:04902:4:Z1886479367;
O=C1CC2(CCC2)NCCN1,232,49:04900:1:Z2805269564;49:04900:5:Z4124289863;49:04900:7:Z2805267909;
