fragment_smiles,occurences,example_ligands
CN1CCCC12CCOCC2,483,347:34700:1:Z3579253466;347:34700:2:Z3638746297;347:34700:4:Z3638779482;
CC1(C)OC(C)(C)C1O,53,347:34700:1:Z4328334044;347:34703:1:Z4328839715;347:34705:5:Z4328417849;
CC1Sc2ccccc2NC1=O,357,347:34700:1:Z15377431;347:34700:2:Z1937473489;347:34700:3:Z1928853279;
CC1CCCCO1,2682,347:34700:1:Z3195973202;347:34700:1:Z1601811796;347:34700:1:Z3416883085;
CN1CCC2(CCNCC2)C1=O,519,347:34700:1:Z3192949474;347:34700:3:Z1893396602;347:34700:3:Z3152811280;
CC1(F)CC2(CNC2)C1,120,347:34700:1:Z4478537415;347:34700:5:Z4600810098;347:34701:4:Z4601206474;
O=C1CCC2Sc3ccccc3N12,143,347:34700:1:Z17930137;347:34700:3:Z3055487549;347:34700:7:Z357792870;
Oc1ccc2c(c1)CCNC2,748,347:34700:1:Z4244573590;347:34700:1:Z4559756840;347:34700:2:Z4185560276;
O=C1Nc2ccccc2C12CCNCC2,267,347:34700:1:Z3569454541;347:34700:3:Z3595160125;347:34701:3:Z3519902233;
CC1(C)CNc2ccccc2C(=O)N1,226,347:34700:1:Z4132963675;347:34700:6:Z4264100835;347:34701:5:Z4264098419;
O=c1[nH]cccc1Cl,421,347:34700:1:Z1680263124;347:34700:4:Z1576518112;347:34700:6:Z1617500325;
Clc1ccc2c(c1)COC2,238,347:34700:1:Z2505160473;347:34701:0:Z4418015192;347:34701:2:Z4998932730;
C1COCC2(CN1)COCCN2,547,347:34700:1:Z3499187236;347:34700:2:Z3654471843;347:34700:2:Z3639481477;
C1CC2(CCN1)COCCO2,991,347:34700:1:Z2843378310;347:34700:3:Z4422453342;347:34700:5:Z4508541048;
C1=NCCCS1,90,347:34700:1:Z4249974043;347:34702:9:Z4260058407;347:34703:5:Z4260095270;
c1cc2sccc2cn1,470,347:34700:1:Z4227911966;347:34700:2:Z3649501882;347:34700:3:Z3584547630;
C1CNC2CCNCC2C1,840,347:34700:1:Z3385139234;347:34700:1:Z3385131134;347:34700:1:Z2823598751;
CC1(C)C2CCC1C(=O)C2,279,347:34700:1:Z4264218696;347:34700:1:Z1141270628;347:34700:2:Z4261283932;
O=C1CCCCCCC1,34,347:34700:1:Z3172730963;347:34700:6:Z3538128410;347:34706:4:Z3172731488;
O=c1cccc2n1CCOC2,378,347:34700:1:Z4242090990;347:34700:1:Z4298585647;347:34700:2:Z4299432571;
Cc1nc2ccccc2n1C,852,347:34700:1:Z3724289941;347:34700:1:Z1276218258;347:34700:4:Z1985200957;
OC1COC2(CCNCC2)C1,236,347:34700:1:Z4615036009;347:34700:8:Z4620799729;347:34700:8:Z4061984028;
Cc1cc(Cl)cn2ccnc12,108,347:34700:1:Z3591219414;347:34701:5:Z3572026212;347:34701:5:Z3591218943;
CC1(C)NCc2cn[nH]c21,166,347:34700:1:Z4214327083;347:34701:3:Z4203663993;347:34701:3:Z3581410621;
CC1(C)CC(=O)c2ccc(=O)[nH]c2C1,385,347:34700:1:Z3640610750;347:34700:1:Z2004497763;347:34700:3:Z1143422627;
OC1CN2CCC1CC2,64,347:34700:1:Z3209541962;347:34700:8:Z2499240797;347:34702:8:Z4110067241;
CC1CNCCS1=O,361,347:34700:1:Z2071487737;347:34700:3:Z3168454930;347:34700:6:Z1247170215;
CC1CSCCN1,190,347:34700:1:Z3623115727;347:34700:1:Z3631242215;347:34700:1:Z1240757926;
CC1(C)COCOC1,58,347:34700:1:Z4170124295;347:34702:3:Z1463456418;347:34702:4:Z1463447687;
C1CCC2(C1)CCCNC2,196,347:34700:1:Z1784626026;347:34700:2:Z4215297989;347:34700:5:Z2014267828;
O=C1CCC=NN1,341,347:34700:1:Z1683372987;347:34700:1:Z1341758273;347:34700:4:Z3368346285;
Clc1ccc2c(c1)CCO2,1775,347:34700:1:Z1666705183;347:34700:2:Z1693048553;347:34700:2:Z1732387354;
Cc1ccc2ccoc2c1,576,347:34700:1:Z2483590178;347:34700:2:Z2098679020;347:34700:7:Z993474264;
c1cc2c(cn1)CCCN2,538,347:34700:1:Z4359360692;347:34700:1:Z4245224706;347:34700:3:Z4503763458;
CC1(C)CCCC(C)(C)O1,879,347:34700:1:Z3174315097;347:34700:5:Z5045216899;347:34700:6:Z4124673076;
CC1CSCCO1,117,347:34700:1:Z4933205107;347:34703:9:Z4931800773;347:34704:7:Z4929742105;
CN1CCC1,741,347:34700:1:Z2932360665;347:34700:2:Z2767786760;347:34700:2:Z3711655059;
C1CC2NCCOC2C1,552,347:34700:1:Z2961090649;347:34700:3:Z4004600371;347:34700:7:Z2718900852;
C1CN2CCC1CC2,225,347:34700:1:Z2911972032;347:34700:1:Z4220269755;347:34700:3:Z2960379328;
C1CCC2CC2C1,1107,347:34700:1:Z3440219719;347:34700:2:Z2458265618;347:34700:2:Z3583122604;
O=c1[nH]cnc2[nH]ncc12,875,347:34700:1:Z2360684603;347:34700:3:Z1167113543;347:34700:4:Z1193318273;
CC12CNCC1(C)CSC2,68,347:34700:1:Z3639756376;347:34703:2:Z3639756837;347:34704:3:Z3639764133;
CC1CCCc2nccn21,649,347:34700:1:Z2474415395;347:34700:2:Z2478123805;347:34701:2:Z3647013503;
O=C1CNCC2COCCN12,272,347:34700:1:Z3694424944;347:34700:4:Z4437291810;347:34700:9:Z3714206187;
c1ccc2c(c1)Cc1ccccc1-2,677,347:34700:1:Z1523536767;347:34700:1:Z2396087617;347:34700:2:Z1575710348;
c1nc2c([nH]1)C1(CCC1)NCC2,61,347:34700:1:Z2877205109;347:34703:2:Z2961492840;347:34711:2:Z3475182805;
C1=COCCC1,336,347:34700:1:Z1840651383;347:34700:3:Z1904989018;347:34700:4:Z1768297290;
OC1CCC2(CCNC2)CC1,263,347:34700:1:Z4413107554;347:34700:1:Z4471220085;347:34701:1:Z4471211096;
Cc1nc2cccnc2s1,106,347:34700:1:Z4153629811;347:34700:8:Z4151751606;347:34701:3:Z4151784830;
CC1CNCCCN1,378,347:34700:1:Z2601357981;347:34700:1:Z1251638140;347:34700:6:Z3047287146;
CC1(C)OCC2CC21,162,347:34700:1:Z2620909186;347:34700:8:Z2623886995;347:34701:9:Z2709079341;
Oc1cccc2c1CCCNC2,152,347:34700:1:Z4907391445;347:34700:6:Z4909197605;347:34700:6:Z4908962002;
CC1(C)CNCC2(CCOC2)O1,432,347:34700:1:Z2638072956;347:34700:2:Z1949966837;347:34700:3:Z1954684984;
OC1CC2CC12,66,347:34700:1:Z4326106952;347:34702:5:Z4317400262;347:34702:5:Z4156413967;
Cc1csc2nccc(=O)n12,655,347:34700:1:Z1601686333;347:34700:1:Z1934308462;347:34700:1:Z1181627052;
Cc1ccc2ccoc2n1,215,347:34700:1:Z3136345486;347:34700:2:Z1727997389;347:34700:7:Z1681667769;
C1CC2(CCN1)CNCCO2,532,347:34700:1:Z3136345486;347:34700:4:Z2975711031;347:34700:4:Z2963914316;
C1NCC2COCC1C2,181,347:34700:1:Z3611272601;347:34701:1:Z4139595077;347:34701:3:Z3363191760;
c1n[nH]c2c1NCCC2,244,347:34700:1:Z4216530908;347:34700:2:Z5018075874;347:34700:3:Z4249709333;
c1cn2cncc2s1,211,347:34700:1:Z2093007052;347:34701:0:Z3721075086;347:34702:4:Z1203107545;
O=C1CCC2CNc3cccc1c32,155,347:34700:1:Z1698179091;347:34700:9:Z1886688041;347:34701:3:Z1697481646;
Cc1nc2[nH]ccc(=O)n2n1,70,347:34700:1:Z4126472227;347:34702:9:Z4127024809;347:34703:0:Z4129265331;
NC12CCC1CNC2,26,347:34700:1:Z3278080854;347:34705:3:Z4055218206;347:34705:5:Z3278106779;
Fc1ccc2c(c1)CCCC2,999,347:34700:1:Z1368103507;347:34700:1:Z1368166062;347:34700:1:Z1555956754;
CC1NCCc2cc(O)ccc21,364,347:34700:1:Z3628093448;347:34700:4:Z3060029215;347:34700:4:Z3134827047;
O=c1ccc2cccnc2[nH]1,305,347:34700:1:Z3638250865;347:34701:0:Z3659839385;347:34701:3:Z3831151134;
c1cc2c(nn1)CCOC2,271,347:34700:1:Z4020373833;347:34701:5:Z4023019152;347:34701:6:Z4020664344;
O=C1CCC2CCCCC2N1,462,347:34700:1:Z4594679540;347:34700:1:Z2622138099;347:34700:5:Z2589832055;
Cc1ccc2cccc(Cl)c2n1,70,347:34700:1:Z2764074976;347:34701:8:Z2774318540;347:34702:9:Z2767727274;
FC1(F)C2CCCC21,1053,347:34700:1:Z3086462929;347:34700:1:Z4505377382;347:34700:1:Z3592820511;
OC1CC2(CCNCC2)Oc2c[nH]nc21,459,347:34700:1:Z3416883085;347:34700:1:Z4350835959;347:34700:2:Z4229349143;
NC1CCCc2ccccc2C1,138,347:34700:1:Z3512025273;347:34700:3:Z3699188125;347:34700:4:Z3513483807;
Oc1noc2c1CCNC2,98,347:34700:1:Z4229031161;347:34701:8:Z4252641672;347:34701:8:Z4229031299;
C1CC2NCCSC2C1,130,347:34700:1:Z3302783201;347:34700:2:Z1803751410;347:34700:9:Z5044098066;
c1ccn2nncc2c1,427,347:34700:1:Z3584553031;347:34700:3:Z3640676586;347:34700:6:Z3560030937;
c1cnc2c(c1)CNC2,1347,347:34700:1:Z3390494894;347:34700:2:Z3176569709;347:34700:2:Z4600580122;
CC1(O)CCNCC1O,353,347:34700:1:Z4961372204;347:34700:2:Z4961976313;347:34701:1:Z4964535782;
CC1CCCc2ccccc21,651,347:34700:1:Z1330219166;347:34700:3:Z1588207850;347:34700:3:Z4028270811;
CC1(C)CNCCNC1,168,347:34700:1:Z4024194121;347:34700:1:Z4041782459;347:34700:2:Z4041779273;
CC1Cc2ccc(F)cc2CN1,176,347:34700:1:Z2843627143;347:34703:9:Z1239710489;347:34703:9:Z1244343013;
Cn1c(=O)ccc2ccc(Cl)cc21,63,347:34700:1:Z4347109422;347:34701:9:Z5058728483;347:34704:1:Z4347189768;
c1cc2c(s1)CCC2,1495,347:34700:1:Z4149876518;347:34700:1:Z4147360649;347:34700:2:Z1082132336;
O=c1ccc2c([nH]1)CCCCC2,369,347:34700:1:Z1653810047;347:34700:3:Z1243569661;347:34700:5:Z1841579532;
Cn1ccc2ccc(F)cc21,315,347:34700:1:Z4303500918;347:34700:1:Z1716940091;347:34700:3:Z1717189319;
Cc1cc(=O)cc2n1CCC2,62,347:34700:1:Z3368044242;347:34703:7:Z2701015494;347:34705:0:Z2193911769;
O=c1[nH]ccc2c1CCNC2,300,347:34700:1:Z3593719189;347:34700:1:Z3593719295;347:34700:5:Z3441117644;
C1CCC2(CCNCC2)OC1,1630,347:34700:1:Z2837795128;347:34700:1:Z3179427913;347:34700:1:Z4212027720;
C1CSC2(CCOCC2)CN1,354,347:34700:1:Z1718408123;347:34700:2:Z1787440859;347:34700:2:Z1720849161;
CC1(C)CNCc2cn[nH]c2C1,749,347:34700:1:Z4984750764;347:34700:3:Z2608703512;347:34700:8:Z2608413730;
CC1CCNC(C)C1,436,347:34700:1:Z4883780136;347:34700:4:Z4576253575;347:34700:6:Z4883779721;
C1CC2CC(C2)O1,751,347:34700:1:Z4024846034;347:34700:1:Z5012891422;347:34700:3:Z4077694279;
O=C1CCOc2ccc(Cl)cc21,245,347:34700:1:Z1783999387;347:34700:7:Z1784036367;347:34700:9:Z1783246156;
O=C1CNC2CCNCC2N1,279,347:34700:1:Z3140037396;347:34700:2:Z3044120139;347:34700:4:Z3047143954;
Oc1ccnc2c1CNCC2,245,347:34700:1:Z4249637282;347:34700:5:Z4088276792;347:34700:8:Z4088278851;
CC1(C)COC2(CCNCC2)OC1,462,347:34700:1:Z1031072068;347:34700:2:Z1031668184;347:34700:2:Z1271086010;
CC1CCc2nccn21,256,347:34700:1:Z2957677557;347:34700:1:Z2291248368;347:34701:6:Z4003497960;
Cn1c(=O)n(C)c2ccccc21,1247,347:34700:1:Z1003595830;347:34700:1:Z1919231521;347:34700:1:Z1260601009;
CN1CC(=O)Nc2cccnc21,317,347:34700:1:Z2715963307;347:34700:3:Z2700698440;347:34700:4:Z3522721753;
O=S1(=O)CCc2ccccc2C1,314,347:34700:1:Z2715963307;347:34700:2:Z2676738776;347:34700:4:Z2676735993;
NC1C2CCCCNC12,22,347:34700:1:Z3044349106;347:34713:0:Z3141630830;347:34714:1:Z3047387887;
O=C1COc2ncccc2N1,524,347:34700:1:Z4151781613;347:34700:1:Z1577091986;347:34700:6:Z4084368309;
O=c1ccc2c([nH]1)CCC2,786,347:34700:1:Z3590669334;347:34700:3:Z3381317505;347:34700:4:Z1196759483;
CN1CCc2ccccc2CC1=O,163,347:34700:1:Z4004396693;347:34700:2:Z4025867974;347:34700:8:Z4734188876;
c1cnc2nccnc2c1,718,347:34700:1:Z3534180863;347:34700:3:Z2044634196;347:34700:6:Z3612303894;
NC1CC2CCCC(C1)C2,173,347:34700:1:Z2363945253;347:34700:2:Z2362482012;347:34700:4:Z4622146048;
C1=CNCCC1,571,347:34700:1:Z4824776521;347:34700:2:Z4828227429;347:34700:3:Z4205509350;
CC1NCCn2c(Cl)ccc21,48,347:34700:1:Z2499413103;347:34703:0:Z2499412007;347:34703:1:Z4402843083;
Fc1cccc2c1CNCCO2,307,347:34700:1:Z2017675327;347:34700:7:Z2013123252;347:34701:2:Z4772086017;
C1=NOC2CNCC12,432,347:34700:1:Z4194480003;347:34700:1:Z4192499492;347:34700:2:Z4192384275;
O=C1Nc2ccccc2C1O,188,347:34700:1:Z2961487719;347:34700:2:Z3364145841;347:34700:7:Z3441969709;
O=c1occc2ccc(Cl)cc12,81,347:34700:1:Z4298885297;347:34702:5:Z4280773594;347:34703:9:Z4281482720;
Cc1ccsn1,916,347:34700:1:Z3200806922;347:34700:2:Z338890606;347:34700:2:Z1636127302;
CC1Cc2cn[nH]c2C(C)O1,274,347:34700:1:Z3438497616;347:34700:1:Z3579675831;347:34700:6:Z3553082358;
O=C1NCCCc2occc21,462,347:34700:1:Z4095907127;347:34700:1:Z3297219818;347:34700:1:Z2906051627;
OC1CCCCCC1,429,347:34700:1:Z4095907127;347:34700:5:Z3883868178;347:34700:8:Z3870746230;
CC1(O)CCC1,183,347:34700:1:Z4166782001;347:34700:1:Z3378754513;347:34700:9:Z4771527527;
OC1CCNCC1O,761,347:34700:1:Z4598237071;347:34700:3:Z4598223722;347:34700:3:Z4598222871;
c1ccn2nnnc2c1,601,347:34700:1:Z2804826138;347:34700:2:Z2648547422;347:34700:7:Z1408022988;
Clc1cccc2ccncc12,85,347:34700:1:Z3357106382;347:34701:4:Z3353294393;347:34702:5:Z4271064775;
CN1CCC(O)CC1,540,347:34700:1:Z2294649514;347:34700:5:Z4319423026;347:34700:5:Z1752689883;
CN1CCCCC12CCNCC2,248,347:34700:1:Z4241441948;347:34700:2:Z5001525499;347:34701:1:Z4241412370;
Clc1cnn[nH]1,210,347:34700:1:Z4241441948;347:34700:4:Z4285213169;347:34700:8:Z3839010549;
CN1CCCC(C)(C)C1,486,347:34700:1:Z3715710627;347:34700:2:Z1930831274;347:34700:6:Z4934321639;
O=C1CCNc2ncccc2N1,121,347:34700:1:Z4125684476;347:34700:1:Z4125680400;347:34703:3:Z4125668338;
Cc1ncn(C)c1C,79,347:34700:1:Z3803584108;347:34702:7:Z3804236690;347:34703:5:Z3788934775;
c1cc2c(cn1)CNCC2,922,347:34700:1:Z3803584108;347:34700:1:Z3141977036;347:34700:2:Z3619342882;
c1ccc2c(c1)CCC1(CCCNC1)O2,97,347:34700:1:Z2708678611;347:34701:5:Z2719617493;347:34706:9:Z2699132276;
Clc1cc(Cl)c2cccnc2c1,23,347:34700:1:Z1518019849;347:34702:6:Z1529711415;347:34705:1:Z1518020481;
c1ccc2c(c1)NCC21CCC1,81,347:34700:1:Z1838394625;347:34700:5:Z1838272120;347:34701:1:Z1841452634;
c1cc2occc2[nH]1,341,347:34700:1:Z2975039587;347:34700:5:Z2945942840;347:34700:5:Z1495272802;
CN1c2ccccc2C(C)(C)S1(=O)=O,383,347:34700:1:Z4224551132;347:34700:2:Z2705363932;347:34700:5:Z2707048526;
O=C1CNCc2ccccc2N1,226,347:34700:1:Z2500778020;347:34700:1:Z2507337276;347:34700:1:Z2494683680;
Oc1ccncc1F,134,347:34700:1:Z1816046247;347:34700:2:Z1817098244;347:34700:4:Z1816193337;
CC1(C)CCCO1,2001,347:34700:1:Z2624333130;347:34700:1:Z2305106161;347:34700:2:Z3556311270;
OC1CC2CCC1C2,999,347:34700:1:Z3906593171;347:34700:1:Z2207347044;347:34700:3:Z2201614235;
O=C1NCC(O)CC12CCNCC2,303,347:34700:1:Z2975812183;347:34700:2:Z2975809965;347:34701:3:Z2976775546;
C1=COCCN1,173,347:34700:1:Z4490633676;347:34700:7:Z3549730088;347:34701:1:Z3741221768;
Cn1ncccc1=O,482,347:34700:1:Z3724067695;347:34700:1:Z3724227951;347:34700:2:Z1090717998;
Cn1cnc2c(F)cccc21,402,347:34700:1:Z2628494763;347:34700:8:Z2173864492;347:34701:2:Z1171583519;
Cc1nc(C)c2c(C)csc2n1,254,347:34700:1:Z2335561546;347:34700:5:Z244354424;347:34700:8:Z4154870283;
CC1CCc2ccccc2N1,1760,347:34700:1:Z2189361301;347:34700:1:Z1902429655;347:34700:1:Z1902438856;
CN1CCC2(CCCNC2)CC1,283,347:34700:1:Z1989898303;347:34700:5:Z4621077023;347:34700:6:Z2076692237;
O=C1COCCC2(CNC2)N1,124,347:34700:1:Z4265367867;347:34700:3:Z4265380307;347:34701:2:Z4265397079;
Cc1cnc(C)[nH]1,265,347:34700:1:Z3725121360;347:34700:1:Z2659131913;347:34700:2:Z3726245762;
Cc1ccc2c(c1)CCN2,448,347:34700:1:Z1879304589;347:34700:1:Z1585587176;347:34700:3:Z4073269354;
c1ccc2cnncc2c1,728,347:34700:1:Z4058477058;347:34700:1:Z1900610216;347:34700:2:Z1499912635;
c1ccc2c(c1)CC2,1298,347:34700:1:Z2719059296;347:34700:1:Z2701268121;347:34700:1:Z3533213792;
C1COCC2(C1)CCCO2,421,347:34700:1:Z3684065522;347:34700:1:Z3592801804;347:34700:2:Z3593707136;
CC1COCC(C)N1,221,347:34700:1:Z1175578847;347:34702:0:Z1173347117;347:34702:6:Z2703387377;
CC1(C)CC(=O)Nc2ccccc21,198,347:34700:1:Z3008448955;347:34700:9:Z3277822632;347:34701:4:Z3277840176;
C1OC2(CNC2)C2CC12,167,347:34700:1:Z3785533634;347:34700:3:Z2961363911;347:34700:5:Z3439075245;
Cc1cnn2c1OCCC2,332,347:34700:1:Z2684931186;347:34700:6:Z2255057900;347:34700:7:Z2269984245;
O=S1(=O)CCC2(CCNCCO2)CC1,260,347:34700:1:Z3648043922;347:34700:3:Z3648034570;347:34700:5:Z3648076267;
Nc1cc[nH]n1,387,347:34700:1:Z4353280042;347:34700:4:Z2606489559;347:34700:5:Z4135170210;
O=S1(=O)CCNC1,66,347:34700:1:Z4769031158;347:34704:4:Z4768494312;347:34704:9:Z4771700176;
CC12CNCC1CNC2,351,347:34700:1:Z4414084684;347:34700:1:Z2793689462;347:34700:1:Z4414068444;
Clc1cccc2ccoc12,100,347:34700:1:Z1374140448;347:34701:4:Z1374179499;347:34703:3:Z1373737219;
O=C1NCCCCNCC1(F)F,207,347:34700:1:Z3520839698;347:34700:3:Z3561959940;347:34700:8:Z3570263274;
C1CCC2(CC1)CCCN2,691,347:34700:1:Z1528844043;347:34700:1:Z3789572918;347:34700:6:Z3844559917;
c1occ2c1CCC2,270,347:34700:1:Z3724290026;347:34700:5:Z3724291419;347:34700:5:Z3724291421;
Cc1nn(C)cc1Cl,203,347:34700:1:Z3298101125;347:34701:1:Z3359612075;347:34701:4:Z3574823449;
Cc1cccc2cn[nH]c12,58,347:34700:1:Z3697769421;347:34703:2:Z3667510219;347:34704:5:Z3667859728;
FC1(F)CC12CCNC2,666,347:34700:1:Z2851726611;347:34700:3:Z3864769017;347:34700:4:Z3097766553;
CN1C(=O)c2ccccc2S1(=O)=O,380,347:34700:1:Z1654715706;347:34700:1:Z1471953216;347:34700:2:Z738871592;
c1ccc2c(c1)NCC1(CC1)O2,163,347:34700:1:Z4244050518;347:34702:1:Z4131992478;347:34702:8:Z4132766384;
c1cc2n(n1)CCCCO2,261,347:34700:1:Z5043174285;347:34701:1:Z5043354358;347:34701:1:Z5042796102;
CC1CNCC(C)S1=O,123,347:34700:1:Z1842503812;347:34700:7:Z1842510503;347:34700:7:Z3994685611;
CN1C(=O)CNCc2ccccc21,363,347:34700:1:Z2691181878;347:34700:2:Z4273172954;347:34700:4:Z4590365345;
Cc1cc(C)n2ccncc12,142,347:34700:1:Z4320414014;347:34701:1:Z4323877366;347:34702:3:Z4323974372;
Cc1ccc2cnoc2n1,803,347:34700:1:Z3701331728;347:34700:2:Z2175586327;347:34700:3:Z1167744863;
O=C1COc2ccccc2CN1,316,347:34700:1:Z2925112126;347:34700:5:Z4112565018;347:34701:0:Z4960789669;
CN1CCCCCC1,317,347:34700:1:Z4412939438;347:34700:5:Z5050099363;347:34701:8:Z2718668057;
Cc1nn(C)c2[nH]c(=O)ccc12,182,347:34700:1:Z4632783044;347:34700:4:Z4633343866;347:34701:5:Z4453291026;
c1ccc2c(c1)oc1ccccc12,480,347:34700:1:Z1496951554;347:34700:3:Z3842727263;347:34700:3:Z4046169024;
c1cc2n(n1)CC1(CC1)C2,99,347:34700:1:Z3667048950;347:34700:7:Z3668131769;347:34701:5:Z4019255188;
CC1(N)CCC1,6,347:34700:1:Z4212963245;347:34708:9:Z3385413503;347:34759:8:Z3385410674;
c1cnc2c(c1)CCNC2,754,347:34700:1:Z3102598190;347:34700:3:Z4421861295;347:34700:5:Z3315976452;
Clc1ccncc1,1185,347:34700:1:Z1250561632;347:34700:2:Z4388059126;347:34700:2:Z1617674853;
Cc1cn2c(n1)C(C)NCC2,323,347:34700:1:Z2387329925;347:34700:1:Z2387859989;347:34700:2:Z2402689866;
CN1CCNc2ncccc2C1,218,347:34700:1:Z4126843395;347:34700:3:Z4126839459;347:34700:5:Z4126843641;
O=c1[nH]ccc2sccc12,410,347:34700:1:Z1866390880;347:34700:5:Z2303751294;347:34700:5:Z2644423132;
c1cc2cnc[nH]c-2n1,84,347:34700:1:Z4272775843;347:34700:6:Z4244982848;347:34701:2:Z4244975264;
C1CC2(CCSC2)CN1,89,347:34700:1:Z4507944042;347:34700:4:Z3601981055;347:34700:6:Z3302756364;
O=C1CNC=NN1,251,347:34700:1:Z3585511978;347:34700:9:Z3646417210;347:34701:4:Z1356491717;
O=S1(=O)CCC2(CCNC2)C1,208,347:34700:1:Z3585511978;347:34701:6:Z4110796583;347:34702:1:Z3132292467;
O=C1CCC2(CCNC2)N1,293,347:34700:1:Z4113994375;347:34700:4:Z4176258421;347:34701:1:Z3434112158;
FC1CC12CCC2,315,347:34700:1:Z4477188545;347:34700:1:Z3549950419;347:34700:7:Z3548522770;
Cc1ncn2ccccc12,210,347:34700:1:Z2631298678;347:34700:2:Z3596353556;347:34700:5:Z2624163150;
c1ccc2c(c1)COCO2,521,347:34700:1:Z1409112903;347:34700:3:Z1620299471;347:34700:4:Z2018173245;
c1cc2cnccc2cn1,121,347:34700:1:Z4232455315;347:34700:1:Z4232444952;347:34700:9:Z4590334268;
FC1(F)CCCCCCC1,22,347:34700:1:Z3611567791;347:34707:8:Z3569609408;347:34711:5:Z3384267789;
Cn1ncc2c(c1=O)CCNC2,703,347:34700:1:Z3816428129;347:34700:2:Z3868203499;347:34700:3:Z4295966094;
Cc1nccc2c1OC(C)(C)OC2,839,347:34700:1:Z3179923845;347:34700:3:Z4934813062;347:34700:3:Z3340996039;
C1CC2COCC(C1)C2,329,347:34700:1:Z4366694086;347:34700:3:Z4087615527;347:34700:4:Z4420328764;
Clc1ccc2c(c1)CNC2,83,347:34700:1:Z2702197452;347:34700:5:Z2955026168;347:34703:1:Z4110339270;
c1ccc2c(c1)CSCCN2,63,347:34700:1:Z4316719352;347:34704:1:Z4317482165;347:34705:7:Z4314857296;
CC1CC=NO1,607,347:34700:1:Z3041562112;347:34700:3:Z3526091771;347:34700:4:Z2659054528;
NC1C2CCCC1CCC2,110,347:34700:1:Z2449244451;347:34701:7:Z2452959244;347:34702:4:Z2438135798;
Cc1ccc2sc(=O)n(C)c2c1,174,347:34700:1:Z2914133552;347:34700:1:Z2914133873;347:34701:1:Z2841887350;
c1n[nH]c2c1CNCC2,1471,347:34700:1:Z3893255304;347:34700:1:Z4322244494;347:34700:2:Z4917350221;
Cc1ccc[nH]c1=O,824,347:34700:1:Z1591111218;347:34700:1:Z1588749881;347:34700:1:Z2151463242;
C1CCn2nnnc2C1,516,347:34700:1:Z3839221365;347:34700:1:Z3873478089;347:34700:5:Z3870743134;
O=C1CC2(CCOCC2)NCCN1,41,347:34700:1:Z2791535810;347:34708:0:Z2791511634;347:34709:4:Z2952007390;
O=C1CC2CCC(CN1)N2,274,347:34700:1:Z3177195768;347:34702:3:Z1337874143;347:34703:4:Z1335732776;
CC1CCC2(CCNC2)C1,141,347:34700:1:Z3154647347;347:34700:3:Z1639400995;347:34700:4:Z3097512664;
C1CC2(CCN1)CCSCC2,124,347:34700:1:Z2883660435;347:34700:5:Z2810601735;347:34702:9:Z3829958863;
CC1(C)OCC2CNCC21,38,347:34700:1:Z3520807026;347:34701:5:Z3381519175;347:34707:8:Z4317878262;
C1CCN2CCOCC2C1,894,347:34700:1:Z2160046819;347:34700:1:Z2160735835;347:34700:1:Z2159123253;
CC1CCc2ccccc2O1,265,347:34700:1:Z2290485918;347:34700:2:Z2290733154;347:34700:3:Z3471291533;
Cc1ccc2[nH]ccc2c1C,209,347:34700:1:Z1221577279;347:34700:2:Z1821151175;347:34700:3:Z1315611161;
Cc1cccc2nccc(=O)n12,276,347:34700:1:Z1221577279;347:34700:1:Z52675838;347:34700:4:Z1074733680;
O=C1CSc2ncccc2N1,221,347:34700:1:Z4138847189;347:34700:5:Z2500464837;347:34701:4:Z1551685332;
CN1CCc2nc3ccccc3cc2C1,121,347:34700:1:Z3092780431;347:34700:2:Z2357907222;347:34701:6:Z2358091337;
Cc1csc2cncnc12,136,347:34700:1:Z3353952767;347:34700:4:Z5065469867;347:34701:9:Z3575661031;
Nc1ncccn1,1179,347:34700:1:Z4139952399;347:34700:2:Z4227566845;347:34700:2:Z3415495790;
C1=CCOCC1,470,347:34700:1:Z4139952399;347:34700:2:Z4141975632;347:34700:8:Z4138244588;
Cn1ncc2c1CC(C)(C)CNC2,425,347:34700:1:Z2630417720;347:34700:2:Z2608617580;347:34700:3:Z3053417733;
O=C1CC2CCC1C2,372,347:34700:1:Z5012660890;347:34700:5:Z4158320929;347:34700:9:Z4166262428;
Cc1ncc2c(n1)CCNC2,351,347:34700:1:Z648130712;347:34700:1:Z966436142;347:34700:4:Z1874773043;
O=c1cc[nH]nc1,1254,347:34700:1:Z3862004476;347:34700:3:Z3992162983;347:34700:3:Z1167145335;
CN1CCN(C)c2ccccc2C1=O,171,347:34700:1:Z4088798939;347:34700:4:Z4088801050;347:34700:4:Z4088805130;
Nc1ncnc2[nH]cnc12,1153,347:34700:1:Z4600300838;347:34700:1:Z4089538820;347:34700:3:Z2715965402;
NC1CNC2(CCCOC2)C1,70,347:34700:1:Z4429492836;347:34702:7:Z3521199964;347:34702:8:Z3521199386;
O=S1(=O)CC2NCCNC2C1,98,347:34700:1:Z2923138990;347:34700:2:Z2927544581;347:34702:2:Z3044319258;
FC1(F)CCNCC12CCOC2,392,347:34700:1:Z3103150056;347:34700:2:Z3171147571;347:34700:4:Z4909540707;
CC1CNCC(=O)N1C,383,347:34700:1:Z3095888973;347:34701:0:Z2024630483;347:34701:2:Z2209773701;
CC1(C)CCCC1,1061,347:34700:1:Z2232610659;347:34700:2:Z3725750424;347:34700:2:Z3724290433;
