fragment_smiles,occurences,example_ligands
O=c1nc[nH]c2c1CNCC2,34,347:34700:0:Z4930583732;347:34708:0:Z2721751007;347:34708:2:Z4930583384;
c1ccoc1,95713,347:34700:0:Z1198666395;347:34700:0:Z1022396756;347:34700:0:Z1839519546;
c1nc2n(n1)CCCC2,2575,347:34700:0:Z1408658931;347:34700:0:Z3347918064;347:34700:0:Z2306843166;
Cn1cnnn1,3592,347:34700:0:Z1583448542;347:34700:0:Z1856955714;347:34700:0:Z1278666928;
O=C1CNCCN1,22739,347:34700:0:Z1628124147;347:34700:0:Z3589853122;347:34700:0:Z1693407173;
c1ccc2[nH]cnc2c1,29917,347:34700:0:Z1628124147;347:34700:0:Z3518063357;347:34700:0:Z1682555992;
c1cnccn1,33674,347:34700:0:Z3610826007;347:34700:0:Z3624219057;347:34700:0:Z3650139694;
O=c1ccc2ccc(F)cc2[nH]1,779,347:34700:0:Z2784221842;347:34700:0:Z1355431953;347:34700:0:Z3863746034;
c1ccc2occc2c1,14634,347:34700:0:Z3864772614;347:34700:0:Z2633107873;347:34700:0:Z795671632;
Fc1ccccc1F,32226,347:34700:0:Z3574165562;347:34700:0:Z1152276533;347:34700:0:Z3624219057;
C1CCSCC1,4888,347:34700:0:Z3173614707;347:34700:0:Z4467347694;347:34700:0:Z4604670937;
O=C1CCNC(=O)N1,44162,347:34700:0:Z3534894923;347:34700:0:Z4349594652;347:34700:0:Z3535184756;
c1ccnnc1,19618,347:34700:0:Z3534894923;347:34700:0:Z1919724401;347:34700:0:Z4426798830;
c1nnc2n1CCCC2,11095,347:34700:0:Z2708742416;347:34700:0:Z1735370158;347:34700:0:Z1500140102;
c1ccc2ncccc2c1,26772,347:34700:0:Z3642388894;347:34700:0:Z2171613190;347:34700:0:Z165219844;
Cc1ccn2cnnc2c1,574,347:34700:0:Z3051300579;347:34700:3:Z4290250876;347:34700:6:Z1764383741;
c1cc2c([nH]1)CCCNC2,197,347:34700:0:Z5006529763;347:34702:3:Z5004789774;347:34702:6:Z5006111066;
Cc1ccc2cc[nH]c2c1,1436,347:34700:0:Z3724289396;347:34700:0:Z1629820301;347:34700:1:Z1302737288;
C1CNC2CNCC2C1,524,347:34700:0:Z3724289396;347:34700:0:Z3724289485;347:34700:3:Z3724290913;
c1ncc2c(n1)CNCC2,840,347:34700:0:Z1189171043;347:34700:0:Z2631852731;347:34700:1:Z2954037607;
Cc1ccncc1,12628,347:34700:0:Z1874212533;347:34700:0:Z2769745062;347:34700:0:Z4076459330;
c1cn2nnnc2cn1,590,347:34700:0:Z1874212533;347:34700:1:Z2161673473;347:34700:2:Z4877128420;
C1CC2CC1CN2,3518,347:34700:0:Z3658277624;347:34700:0:Z3138503377;347:34700:0:Z5045228158;
NC1CCC1,1758,347:34700:0:Z3383207717;347:34700:0:Z3795703535;347:34700:0:Z3808026874;
Cn1cccn1,173201,347:34700:0:Z3175347217;347:34700:0:Z4078678567;347:34700:0:Z2628424876;
N=S1(=O)CCC2(CC1)CNCCO2,721,347:34700:0:Z3415322487;347:34700:0:Z3416602518;347:34700:0:Z3415004359;
OC1CCCNC1,10193,347:34700:0:Z2650300230;347:34700:0:Z4353619880;347:34700:0:Z4125414498;
CC1CCNCCN1,949,347:34700:0:Z1403334152;347:34700:0:Z1319799783;347:34700:1:Z1319801168;
Fc1cccnc1,25297,347:34700:0:Z3784823418;347:34700:0:Z4151883582;347:34700:0:Z4345777425;
C1CC2(CCOCC2)CN1,4595,347:34700:0:Z3382200138;347:34700:0:Z2266021789;347:34700:0:Z3682527826;
Cc1ccc2c(c1)CCS2(=O)=O,200,347:34700:0:Z4056158539;347:34700:4:Z3352485945;347:34700:4:Z3353676968;
CC1CCCCN1,17055,347:34700:0:Z4056158539;347:34700:0:Z2358255538;347:34700:0:Z1747822364;
