fragment_smiles,occurences,example_ligands
c1ccc2[nH]cnc2c1,6601,274:27400:0:PV-002998531448;274:27400:0:PV-003791549201;274:27400:0:PV-003791549202;
c1ccccc1,309172,274:27400:0:PV-002998531448;274:27400:0:PV-003791547227;274:27400:0:PV-003791547228;
Cn1ccccc1=O,13506,274:27400:0:PV-000252069721;274:27400:0:PV-003791550409;274:27400:0:PV-000499349254;
C1CNCC2(C1)CNC2,11291,274:27400:0:PV-000252069721;274:27400:0:PV-001086318034;274:27400:0:PV-003791551794;
Cc1ccco1,46790,274:27400:0:PV-003791547199;274:27400:0:PV-003791547236;274:27400:0:PV-003791547237;
C1CCNC1,586150,274:27400:0:PV-003791547199;274:27400:0:PV-004111630444;274:27400:0:PV-004111630465;
Nc1cccnc1,13144,274:27400:0:PV-003791547199;274:27400:0:PV-004111631213;274:27400:0:PV-003791553551;
Cc1cccn1C,16653,274:27400:0:PV-003791547206;274:27400:0:PV-003791547613;274:27400:0:PV-003791551941;
OC1CCNC1,92031,274:27400:0:PV-003791547214;274:27400:0:PV-003791547215;274:27400:0:PV-003791547724;
c1cn[nH]c1,224971,274:27400:0:PV-003791547214;274:27400:0:PV-003791547215;274:27400:0:PV-003791547321;
Fc1ccccc1,131903,274:27400:0:PV-003791547214;274:27400:0:PV-003791547215;274:27400:0:PV-004111630614;
Cc1cccnn1,17093,274:27400:0:PV-002694268214;274:27400:0:PV-000517449709;274:27400:0:PV-003791550203;
C1CCCNCC1,86238,274:27400:0:PV-002694268214;274:27400:0:PV-000517449709;274:27400:0:PV-002694268264;
Cn1nccc1Cl,11894,274:27400:0:PV-002694268214;274:27400:0:PV-000517449709;274:27400:0:PV-000595364798;
O=c1cccn[nH]1,16920,274:27400:0:PV-004111630444;274:27400:0:PV-002998532265;274:27400:0:PV-000250583267;
CC1(C)CCC1,21306,274:27400:0:PV-004111630444;274:27400:0:PV-004111630474;274:27400:0:PV-004111630689;
Cc1ccno1,28479,274:27400:0:PV-003791547227;274:27400:0:PV-003791547228;274:27400:0:PV-003791547229;
C1CCCC1,231523,274:27400:0:PV-003791547229;274:27400:0:PV-003791547230;274:27400:0:PV-000488044444;
O=c1cccc[nH]1,34838,274:27400:0:PV-003791547229;274:27400:0:PV-003791547230;274:27400:0:PV-000507526749;
C1CCNCC1,494097,274:27400:0:PV-003791547231;274:27400:0:PV-003791547232;274:27400:0:PV-000574680209;
Cn1cccn1,111597,274:27400:0:PV-003791547231;274:27400:0:PV-003791547232;274:27400:0:PV-002388408376;
c1cocn1,79314,274:27400:0:PV-003791547235;274:27400:0:PV-003791547412;274:27400:0:PV-002998531564;
C1NCC2CC12,112996,274:27400:0:PV-003791547235;274:27400:0:PV-003791547443;274:27400:0:PV-003791547641;
c1cnoc1,115799,274:27400:0:PV-003791547235;274:27400:0:PV-001504667542;274:27400:0:PV-000488044444;
c1cc[nH]c1,96730,274:27400:0:PV-000574680209;274:27400:0:PV-000453281452;274:27400:0:PV-000602466538;
c1cc2ccsc2cn1,3800,274:27400:0:PV-000574680209;274:27400:0:PV-000453281452;274:27400:0:PV-000602466538;
C1CC2CC2CN1,12098,274:27400:0:PV-003791547236;274:27400:0:PV-003791547237;274:27400:0:PV-003791547238;
c1cc2n(n1)CCCN2,1176,274:27400:0:PV-003791547240;274:27400:0:PV-002998533657;274:27400:0:PV-002998533658;
CN1CCCC1(C)C,36,274:27400:0:PV-004111630453;274:27400:6:PV-006367500197;274:27402:4:PV-004111702068;
c1c[nH]nn1,99480,274:27400:0:PV-004111630453;274:27400:0:PV-004111630506;274:27400:0:PV-002694268242;
Fc1ccc(F)cc1,7823,274:27400:0:PV-004111630453;274:27400:0:PV-001638736214;274:27400:0:PV-006367257975;
C1CC2(CCNC2)CN1,4620,274:27400:0:PV-000544500030;274:27400:0:PV-000544330314;274:27400:0:PV-004111633191;
c1cscn1,127972,274:27400:0:PV-000544500030;274:27400:0:PV-001410710724;274:27400:0:PV-001631599290;
C1CC2CC2C1,29278,274:27400:0:PV-003791547271;274:27400:0:PV-004111630635;274:27400:0:PV-004111630636;
c1ccn2nncc2c1,3179,274:27400:0:PV-003791547271;274:27400:0:PV-003791549273;274:27400:0:PV-003791550916;
Cc1ncco1,19807,274:27400:0:PV-004111630465;274:27400:0:PV-003791547321;274:27400:0:PV-003791550638;
Cn1cccc1,31640,274:27400:0:PV-004111630468;274:27400:0:PV-004111630789;274:27400:0:PV-003791548954;
OC1CC2CCC1C2,3060,274:27400:0:PV-004111630468;274:27400:0:PV-006367281685;274:27400:0:PV-006367281686;
c1cc2n(c1)CCOC2,1274,274:27400:0:PV-004111630470;274:27400:0:PV-006367264108;274:27400:2:PV-006367391504;
c1ccoc1,126310,274:27400:0:PV-003791547321;274:27400:0:PV-003791547433;274:27400:0:PV-003791547434;
C1CNCC2(C1)CCC2,9296,274:27400:0:PV-004111630474;274:27400:0:PV-002998532376;274:27400:0:PV-002998533314;
