fragment_smiles,occurences,example_ligands
Cc1ccc2c(C)nn(C)c2n1,1325,506:50600:0:Z241411538;506:50600:0:Z1768014550;506:50600:0:Z791955928;
Fc1ccc(Cl)cc1,1723,506:50600:0:Z1481295317;506:50600:0:Z741195694;506:50600:0:Z1259686299;
C1CC2(CCN1)CC2,5282,506:50600:0:Z1840710798;506:50600:0:Z5051894434;506:50600:0:Z1548679868;
c1ccc2c(c1)CCNC2,56248,506:50600:0:Z2969947107;506:50600:0:Z1998230167;506:50600:0:Z1173494444;
Cc1cc[nH]n1,35928,506:50600:0:Z1415548964;506:50600:0:Z1450345621;506:50600:0:Z1764382092;
c1ccsc1,110069,506:50600:0:Z1415548964;506:50600:0:Z1162006430;506:50600:0:Z2184172854;
OC1CCCCC1,8940,506:50600:0:Z1998230167;506:50600:0:Z4224083930;506:50600:0:Z1719697967;
OC1Cc2ccccc2C1,1664,506:50600:0:Z1918967164;506:50600:1:Z1929478716;506:50600:2:Z1241859154;
c1ccc2c(c1)CCCO2,17899,506:50600:0:Z1991707852;506:50600:0:Z2002307965;506:50600:0:Z912359264;
C1CCCNCC1,40635,506:50600:0:Z1778510047;506:50600:0:Z2067698675;506:50600:0:Z1802431616;
Cc1cn[nH]c1,19600,506:50600:0:Z1408917420;506:50600:0:Z1470569142;506:50600:0:Z3723294477;
c1ccc2c(c1)CCN2,49723,506:50600:0:Z1227862949;506:50600:0:Z3289483747;506:50600:0:Z2290588952;
c1ccc2c(c1)CCNCC2,7519,506:50600:0:Z4307304988;506:50600:0:Z1785837584;506:50600:0:Z1534133179;
Fc1cccnc1,14396,506:50600:0:Z4307304988;506:50600:0:Z3535079106;506:50600:0:Z3695482036;
C1CCCCC1,152627,506:50600:0:Z3724298325;506:50600:0:Z983055528;506:50600:0:Z980655976;
Cn1ncc2ccccc21,3413,506:50600:0:Z3724298325;506:50600:0:Z2191232094;506:50600:0:Z2111524835;
Cc1ccn2cc(C)nc2c1,299,506:50600:0:Z89518550;506:50600:0:Z2108872986;506:50600:4:Z363399048;
c1cnc2c(n1)CCCC2,89,506:50600:0:Z3572417788;506:50602:8:Z3082754446;506:50602:9:Z3203303277;
c1nnc2n1CCC2,3753,506:50600:0:Z1841625502;506:50600:0:Z1094195268;506:50600:0:Z2055154181;
O=C1NCCN1,19455,506:50600:0:Z1265960822;506:50600:0:Z1985192931;506:50600:0:Z1899835663;
Cc1ccco1,17566,506:50600:0:Z1257899152;506:50600:0:Z1467626264;506:50600:0:Z966540236;
C1CCOC1,103899,506:50600:0:Z666808934;506:50600:0:Z1552932768;506:50600:0:Z2026042350;
c1nnco1,37427,506:50600:0:Z3548876954;506:50600:0:Z1118847416;506:50600:0:Z1662822934;
Cc1ccccc1C,38954,506:50600:0:Z3548876954;506:50600:0:Z62887870;506:50600:0:Z3696839818;
Cc1ccncn1,16193,506:50600:0:Z1140299130;506:50600:0:Z1244134756;506:50600:0:Z4272107324;
Cn1ncc2ccccc2c1=O,2415,506:50600:0:Z1224275766;506:50600:0:Z512987962;506:50600:0:Z1417188724;
O=C1NCCc2ccccc21,4533,506:50600:0:Z1224275766;506:50600:0:Z1921727409;506:50600:0:Z2708581786;
c1ccc2[nH]cnc2c1,44925,506:50600:0:Z1317931360;506:50600:0:Z1362568259;506:50600:0:Z288891684;
Nc1cc(=O)[nH]c(=O)[nH]1,9518,506:50600:0:Z1317931360;506:50600:0:Z162938486;506:50600:0:Z235873764;
O=c1[nH]nc2ccccn12,3575,506:50600:0:Z4224083930;506:50600:0:Z1172839235;506:50600:0:Z1177487443;
CC1Cc2ccccc2O1,4312,506:50600:0:Z4515410137;506:50600:0:Z1369462899;506:50600:0:Z3351829334;
Clc1ccc2nc[nH]c2c1,324,506:50600:0:Z24522134;506:50600:0:Z237541462;506:50600:8:Z209816380;
c1ccn2cncc2c1,2321,506:50600:0:Z1875617494;506:50600:0:Z3722028101;506:50600:0:Z3726666010;
Cn1ccnc1,43090,506:50600:0:Z1312768271;506:50600:0:Z162938486;506:50600:0:Z1613020424;
OC1CC2(CCCCC2)C1,37,506:50600:0:Z3871717692;506:50600:1:Z4095875038;506:50602:4:Z4316696538;
Nc1ccccn1,589,506:50600:0:Z2045208200;506:50600:0:Z2036604688;506:50600:1:Z2045203760;
Cn1c(=O)[nH]c2ccccc21,3038,506:50600:0:Z738075438;506:50600:0:Z750373154;506:50600:0:Z348003802;
CN1CCNCc2ccccc21,662,506:50600:0:Z1375418777;506:50600:3:Z1391487329;506:50600:4:Z1410544466;
Oc1ccccc1,53314,506:50600:0:Z1378593351;506:50600:0:Z1466768644;506:50600:0:Z1408241460;
CN1CCNCC1=O,2076,506:50600:0:Z1956742382;506:50600:2:Z1767345474;506:50600:3:Z1961418492;
Cc1cc(C)cc(C)c1,9491,506:50600:0:Z848658826;506:50600:0:Z3367568355;506:50600:0:Z1403242856;
c1nnn[nH]1,48042,506:50600:0:Z848658826;506:50600:0:Z1742606080;506:50600:0:Z1814568344;
Clc1ccc2nccn2c1,1236,506:50600:0:Z495830394;506:50600:0:Z1733879225;506:50600:0:Z1330069028;
O=c1cnc2ccccc2[nH]1,1004,506:50600:0:Z1274719498;506:50600:1:Z384162416;506:50600:1:Z1265272098;
c1cnoc1,41639,506:50600:0:Z1466768644;506:50600:0:Z1275000565;506:50600:0:Z794188772;
c1c[nH]cn1,75350,506:50600:0:Z2668701627;506:50600:0:Z2114722389;506:50600:0:Z1168080935;
OC1CNC1,2745,506:50600:0:Z2037998848;506:50600:0:Z3723494939;506:50600:0:Z3723307422;
Cc1ccc(C)[nH]1,15483,506:50600:0:Z18371282;506:50600:0:Z2015029308;506:50600:0:Z1498237598;
Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,73,506:50600:0:Z18371282;506:50600:3:Z167801618;506:50600:8:Z317310274;
c1nnc[nH]1,114290,506:50600:0:Z2021107285;506:50600:0:Z2026042350;506:50600:0:Z3362372615;
O=C1Nc2ccccc2OC1(F)F,458,506:50600:0:Z2206468769;506:50600:0:Z2209466320;506:50600:0:Z2206231469;
C1CNCCOC1,4486,506:50600:0:Z2206468769;506:50600:0:Z1864922891;506:50600:0:Z3712746145;
c1nnc2n1CCCCC2,6718,506:50600:0:Z968028994;506:50600:0:Z2027057412;506:50600:0:Z1545327668;
FC1(F)CC2(CNC2)C1,35,506:50600:0:Z1535947286;506:50608:4:Z1483931163;506:50613:6:Z1535945925;
O=c1cccc[nH]1,44480,506:50600:0:Z1510767043;506:50600:0:Z3474287294;506:50600:0:Z1219815758;
Cc1cc(C)[nH]n1,64213,506:50600:0:Z2078115342;506:50600:0:Z3882250965;506:50600:0:Z1921727409;
c1ccc2ncccc2c1,35524,506:50600:0:Z1252345220;506:50600:0:Z1433396816;506:50600:0:Z1864118111;
O=c1[nH]cnc2sc3c(c12)CCC3,510,506:50600:0:Z1591918820;506:50600:1:Z373581734;506:50600:2:Z759094584;
CC1CCCCC1,13253,506:50600:0:Z1591918820;506:50600:0:Z1895381830;506:50600:0:Z1243610492;
CC1Cc2ccccc2N1,5549,506:50600:0:Z1145520570;506:50600:0:Z1768005220;506:50600:0:Z73865918;
Fc1ccc2ncsc2c1,305,506:50600:0:Z909906654;506:50600:3:Z2165052668;506:50601:0:Z2003184345;
Cc1cc(C)n2ncnc2n1,4741,506:50600:0:Z1470295763;506:50600:0:Z73865918;506:50600:0:Z1004110818;
OC1CCNCC1,27830,506:50600:0:Z1948522399;506:50600:0:Z1417448001;506:50600:0:Z3048914051;
Cc1ncon1,12316,506:50600:0:Z2114722389;506:50600:0:Z596146358;506:50600:0:Z1089060680;
Clc1ccc2c(c1)COCO2,164,506:50600:0:Z1100301620;506:50600:1:Z1304288140;506:50601:5:Z1329640532;
Cn1ccccc1=O,4567,506:50600:0:Z792904700;506:50600:0:Z3098120848;506:50600:0:Z1013970654;
Cn1cnc2ccccc21,8921,506:50600:0:Z1232333908;506:50600:0:Z1716931631;506:50600:0:Z2013572670;
O=c1[nH]c(=O)c2cccnc2[nH]1,8339,506:50600:0:Z2094981991;506:50600:0:Z1636780563;506:50600:0:Z1550598595;
Cn1cnc2ccc(F)cc21,515,506:50600:0:Z1174909051;506:50600:0:Z1703809162;506:50600:1:Z1174911395;
CC1(C)CCNC1,1210,506:50600:0:Z3882250965;506:50600:0:Z1345831910;506:50600:0:Z1352350656;
c1cocn1,40880,506:50600:0:Z2016506495;506:50600:0:Z2781146927;506:50600:0:Z2228160217;
O=c1[nH]c2ccccc2o1,9030,506:50600:0:Z2016506495;506:50600:0:Z1498237598;506:50600:0:Z1700373076;
Cc1ccc(F)cc1,5682,506:50600:0:Z1989677638;506:50600:0:Z1888453738;506:50600:0:Z30904371;
Cc1cccc(F)c1,14186,506:50600:0:Z1748003495;506:50600:0:Z1995754869;506:50600:0:Z2209828791;
CC1(C)CC(O)c2ccccc21,120,506:50600:0:Z1748003495;506:50601:0:Z1747994052;506:50602:3:Z1747994422;
c1cn2c(n1)CCC21CNC1,1725,506:50600:0:Z3258103781;506:50600:0:Z3258012865;506:50600:0:Z3259916453;
CC1CCCN1,12379,506:50600:0:Z2114826964;506:50600:0:Z1461098392;506:50600:0:Z1814568344;
Clc1ccc2ccccc2c1,121,506:50600:0:Z1420067903;506:50600:7:Z1420251394;506:50600:7:Z1420286522;
c1c[nH]nn1,82383,506:50600:0:Z3722195385;506:50600:0:Z1312647545;506:50600:0:Z1389409620;
CC1CNCC(C)C1,7656,506:50600:0:Z1273674624;506:50600:0:Z1625028795;506:50600:0:Z1196520895;
Cc1ncn[nH]1,9377,506:50600:0:Z1552932768;506:50600:0:Z1192597516;506:50600:0:Z1626266354;
Clc1ccc(Cl)cc1,1570,506:50600:0:Z1552932768;506:50600:1:Z1081289674;506:50600:3:Z1104545743;
Cc1ccc(C)cc1,15589,506:50600:0:Z2026042350;506:50600:0:Z1168080935;506:50600:0:Z2099561593;
Cc1cccc2nccn12,1707,506:50600:0:Z1168080935;506:50600:0:Z2687382583;506:50600:0:Z24733872;
CN1CCNCC1,67372,506:50600:0:Z1408241460;506:50600:0:Z1939939046;506:50600:0:Z1191207971;
C1CC2(C1)CCNCC2,448,506:50600:0:Z3362372615;506:50601:2:Z4113178191;506:50601:4:Z2092553145;
Cc1coc(C)c1,420,506:50600:0:Z4639347552;506:50600:1:Z3257696287;506:50600:7:Z3393616616;
c1ccnnc1,17186,506:50600:0:Z1087857436;506:50600:0:Z1932439791;506:50600:0:Z1411655336;
Cn1ccc(=O)n(C)c1=O,3626,506:50600:0:Z1510329267;506:50600:0:Z1822953129;506:50600:0:Z3712598763;
C1CCCNCCC1,1520,506:50600:0:Z1075013282;506:50600:0:Z1750909463;506:50600:1:Z1067975882;
c1cnccn1,33412,506:50600:0:Z2773584020;506:50600:0:Z2873829938;506:50600:0:Z1683962567;
Cc1ccnc(C)n1,5656,506:50600:0:Z3474287294;506:50600:0:Z1317932598;506:50600:0:Z1344772447;
c1nc2n(n1)CCCN2,200,506:50600:0:Z2638327352;506:50600:2:Z1124093375;506:50600:8:Z1014128180;
c1cnc2c(c1)CNCC1CCCN21,2079,506:50600:0:Z2807610020;506:50600:0:Z2807610314;506:50600:0:Z2807610239;
Cn1ccc2ccccc2c1=O,2618,506:50600:0:Z2067698675;506:50600:0:Z2075830003;506:50600:1:Z2059876144;
c1ccc2scnc2c1,12958,506:50600:0:Z803616844;506:50600:0:Z1839492970;506:50600:0:Z289487770;
O=C1CCCCN1,60965,506:50600:0:Z1850474903;506:50600:0:Z1228048888;506:50600:0:Z1354877646;
c1cc2c(s1)CCCCC2,320,506:50600:0:Z989436626;506:50601:1:Z1272717384;506:50601:3:Z907803658;
c1ccn2cnnc2c1,11470,506:50600:0:Z988379788;506:50600:0:Z1797119694;506:50600:0:Z1437266093;
O=c1[nH]cn[nH]1,2763,506:50600:0:Z2184172854;506:50600:0:Z1721957688;506:50600:0:Z2184175842;
c1nc[nH]n1,78545,506:50600:0:Z1437779371;506:50600:0:Z2650219848;506:50600:0:Z239698496;
CC1CCN(C)C1,148,506:50600:0:Z1410016718;506:50600:5:Z4418651404;506:50602:5:Z1408333372;
CC1CCNCC1,29496,506:50600:0:Z1373692388;506:50600:0:Z1658047165;506:50600:0:Z3723516965;
c1cc[nH]c1,25994,506:50600:0:Z1373692388;506:50600:0:Z2005249182;506:50600:0:Z1028073548;
O=c1[nH][nH]c(=O)c2ccccc12,2001,506:50600:0:Z1228048888;506:50600:0:Z1262367467;506:50600:0:Z905718034;
CC1CCCCC1C,1220,506:50600:0:Z752083846;506:50600:2:Z971083818;506:50600:3:Z997183808;
