fragment_smiles,occurences,example_ligands
c1scc2c1CCCC2,396,37:03700:1:PV-003532067981;37:03700:3:PV-002897999798;37:03700:4:PV-002898050688;
O=S1(=O)CC2CCC(C1)N2,36,37:03700:1:PV-002897950808;37:03700:4:PV-002898030887;37:03705:7:PV-002899760357;
CC1CNCCC1=O,145,37:03700:1:PV-002424626480;37:03700:5:PV-002321140535;37:03701:7:PV-005600608474;
Cc1ccc2occc2c1,629,37:03700:1:PV-002321124464;37:03700:2:PV-002897963805;37:03700:3:PV-002528129639;
CC1(C)CC2(CCC2)CN1,130,37:03700:1:PV-003532068603;37:03700:1:PV-003532074123;37:03700:3:PV-002476378680;
Cc1cccc2cccnc12,731,37:03700:1:PV-002897951009;37:03700:2:PV-003532133239;37:03700:3:PV-002897986828;
CC1CC2(CC2)C1,655,37:03700:1:PV-003532068741;37:03700:2:PV-003532095868;37:03700:6:PV-003532439527;
CC1CCC1(C)C,412,37:03700:1:PV-002897951073;37:03700:4:PV-002372893227;37:03700:8:PV-003532604951;
FC1(F)CC12CCCCC2,234,37:03700:1:PV-002897951102;37:03700:2:PV-003532084462;37:03701:2:PV-002898282540;
c1noc2c1CCCCC2,261,37:03700:1:PV-002897951131;37:03700:3:PV-002897985190;37:03700:3:PV-002897985191;
Cc1ccoc1C,1140,37:03700:1:PV-001053137576;37:03700:6:PV-003532436532;37:03700:6:PV-002898105286;
C1CCC2(C1)CCOC2,622,37:03700:1:PV-003532069344;37:03700:2:PV-003532094169;37:03700:3:PV-003532200142;
NC1CNC2(CCOC2)C1,28,37:03700:1:PV-002897951352;37:03702:4:PV-003533994548;37:03704:5:PV-002899363223;
Nc1ncnc2nc[nH]c12,216,37:03700:1:PV-003532069972;37:03700:2:PV-003532089371;37:03700:2:PV-003532105638;
C1CCC2(C1)CCCOC2,118,37:03700:1:PV-003532069972;37:03700:2:PV-002424628285;37:03701:8:PV-002528206060;
CC1CC(C)(C)c2ccccc21,36,37:03700:1:PV-002528120464;37:03700:1:PV-002579870805;37:03700:1:PV-002114126934;
Nc1nnco1,1023,37:03700:1:PV-002897951630;37:03700:2:PV-002424627289;37:03700:6:PV-002898092924;
O=c1[nH]ccc2ccc(Cl)cc12,78,37:03700:1:PV-002897951678;37:03703:9:PV-002899167405;37:03706:7:PV-002900079384;
O=c1cncc(Cl)[nH]1,105,37:03700:1:PV-002897951788;37:03701:2:PV-002898281463;37:03702:0:PV-003533602849;
C1CC2(C1)CNC1COCC12,585,37:03700:1:PV-003532071326;37:03700:5:PV-003532336979;37:03700:7:PV-003532564560;
C1CNC2(C1)CCOCC2,364,37:03700:1:PV-003532071330;37:03700:2:PV-003532106191;37:03700:3:PV-003532171519;
Cc1cc(=O)n2c(n1)NCC2,19,37:03700:1:PV-003532072294;37:03708:6:PV-005617739832;37:03711:1:PV-002425179791;
Cc1cc(C)c2c(c1)CCNC2,105,37:03700:1:PV-003532072359;37:03700:1:PV-003532072360;37:03702:0:PV-002898573744;
OC1CCNC12CCCC2,51,37:03700:1:PV-002372880769;37:03704:3:PV-002373091620;37:03709:1:PV-002900871981;
CC1CCCC(N)C1,300,37:03700:1:PV-003532072631;37:03700:7:PV-003532556136;37:03701:3:PV-003533079694;
Cc1ccn[nH]c1=O,898,37:03700:1:PV-002897952471;37:03700:1:PV-002579870962;37:03700:1:PV-002114127086;
CC1CN=CNC1,617,37:03700:1:PV-002897952584;37:03700:4:PV-002898017538;37:03700:4:PV-002898049226;
O=S1(=O)C2CCCC1CC2,368,37:03700:1:PV-003532073359;37:03700:7:PV-002898130246;37:03700:7:PV-002424654411;
CC12CNCCC1C2(F)F,574,37:03700:1:PV-003532073486;37:03700:2:PV-003532085670;37:03700:6:PV-003532410439;
Cc1ccn(C)c1,1977,37:03700:1:PV-002897952782;37:03700:2:PV-003532075433;37:03700:2:PV-002897973179;
Fc1cc2nc[nH]c2cc1Cl,97,37:03700:1:PV-003532073619;37:03703:4:PV-002899025237;37:03704:2:PV-003535479222;
OC1CCCOC1,858,37:03700:1:PV-002897952867;37:03700:2:PV-003532129765;37:03700:2:PV-003532132140;
CC1CNCC(=O)N1C,150,37:03700:1:PV-003532073851;37:03700:6:PV-003532428762;37:03704:5:PV-002899387094;
c1noc2c1CSCC2,259,37:03700:1:PV-003532073851;37:03700:3:PV-002897998036;37:03700:3:PV-002898006542;
C1CNC2(CC2)CN1,84,37:03700:1:PV-003532074015;37:03704:0:PV-005606199337;37:03704:2:PV-003535478691;
Nc1ccon1,597,37:03700:1:PV-003532074095;37:03700:6:PV-003532439927;37:03701:2:PV-003532946386;
c1occ2c1CCC2,450,37:03700:1:PV-003532074319;37:03700:1:PV-003532074320;37:03700:2:PV-002897975124;
Cc1cc(C)nc(C)n1,129,37:03700:1:PV-003532074525;37:03700:7:PV-003532544420;37:03703:9:PV-003535222123;
Oc1nscc1Cl,1161,37:03700:1:PV-002528120713;37:03700:4:PV-002528131758;37:03700:5:PV-003532387537;
Cc1cc2cnccn2n1,212,37:03700:1:PV-002897953214;37:03700:2:PV-005596570073;37:03701:1:PV-002898273558;
O=C1CCCc2ncccc21,135,37:03700:1:PV-003532074708;37:03701:2:PV-002898289602;37:03701:4:PV-002424692490;
FC12CNCC(C1)C2,365,37:03700:1:PV-002897953235;37:03700:3:PV-005596956845;37:03700:3:PV-002898008764;
O=c1ccoc2cc(Cl)ccc12,38,37:03700:1:PV-002528120743;37:03700:1:PV-002579871099;37:03703:7:PV-002580050782;
Cc1ccn2ccnc2c1,691,37:03700:2:PV-002269373919;37:03700:3:PV-002372885916;37:03700:3:PV-003532159691;
Cc1cncn2ccnc12,499,37:03700:2:PV-002897953446;37:03700:6:PV-002898114692;37:03700:8:PV-002898165871;
CC1CNc2ccccc2C1,178,37:03700:2:PV-002424626918;37:03701:7:PV-002165953712;37:03701:8:PV-002898489760;
Cc1cncc(N)c1,198,37:03700:2:PV-002897953483;37:03700:3:PV-003532232915;37:03700:5:PV-002898067515;
Cc1ccc2c(=O)[nH]ccc2c1,11,37:03700:2:PV-003532075478;37:03719:4:PV-003548311335;37:03724:7:PV-003552807016;
CC1(O)CCCNC1,192,37:03700:2:PV-005596566665;37:03700:7:PV-002372910339;37:03701:7:PV-002898445444;
CC1(C)CCCNC1=O,224,37:03700:2:PV-005596568203;37:03700:3:PV-002898006682;37:03700:3:PV-005597073425;
c1cn2c(n1)CNCC2,121,37:03700:2:PV-005596568482;37:03700:5:PV-002898072347;37:03701:9:PV-002898538614;
C1CCC2NCCC2C1,897,37:03700:2:PV-005596574073;37:03700:3:PV-005597024589;37:03700:3:PV-005597178341;
Fc1ccc2c(c1)CNCCO2,73,37:03700:2:PV-005596576651;37:03704:2:PV-002269578139;37:03704:4:PV-003535637440;
O=c1cnnc2n1CCC2,668,37:03700:2:PV-005596585748;37:03700:5:PV-005597592303;37:03700:5:PV-005597592304;
CC1CCNCCS1(=O)=O,163,37:03700:2:PV-005596586191;37:03700:2:PV-004041239867;37:03700:8:PV-005598296007;
O=C1NCCC12CCC2,329,37:03700:2:PV-005596590521;37:03700:2:PV-002897976584;37:03700:3:PV-003532166684;
C1CC2COCC1C2,86,37:03700:2:PV-005596590602;37:03702:9:PV-005603487689;37:03702:9:PV-005603555854;
Nc1ccnc2ccnn12,156,37:03700:2:PV-005596591757;37:03700:7:PV-003532575179;37:03702:0:PV-003533654388;
CC1CC2CCC1CC2=O,575,37:03700:2:PV-005596594469;37:03700:5:PV-005597446637;37:03700:9:PV-005598476136;
OC1CC2(CCNCC2)C1,111,37:03700:2:PV-005596594896;37:03700:3:PV-005596987775;37:03700:8:PV-002898164946;
O=C1CCC2(CCCNC2)CN1,25,37:03700:2:PV-005596596640;37:03706:7:PV-003537623238;37:03710:3:PV-003540608451;
Clc1ncc2c(n1)CCC2,123,37:03700:2:PV-005596597270;37:03700:2:PV-005596791787;37:03700:5:PV-005597511536;
Cc1cc(C)c2c(n1)CCCC2=O,49,37:03700:2:PV-005596602258;37:03700:2:PV-005596602259;37:03700:2:PV-005596602260;
O=C1CCC2(CNC2)CN1,1140,37:03700:2:PV-005596603787;37:03700:2:PV-005596692917;37:03700:2:PV-005596804709;
CC1CCCNC1C,806,37:03700:2:PV-005596608873;37:03700:4:PV-002321138073;37:03700:4:PV-002424639981;
Clc1ccc2nncn2c1,318,37:03700:2:PV-005596613113;37:03700:9:PV-002898191350;37:03701:1:PV-002898272735;
c1cc2sccc2o1,639,37:03700:2:PV-005596614061;37:03700:3:PV-003532174095;37:03700:3:PV-002424636492;
c1nc2c(o1)CCNC2,182,37:03700:2:PV-005596614673;37:03700:4:PV-005597313046;37:03700:4:PV-002898037990;
c1ccc2nnccc2c1,713,37:03700:2:PV-005596621656;37:03700:6:PV-003532480650;37:03700:7:PV-005597850269;
O=C1NCCNC12CC2,73,37:03700:2:PV-005596625247;37:03700:4:PV-003532256232;37:03700:8:PV-005598404660;
c1ncc2[nH]ccc2n1,425,37:03700:2:PV-005596629350;37:03700:4:PV-002898033496;37:03700:7:PV-003532497939;
C1CC2(CCOC2)CN1,637,37:03700:2:PV-005596631221;37:03700:3:PV-005597140696;37:03700:6:PV-005597666804;
OC1COc2ccccc21,122,37:03700:2:PV-005596633679;37:03700:4:PV-002898044442;37:03700:6:PV-002898114309;
Cn1ncc2ccc(F)cc21,196,37:03700:2:PV-005596634034;37:03700:2:PV-005596805866;37:03701:3:PV-005599409362;
O=c1nc[nH]c2cc(Cl)ccc12,17,37:03700:2:PV-005596635370;37:03700:6:PV-003532471613;37:03701:2:PV-002165929786;
Cc1n[nH]c2ccccc12,898,37:03700:2:PV-005596644722;37:03700:2:PV-003532076749;37:03700:2:PV-003532083256;
C1CCC2(CCSC2)OC1,31,37:03700:2:PV-005596645917;37:03701:3:PV-002321180635;37:03702:9:PV-002166014992;
O=S1(=O)CCC2(CCC2)C1,90,37:03700:2:PV-005596649186;37:03703:3:PV-003534754042;37:03703:8:PV-002899148624;
FC1(F)CNCC2(CCC2)C1,168,37:03700:2:PV-005596652376;37:03701:0:PV-002898222357;37:03701:5:PV-003533217278;
CC1NCN(C)C1=O,145,37:03700:2:PV-005596658166;37:03700:3:PV-002898010647;37:03701:1:PV-003532917408;
C1CCC2(CCC2)OC1,1103,37:03700:2:PV-005596660197;37:03700:4:PV-003532290312;37:03700:6:PV-002898115945;
O=c1[nH]cnc2c1COCC2,154,37:03700:2:PV-005596661532;37:03700:9:PV-003532687785;37:03701:2:PV-003532926993;
Cn1c(=O)n(C)c2ccccc21,263,37:03700:2:PV-005596663739;37:03700:8:PV-002898168968;37:03701:5:PV-005600164647;
C1CC2COCC12,339,37:03700:2:PV-005596672248;37:03700:4:PV-003532269893;37:03700:6:PV-003532472405;
CC1COC(C)(C)OC1,253,37:03700:2:PV-005596686779;37:03700:5:PV-005597510511;37:03700:8:PV-005598243563;
O=C1COc2cccnc2N1,507,37:03700:2:PV-005596691176;37:03700:4:PV-003532244596;37:03700:4:PV-003532313634;
O=C1C2CCCC1CC2,1107,37:03700:2:PV-005596695991;37:03700:2:PV-005596714868;37:03700:2:PV-005596714869;
C1CNC2(C1)CCCOC2,81,37:03700:2:PV-005596700407;37:03700:7:PV-002424652142;37:03702:6:PV-002114249086;
Clc1csc2cccnc12,150,37:03700:2:PV-005596701473;37:03700:6:PV-002898110604;37:03700:8:PV-002898161275;
Cc1ncc(F)c(C)n1,156,37:03700:2:PV-005596703370;37:03700:7:PV-002898139292;37:03701:6:PV-005600261094;
O=C1CCOCCN1,322,37:03700:2:PV-005596709778;37:03700:2:PV-002897969342;37:03700:2:PV-002897970676;
CC1CNC(C)CN1,880,37:03700:2:PV-005596711367;37:03700:4:PV-003532281973;37:03700:6:PV-003532433951;
C1CCC2CCC2CC1,694,37:03700:2:PV-003532075773;37:03700:2:PV-003532138295;37:03700:3:PV-003532226693;
C1CCCOCC1,1641,37:03700:2:PV-002897953617;37:03700:2:PV-005596803778;37:03700:3:PV-003532161077;
Cc1cncc(C)n1,248,37:03700:2:PV-003532075877;37:03700:2:PV-003532075878;37:03700:2:PV-003532075879;
C1=NCC2(CCC2)CN1,465,37:03700:2:PV-002897953702;37:03700:3:PV-002898011022;37:03700:6:PV-002898086359;
Cc1cc2ncccn2n1,799,37:03700:2:PV-002114127272;37:03700:3:PV-005596979816;37:03700:6:PV-005597834880;
c1cc2c(cn1)OCCC2,187,37:03700:2:PV-003532076031;37:03700:3:PV-002424635917;37:03700:4:PV-003532281020;
Nc1cc(=O)[nH]cn1,126,37:03700:2:PV-002269373983;37:03701:0:PV-002898234866;37:03701:0:PV-002528164301;
NC1CNC2(CCCC2)C1,82,37:03700:2:PV-002897953960;37:03701:2:PV-005599354049;37:03701:5:PV-003533184665;
O=c1[nH]sc2ccccc12,126,37:03700:2:PV-003532076749;37:03700:6:PV-002898100995;37:03701:0:PV-002898244421;
CC1(C)CNC2CCCC21,480,37:03700:2:PV-003532076823;37:03700:4:PV-003532307924;37:03700:6:PV-003532434079;
Cn1cnc(N)c1,343,37:03700:2:PV-003532076917;37:03701:0:PV-003532797871;37:03701:7:PV-003533368571;
c1cnc2occc2c1,916,37:03700:2:PV-003532077413;37:03700:2:PV-002579872018;37:03700:3:PV-003532232633;
CC1CCCCC1O,147,37:03700:2:PV-002476373813;37:03700:4:PV-002321135012;37:03700:5:PV-002217639517;
Fc1ccc(F)c2ncccc12,176,37:03700:2:PV-002269374091;37:03700:4:PV-002898044366;37:03700:4:PV-002898044367;
Cc1cc[nH]c(=O)c1,818,37:03700:2:PV-002897954804;37:03700:3:PV-002897993070;37:03700:4:PV-002898050113;
CC1CCC2(CCN2)CC1,205,37:03700:2:PV-002897954835;37:03700:4:PV-003532290393;37:03702:4:PV-003533960807;
O=c1[nH]cnc2[nH]cnc12,93,37:03700:2:PV-002897955189;37:03702:5:PV-002898714792;37:03706:8:PV-002900117230;
Cc1cccc2ccoc12,277,37:03700:2:PV-002897955412;37:03700:4:PV-002898029663;37:03700:4:PV-003532270301;
Cn1cnn(C)c1=O,82,37:03700:2:PV-002897955412;37:03703:3:PV-005604581427;37:03704:6:PV-003535834149;
CC1(C)CCc2ccoc2C1,28,37:03700:2:PV-003532080513;37:03703:6:PV-002899062654;37:03703:6:PV-002899072571;
Clc1cc(Cl)c2cccnc2c1,70,37:03700:2:PV-002897955467;37:03702:3:PV-003533910929;37:03702:6:PV-003534175290;
Cc1cccc2cc[nH]c12,408,37:03700:2:PV-002897955494;37:03700:6:PV-003532458399;37:03701:3:PV-002898321911;
ClC1=CCCc2ncccc21,104,37:03700:2:PV-002897955516;37:03700:4:PV-002898020946;37:03700:9:PV-002898199340;
C1CCCSCC1,540,37:03700:2:PV-002269374240;37:03700:2:PV-004041253633;37:03700:3:PV-002372886079;
OC1CCNCC1(F)F,98,37:03700:2:PV-003532080912;37:03702:1:PV-002898582236;37:03702:6:PV-002898741667;
C1CNCC2(C1)OCC1CC12,483,37:03700:2:PV-003532081428;37:03700:4:PV-003532253201;37:03700:7:PV-003532530591;
Nc1c[nH]c2ccccc12,76,37:03700:2:PV-002897956109;37:03701:1:PV-002898276848;37:03702:7:PV-003534210239;
Cc1cnc(Cl)o1,1143,37:03700:2:PV-003532081891;37:03700:2:PV-003532117614;37:03700:3:PV-003532173061;
Cc1ccc2nonc2c1,411,37:03700:2:PV-003532082147;37:03700:4:PV-002898024013;37:03700:7:PV-003532525057;
FC1CNCC(F)C1,271,37:03700:2:PV-003532082205;37:03700:4:PV-002898017542;37:03702:6:PV-002898737823;
Cc1cc(=O)c2ccccc2o1,35,37:03700:2:PV-002897956430;37:03701:5:PV-002898411001;37:03702:8:PV-002898831622;
CC1(C)OCC2CC21,535,37:03700:2:PV-003532083061;37:03700:2:PV-002476377036;37:03700:5:PV-002898053004;
c1ccn2nnnc2c1,560,37:03700:2:PV-002579871584;37:03700:2:PV-002476376699;37:03700:3:PV-002217628441;
CC1CCCCC1(F)F,556,37:03700:2:PV-002897956652;37:03700:3:PV-005596996404;37:03700:3:PV-002898013138;
Cc1nncn1C,1463,37:03700:2:PV-002114127730;37:03700:2:PV-002321125643;37:03700:3:PV-002897992313;
c1ncc2c(n1)CCCS2,127,37:03700:2:PV-002897956834;37:03700:6:PV-002898094246;37:03700:7:PV-002898131352;
Cc1ncn(C)c1C,219,37:03700:2:PV-002897957025;37:03700:9:PV-003532701640;37:03700:9:PV-002898210358;
C1CCC2(CC1)CCCNC2,220,37:03700:2:PV-003532084203;37:03700:7:PV-002579897855;37:03701:1:PV-005598976223;
Oc1cc(Cl)cc(Cl)c1,459,37:03700:2:PV-002897957042;37:03700:4:PV-002898046068;37:03700:6:PV-002898111355;
Cc1cccc(Cl)c1Cl,498,37:03700:2:PV-003532084941;37:03700:2:PV-003532084942;37:03700:2:PV-003532084943;
Fc1ccc2c(c1)CCO2,471,37:03700:2:PV-002897957345;37:03700:2:PV-003532091743;37:03700:7:PV-003532524800;
c1cc2cncnn2c1,614,37:03700:2:PV-003532085741;37:03700:6:PV-003532476627;37:03701:2:PV-003533001067;
Nc1cncs1,311,37:03700:2:PV-003532085909;37:03700:2:PV-005596790958;37:03700:5:PV-002898070793;
O=C1CC2CCCC(C1)N2,19,37:03700:2:PV-002897957769;37:03702:0:PV-005601147664;37:03702:0:PV-005601324690;
c1nc2c(s1)CNC2,206,37:03700:2:PV-003532086480;37:03700:5:PV-003532373965;37:03700:6:PV-003532464321;
Cc1cnoc1N,445,37:03700:2:PV-003532086548;37:03700:3:PV-002898011395;37:03700:6:PV-002898093478;
O=c1ccc2ccc(Cl)cc2[nH]1,27,37:03700:2:PV-002897957967;37:03704:2:PV-002899260438;37:03720:7:PV-003549433817;
Cc1cccnc1O,468,37:03700:2:PV-002897958123;37:03700:5:PV-003532356438;37:03700:7:PV-003532577087;
CN1CC2CNCC2(C)C1,479,37:03700:2:PV-003532087448;37:03700:3:PV-003532175318;37:03700:3:PV-003532191737;
Fc1cc2ncccc2cc1Cl,86,37:03700:2:PV-002897958418;37:03700:2:PV-002897958420;37:03702:3:PV-002898652400;
Cn1ccc(Cl)c1,1350,37:03700:2:PV-003532087993;37:03700:2:PV-005596757139;37:03700:2:PV-005596757140;
O=c1ccc2c([nH]1)CCNC2,199,37:03700:2:PV-002897958648;37:03700:5:PV-002476389728;37:03700:6:PV-002898116462;
FC1(F)CC12CNC2,168,37:03700:2:PV-002897958763;37:03700:3:PV-002898011421;37:03700:5:PV-005597468249;
FC1CC2CNC1C2,316,37:03700:2:PV-003532089346;37:03700:6:PV-003532418858;37:03701:1:PV-003532906838;
C1CC2COCCC2N1,87,37:03700:2:PV-002114128089;37:03701:0:PV-003532806637;37:03702:6:PV-005602815317;
CC1(C)CC2CNCC21,1050,37:03700:2:PV-003532089934;37:03700:8:PV-003532588736;37:03700:8:PV-003532638657;
C1CC2(CCS1)CC2,394,37:03700:2:PV-003532090738;37:03700:3:PV-003532201853;37:03700:3:PV-005597097297;
c1ncc2[nH]cnc2n1,600,37:03700:2:PV-003532091394;37:03700:6:PV-002898109354;37:03700:6:PV-002898115396;
Cc1ccc(Cl)cc1C,465,37:03700:2:PV-002897959903;37:03700:3:PV-002321129962;37:03700:3:PV-002476379955;
Cn1ncnc1F,59,37:03700:2:PV-003532091749;37:03703:8:PV-002899136635;37:03705:4:PV-003536535124;
C1CCC2(CC1)CCCN2,269,37:03700:2:PV-003532091923;37:03700:2:PV-003532091924;37:03700:4:PV-003532243823;
Cn1ccc(=O)[nH]1,107,37:03700:2:PV-002897960114;37:03701:1:PV-002898249331;37:03701:3:PV-003533060957;
Cc1cc(N)sn1,599,37:03700:2:PV-003532092249;37:03700:2:PV-002897971631;37:03700:7:PV-002898147523;
Cc1cc(=O)ccn1C,234,37:03700:2:PV-002217623873;37:03700:2:PV-002269374972;37:03700:2:PV-002321125924;
Cc1coc2ccccc12,632,37:03700:2:PV-002897960469;37:03700:7:PV-005598008926;37:03700:8:PV-005598296602;
Cc1sc2ncncc2c1C,102,37:03700:2:PV-002897960554;37:03700:2:PV-003532093262;37:03701:6:PV-003533269209;
CC1CCNCC(C)C1,614,37:03700:2:PV-003532093515;37:03700:5:PV-003532401258;37:03700:8:PV-003532600861;
C1CC2CC2CO1,596,37:03700:2:PV-003532093661;37:03700:6:PV-005597752145;37:03700:6:PV-003532447036;
Clc1cccc2ncccc12,405,37:03700:2:PV-002897960704;37:03700:4:PV-003532268094;37:03700:6:PV-002579892118;
CN1C(=O)COc2ccccc21,127,37:03700:2:PV-002528121896;37:03700:6:PV-003532484692;37:03700:8:PV-003532610231;
Fc1ccc2cnsc2c1,22,37:03700:2:PV-003532094130;37:03705:8:PV-003536831333;37:03707:6:PV-005615310487;
O=S1(=O)CCC2(CCN2)C1,134,37:03700:2:PV-002897960951;37:03702:0:PV-002898550848;37:03702:4:PV-002898698014;
Cc1cccc2c1CCN2,265,37:03700:2:PV-002476374832;37:03700:4:PV-002372890717;37:03701:2:PV-003532962334;
CC1(C)CCCCS1,204,37:03700:2:PV-002476374832;37:03700:5:PV-002372896127;37:03700:7:PV-003532505889;
Cn1ncc2c1CNC2,262,37:03700:2:PV-003532094747;37:03701:1:PV-003532852195;37:03701:6:PV-005600309489;
CC1CNCCOC1,532,37:03700:2:PV-003532095004;37:03700:3:PV-003532231470;37:03700:6:PV-003532425147;
Cc1nc2c([nH]1)CCCC2,176,37:03700:2:PV-002897961257;37:03700:7:PV-002898147599;37:03700:9:PV-002898208230;
C1CC2(C1)CCN2,747,37:03700:2:PV-002897961257;37:03700:3:PV-003532235977;37:03700:5:PV-005597538778;
Cc1ccn2ncnc2n1,423,37:03700:2:PV-003532095196;37:03700:2:PV-003532112355;37:03700:6:PV-003532419890;
NC1CC2CNCC2C1,122,37:03700:2:PV-003532095270;37:03702:1:PV-005601627584;37:03703:3:PV-003534764949;
c1cc2c3c(c1)NCCC3CCC2,40,37:03700:2:PV-002476374883;37:03702:3:PV-002528230252;37:03705:8:PV-002580158339;
C1CCC2(CC1)CCCO2,456,37:03700:2:PV-002897961600;37:03700:8:PV-002898175672;37:03701:0:PV-003532778450;
O=S1(=O)CCc2ccccc2C1,17,37:03700:2:PV-002269375199;37:03703:8:PV-002899147312;37:03722:3:PV-002477490369;
Cc1c(Cl)cc(F)cc1Cl,17,37:03700:2:PV-002897962006;37:03710:1:PV-003540455274;37:03724:2:PV-002905824259;
FC=C1CCOCC1,173,37:03700:2:PV-003532096996;37:03700:2:PV-003532110404;37:03700:2:PV-003532110405;
Nc1ccc(Cl)nn1,384,37:03700:2:PV-003532097156;37:03700:5:PV-002898063360;37:03700:7:PV-002898141096;
Cc1cc(=O)[nH]nc1C,249,37:03700:2:PV-003532097308;37:03700:4:PV-003532257749;37:03700:6:PV-002372906081;
C1CCC2(CCNC2)CNC1,109,37:03700:2:PV-002897962148;37:03700:7:PV-002898129967;37:03702:1:PV-002898601942;
CN1CCCC1(C)C,632,37:03700:2:PV-003532097585;37:03700:4:PV-002898018187;37:03700:4:PV-003532254343;
C1=NCCS1,499,37:03700:2:PV-002269375307;37:03700:3:PV-005597053983;37:03700:5:PV-002898062545;
CC1NCCC1(C)C,518,37:03700:2:PV-002528122192;37:03700:7:PV-002579901009;37:03700:9:PV-002898210301;
Cc1scnc1O,1139,37:03700:2:PV-002897962512;37:03701:0:PV-003532796741;37:03701:0:PV-003532796742;
Oc1ncnc2cc(Cl)ccc12,110,37:03700:2:PV-003532098549;37:03700:6:PV-003532490188;37:03701:2:PV-003532942855;
CC1(C)CCCCC1O,181,37:03700:2:PV-003532098553;37:03700:2:PV-002897981480;37:03700:7:PV-003532561298;
FC1CNCCOC1,250,37:03700:2:PV-003532098875;37:03702:7:PV-003534216088;37:03702:7:PV-003534268621;
C1CC2CCC(CN1)C2,286,37:03700:2:PV-002165876456;37:03700:3:PV-002269381083;37:03700:3:PV-001931450125;
FC1CNCC12CCC2,180,37:03700:2:PV-003532099053;37:03702:2:PV-003533785047;37:03702:9:PV-003534392665;
OC1CCC(O)C1,317,37:03700:2:PV-003532099666;37:03700:3:PV-003532183937;37:03700:6:PV-003532495266;
Cc1ccc2c(c1)CCN2,320,37:03700:2:PV-003532099871;37:03700:2:PV-003532125240;37:03700:4:PV-003532272691;
CC1CCNCC1F,520,37:03700:2:PV-003532099871;37:03700:4:PV-003532250821;37:03700:7:PV-003532520043;
Cc1ccc2c(c1C)OCC2,50,37:03700:2:PV-003532100227;37:03700:6:PV-003532486219;37:03701:3:PV-003533069689;
c1cc2[nH]cnc2cn1,616,37:03700:2:PV-002579872620;37:03700:2:PV-003532111895;37:03700:9:PV-002217662563;
c1cc2c(cn1)CCNC2,229,37:03700:2:PV-003532100481;37:03700:3:PV-002897989502;37:03700:3:PV-002897989503;
Cc1cccn2cccc12,229,37:03700:2:PV-002269375439;37:03700:3:PV-003532170703;37:03700:5:PV-002898053113;
C1=NCC2(CC2)N1,646,37:03700:2:PV-002897963381;37:03700:3:PV-002897991040;37:03700:4:PV-002898044320;
Cc1cc(C)c2c(c1)CCCCO2,10,37:03700:2:PV-002897963437;37:03702:9:PV-003534406817;37:03703:8:PV-003535135906;
Cc1ccc(Cl)cc1Cl,294,37:03700:2:PV-002897963466;37:03700:7:PV-003532502515;37:03701:2:PV-002898310474;
O=C1NCC2NCCCC12,1019,37:03700:2:PV-003532101206;37:03700:3:PV-003532185250;37:03700:3:PV-003532198747;
Clc1cc[nH]n1,1393,37:03700:2:PV-003532101399;37:03700:2:PV-003532101400;37:03700:2:PV-003532101401;
C1C2CC3CC1CC(C2)C3,937,37:03700:2:PV-002897963661;37:03700:2:PV-002897963662;37:03700:2:PV-002165876606;
C1NC2CC1C1CC21,131,37:03700:2:PV-003532101433;37:03700:5:PV-003532370940;37:03700:8:PV-005598308771;
O=C1CCn2ncnc2N1,179,37:03700:2:PV-002897963677;37:03701:4:PV-002579931833;37:03701:7:PV-002898451992;
CN1CCC2CCNCC21,506,37:03700:2:PV-003532101590;37:03700:6:PV-003532435687;37:03700:6:PV-003532435688;
Cc1ccc2c(c1)SCCCN2,19,37:03700:2:PV-002897963752;37:03715:6:PV-003545127177;37:03718:6:PV-005642685236;
Cc1cc(C)c2c(c1)CCC2,169,37:03700:2:PV-003532101871;37:03700:5:PV-003532355627;37:03700:7:PV-003532558862;
CC1(C)CNCCC(O)C1,131,37:03700:2:PV-002269375525;37:03701:2:PV-003532989799;37:03701:6:PV-003533284292;
C1=COCCC1,882,37:03700:2:PV-003532102082;37:03700:4:PV-002114141466;37:03700:6:PV-003532465552;
CN1OCCC1=O,402,37:03700:2:PV-003532102731;37:03700:2:PV-003532115293;37:03700:5:PV-005597631887;
O=c1[nH]c2ccccc2cc1Cl,29,37:03700:2:PV-002897964143;37:03702:8:PV-002898831560;37:03703:9:PV-002899176200;
C1CC2CNCCN2C1,249,37:03700:2:PV-002897964310;37:03700:5:PV-003532343761;37:03700:8:PV-002898164528;
Oc1nccc2[nH]ncc12,157,37:03700:2:PV-002897964411;37:03700:2:PV-002897969942;37:03701:3:PV-002898343094;
C1CC2OC1C1CC21,400,37:03700:2:PV-003532103831;37:03700:3:PV-003532211258;37:03700:3:PV-003532211259;
Oc1ccc2[nH]ncc2c1,158,37:03700:2:PV-003532104849;37:03700:2:PV-002897984027;37:03700:9:PV-002898197954;
CC1(O)CNOC1,177,37:03700:2:PV-002165876861;37:03702:1:PV-002898601208;37:03702:2:PV-002476476557;
O=C1CC2CCC(CN1)N2,42,37:03700:2:PV-003532105758;37:03700:3:PV-005596961985;37:03701:1:PV-003532839379;
Cn1nncc1N,611,37:03700:2:PV-003532105802;37:03700:2:PV-003532105803;37:03700:3:PV-002897987182;
Oc1ncccn1,192,37:03700:2:PV-002897965369;37:03700:8:PV-002898180115;37:03701:8:PV-002898501543;
