fragment_smiles,occurences,example_ligands
c1cnc2c(c1)OCC2,55,37:03700:0:PV-002897887626;37:03700:1:PV-002897933497;37:03700:1:PV-002897936256;
Clc1nc2ccccc2s1,288,37:03700:0:PV-003531903269;37:03700:0:PV-002476366089;37:03700:9:PV-005598499039;
c1cn2c(n1)CCC2,3786,37:03700:0:PV-003531903269;37:03700:0:PV-005596138794;37:03700:0:PV-005596169009;
Cn1ccc(N)n1,1413,37:03700:0:PV-003531903287;37:03700:2:PV-002897959836;37:03700:2:PV-002897963286;
CC1(C)CNCCN1,1055,37:03700:0:PV-003531903287;37:03700:0:PV-005596246169;37:03700:0:PV-002897908969;
C1CNCCN1,43550,37:03700:0:PV-002897887637;37:03700:0:PV-003531906902;37:03700:0:PV-003531906989;
Clc1ccccc1Cl,9743,37:03700:0:PV-002897887637;37:03700:0:PV-002372873040;37:03700:0:PV-002476366011;
OC1CCC1,31287,37:03700:0:PV-002165864760;37:03700:0:PV-005596173681;37:03700:0:PV-005596206247;
CC1CNCCN1,29914,37:03700:0:PV-002897887662;37:03700:0:PV-002897887663;37:03700:0:PV-002897887664;
CN1CCC1,3291,37:03700:0:PV-002897887662;37:03700:0:PV-002897887663;37:03700:0:PV-002897887664;
c1ccc2c(c1)CCO2,7028,37:03700:0:PV-003531903377;37:03700:0:PV-002897887900;37:03700:0:PV-001987374413;
c1n[nH]c2c1CCCC2,1590,37:03700:0:PV-002897887677;37:03700:2:PV-002897970022;37:03700:2:PV-002897983406;
Cc1c[nH]c(C)n1,145,37:03700:0:PV-003531903412;37:03700:5:PV-003532384866;37:03701:0:PV-002898238526;
OC1CCC2CCCNC2C1,255,37:03700:0:PV-003531903412;37:03700:9:PV-003532712472;37:03702:4:PV-003533955284;
Clc1ccc(Cl)s1,2771,37:03700:0:PV-001563629902;37:03700:0:PV-005596209842;37:03700:0:PV-002897904621;
OC1CCCC1,17225,37:03700:0:PV-003531903463;37:03700:0:PV-003531903594;37:03700:0:PV-005596212176;
Cc1ncncc1Cl,31,37:03700:0:PV-002897887735;37:03702:8:PV-002898817978;37:03706:6:PV-002900043048;
c1ncon1,55106,37:03700:0:PV-002897887735;37:03700:0:PV-002897887933;37:03700:0:PV-002897889403;
CC1CCCC1,17730,37:03700:0:PV-003531903514;37:03700:0:PV-003531914151;37:03700:0:PV-003531914154;
Clc1ccn[nH]1,1048,37:03700:0:PV-003531903514;37:03700:0:PV-002114117791;37:03700:0:PV-002897911531;
O=S1(=O)CC2CCNC2C1,820,37:03700:0:PV-003531903542;37:03700:3:PV-005596905906;37:03700:3:PV-003532195159;
O=c1[nH]cn[nH]1,3212,37:03700:0:PV-002217612601;37:03700:0:PV-000545758130;37:03700:0:PV-005596146372;
Fc1ccsc1,9733,37:03700:0:PV-003531903638;37:03700:0:PV-003531903639;37:03700:0:PV-003531903640;
c1ccc2scnc2c1,7154,37:03700:0:PV-002114117059;37:03700:1:PV-003531984067;37:03700:1:PV-002897932273;
FC1(F)CNC1,755,37:03700:0:PV-002114117059;37:03700:1:PV-002897928897;37:03700:1:PV-002897939406;
Oc1cccc(Cl)c1,2313,37:03700:0:PV-001972911658;37:03700:0:PV-003531934630;37:03700:1:PV-003532036073;
c1cnc2cn[nH]c2c1,1461,37:03700:0:PV-002897887805;37:03700:0:PV-003531955205;37:03700:2:PV-002321125830;
C1CCC2(CC1)CCC2,4681,37:03700:0:PV-002897887805;37:03700:0:PV-002897899223;37:03700:1:PV-002897928665;
O=c1[nH]cc(F)c(=O)[nH]1,362,37:03700:0:PV-002897887807;37:03700:1:PV-002897931805;37:03700:1:PV-003532049994;
c1nnc2n1NCCC2,65,37:03700:0:PV-002897887807;37:03702:3:PV-002898668641;37:03703:8:PV-002899149943;
