fragment_smiles,occurences,example_ligands
Cc1ccn[nH]1,30535,55:05500:0:Z4291442679;55:05500:0:Z1613106214;55:05500:0:Z1615152125;
C1CCNCC1,423805,55:05500:0:Z4291442679;55:05500:0:Z2770136627;55:05500:0:Z3553357463;
c1cncnc1,85509,55:05500:0:Z4291442679;55:05500:0:Z3950690958;55:05500:0:Z4300434728;
OC1CCNCC1,16599,55:05500:0:Z285694446;55:05500:0:Z3198897828;55:05500:0:Z2266129819;
c1ncncn1,1282,55:05500:0:Z285694446;55:05500:0:Z4081852189;55:05500:2:Z4028407830;
C1CCNC1,320751,55:05500:0:Z285694446;55:05500:0:Z2273501064;55:05500:0:Z3406507078;
CC1CNCCO1,15740,55:05500:0:Z1797734096;55:05500:0:Z4056895473;55:05500:0:Z212259258;
c1cscn1,162472,55:05500:0:Z1797734096;55:05500:0:Z3206936840;55:05500:0:Z2213741090;
Clc1ccccc1,176407,55:05500:0:Z1797734096;55:05500:0:Z2898732936;55:05500:0:Z1425979564;
c1c[nH]nn1,81128,55:05500:0:Z4267745479;55:05500:0:Z2770136627;55:05500:0:Z2212467508;
CC1(C)OC2(CCNCC2)NC1=O,235,55:05500:0:Z3950690958;55:05500:3:Z5059968835;55:05500:7:Z3519914987;
FC1(F)CCC1,13697,55:05500:0:Z3315763420;55:05500:0:Z4156690047;55:05500:0:Z4153659319;
c1ncon1,135227,55:05500:0:Z2203426503;55:05500:0:Z5062980491;55:05500:0:Z3368044488;
Cc1ncco1,4766,55:05500:0:Z4104395571;55:05500:0:Z1737064124;55:05500:0:Z3531575629;
C1CSCN1,6894,55:05500:0:Z4104395571;55:05500:0:Z3185545830;55:05500:0:Z1779054589;
NC1C2CCCC1CC2,231,55:05500:0:Z4003448604;55:05500:1:Z4971416967;55:05500:4:Z4002221338;
c1ccncc1,370967,55:05500:0:Z4003448604;55:05500:0:Z1579106745;55:05500:0:Z2273501064;
Cc1ccno1,13877,55:05500:0:Z1579106745;55:05500:0:Z1182643755;55:05500:0:Z4241136067;
Cn1cnnn1,4405,55:05500:0:Z1579106745;55:05500:0:Z4382198399;55:05500:0:Z2870130498;
OC1CCCNC1,9810,55:05500:0:Z2613221920;55:05500:0:Z3555085598;55:05500:0:Z3702100958;
c1ccc2ncccc2c1,18750,55:05500:0:Z3866062182;55:05500:0:Z3317942237;55:05500:0:Z2660139670;
C1CNC2CC2C1,2042,55:05500:0:Z3866062182;55:05500:1:Z3101038069;55:05500:2:Z3864529463;
CN1CCNCC1,17113,55:05500:0:Z2273501064;55:05500:0:Z5001307451;55:05500:0:Z4177125443;
Cc1cc(=O)n2nccc2[nH]1,192,55:05500:0:Z1195830327;55:05502:6:Z1123919290;55:05502:9:Z2710122704;
Fc1ccccc1,249998,55:05500:0:Z1531327766;55:05500:0:Z4123994635;55:05500:0:Z1844280222;
OC1CCOC1,5681,55:05500:0:Z4974552719;55:05500:0:Z2804174240;55:05500:0:Z3353494706;
c1ncsn1,10733,55:05500:0:Z2898732936;55:05500:0:Z4221840105;55:05500:0:Z4262151882;
CC1(C)CCC(C)(C)O1,1283,55:05500:0:Z2703655863;55:05500:0:Z1952719425;55:05500:2:Z2920316185;
C1CC2(CCO1)CNC2,1953,55:05500:0:Z4996512813;55:05500:1:Z4269811480;55:05500:1:Z2667737420;
FC12CCC(CC1)C2,505,55:05500:0:Z3553357463;55:05500:0:Z4137093436;55:05500:4:Z3661027907;
Cc1csnn1,1705,55:05500:0:Z2909042485;55:05500:0:Z3010087152;55:05500:1:Z3100968726;
O=C1NCC(=O)N2CCCC12,46,55:05500:0:Z2783834947;55:05502:1:Z3171482797;55:05505:1:Z5011203176;
c1cc2c(s1)CCC2,1217,55:05500:0:Z2783834947;55:05500:1:Z1712699168;55:05500:1:Z1664825932;
CC1CNCCN1,12134,55:05500:0:Z4278178205;55:05500:0:Z3620563621;55:05500:0:Z4639159572;
Clc1cncc(Cl)c1,2132,55:05500:0:Z3198897828;55:05500:0:Z1717303192;55:05500:0:Z4137500397;
Cc1cc(C)cc(C)c1,3263,55:05500:0:Z1537523456;55:05500:0:Z3493282376;55:05500:0:Z4010654484;
C1CC2(C1)CCC2,14201,55:05500:0:Z3628589992;55:05500:0:Z3627209545;55:05500:0:Z4578486816;
Oc1ccccc1,37214,55:05500:0:Z3628589992;55:05500:0:Z4879662481;55:05500:0:Z1285323634;
c1n[nH]c2c1CCC2,2001,55:05500:0:Z2070117110;55:05500:0:Z433441696;55:05500:0:Z4042999914;
C1CCOCC1,150865,55:05500:0:Z2070117110;55:05500:0:Z4340045389;55:05500:0:Z4360770813;
Cc1ccco1,22796,55:05500:0:Z4462882750;55:05500:0:Z2998039571;55:05500:0:Z1988937109;
c1cnc2c(c1)NCC2,409,55:05500:0:Z4462882750;55:05500:0:Z1460210243;55:05500:1:Z4462880385;
Cc1ccc[nH]1,3756,55:05500:0:Z5045268463;55:05500:0:Z3544308565;55:05500:0:Z1467078904;
c1cn[nH]c1,244885,55:05500:0:Z5045268463;55:05500:0:Z1667828734;55:05500:0:Z3609509320;
CC1CCCC(C)O1,2786,55:05500:0:Z1984826362;55:05500:0:Z2017825212;55:05500:0:Z3471697197;
c1ccsc1,125788,55:05500:0:Z1984826362;55:05500:0:Z1568309062;55:05500:0:Z3253362257;
C1COCO1,9043,55:05500:0:Z4270735434;55:05500:0:Z4045476235;55:05500:0:Z4436492848;
C1CNC2(C1)CCOC2,428,55:05500:0:Z4270735434;55:05500:0:Z3604357230;55:05500:6:Z3372601732;
