fragment_smiles,occurences,example_ligands
O=C1NC2CC3CC1C2C3,173,55:05500:1:Z2480000498;55:05500:3:Z2478482664;55:05500:5:Z3627929957;
c1cn2cncc2cn1,258,55:05500:1:Z4192198425;55:05500:4:Z2968299968;55:05500:5:Z4185849688;
O=S1(=O)CCNCCCCCCCN1,135,55:05500:1:Z3626810570;55:05500:7:Z3626804762;55:05503:0:Z3518710643;
CN1CCCCCC1=O,1196,55:05500:1:Z2783440288;55:05500:1:Z4487489319;55:05500:2:Z4459087529;
Cc1cc(Cl)n(C)n1,1910,55:05500:1:Z913753020;55:05500:1:Z2776158272;55:05500:1:Z1126768757;
Oc1cccc2c1CCCC2,484,55:05500:1:Z1833241273;55:05500:5:Z2588679790;55:05500:8:Z1768085192;
c1cn2c(n1)CNCC2,1063,55:05500:1:Z4294045695;55:05500:1:Z4294046240;55:05500:1:Z4294184936;
Fc1ccc2cc[nH]c2c1,1284,55:05500:1:Z2447857054;55:05500:1:Z3136939502;55:05500:4:Z1853142092;
CC1CCn2ccnc2C1,714,55:05500:1:Z2776158272;55:05500:6:Z4254748324;55:05500:9:Z4572159738;
CC1CCSCCN1,270,55:05500:1:Z3574466218;55:05500:2:Z1983001869;55:05500:5:Z2927736771;
CC1(C)CCC(O)CC1,838,55:05500:1:Z3915473867;55:05500:1:Z2814997559;55:05500:1:Z3860782349;
CC1CC(N)CCO1,143,55:05500:1:Z4216442781;55:05500:6:Z3700739903;55:05502:7:Z3520570064;
O=S1(=O)CCC2(CCNC2)CC1,478,55:05500:1:Z3633225783;55:05500:2:Z4268287718;55:05500:2:Z3501473429;
CC1NC(C)C(C)N(C)C1=O,186,55:05500:1:Z2919655840;55:05500:5:Z3191869390;55:05500:5:Z2921919857;
Cn1ncc2c1NCCC2,117,55:05500:1:Z4335231837;55:05500:1:Z4335229694;55:05500:6:Z4335227347;
Cn1nccc1O,725,55:05500:1:Z4908296445;55:05500:1:Z4402451855;55:05500:1:Z2632594640;
ClC1=CCOCC1,214,55:05500:1:Z4288592168;55:05500:1:Z4289331651;55:05500:7:Z4294770622;
Clc1cccc2c1OCC2,266,55:05500:1:Z1408652279;55:05500:9:Z3374044459;55:05501:0:Z3539682860;
CC1(C)CNC(=O)C1,864,55:05500:1:Z3589424118;55:05500:2:Z3593094106;55:05500:3:Z3683739269;
Cn1ccc(N)n1,498,55:05500:1:Z3100797662;55:05500:3:Z2235125668;55:05500:7:Z4062618371;
Cn1cnc2ccccc2c1=O,764,55:05500:1:Z3609670477;55:05500:2:Z2164913637;55:05500:4:Z3670764274;
CC1CC1(C)C,290,55:05500:1:Z3609670477;55:05500:7:Z4324932988;55:05500:8:Z2849746606;
CC1(C)CNC(=O)c2ccoc2C1,110,55:05500:1:Z2774082463;55:05500:1:Z2777984530;55:05500:5:Z3368137366;
c1nc2n(n1)CCC2,105,55:05500:1:Z2833651416;55:05500:6:Z2846954471;55:05500:9:Z2863531360;
Fc1cc(F)cc(F)c1,1769,55:05500:1:Z3362469469;55:05500:1:Z3657228947;55:05500:1:Z4116631859;
CC1CNc2ccnn2C1,590,55:05500:1:Z3365138395;55:05500:5:Z2920912268;55:05500:6:Z2875894694;
c1ccc2c(c1)CCCS2,1193,55:05500:1:Z3365138395;55:05500:1:Z2922543999;55:05500:2:Z3293612473;
O=S1(=O)CCc2ccccc21,2203,55:05500:1:Z2800601512;55:05500:1:Z2819010208;55:05500:2:Z4239151362;
O=C1CCC2(CCNCC2)N1,336,55:05500:1:Z3607203100;55:05500:2:Z3607189849;55:05500:5:Z3440371490;
Cn1nc2c(c1O)CCNC2,203,55:05500:1:Z4227915557;55:05500:5:Z4227910496;55:05500:6:Z4227892844;
C1=CSCCO1,361,55:05500:1:Z4481076854;55:05500:7:Z2802537423;55:05500:8:Z4490014611;
Cc1cnn2c1OCCC2,354,55:05500:1:Z2646114666;55:05500:3:Z3857719864;55:05500:4:Z2254720257;
c1ncc2c(n1)COCC2,213,55:05500:1:Z3606313721;55:05500:2:Z3606276614;55:05500:3:Z3606303361;
NC12CCNCC1C2,184,55:05500:1:Z4454624000;55:05500:2:Z4448598143;55:05500:8:Z4448593823;
Fc1ccc2c(c1)COCO2,650,55:05500:1:Z1485160737;55:05500:1:Z3467991196;55:05500:2:Z4263794183;
O=C1CCC2CNCCN12,503,55:05500:1:Z4961777475;55:05500:2:Z1831567739;55:05500:3:Z1553100285;
C1CCN2CCCCC2C1,1004,55:05500:1:Z4492913624;55:05500:2:Z4959657884;55:05500:3:Z3669166429;
CC1=NC(C)CS1,252,55:05500:1:Z4265415835;55:05500:1:Z4265449914;55:05502:0:Z4278509534;
Clc1ccc2c(c1Cl)CCNC2,119,55:05500:1:Z1014976254;55:05500:1:Z4288117765;55:05500:3:Z4310008467;
O=C1CCOc2ccccc21,1299,55:05500:1:Z3555129425;55:05500:1:Z3537668611;55:05500:2:Z1903517851;
Fc1cc2c(s1)CCOC2,292,55:05500:1:Z2307918485;55:05500:5:Z2928053939;55:05501:4:Z3617563327;
O=S1(=O)NCC2CNCCN21,290,55:05500:1:Z4999204490;55:05500:2:Z4118952597;55:05500:7:Z2963134131;
FC1(F)CC12CC1CCC(C2)N1,196,55:05500:1:Z2712767769;55:05500:5:Z2818366863;55:05501:2:Z2717428164;
CN1CCC2CNCC21,721,55:05500:1:Z3317157898;55:05500:1:Z3356334155;55:05500:2:Z3205906319;
CC1(C)CNCC1(F)F,261,55:05500:1:Z3599876135;55:05500:5:Z3830671170;55:05500:8:Z3647726937;
Clc1cccc2nccnc12,156,55:05500:1:Z3599876135;55:05502:2:Z4344473055;55:05505:2:Z3177590839;
Cc1csc2cncn12,221,55:05500:1:Z3841548791;55:05500:1:Z3834498396;55:05500:7:Z4123623603;
Cn1cc(Cl)nc1Cl,130,55:05500:1:Z3653308626;55:05500:6:Z2444702980;55:05501:6:Z4252198915;
CC1(C)C(O)C2CCNC21,637,55:05500:1:Z4603498131;55:05500:1:Z4603498311;55:05500:1:Z4329129659;
Cc1cccc(O)c1,1477,55:05500:1:Z4254431189;55:05500:1:Z2092761965;55:05500:1:Z4612465778;
c1cnc2ncncc2c1,247,55:05500:1:Z3829403969;55:05501:1:Z4026126729;55:05501:2:Z3829693356;
Clc1cccc2[nH]ccc12,598,55:05500:1:Z4400464850;55:05500:2:Z4570707747;55:05500:2:Z4123132905;
CC1CNC(C)C(C)O1,303,55:05500:1:Z1781277621;55:05500:5:Z1781265305;55:05500:5:Z1779191353;
C1SC2CNC1C2,257,55:05500:1:Z2334768033;55:05500:4:Z3171723411;55:05500:9:Z2820962051;
Cc1csc2cncnc12,491,55:05500:1:Z3368957685;55:05500:1:Z4338769508;55:05500:3:Z4093464172;
FC1(F)CCC2CNCC21,367,55:05500:1:Z3582715240;55:05500:3:Z2972122375;55:05500:6:Z2955432118;
c1cnc2cncn2c1,237,55:05500:1:Z4046061733;55:05500:8:Z2696271379;55:05501:0:Z2696339553;
Cc1cnc(Cl)s1,296,55:05500:1:Z3725013320;55:05500:1:Z3725013322;55:05500:1:Z3725013324;
CC1CNCC1F,342,55:05500:1:Z4246533630;55:05500:4:Z3320676168;55:05501:1:Z4771119360;
O=C1NCC2(CNC2)N1,337,55:05500:1:Z3782912808;55:05500:9:Z3855372478;55:05501:3:Z4485735541;
O=C1COc2ccccc2N1,3898,55:05500:1:Z4620698687;55:05500:1:Z2624045553;55:05500:1:Z2179021467;
OC1CNCC(F)C1,707,55:05500:1:Z4620698687;55:05500:1:Z2624045553;55:05500:2:Z2616104723;
Cc1nc2[nH]ccc2s1,191,55:05500:1:Z5007376780;55:05500:1:Z5001432326;55:05500:5:Z5000774345;
Cc1ccc2occc2c1,946,55:05500:1:Z2709474878;55:05500:2:Z2001169704;55:05500:3:Z3369327821;
Cc1ccc2cccc(F)c2n1,230,55:05500:1:Z4140909609;55:05501:3:Z4028838355;55:05501:3:Z3855378227;
O=c1[nH]cnc2c1CCCN2,96,55:05500:1:Z2874992177;55:05501:0:Z4385584253;55:05501:2:Z2789016386;
CN1C(=O)CNC2CC21,368,55:05500:1:Z3655810058;55:05500:1:Z3998289554;55:05500:1:Z3664804099;
Clc1ccn2nccc2c1,274,55:05500:1:Z3712022603;55:05501:1:Z5014264012;55:05503:7:Z2172324692;
O=C1CC2CNC1C2,176,55:05500:1:Z3890076337;55:05500:5:Z4029454397;55:05500:6:Z3777248004;
Cn1nc(O)c2c1CNCC2,286,55:05500:1:Z5064427520;55:05500:2:Z4293291043;55:05501:0:Z3843787725;
c1cnc2c(c1)CCOC2,824,55:05500:1:Z5064427520;55:05500:3:Z3699909163;55:05500:4:Z5057616280;
Cc1noc2ccccc12,524,55:05500:1:Z4329129659;55:05500:1:Z4329141161;55:05500:1:Z4399356772;
C1CCC2(CC1)CCCNC2,283,55:05500:1:Z1725391663;55:05500:3:Z1314865567;55:05500:8:Z3807351562;
C1CSCCS1,1187,55:05500:1:Z3643713217;55:05500:1:Z817956020;55:05500:1:Z1395986617;
C1COC2COCC2CN1,355,55:05500:1:Z3322643273;55:05500:2:Z3609437204;55:05500:6:Z3404078090;
FC1CCCOC1,1098,55:05500:1:Z4468733110;55:05500:1:Z4476911966;55:05500:2:Z4431212882;
FC1CCC(F)(F)CC1,399,55:05500:1:Z4395486923;55:05500:2:Z3361176741;55:05500:5:Z4261659999;
O=C1CNCC2CCCN12,402,55:05500:1:Z3646149752;55:05500:4:Z3598651880;55:05500:4:Z4130029321;
Fc1cc2ncsc2cc1F,164,55:05500:1:Z4615078472;55:05500:1:Z4576188968;55:05500:1:Z3392424259;
CN1CCC2(CCNCC2)C1=O,311,55:05500:1:Z1888465984;55:05500:2:Z1888630294;55:05500:4:Z1889114974;
OC1C2CNCC1OC2,394,55:05500:1:Z4305892755;55:05500:2:Z4156463331;55:05500:3:Z4156725083;
C1CC2CCOCC2CN1,391,55:05500:1:Z4192226056;55:05500:2:Z4194287095;55:05500:6:Z4194739678;
Cc1ccc2cc(Cl)ccc2n1,240,55:05500:1:Z3889434308;55:05501:4:Z3874750834;55:05501:6:Z216438554;
NC1CCC2CCNC12,173,55:05500:1:Z3889434308;55:05500:8:Z3889441772;55:05500:9:Z3889443454;
CC1=NNCC1,217,55:05500:1:Z2691805518;55:05500:9:Z3584951524;55:05501:4:Z3143010598;
Nc1cccnn1,167,55:05500:1:Z4099291032;55:05500:4:Z4099009052;55:05500:5:Z4100959707;
NC1CCC2(CC1)CC2,365,55:05500:1:Z3380297089;55:05500:2:Z3101949388;55:05500:5:Z4875571682;
c1ccc2c(c1)NCC1(CC1)O2,162,55:05500:1:Z2966038825;55:05500:4:Z3516821156;55:05501:1:Z4132772352;
CN1C(=O)c2ccccc2S1(=O)=O,96,55:05500:1:Z3137527367;55:05500:1:Z3137477160;55:05500:3:Z2358211101;
N=S1(=O)CCNc2ccccc21,97,55:05500:1:Z3516791791;55:05501:2:Z3368768112;55:05501:7:Z3314448061;
O=S1(=O)CCc2ccccc2N1,11,55:05500:1:Z2994006556;55:05507:0:Z4426772694;55:05511:2:Z2994006239;
c1cc2n(n1)CCOC2,1121,55:05500:1:Z2594799668;55:05500:1:Z3358693107;55:05500:2:Z2967571426;
Fc1ccc(F)c2c1CCC2,183,55:05500:1:Z3552013500;55:05500:1:Z2076495553;55:05500:2:Z1488151653;
C1CC2CCC(C1)S2,1202,55:05500:1:Z2976706927;55:05500:1:Z2919223485;55:05500:3:Z2878423887;
FC1(F)CNCCSC1,214,55:05500:1:Z4418973185;55:05500:1:Z4418459639;55:05502:4:Z4419060007;
CC1COC(C)CN1,768,55:05500:1:Z1271110402;55:05500:1:Z4488189245;55:05500:1:Z2617828910;
C1CC2COCC1N2,418,55:05500:1:Z4116060315;55:05500:2:Z2305241334;55:05500:6:Z4116061312;
Cc1n[nH]c2ncccc12,835,55:05500:1:Z4234217531;55:05500:1:Z2496195304;55:05500:3:Z2905704844;
Cc1cnc2ccnn2c1,415,55:05500:1:Z2880720260;55:05500:1:Z4045161006;55:05500:1:Z4472901570;
CC1(C)CNCC2(CCOC2)O1,319,55:05500:1:Z1961861332;55:05500:3:Z4404768681;55:05500:3:Z2506320554;
O=C1NCCC12CCNC2,417,55:05500:1:Z4005370585;55:05500:1:Z4009719597;55:05500:6:Z4031414243;
Cc1ccc2ccncc2c1,107,55:05500:1:Z3554755624;55:05500:7:Z2615669644;55:05506:2:Z2433606180;
c1n[nH]c2c1CCSC2,274,55:05500:1:Z4148895760;55:05500:6:Z4145936687;55:05501:0:Z4145521752;
Cc1cc(C)n2ccncc12,211,55:05500:1:Z4324892286;55:05500:1:Z4325523141;55:05500:4:Z4389652002;
Cc1nnc2ccccn12,674,55:05500:1:Z1032203698;55:05500:2:Z3715984776;55:05500:4:Z4340857580;
CN1CCC2(CCCNC2)C1,214,55:05500:1:Z2640814471;55:05501:3:Z4406390965;55:05501:6:Z4062840979;
O=c1cc(O)cc2n1CCCC2,114,55:05500:1:Z4219992520;55:05500:5:Z4309036592;55:05500:5:Z4307465308;
Cc1ccnc2scc(C)c12,251,55:05500:1:Z4170832738;55:05500:3:Z4050971307;55:05500:4:Z3795326031;
O=c1nc[nH][nH]1,839,55:05500:1:Z4216901536;55:05500:1:Z4099078036;55:05500:1:Z4999071617;
CN1CCNc2ccccc21,463,55:05500:1:Z3102964132;55:05500:3:Z1362118533;55:05500:4:Z3648952164;
c1cn2c(n1)SCC2,1051,55:05500:1:Z3544534321;55:05500:1:Z3357535928;55:05500:7:Z1699078300;
O=S1(=O)CCC2(CC1)CNC2,318,55:05500:1:Z3439519345;55:05500:1:Z3785389491;55:05500:1:Z3785421873;
c1nc2c(o1)CCOC2,25,55:05500:1:Z4458770854;55:05504:3:Z4458661271;55:05504:8:Z4458787488;
CC1CC2(CCOCC2)CN1,388,55:05500:1:Z2642209783;55:05500:1:Z3086080936;55:05500:6:Z3550561444;
Nc1cnsc1,213,55:05500:1:Z4281457088;55:05500:1:Z1409089171;55:05500:2:Z4285917818;
C1COCC2(C1)CCN2,329,55:05500:1:Z3588685743;55:05500:1:Z3620216982;55:05500:5:Z3588688809;
Oc1cccc2ccccc12,776,55:05500:1:Z3368434544;55:05500:1:Z2772015575;55:05500:2:Z4055939803;
CC1CNc2ccc(F)cc2O1,181,55:05500:1:Z1400641270;55:05500:4:Z4113266968;55:05500:8:Z1884343095;
CN1CCC2(CCNC2)C1,519,55:05500:1:Z4140314434;55:05500:4:Z2208134700;55:05500:5:Z4311407454;
C1CC2(CNC2)CO1,274,55:05500:1:Z4380895815;55:05500:2:Z3310436065;55:05500:4:Z2232865876;
Clc1ncncn1,123,55:05500:1:Z4259848502;55:05500:1:Z4490728388;55:05500:6:Z4270298057;
Cc1nn(C)c2c1CCCC2,67,55:05500:1:Z3360026937;55:05501:6:Z3359266536;55:05501:8:Z3509380137;
Cn1ccc(Cl)c1,758,55:05500:1:Z1223764793;55:05500:3:Z1322939756;55:05500:4:Z1716850926;
CC1=CCCS1(=O)=O,298,55:05500:1:Z4771472890;55:05500:4:Z4771144378;55:05501:4:Z4771096645;
O=c1ccc2c([nH]1)CCSC2,259,55:05500:1:Z3819704567;55:05500:3:Z3937310818;55:05500:4:Z4249822728;
CC1CCNCCS1,323,55:05500:1:Z1862918056;55:05500:2:Z1856080051;55:05500:8:Z1855798626;
Cc1ccc2[nH]cnc2c1,877,55:05500:1:Z3552741378;55:05500:2:Z3577252886;55:05500:2:Z3562369124;
OC1CCC12CCOCC2,411,55:05500:1:Z2976248224;55:05500:2:Z2931517460;55:05501:1:Z2963732485;
CN1C(=O)C(C)(C)c2ccccc21,155,55:05500:1:Z3622426988;55:05500:2:Z4343700851;55:05501:2:Z3408144320;
Cc1cncc(F)c1,474,55:05500:1:Z4828255596;55:05500:4:Z3803526564;55:05500:8:Z4824803751;
CC1(C)CNCCS1(=O)=O,574,55:05500:1:Z2707583248;55:05500:1:Z1400820800;55:05500:3:Z4450309159;
Cc1nnc2[nH]ncc2c1C,105,55:05500:1:Z4271826651;55:05501:8:Z2143212541;55:05502:2:Z2908149735;
O=S1(=O)CC2CNCC2C1,501,55:05500:1:Z2964297215;55:05500:2:Z3582238852;55:05500:4:Z3950248074;
CN1CCC(=O)N1,108,55:05500:1:Z3050390657;55:05500:5:Z2273229084;55:05500:9:Z1613917437;
FC1(F)C2CC3C(C2)C31,14,55:05500:1:Z4597536652;55:05500:4:Z4573624804;55:05505:7:Z4173707308;
Cc1cn2c(n1)CCCC2,1731,55:05500:1:Z4076205987;55:05500:1:Z4287457198;55:05500:2:Z4243022218;
CC1CCCNCC1,934,55:05500:1:Z4769044039;55:05500:2:Z2094228770;55:05500:5:Z2453451573;
C1CC2CCNCC2C1,234,55:05500:1:Z4436001879;55:05500:2:Z4474753101;55:05500:3:Z4436144968;
O=C1NCCCn2cccc21,286,55:05500:1:Z4298937794;55:05502:6:Z4298040701;55:05503:0:Z4281976066;
CC1CCC(F)(F)CC1,742,55:05500:1:Z4349781525;55:05500:1:Z4420722159;55:05500:4:Z4351785115;
FC1(F)CCCOCC1,460,55:05500:1:Z3598029391;55:05500:4:Z3598038316;55:05500:5:Z4771132249;
CN1CCNc2cccc(F)c21,145,55:05500:1:Z4132429761;55:05500:5:Z3712353703;55:05500:7:Z4132429262;
c1ccc2c(c1)CCCC21CC1,473,55:05500:1:Z3795241607;55:05500:6:Z3713460318;55:05500:6:Z3359451766;
CC1(C)COC2(CC3CCCC3C2)OC1,25,55:05500:1:Z4208161532;55:05502:1:Z4215493195;55:05508:0:Z4212033957;
C1CNC2(C1)COC2,396,55:05500:1:Z3640453839;55:05500:2:Z4247395697;55:05500:8:Z3640458521;
CC1CCN(C)CCN1,338,55:05500:1:Z1412060855;55:05500:4:Z2037999394;55:05500:4:Z1194343527;
OC1CC2CCC1NC2,149,55:05500:1:Z3844169360;55:05500:5:Z2869222086;55:05500:9:Z2884780123;
c1cc2sccc2[nH]1,978,55:05500:1:Z5014727043;55:05500:3:Z3352559838;55:05500:4:Z3503214818;
CN1CCNc2cccnc21,388,55:05500:1:Z2932156860;55:05501:3:Z4126282725;55:05501:3:Z3082200256;
Fc1ccc2cccnc2c1,597,55:05500:1:Z2879056760;55:05500:4:Z4876576747;55:05500:5:Z3539074385;
FC1(F)C2CCCCC21,2705,55:05500:1:Z3649354366;55:05500:1:Z3467513861;55:05500:1:Z2643428924;
c1ccc2c(c1)NCCCN2,295,55:05500:1:Z4522256429;55:05501:1:Z2631579038;55:05501:1:Z2631578774;
O=S1(=O)CCCCCC1,436,55:05500:1:Z3580612813;55:05500:1:Z4665612598;55:05500:1:Z3500267317;
O=C1CCCc2ncccc21,561,55:05500:1:Z2272785631;55:05500:1:Z4226601419;55:05500:2:Z2951128462;
Cn1ncc2ccsc21,770,55:05500:1:Z3404452221;55:05500:3:Z3294817357;55:05500:4:Z3523142557;
Fc1ccc2c(c1)CCCO2,1462,55:05500:1:Z3550474604;55:05500:1:Z3101470026;55:05500:4:Z1537352996;
CC1Cc2ccc(F)cc2O1,259,55:05500:1:Z2362979843;55:05500:4:Z2712969735;55:05500:6:Z4481782285;
Cc1cccc2cncn12,409,55:05500:1:Z2002697680;55:05500:4:Z4026222770;55:05500:9:Z3368095589;
O=c1cc[nH]c2ncnn12,26,55:05500:1:Z4458671428;55:05522:5:Z1801628231;55:05535:7:Z2905093915;
O=S1(=O)CC2CNCC(C2)C1,307,55:05500:1:Z4034736555;55:05500:1:Z4051833509;55:05500:3:Z4051832971;
CC1(O)CC2CCC1C2,532,55:05500:1:Z4252823641;55:05500:1:Z4012045828;55:05500:4:Z4608858455;
C1CC2CNCC2CCN1,448,55:05500:1:Z3313973625;55:05500:3:Z4204235413;55:05500:3:Z2361081898;
CC1CCCS1(=O)=O,716,55:05500:1:Z3715147317;55:05500:2:Z3633302059;55:05500:3:Z2719790224;
CC1CNC(C)CN1,626,55:05500:1:Z3310367559;55:05500:1:Z1552894662;55:05500:1:Z2599866860;
O=S1(=O)CC2NCCNC2C1,190,55:05500:1:Z3136099227;55:05500:8:Z3136089110;55:05500:8:Z3518200355;
CC1CNCC(C)NC1,370,55:05500:1:Z3652651808;55:05500:2:Z4055939803;55:05500:3:Z3501471496;
CC1(C)CNc2cccc(Cl)c21,90,55:05500:1:Z1881238903;55:05500:6:Z4145936687;55:05503:0:Z3187744768;
C1COC2(C1)CC2,519,55:05500:1:Z3506042265;55:05500:2:Z3591531355;55:05500:5:Z3382651560;
CC1CNCC1N,340,55:05500:1:Z2927246461;55:05500:1:Z2354710930;55:05500:6:Z3045267474;
Cc1coc2ccccc2c1=O,118,55:05500:1:Z3099075594;55:05501:9:Z3340748914;55:05502:6:Z3204960719;
NC1CCCC1,2981,55:05500:1:Z3347261522;55:05500:2:Z2364603764;55:05500:3:Z2442455424;
O=C1NCCCN1,1417,55:05500:1:Z1229827495;55:05500:2:Z3166592156;55:05500:3:Z2868701431;
Cc1c(Cl)cc(Cl)c2nccc(=O)n12,31,55:05500:1:Z3882755643;55:05500:7:Z1305343158;55:05501:9:Z1352230459;
CN1CCC2CNCC2C1,1064,55:05500:1:Z4490070349;55:05500:1:Z2881607797;55:05500:1:Z2184422410;
Cc1coc(C)c1,941,55:05500:1:Z2684885004;55:05500:2:Z2032339925;55:05500:3:Z1744208385;
CC1(O)CCNC1,444,55:05500:1:Z3820193175;55:05500:1:Z1735027093;55:05500:2:Z4076356936;
C1CCC2CCC2C1,818,55:05500:1:Z2954334765;55:05500:1:Z4329356163;55:05500:1:Z3360201771;
O=c1cc[nH]c2cc(F)c(F)cc12,64,55:05500:1:Z2946297931;55:05502:9:Z2961146274;55:05505:8:Z2960157776;
Clc1cnc2ccccc2c1,254,55:05500:1:Z2289631977;55:05501:0:Z4570943141;55:05501:0:Z4570953258;
Cc1cc2n(n1)CCNC2,592,55:05500:1:Z3672535619;55:05500:1:Z3056034655;55:05500:1:Z4294289021;
Fc1cncc(F)c1,1760,55:05500:1:Z2071581854;55:05500:1:Z4923301948;55:05500:2:Z4276470265;
Cc1ccc2ncsc2c1,152,55:05500:1:Z3879808685;55:05500:1:Z4273320719;55:05500:1:Z2837321138;
C1CC2(C1)OC1CC2C1,38,55:05500:1:Z3498509853;55:05500:4:Z3651593388;55:05502:5:Z3380194419;
C1NOC2COCC12,242,55:05500:1:Z3684462188;55:05502:4:Z3681017605;55:05502:4:Z3680720089;
C1=NCCO1,197,55:05500:1:Z4263990703;55:05500:5:Z4578632521;55:05501:2:Z4262377377;
CN1CCCC2NCCC21,362,55:05500:1:Z2805084272;55:05500:2:Z2792723857;55:05500:5:Z3704412114;
Fc1cc(F)c2c(c1)OCC2,276,55:05500:1:Z3469084396;55:05500:7:Z3352577996;55:05500:9:Z1653559764;
CN1C(C)(C)CCS1(=O)=O,259,55:05500:1:Z3896928870;55:05500:2:Z3605588782;55:05500:5:Z3896928940;
C1CC2(CCO1)CCOC2,1396,55:05500:1:Z4051758516;55:05500:1:Z4148626600;55:05500:2:Z3838941498;
c1cc2c(cn1)CCNC2,824,55:05500:1:Z4352437420;55:05500:1:Z4506988203;55:05500:1:Z4346507667;
CC1(C)CCNCCS1(=O)=O,388,55:05500:1:Z1898398218;55:05501:0:Z3694872100;55:05501:2:Z4485872047;
c1cc2c(cn1)CNCCO2,296,55:05500:1:Z4353715385;55:05500:1:Z4353723490;55:05500:3:Z4347554087;
CC1(C)CNCCCN1,144,55:05500:1:Z3599603802;55:05500:2:Z3592686158;55:05501:7:Z3406492787;
O=C1NCCc2ccccc21,2048,55:05500:1:Z2708578218;55:05500:2:Z3555637464;55:05500:2:Z4643224006;
FC1=CCCNC1,903,55:05500:1:Z3777187193;55:05500:2:Z4320257983;55:05500:2:Z4269250168;
C1=CCOCC1,438,55:05500:1:Z4141692879;55:05500:3:Z4140143873;55:05500:3:Z4539418995;
O=c1[nH]cnc2cc(Cl)ccc12,207,55:05500:1:Z3512244308;55:05500:7:Z2442750911;55:05501:0:Z1200101021;
Cn1nnc2c1CCNC2,437,55:05500:1:Z2947552418;55:05500:7:Z2975752860;55:05500:9:Z1330104830;
FC1(F)C2CCCCCC21,831,55:05500:1:Z3622574111;55:05500:4:Z3569824674;55:05500:5:Z3204712402;
Cc1cc(C)[nH]c(=O)c1,1097,55:05500:1:Z2921653531;55:05500:2:Z4146369907;55:05500:2:Z1313459879;
C1CC2(CCN1)COCCO2,667,55:05500:1:Z2921653531;55:05500:2:Z4429375308;55:05500:2:Z2961570885;
O=C1NCc2ccccc21,936,55:05500:1:Z3639257050;55:05500:3:Z3164327028;55:05500:7:Z3080881526;
OC1CNCCOC1,351,55:05500:1:Z3197437799;55:05500:2:Z2284936652;55:05500:4:Z2619265637;
CC12CC1C2,288,55:05500:1:Z4379714289;55:05500:1:Z2821934856;55:05500:2:Z2771366853;
CC1CCC(O)CC1,1541,55:05500:1:Z1988037975;55:05500:2:Z4295089651;55:05500:2:Z3599456489;
Clc1cc[nH]c1,652,55:05500:1:Z1953523084;55:05500:1:Z1002221150;55:05500:1:Z809729100;
CC1CCCCS1(=O)=O,1649,55:05500:1:Z3136743831;55:05500:4:Z4230137553;55:05500:4:Z4230142028;
CN1CCCNCC1=O,475,55:05500:1:Z3132904609;55:05500:1:Z1802513514;55:05500:1:Z2603344129;
O=c1[nH]cnc2cc(F)ccc12,77,55:05500:1:Z2143103862;55:05501:5:Z666705622;55:05501:7:Z1665828241;
Cc1nncn1C,3120,55:05500:1:Z3844685035;55:05500:4:Z4562159861;55:05500:4:Z3562261767;
Cc1cc(Cl)n[nH]1,83,55:05500:1:Z2978772686;55:05501:5:Z2978200184;55:05502:6:Z2827151634;
CC1COc2ccccc2CN1,231,55:05500:1:Z4909704942;55:05500:9:Z3083633088;55:05501:0:Z1643467435;
Cn1cc2n(c1=O)CCCC2,295,55:05500:1:Z3540819618;55:05500:5:Z2287698082;55:05500:9:Z4336715352;
CC1CCS(=O)CCN1,351,55:05500:1:Z5004438966;55:05500:1:Z4135453460;55:05500:2:Z2436709386;
CC12CNC(CO1)C2,310,55:05500:1:Z3009740564;55:05500:3:Z4132239415;55:05500:6:Z3009741679;
CC1(C)CCC12CCNC2,170,55:05500:1:Z4177273158;55:05502:1:Z4174443125;55:05502:2:Z4509109585;
O=C1CCCC2CC12,250,55:05500:1:Z4319876039;55:05500:2:Z4319513812;55:05500:2:Z4324779135;
O=c1cc2c(n[nH]1)CCOC2,145,55:05500:1:Z4320835160;55:05501:0:Z4325760625;55:05501:1:Z4594916455;
CC1(C)CCc2[nH]c(=O)ccc2C1,102,55:05500:1:Z2646100593;55:05500:1:Z3637556465;55:05500:3:Z1480944530;
Cc1cc(C)n2nc(C)cc2n1,186,55:05500:1:Z3092092903;55:05500:3:Z1426068696;55:05500:8:Z3604142066;
O=C1NCCn2nccc21,504,55:05500:1:Z3711590877;55:05500:2:Z3554658657;55:05500:2:Z3086717653;
Clc1cccc2c1OCCCC2,159,55:05500:1:Z2971351692;55:05500:5:Z1596683010;55:05501:8:Z2873238822;
Cc1cc(=O)[nH]c(=O)[nH]1,283,55:05500:1:Z2643305393;55:05500:9:Z1479808549;55:05501:1:Z3186407845;
c1noc2c1COCC2,1590,55:05500:1:Z4459250715;55:05500:1:Z2690989700;55:05500:1:Z4459253717;
CC1(C)CC(N)CN1,117,55:05500:1:Z4205406521;55:05500:8:Z3808104962;55:05501:3:Z3639355274;
CC1NCCc2ccc(F)cc21,192,55:05500:1:Z1213151293;55:05501:6:Z4490650398;55:05501:7:Z4641652121;
Cc1c[nH]cn1,3413,55:05500:1:Z3056531870;55:05500:1:Z4325625899;55:05500:1:Z5008296023;
O=C1CCCn2nccc21,331,55:05500:1:Z3162652209;55:05500:2:Z2922951495;55:05500:6:Z3540523078;
