fragment_smiles,occurences,example_ligands
CC1(C)CCCCO1,6357,167:16700:0:PV-002860259008;167:16700:0:PV-002860263297;167:16700:0:PV-004014837808;
c1ccccc1,273782,167:16700:0:PV-002860259008;167:16700:0:PV-003434845715;167:16700:0:PV-002367060259;
OC1CCCCC1,18984,167:16700:0:PV-003434845646;167:16700:0:PV-003434845647;167:16700:0:PV-003434846259;
OC1CCNC1,90098,167:16700:0:PV-003434845646;167:16700:0:PV-003434845647;167:16700:0:PV-003434845837;
CC1CCCC1,22330,167:16700:0:PV-002860259014;167:16700:0:PV-004014833896;167:16700:0:PV-002860259302;
C1CCCNCCC1,13768,167:16700:0:PV-002860259014;167:16700:0:PV-004014833827;167:16700:0:PV-003434850633;
Nc1ccncn1,3595,167:16700:0:PV-003434845665;167:16700:0:PV-002860259879;167:16700:0:PV-003434850338;
CC1CCC(O)CC1,2189,167:16700:0:PV-003434845665;167:16700:1:PV-005307805885;167:16700:1:PV-005307860423;
c1ccoc1,118015,167:16700:0:PV-003434845672;167:16700:0:PV-003434845837;167:16700:0:PV-004014833888;
Clc1ccccc1,83700,167:16700:0:PV-003434845672;167:16700:0:PV-004014833932;167:16700:0:PV-003434846122;
c1ccn2ncnc2c1,2544,167:16700:0:PV-003434845672;167:16700:0:PV-003434849799;167:16700:1:PV-003434875148;
Cc1ccncn1,18388,167:16700:0:PV-003434845673;167:16700:0:PV-001130319462;167:16700:0:PV-002860261260;
C1CCOCC1,90567,167:16700:0:PV-003434845673;167:16700:0:PV-003434846567;167:16700:0:PV-003434846773;
C1CCNC1,572066,167:16700:0:PV-004014833802;167:16700:0:PV-004014833803;167:16700:0:PV-001042997515;
Cc1ccsc1C,11142,167:16700:0:PV-004014833802;167:16700:0:PV-004014833803;167:16700:0:PV-001042997515;
C1CCOC1,150368,167:16700:0:PV-004014833805;167:16700:0:PV-004014833807;167:16700:0:PV-003434845680;
Cn1cnc2sccc21,662,167:16700:0:PV-004014833805;167:16700:0:PV-004014833807;167:16700:1:PV-004014842033;
Cc1ccccc1,76480,167:16700:0:PV-003434845680;167:16700:0:PV-003434845681;167:16700:0:PV-003434845861;
c1c[nH]nn1,108252,167:16700:0:PV-002650917173;167:16700:0:PV-002860259020;167:16700:0:PV-002650917174;
CC1(C)CCCCC1,9341,167:16700:0:PV-002650917173;167:16700:0:PV-002860259020;167:16700:0:PV-002650917174;
O=C1CCCN1,66423,167:16700:0:PV-004014833816;167:16700:0:PV-004014833817;167:16700:0:PV-004014833818;
C1CC2(CC2)CN1,19904,167:16700:0:PV-004014833816;167:16700:0:PV-004014833817;167:16700:0:PV-004014833818;
c1cnsc1,67187,167:16700:0:PV-004014833816;167:16700:0:PV-004014833817;167:16700:0:PV-004014833818;
C1CCCNCC1,76027,167:16700:0:PV-001747347248;167:16700:0:PV-003434846289;167:16700:0:PV-003434846393;
Cn1ccnc1,38868,167:16700:0:PV-001747347248;167:16700:0:PV-003434846122;167:16700:0:PV-003434846280;
C1CC2(C1)CNC2,27000,167:16700:0:PV-003434845711;167:16700:0:PV-003434845713;167:16700:0:PV-003434846132;
