fragment_smiles,occurences,example_ligands
C1CCCOCC1,1789,47:04700:0:Z1765256276;47:04700:0:Z1603504505;47:04700:1:Z3652328327;
C1CNCCNC1,18231,47:04700:0:Z1765256276;47:04700:0:Z1693864498;47:04700:0:Z923894796;
C1CCOCC1,151499,47:04700:0:Z1693864498;47:04700:0:Z2474681449;47:04700:0:Z4294821031;
C1CCCC1,131951,47:04700:0:Z2785234610;47:04700:0:Z1883265676;47:04700:0:Z3507811288;
Fc1ccc2oncc2c1,407,47:04700:0:Z2785234610;47:04700:0:Z2785234279;47:04700:3:Z2354306928;
Cc1ccccn1,29023,47:04700:0:Z1257225496;47:04700:0:Z4226929242;47:04700:0:Z3505742723;
c1ccoc1,85144,47:04700:0:Z1257225496;47:04700:0:Z4281626020;47:04700:0:Z2069383851;
Fc1ccccc1,249737,47:04700:0:Z480010784;47:04700:0:Z3185057921;47:04700:0:Z3185057917;
C1CCCCC1,144704,47:04700:0:Z480010784;47:04700:0:Z3544832598;47:04700:0:Z4178363073;
Cn1cnc2ccccc21,5048,47:04700:0:Z3554562701;47:04700:0:Z4304515505;47:04700:0:Z1311463402;
CC1(C)CNC2COCC2O1,363,47:04700:0:Z3554562701;47:04700:0:Z2474943802;47:04700:1:Z2481393206;
Cc1ccc(C)o1,2602,47:04700:0:Z1838629887;47:04700:0:Z900409150;47:04700:0:Z4418692693;
c1nnn[nH]1,24297,47:04700:0:Z1838629887;47:04700:0:Z1652376162;47:04700:0:Z437604230;
C1CN2CCC(C2)N1,414,47:04700:0:Z3439779569;47:04700:1:Z4270569441;47:04700:4:Z3444381326;
Cc1ccccc1,173389,47:04700:0:Z3439779569;47:04700:0:Z3385817603;47:04700:0:Z2354401599;
C1CCNC1,320855,47:04700:0:Z3185057921;47:04700:0:Z3185057917;47:04700:0:Z4281626020;
Cn1ncc2cc(F)ccc21,243,47:04700:0:Z3382511806;47:04700:5:Z3380670681;47:04700:8:Z3368334970;
NC1CCCC1,3029,47:04700:0:Z3382511806;47:04700:0:Z3139493150;47:04700:0:Z3101765395;
c1ccccc1,996728,47:04700:0:Z3509459329;47:04700:0:Z2720956680;47:04700:0:Z2805152922;
c1cn[nH]c1,244406,47:04700:0:Z3509459329;47:04700:0:Z2767564211;47:04700:0:Z3111110844;
c1ccncc1,371118,47:04700:0:Z1345847853;47:04700:0:Z746608806;47:04700:0:Z2354401599;
CC1(C)COCCN1,2598,47:04700:0:Z1345847853;47:04700:0:Z4273532787;47:04700:0:Z3774031007;
O=C1CNc2ncccc2N1,176,47:04700:0:Z4281626020;47:04700:3:Z4125711314;47:04701:0:Z4393901927;
c1ncc2nc[nH]c2n1,5510,47:04700:0:Z1883265676;47:04700:0:Z4767975867;47:04700:0:Z4773486605;
O=C1COc2ccccc2N1,3716,47:04700:0:Z4265137456;47:04700:0:Z4220773958;47:04700:0:Z4458995955;
C1CC2(CCO2)CN1,103,47:04700:0:Z4265137456;47:04703:1:Z3620520509;47:04705:0:Z4265156148;
