fragment_smiles,occurences,example_ligands
CC1CCC(C)CC1,627085,193:19300:0:PV-001633385187;193:19300:0:PV-001624683703;193:19300:0:PV-001414910861;;
Oc1nccc2c1CCCN2,48667,193:19300:0:PV-003884897033;193:19300:0:PV-003884901352;193:19300:0:PV-003884901353;;
C1CN2CCC1C2,1582014,193:19300:0:PV-003884897053;193:19300:0:PV-003884904116;193:19300:0:PV-003884907340;;
O=c1[nH]nc2ccccn12,703115,193:19300:0:PV-003884897058;193:19300:0:PV-003034704093;193:19300:1:PV-002290489629;;
c1ccc2c(c1)CNC2,1665130,193:19300:0:PV-003884897081;193:19300:0:PV-004136963430;193:19300:1:PV-003034708131;;
O=c1s[nH]c2ccccc12,35946,193:19300:0:PV-004136962316;193:19302:8:PV-003885386866;193:19310:5:PV-003886730886;;
Cc1cncn2ccnc12,9707,193:19300:0:PV-003884897155;193:19300:7:PV-004136999759;193:19308:0:PV-003035234921;;
CC1CCCOC1,2301525,193:19300:0:PV-003034699386;193:19300:0:PV-003884904225;193:19300:0:PV-003884911123;;
O=c1[nH]nccc1Cl,99618,193:19300:0:PV-003884897221;193:19300:2:PV-006644659796;193:19302:1:PV-006645574967;;
C1CCC2OCCC2C1,673750,193:19300:0:PV-004136962349;193:19300:4:PV-003884966136;193:19300:4:PV-003884966137;;
Cc1cc(=O)ccn1C,495684,193:19300:0:PV-003884897262;193:19300:1:PV-003884930483;193:19300:2:PV-001691288681;;
Cc1nnc[nH]1,581578,193:19300:0:PV-003884897286;193:19300:6:PV-003034738528;193:19300:7:PV-003885037633;;
C1COC2CC2N1,111690,193:19300:0:PV-003884897286;193:19300:7:PV-003885014775;193:19301:6:PV-003885174553;;
Cc1cn2ccsc2n1,666412,193:19300:0:PV-004136962367;193:19300:1:PV-004136969503;193:19300:2:PV-006644577059;;
Cc1ccc2[nH]cnc2c1,246184,193:19300:0:PV-003884897305;193:19300:6:PV-006644838520;193:19300:9:PV-006644986111;;
Fc1ccc2c(c1F)CCNC2,54242,193:19300:0:PV-003884897305;193:19302:0:PV-003885258715;193:19302:6:PV-003885353993;;
C1CCC2(CC1)CCCN2,933737,193:19300:0:PV-004136962368;193:19300:0:PV-003034702433;193:19300:1:PV-003884926521;;
CC1CC2(CC2)C1,633014,193:19300:0:PV-004136962368;193:19300:0:PV-003034702873;193:19300:1:PV-003034705732;;
Cc1conc1C,1460684,193:19300:0:PV-003884897347;193:19300:0:PV-003884897348;193:19300:0:PV-003884897349;;
C1CCC2(C1)CC2,3747242,193:19300:0:PV-004136962384;193:19300:0:PV-003034699730;193:19300:0:PV-003884901128;;
OC1CC2CNC1C2,1384105,193:19300:0:PV-003884897402;193:19300:0:PV-003884903531;193:19300:0:PV-003884903532;;
Cc1cc(=O)cc[nH]1,715550,193:19300:0:PV-004136962397;193:19300:1:PV-003884929397;193:19300:5:PV-004136988405;;
CC1=CCCCC1,1830557,193:19300:0:PV-003884897511;193:19300:0:PV-003884897514;193:19300:0:PV-003884897672;;
Cc1ccn(C)c1,3993872,193:19300:0:PV-003884897536;193:19300:0:PV-003884902536;193:19300:0:PV-003884904608;;
Nc1csc2ncccc12,113636,193:19300:0:PV-003884897559;193:19300:4:PV-003884986589;193:19300:5:PV-006644768396;;
Clc1ccc2ncccc2c1,252252,193:19300:0:PV-003884897639;193:19300:2:PV-003884943154;193:19300:9:PV-006645003914;;
C1CC2COCC(C1)C2,418302,193:19300:0:PV-003884897657;193:19300:3:PV-006644697872;193:19300:4:PV-003884965165;;
CC1(C)CNCCO1,4099183,193:19300:0:PV-003884897683;193:19300:0:PV-003884897684;193:19300:0:PV-003034699627;;
c1cc2cn[nH]c2cn1,536716,193:19300:0:PV-003884897748;193:19300:2:PV-004136973848;193:19300:2:PV-006644572036;;
C1CC2CCCC(C1)C2,926755,193:19300:0:PV-003884897781;193:19300:0:PV-003884897782;193:19300:3:PV-003034719589;;
C1CCC2(CCC2)OC1,1407871,193:19300:0:PV-003034699728;193:19300:1:PV-003884916732;193:19300:2:PV-003034715055;;
Cc1ccc2c(C)n[nH]c2n1,157904,193:19300:0:PV-003034699824;193:19300:4:PV-003884968975;193:19300:4:PV-000468723460;;
Cc1ccccc1O,4080377,193:19300:0:PV-003034699824;193:19300:0:PV-003034700995;193:19300:0:PV-003034700996;;
C1=NCC2CCCCN12,19488,193:19300:0:PV-003034699828;193:19300:0:PV-003884898251;193:19301:0:PV-004137011254;;
c1ccc2c(c1)CCOC2,3265543,193:19300:0:PV-002342238518;193:19300:0:PV-000456498187;193:19300:1:PV-003034704870;;
Cc1cccc2ccnn12,666822,193:19300:0:PV-003884898290;193:19300:4:PV-003884965527;193:19300:5:PV-006644788038;;
Cc1cnccc1Cl,1426644,193:19300:0:PV-003034699864;193:19300:0:PV-003034699865;193:19300:0:PV-003034699866;;
C1CCn2nnnc2C1,247318,193:19300:0:PV-003884898404;193:19300:4:PV-003884981343;193:19300:8:PV-003885048080;;
c1ncc2cc[nH]c2n1,1600162,193:19300:0:PV-003884898415;193:19300:0:PV-004136962641;193:19300:0:PV-004136962642;;
Cc1cc(C)c(C)[nH]1,933319,193:19300:0:PV-003884898433;193:19300:0:PV-003884898434;193:19300:0:PV-003884898437;;
c1cc2[nH]ccc2cn1,1323714,193:19300:0:PV-003884898469;193:19300:0:PV-003034700594;193:19300:0:PV-003884900374;;
c1n[nH]c2c1CCCC2,3001637,193:19300:0:PV-001741749163;193:19300:0:PV-003884901190;193:19300:0:PV-003034703939;;
O=C1NCCN1,5237903,193:19300:0:PV-003034699915;193:19300:0:PV-003034699916;193:19300:0:PV-003884899091;;
Cc1nscc1N,473059,193:19300:0:PV-004136962662;193:19300:1:PV-004136966450;193:19300:1:PV-004136969989;;
O=c1ccnc2n1CCS2,54707,193:19300:0:PV-002549233552;193:19300:2:PV-006644635073;193:19300:6:PV-004136991370;;
Cn1cc2ccccc2n1,1464838,193:19300:0:PV-001165111071;193:19300:1:PV-002549234372;193:19300:1:PV-003884913573;;
Fc1ccc2occc2c1,1212429,193:19300:0:PV-003884898646;193:19300:0:PV-003884898647;193:19300:0:PV-003884898649;;
Cc1ccncc1C,2520697,193:19300:0:PV-003884898679;193:19300:0:PV-003884909728;193:19300:0:PV-003884910696;;
CC1(C)CNCc2ccccc21,40561,193:19300:0:PV-003034700006;193:19304:6:PV-002394037399;193:19305:3:PV-003035059761;;
C1CNC2CCNC2C1,1794377,193:19300:0:PV-003884898722;193:19300:0:PV-003884903242;193:19300:0:PV-003884907749;;
CC1(C)CCCC1,3017077,193:19300:0:PV-003884898780;193:19300:0:PV-003884902362;193:19300:0:PV-003884903159;;
Cc1cncc2ccsc12,142798,193:19300:0:PV-003884898787;193:19300:3:PV-003884948661;193:19300:3:PV-003884948662;;
CC1CC(C)(C)C1,1594546,193:19300:0:PV-003884898838;193:19300:0:PV-003034701299;193:19300:0:PV-003034701300;;
CC1CC(C)NCCN1,506074,193:19300:0:PV-003884898851;193:19300:1:PV-003884917600;193:19300:1:PV-004136968161;;
Cc1cc(C)[nH]c(=O)c1,1225990,193:19300:0:PV-003884898872;193:19300:0:PV-000508650679;193:19300:0:PV-000504439316;;
C1=CCNCC1,935771,193:19300:0:PV-003884898882;193:19300:0:PV-003884910634;193:19300:1:PV-003034713082;;
C1CCC2NCCCC2C1,380921,193:19300:0:PV-003884898882;193:19300:0:PV-003884909013;193:19300:0:PV-003884909014;;
CC1CNc2ccccc21,152585,193:19300:0:PV-002290487565;193:19300:5:PV-006644776794;193:19300:5:PV-006644806028;;
Cc1ccncc1N,1901975,193:19300:0:PV-003034700143;193:19300:0:PV-003034700144;193:19300:1:PV-004136969663;;
CC1(C)COc2ccccc21,350300,193:19300:0:PV-003034700146;193:19300:0:PV-003884910676;193:19300:3:PV-003884957185;;
Cc1cc(C)c2ccsc2n1,81187,193:19300:0:PV-003884899100;193:19303:1:PV-003885441075;193:19303:7:PV-002187024602;;
Fc1ccc2ccncc2c1,619250,193:19300:0:PV-003884899158;193:19300:3:PV-003884950169;193:19300:6:PV-004136990208;;
O=c1ccn2[nH]ccc2n1,152766,193:19300:0:PV-003884899162;193:19300:1:PV-003884914392;193:19300:1:PV-003884914393;;
Clc1ccc2ccoc2c1,272832,193:19300:0:PV-004136962859;193:19300:2:PV-006644585012;193:19300:2:PV-006644602478;;
CC1(O)CCCCC1,417223,193:19300:0:PV-003884899299;193:19300:1:PV-003884916655;193:19300:1:PV-003884924108;;
C1CC2CCNCC(C1)N2,667970,193:19300:0:PV-003884899341;193:19300:2:PV-003884942292;193:19300:2:PV-006644661064;;
C1CC2COCC2C1,1321177,193:19300:0:PV-003884899363;193:19300:0:PV-003884910054;193:19300:1:PV-003884919436;;
O=C1COc2ccccc2N1,1138436,193:19300:0:PV-003034700290;193:19300:0:PV-003034700291;193:19300:0:PV-003034700292;;
Cc1cc2ccccc2[nH]1,716546,193:19300:0:PV-003884899414;193:19300:1:PV-004136971145;193:19300:3:PV-006644673358;;
CC1(C)CNC1,2320321,193:19300:0:PV-003884899481;193:19300:0:PV-003884908955;193:19300:0:PV-003884908956;;
CC1NCC1O,22727,193:19300:0:PV-003034700334;193:19317:4:PV-004137778727;193:19365:4:PV-003039089702;;
c1cc2c(o1)COC2,749115,193:19300:0:PV-003884899600;193:19300:0:PV-003884899601;193:19300:0:PV-003884901694;;
C1CC2CCNCC2CN1,380204,193:19300:0:PV-003884899625;193:19300:0:PV-004136964770;193:19300:3:PV-003884953451;;
Cc1cccc2cc[nH]c12,976624,193:19300:0:PV-003884899698;193:19300:0:PV-003884908576;193:19300:0:PV-003884908577;;
CC1NCc2ccccc2NC1=O,21959,193:19300:0:PV-003034700388;193:19306:3:PV-002135305197;193:19308:9:PV-002549326210;;
Fc1ccc2scnc2c1,210892,193:19300:0:PV-003034700388;193:19300:3:PV-004136979333;193:19300:4:PV-004136986967;;
c1cnc2c(c1)CCN2,1074178,193:19300:0:PV-003884899764;193:19300:0:PV-003884903979;193:19300:1:PV-003884918631;;
Cc1nc[nH]c1C,661052,193:19300:0:PV-003034700399;193:19300:0:PV-002549234131;193:19300:4:PV-002290492166;;
O=C1NCCC1F,2132304,193:19300:0:PV-003884899804;193:19300:0:PV-003884899805;193:19300:0:PV-003884900227;;
O=C1CCCC1,1665676,193:19300:0:PV-003884899857;193:19300:0:PV-003884900624;193:19300:0:PV-003884902403;;
CC1CC2CCC1O2,515613,193:19300:0:PV-003884899861;193:19300:0:PV-003884899862;193:19300:0:PV-003884899863;;
CC1CC(F)C1,1637063,193:19300:0:PV-003884899882;193:19300:0:PV-003034700443;193:19300:1:PV-003034708479;;
CN1C(=O)CNc2ccccc21,28403,193:19300:0:PV-003034700447;193:19306:8:PV-003886074982;193:19313:7:PV-002342380933;;
O=c1[nH]cnc2ncccc12,89355,193:19300:0:PV-003034700447;193:19300:4:PV-003034730721;193:19300:7:PV-003885019765;;
Cc1nccn1C,1794643,193:19300:0:PV-004136963005;193:19300:0:PV-001732590516;193:19300:0:PV-004136963006;;
Cc1ccc(F)c2[nH]ccc12,138072,193:19300:0:PV-003034700453;193:19300:0:PV-003884899913;193:19300:0:PV-001503269055;;
c1cc2n(n1)CCCN2,605660,193:19300:0:PV-003034700478;193:19300:3:PV-003034721065;193:19300:3:PV-003034721066;;
Cc1ccc2cccnc2c1,780190,193:19300:0:PV-003034700480;193:19300:0:PV-003034700481;193:19300:0:PV-003034700482;;
c1n[nH]c2c1CCC2,1957267,193:19300:0:PV-003034700506;193:19300:1:PV-003884920147;193:19300:1:PV-003884933626;;
Clc1cccc2cn[nH]c12,175648,193:19300:0:PV-004136963050;193:19300:5:PV-006644720677;193:19300:5:PV-006644752060;;
Cc1n[nH]c2ccccc12,976542,193:19300:0:PV-003884900060;193:19300:0:PV-003034700525;193:19300:1:PV-004136970928;;
Oc1cccc2occc12,344697,193:19300:0:PV-003884900160;193:19300:4:PV-003884980755;193:19300:5:PV-002135244957;;
c1ccc2scnc2c1,2763847,193:19300:0:PV-002445736907;193:19300:0:PV-003884904243;193:19300:0:PV-004136965233;;
c1ccc2c(c1)CCCO2,2773106,193:19300:0:PV-002445736907;193:19300:0:PV-002445737224;193:19300:0:PV-003884910676;;
O=c1[nH]ncc2ccccc12,749858,193:19300:0:PV-003884900214;193:19300:0:PV-002135239738;193:19300:1:PV-003884935892;;
c1ccc2c(c1)CCS2,623166,193:19300:0:PV-003884900214;193:19300:0:PV-003884907861;193:19300:0:PV-003884907862;;
O=c1[nH]c2ccccc2[nH]1,1277355,193:19300:0:PV-002186986009;193:19300:0:PV-003884902398;193:19300:3:PV-003034718295;;
O=C1CCCn2nccc21,153724,193:19300:0:PV-004136963111;193:19300:2:PV-003034716479;193:19300:2:PV-003884941247;;
c1cc2sccn2n1,395253,193:19300:0:PV-004136963114;193:19300:0:PV-004136963115;193:19300:0:PV-004136963116;;
O=c1cnc2ccccc2[nH]1,333552,193:19300:0:PV-002600985279;193:19300:7:PV-002497497488;193:19300:7:PV-003885024726;;
Cn1ncc2[nH]c(=O)ccc21,87188,193:19300:0:PV-003034700632;193:19300:6:PV-003885008007;193:19301:5:PV-002601000798;;
c1cnc2c(c1)CCO2,519052,193:19300:0:PV-003884900312;193:19300:0:PV-003884900313;193:19300:0:PV-003884900314;;
CC1CCCC(C)(C)C1,553837,193:19300:0:PV-003884900364;193:19300:0:PV-003884900365;193:19300:0:PV-003884907691;;
c1cnc2n[nH]nc2c1,265,193:19300:0:PV-003884900364;193:19300:0:PV-003884900365;;
Oc1ncccc1F,914432,193:19300:0:PV-003884900366;193:19300:3:PV-003884946965;193:19300:3:PV-003884955166;;
Cn1c(=O)cc[nH]c1=O,465373,193:19300:0:PV-003884900371;193:19300:0:PV-001716153772;193:19300:0:PV-003884902881;;
Cc1csc(=O)[nH]1,564948,193:19300:0:PV-001084054617;193:19300:2:PV-006644655778;193:19300:3:PV-006644687282;;
Fc1cc[nH]c1,2907684,193:19300:0:PV-004136963165;193:19300:0:PV-004136963685;193:19300:0:PV-000489039286;;
c1ccc2nonc2c1,1205492,193:19300:0:PV-003034700696;193:19300:0:PV-004136964098;193:19300:1:PV-002549234386;;
c1cc2[nH]ncc2cn1,479820,193:19300:0:PV-003884900524;193:19300:0:PV-003884900525;193:19300:0:PV-003884900526;;
Oc1ncc[nH]1,468317,193:19300:0:PV-002497490252;193:19300:0:PV-003884901599;193:19300:0:PV-003884906240;;
c1scc2c1CCCC2,372401,193:19300:0:PV-004136963183;193:19300:0:PV-004136963184;193:19300:0:PV-004136963359;;
c1cnc2ncccc2c1,1120652,193:19300:0:PV-003884900553;193:19300:0:PV-003884900554;193:19300:0:PV-003884900555;;
O=C1CNCCCN1,337405,193:19300:0:PV-003884900564;193:19300:1:PV-002342240726;193:19300:5:PV-003034734702;;
Cn1cnc2cnccc21,270631,193:19300:0:PV-003884900624;193:19300:2:PV-006644586803;193:19300:4:PV-003884984420;;
c1ccc2c(c1)OCO2,2921258,193:19300:0:PV-002393990492;193:19300:1:PV-003034708173;193:19300:1:PV-002393991762;;
Cn1ccc(N)n1,720675,193:19300:0:PV-003034700819;193:19300:0:PV-003034700820;193:19300:0:PV-003034700821;;
O=c1ccocc1,668839,193:19300:0:PV-003884900849;193:19300:0:PV-003884909263;193:19300:1:PV-003034704831;;
O=c1[nH]cc[nH]1,608413,193:19300:0:PV-004136963298;193:19300:0:PV-003884907383;193:19300:1:PV-003884924942;;
Nc1ccncc1Cl,709605,193:19300:0:PV-004136963300;193:19300:0:PV-004136964158;193:19300:1:PV-004136967642;;
Cc1c[nH]c(C)c1,1793129,193:19300:0:PV-003884900953;193:19300:0:PV-003884904719;193:19300:0:PV-003884906240;;
c1ccc2[nH]nnc2c1,1843932,193:19300:0:PV-003884900984;193:19300:0:PV-001119351241;193:19300:0:PV-001971279976;;
O=C1NCCn2nccc21,411099,193:19300:0:PV-003034700887;193:19300:0:PV-003884906554;193:19300:2:PV-006644587916;;
Cc1cncc(N)c1,605557,193:19300:0:PV-003884901089;193:19300:1:PV-003884928598;193:19300:1:PV-003034711626;;
Cc1n[nH]c(C)n1,1050225,193:19300:0:PV-003884901112;193:19300:1:PV-003884920203;193:19300:3:PV-003884955156;;
C1CNC2CC2N1,1407392,193:19300:0:PV-004136963386;193:19300:0:PV-002290488060;193:19300:0:PV-003884909263;;
C1=NOCC1,3988343,193:19300:0:PV-003034700955;193:19300:0:PV-003034701672;193:19300:0:PV-003034701673;;
Cc1cccc(C)c1O,536980,193:19300:0:PV-003884901258;193:19300:3:PV-003884947280;193:19300:6:PV-002342245144;;
O=C1CCC2CC12,169160,193:19300:0:PV-003034700991;193:19300:1:PV-003034710840;193:19300:1:PV-003884935520;;
Cc1cccc(=O)n1C,689834,193:19300:0:PV-003884901341;193:19300:0:PV-003884901342;193:19300:1:PV-003884933606;;
c1ccc2ncncc2c1,821578,193:19300:0:PV-003884901371;193:19300:0:PV-003884901372;193:19300:0:PV-003884901373;;
CC12CC(C1)C2,294918,193:19300:0:PV-004136963457;193:19300:0:PV-004136963458;193:19300:1:PV-003884920726;;
c1ncc2[nH]ncc2n1,247888,193:19300:0:PV-003884901494;193:19300:3:PV-003884945155;193:19300:3:PV-003884945156;;
CC1(C)CC(=O)NO1,362257,193:19300:0:PV-003884901516;193:19300:0:PV-003034701057;193:19300:2:PV-006644589304;;
C1CC2CCCC2C1,1199102,193:19300:0:PV-003034701058;193:19300:0:PV-003884904167;193:19300:0:PV-003034702964;;
CC1=NOCC1C,1068434,193:19300:0:PV-003884901632;193:19300:0:PV-004136964040;193:19300:2:PV-003884936849;;
Oc1cc(F)ccc1F,276191,193:19300:0:PV-003884901645;193:19300:3:PV-006644684926;193:19300:3:PV-004136977732;;
Clc1ccnc2[nH]ccc12,251168,193:19300:0:PV-004136963535;193:19300:4:PV-004136983476;193:19301:4:PV-006645188289;;
Fc1cc(F)c2cc[nH]c2c1,149548,193:19300:0:PV-003884901704;193:19300:3:PV-003884947190;193:19300:6:PV-003885011565;;
Cn1ncnc1O,274547,193:19300:0:PV-003884901712;193:19300:1:PV-003034708103;193:19300:4:PV-003034731564;;
O=C1CNCCN1,3001395,193:19300:0:PV-002135239655;193:19300:1:PV-003884913197;193:19300:1:PV-000274933899;;
Cc1ccoc1C,2160474,193:19300:0:PV-003884901896;193:19300:0:PV-003884901897;193:19300:0:PV-003884901898;;
Fc1ccc(F)cc1,4025005,193:19300:0:PV-003884901943;193:19300:0:PV-003884905094;193:19300:0:PV-003034702631;;
Cc1ccc2[nH]ncc2c1,878700,193:19300:0:PV-001468147382;193:19300:1:PV-003884912390;193:19300:1:PV-003884923394;;
c1cc2occc2[nH]1,656319,193:19300:0:PV-000418101098;193:19300:0:PV-003034702881;193:19300:0:PV-003034702882;;
Cc1ncccc1N,1283701,193:19300:0:PV-003884902085;193:19300:1:PV-003884921671;193:19300:1:PV-003884926706;;
O=c1[nH]ccn2nccc12,555090,193:19300:0:PV-003884902243;193:19300:0:PV-003884902244;193:19300:0:PV-003884902245;;
Oc1ccc2[nH]cnc2c1,116817,193:19300:0:PV-003884902249;193:19300:0:PV-003884902250;193:19301:0:PV-003885079865;;
c1cnc2[nH]ccc2c1,3820581,193:19300:0:PV-003884902252;193:19300:0:PV-003034702092;193:19300:0:PV-003034702093;;
Cc1ccncc1F,1243106,193:19300:0:PV-003884902362;193:19300:1:PV-003884924039;193:19300:1:PV-003884924040;;
Cn1cnccc1=O,1442296,193:19300:0:PV-003884902498;193:19300:1:PV-003884920152;193:19300:1:PV-004136970133;;
Cc1cc(C)nc(C)c1,652257,193:19300:0:PV-001050414803;193:19300:1:PV-004136966553;193:19300:1:PV-004136966554;;
Cc1ccc2cc[nH]c2c1,958251,193:19300:0:PV-003884902708;193:19300:0:PV-001123212902;193:19300:0:PV-003884902711;;
C1C2CC2C2CC12,72490,193:19300:0:PV-004136963822;193:19301:9:PV-003885224881;193:19302:0:PV-003885254959;;
Oc1cnc2cc(F)ccc2c1,38286,193:19300:0:PV-003034701532;193:19300:3:PV-003884947623;193:19305:2:PV-003035053365;;
CN1CCCC1(C)C,83651,193:19300:0:PV-003034701534;193:19300:2:PV-006644655772;193:19304:6:PV-003885683891;;
C1=Cc2ccccc2C1,348107,193:19300:0:PV-003884902885;193:19300:0:PV-003884902886;193:19300:0:PV-003884902887;;
CC1(C)Cc2ccsc2C1,157233,193:19300:0:PV-004136963853;193:19300:2:PV-006644637024;193:19300:3:PV-004136978871;;
Fc1cccc2sccc12,317595,193:19300:0:PV-004136963865;193:19300:0:PV-000455957640;193:19300:2:PV-006644593243;;
O=C1CC2(CCC2)CCN1,232873,193:19300:0:PV-003034701574;193:19300:5:PV-006644762413;193:19300:6:PV-003034744072;;
O=c1ccc2ccc(F)cc2[nH]1,184876,193:19300:0:PV-002393990625;193:19300:1:PV-002342239858;193:19300:8:PV-002393998911;;
O=c1[nH][nH]c2c1CCCC2,107069,193:19300:0:PV-003884902944;193:19301:4:PV-006645200384;193:19301:4:PV-006645200385;;
C1CNC2(C1)CC2,3987881,193:19300:0:PV-003884902966;193:19300:0:PV-003884904109;193:19300:0:PV-003884905009;;
Cc1cccc(O)n1,2245493,193:19300:0:PV-003884902988;193:19300:0:PV-003034701765;193:19300:0:PV-003034701766;;
CC1CC2CC2C1,883848,193:19300:0:PV-003884902992;193:19300:0:PV-003884906276;193:19300:1:PV-003884912826;;
c1n[nH]c2c1CNCC2,544130,193:19300:0:PV-003884903016;193:19300:0:PV-003034704398;193:19300:1:PV-003884935214;;
OC1CCOCC1,2295464,193:19300:0:PV-003884903032;193:19300:0:PV-003034702659;193:19300:0:PV-003034702660;;
Cc1cncnc1C,1340671,193:19300:0:PV-003884903075;193:19300:0:PV-003884905213;193:19300:0:PV-003884907529;;
Cc1c[nH]c2c1C(=O)CCC2,103947,193:19300:0:PV-003884903081;193:19301:3:PV-003885138010;193:19301:3:PV-003034792924;;
CC1C(C)(C)C1(C)C,888941,193:19300:0:PV-000508298123;193:19300:0:PV-000463371496;193:19300:0:PV-000504095004;;
Cn1ccc2cccc(Cl)c21,77291,193:19300:0:PV-004136963924;193:19300:1:PV-004136969462;193:19300:9:PV-006645027578;;
Cc1cc(C)[nH]c(=O)n1,585165,193:19300:0:PV-003884903242;193:19300:1:PV-003034709119;193:19300:1:PV-003884925297;;
CC1CCc2sccc2C1,121015,193:19300:0:PV-004136963976;193:19300:0:PV-004136963977;193:19300:5:PV-001294574589;;
Cn1ncnn1,560611,193:19300:0:PV-003034701713;193:19300:0:PV-004136964110;193:19300:2:PV-003884938684;;
Cc1n[nH]cc1O,755939,193:19300:0:PV-000469049028;193:19300:1:PV-000567610650;193:19300:2:PV-006644594826;;
CC1CCC(C)C1(C)C,380743,193:19300:0:PV-001499682767;193:19300:3:PV-004136979902;193:19300:4:PV-001224913377;;
Clc1ccc2c(c1)NCC2,130986,193:19300:0:PV-004136964026;193:19300:2:PV-006644624290;193:19301:2:PV-004137019316;;
O=C1CC2CCCC2C1,249885,193:19300:0:PV-003884903442;193:19300:0:PV-003884903443;193:19300:0:PV-003884903444;;
O=C1NCCCc2occc21,210806,193:19300:0:PV-003034701781;193:19300:1:PV-003034708773;193:19300:2:PV-003884939442;;
O=c1cn[nH]c(=O)[nH]1,186819,193:19300:0:PV-003884903475;193:19300:9:PV-003885061406;193:19300:9:PV-003885061407;;
Cc1ccc[nH]c1=O,1715845,193:19300:0:PV-003884903521;193:19300:0:PV-003884903522;193:19300:0:PV-003884903523;;
c1cn2c(n1)CNCCC2,471641,193:19300:0:PV-003034701865;193:19300:0:PV-003034704051;193:19300:1:PV-003884919645;;
Cc1cc2[nH]ccc2o1,518486,193:19300:0:PV-004136964122;193:19300:2:PV-003034715520;193:19300:4:PV-003034726486;;
C1COCC2(C1)CCN2,36360,193:19300:0:PV-002186986231;193:19307:1:PV-003886120265;193:19308:9:PV-003886451243;;
Nc1cccnn1,622944,193:19300:0:PV-004136964129;193:19300:1:PV-003884932536;193:19300:2:PV-006644600523;;
C1CCC2(CCC2)NC1,1315949,193:19300:0:PV-002705612406;193:19300:0:PV-002705612451;193:19300:1:PV-002705613458;;
CC1CCCCN1C,923020,193:19300:0:PV-003884903911;193:19300:1:PV-003884921826;193:19300:3:PV-006644712454;;
CC1CNCc2ccccc2O1,31159,193:19300:0:PV-002497490451;193:19302:8:PV-003034885139;193:19306:5:PV-003035144559;;
C1CCC2(C1)CCCN2,1092018,193:19300:0:PV-003884903950;193:19300:1:PV-003884920018;193:19300:1:PV-003884921252;;
Nc1ncnc2ccccc12,125763,193:19300:0:PV-003884903986;193:19300:0:PV-003884903987;193:19300:0:PV-003884903988;;
C1CC2(C1)OCC1CC12,172405,193:19300:0:PV-003884904029;193:19300:5:PV-003884996715;193:19300:5:PV-003884996716;;
Oc1nc2c([nH]1)CCCC2,119373,193:19300:0:PV-003034702013;193:19300:0:PV-003034702014;193:19300:0:PV-003034702015;;
CC1CCCC1C,277938,193:19300:0:PV-003884904236;193:19300:3:PV-003884949868;193:19300:3:PV-001473659750;;
Cc1sccc1N,707351,193:19300:0:PV-004136964267;193:19300:1:PV-004136968530;193:19300:2:PV-006644607831;;
Cc1cccc2nc[nH]c12,316492,193:19300:0:PV-003034702144;193:19300:0:PV-003034702145;193:19300:0:PV-003034702146;;
C1COC2(C1)CCNC2,513066,193:19300:0:PV-003884904403;193:19300:1:PV-003884913372;193:19300:2:PV-006644597497;;
c1ccn2nnnc2c1,445453,193:19300:0:PV-001589992003;193:19300:1:PV-003884928766;193:19300:1:PV-003884928767;;
C1CCC2(CC1)CCCCC2,209243,193:19300:0:PV-002705612465;193:19300:3:PV-003884954648;193:19300:5:PV-006644747660;;
Cn1cc(N)cn1,757975,193:19300:0:PV-003884904501;193:19300:0:PV-003884908955;193:19300:0:PV-003884908956;;
Cc1cn2cc(C)sc2n1,147667,193:19300:0:PV-004136964314;193:19300:0:PV-004136964315;193:19300:3:PV-003034721298;;
Cc1ncnn1C,1140368,193:19300:0:PV-003884904615;193:19300:0:PV-003034702506;193:19300:0:PV-003034702953;;
FC1Cc2ccnn2C1,342852,193:19300:0:PV-003884904636;193:19300:1:PV-003034706056;193:19300:1:PV-003884923466;;
Cc1cc(C)cc(C)c1,1428250,193:19300:0:PV-001993207753;193:19300:0:PV-004136964622;193:19300:1:PV-001613041322;;
Cc1nc2ccccn2n1,538911,193:19300:0:PV-002238736773;193:19300:4:PV-003884963739;193:19300:4:PV-003884978160;;
C1CC2COCC12,168947,193:19300:0:PV-003884904786;193:19300:9:PV-003885054949;193:19301:0:PV-003885082279;;
c1cn2ccnc2cn1,523002,193:19300:0:PV-003884904832;193:19300:1:PV-003034709332;193:19301:0:PV-003885067232;;
CC1CCC(F)(F)CC1,380810,193:19300:0:PV-003034702339;193:19300:1:PV-003884920726;193:19300:2:PV-006644585495;;
O=C1Cc2ccccc2N1,1642728,193:19300:0:PV-003884904875;193:19300:2:PV-006644662134;193:19300:4:PV-003034728315;;
Oc1ccc2[nH]ncc2c1,144933,193:19300:0:PV-003884904924;193:19300:1:PV-003034709222;193:19301:7:PV-006645398186;;
Cc1cc(=O)[nH]c(C)n1,268150,193:19300:0:PV-000416853681;193:19300:4:PV-003884965570;193:19300:6:PV-001509201833;;
Cc1n[nH]c(=O)o1,173356,193:19300:0:PV-003884904975;193:19300:3:PV-006644708264;193:19301:4:PV-003885154930;;
c1occ2c1CCC2,926795,193:19300:0:PV-004136964435;193:19300:0:PV-003034702542;193:19300:0:PV-000269823066;;
CC1(C)CC(C)(C)C1,402673,193:19300:0:PV-003884905022;193:19300:0:PV-003884906794;193:19300:2:PV-006644575393;;
Cc1n[nH]c(=O)n1C,139448,193:19300:0:PV-003884905082;193:19300:0:PV-003884905083;193:19300:0:PV-003884905084;;
