fragment_smiles,occurences,example_ligands
C1CCNCC1,228978871,193:19300:0:PV-006644521140;193:19300:0:PV-006644523779;193:19300:0:PV-006644524379;;
Cc1c[nH]c(=O)[nH]1,1399060,193:19300:0:PV-006644521149;193:19300:0:PV-006644524921;193:19300:0:PV-006644536533;;
C1CC2CC2N1,8172703,193:19300:0:PV-006644521149;193:19300:0:PV-006644524921;193:19300:0:PV-006644525888;;
Clc1cccs1,6727027,193:19300:0:PV-006644521149;193:19300:0:PV-006644526805;193:19300:0:PV-006644526806;;
O=c1cc2c(n[nH]1)CCCC2,220474,193:19300:0:PV-006644521193;193:19300:3:PV-003884961853;193:19302:1:PV-006645570807;;
OC1CCCC1,12304350,193:19300:0:PV-006644521238;193:19300:0:PV-006644531312;193:19300:0:PV-006644531313;;
C1CCOCC1,51348743,193:19300:0:PV-006644521238;193:19300:0:PV-006644525757;193:19300:0:PV-006644529311;;
Fc1cccc(F)c1,15504278,193:19300:0:PV-006644521262;193:19300:0:PV-006644530098;193:19300:0:PV-006644532738;;
Clc1cn[nH]c1,7028496,193:19300:0:PV-006644521262;193:19300:0:PV-006644524921;193:19300:0:PV-006644530891;;
FC1CCNC1,25793625,193:19300:0:PV-006644521289;193:19300:0:PV-006644521701;193:19300:0:PV-006644521702;;
Cc1cnc(C)s1,2019260,193:19300:0:PV-006644521338;193:19300:0:PV-006644523134;193:19300:0:PV-000536059316;;
Cc1ccsn1,6374709,193:19300:0:PV-006644521338;193:19300:0:PV-006644529204;193:19300:0:PV-006644530379;;
ClC1=CCCC1,2151180,193:19300:0:PV-006644521354;193:19300:0:PV-006644542765;193:19300:0:PV-006644548006;;
Clc1ccccc1,42117792,193:19300:0:PV-006644521479;193:19300:0:PV-006644523630;193:19300:0:PV-006644525666;;
O=C1Cc2cc(Cl)ccc2N1,24749,193:19300:0:PV-006644521479;193:19301:1:PV-006645105879;193:19302:1:PV-006645608158;;
Cn1ncc(Cl)c1Cl,192205,193:19300:0:PV-006644521701;193:19300:0:PV-006644521702;193:19300:0:PV-006644521703;;
C1CCNC1,241965685,193:19300:0:PV-006644521837;193:19300:0:PV-006644521838;193:19300:0:PV-006644522157;;
Cc1cc[nH]c1,7942038,193:19300:0:PV-006644521904;193:19300:0:PV-003884895145;193:19300:0:PV-003884895146;;
CC1CCCN1,38504338,193:19300:0:PV-006644521904;193:19300:0:PV-006644525757;193:19300:0:PV-006644528130;;
OC1CCCNC1,17020978,193:19300:0:PV-006644521911;193:19300:0:PV-006644521912;193:19300:0:PV-006644526231;;
Cc1cncc(F)c1,2448357,193:19300:0:PV-006644521949;193:19300:0:PV-006644561355;193:19300:1:PV-003884912184;;
Cc1ccc(C)[nH]1,3992897,193:19300:0:PV-006644522020;193:19300:0:PV-004136961402;193:19300:0:PV-001119017156;;
Oc1cc2c(nn1)CNC2,14122,193:19300:0:PV-006644522020;193:19321:6:PV-006655694964;193:19324:0:PV-006656918974;;
Oc1cc(Cl)ccc1Cl,61995,193:19300:0:PV-006644522157;193:19300:0:PV-006644556024;193:19300:8:PV-006644889761;;
C1CC2CCNC2C1,5208703,193:19300:0:PV-006644522182;193:19300:0:PV-006644528949;193:19300:0:PV-006644539118;;
C1CC2CC(CN2)N1,1177420,193:19300:0:PV-006644522221;193:19300:0:PV-006644533192;193:19300:0:PV-003884899637;;
Clc1cc[nH]c1,2869915,193:19300:0:PV-006644522221;193:19300:0:PV-006644528143;193:19300:0:PV-006644551151;;
CC1CCCCO1,3690102,193:19300:0:PV-006644522252;193:19300:0:PV-006644544462;193:19300:0:PV-006644546512;;
O=C1CSCN1,563164,193:19300:0:PV-006644522252;193:19300:0:PV-006644524996;193:19300:0:PV-006644540133;;
CC1CC(F)(F)C1,2122709,193:19300:0:PV-006644522260;193:19300:0:PV-003884894056;193:19300:0:PV-003884910013;;
c1cnoc1,50432509,193:19300:0:PV-006644522298;193:19300:0:PV-006644523230;193:19300:0:PV-006644527078;;
FC1(F)CC1,11288372,193:19300:0:PV-006644522369;193:19300:0:PV-006644523630;193:19300:0:PV-006644523779;;
c1ccc2c(c1)CCCC2,3857012,193:19300:0:PV-006644522381;193:19300:0:PV-001979305349;193:19300:0:PV-000389769129;;
O=C1CCc2sccc21,32972,193:19300:0:PV-006644522381;193:19307:6:PV-006648420485;193:19312:1:PV-006650785325;;
Cn1ccc(Cl)n1,1352506,193:19300:0:PV-006644522435;193:19300:0:PV-006644522436;193:19300:0:PV-006644522437;;
CC1CCOCC1,3425190,193:19300:0:PV-006644522442;193:19300:0:PV-006644544530;193:19300:0:PV-006644545009;;
Fc1ccccc1F,8512116,193:19300:0:PV-006644522460;193:19300:0:PV-006644523208;193:19300:0:PV-006644551315;;
Fc1cccs1,2317613,193:19300:0:PV-006644522543;193:19300:0:PV-006644522544;193:19300:0:PV-006644524906;;
Clc1csc2cc3c(cc12)OCCO3,5998,193:19300:0:PV-006644522563;193:19300:0:PV-006644522564;193:19308:1:PV-006648640479;;
C1CCC2(CC1)CC2,3225653,193:19300:0:PV-006644522583;193:19300:0:PV-006644522584;193:19300:0:PV-004136964349;;
Cc1scnc1O,778532,193:19300:0:PV-006644522998;193:19300:0:PV-006644522999;193:19300:0:PV-006644523000;;
C1COC2(C1)CCC2,2583090,193:19300:0:PV-006644522998;193:19300:0:PV-006644522999;193:19300:0:PV-006644523000;;
Oc1cccc(F)c1,2460165,193:19300:0:PV-006644523101;193:19300:0:PV-006644544462;193:19300:0:PV-003034698613;;
Cc1ccc(F)cc1,4353727,193:19300:0:PV-006644523104;193:19300:0:PV-006644529419;193:19300:0:PV-006644540269;;
Cc1cc(C)ncn1,2254311,193:19300:0:PV-006644523197;193:19300:0:PV-006644531027;193:19300:0:PV-003884895009;;
C1CC2CCC12,709637,193:19300:0:PV-006644523197;193:19300:0:PV-006644561664;193:19300:0:PV-003884899206;;
C1CNC2(C1)CCC2,5765372,193:19300:0:PV-006644523216;193:19300:0:PV-006644524586;193:19300:0:PV-006644547916;;
Cc1ccoc1,15663076,193:19300:0:PV-006644523230;193:19300:0:PV-006644540793;193:19300:0:PV-006644544530;;
C1CNCCN1,65352096,193:19300:0:PV-006644523310;193:19300:0:PV-006644525311;193:19300:0:PV-006644525576;;
FC1CCCNC1,21002917,193:19300:0:PV-006644523347;193:19300:0:PV-006644525631;193:19300:0:PV-006644525632;;
Fc1ccccc1Cl,6558012,193:19300:0:PV-006644523347;193:19300:0:PV-006644529779;193:19300:0:PV-006644536301;;
CC1CCCNC1,25937685,193:19300:0:PV-006644523581;193:19300:0:PV-006644526061;193:19300:0:PV-006644526550;;
ClC1=CCC1,2407811,193:19300:0:PV-006644523581;193:19300:0:PV-006644528271;193:19300:0:PV-006644528272;;
c1c[nH]nn1,45975504,193:19300:0:PV-006644523581;193:19300:0:PV-006644524543;193:19300:0:PV-006644526805;;
Cc1ccco1,18779645,193:19300:0:PV-006644523676;193:19300:0:PV-006644523677;193:19300:0:PV-006644526399;;
O=S1CCCCC1,1131055,193:19300:0:PV-006644523676;193:19300:0:PV-006644523677;193:19300:0:PV-006644527137;;
CC1CCCS1(=O)=O,281055,193:19300:0:PV-006644523829;193:19300:0:PV-006644558268;193:19300:3:PV-000496041770;;
C1CC2(C1)CCNC2,6703459,193:19300:0:PV-006644523829;193:19300:0:PV-003884894529;193:19300:0:PV-003034698714;;
C1CC2CCC(C1)N2,11228709,193:19300:0:PV-006644523892;193:19300:0:PV-006644524756;193:19300:0:PV-006644540886;;
Cn1cccc1,12980404,193:19300:0:PV-006644523892;193:19300:0:PV-006644527048;193:19300:0:PV-006644527049;;
Clc1ccon1,2162888,193:19300:0:PV-006644523927;193:19300:0:PV-006644539986;193:19300:0:PV-006644540133;;
O=C1CCCN1,32735291,193:19300:0:PV-006644524039;193:19300:0:PV-006644524586;193:19300:0:PV-006644527035;;
Clc1ccsc1,3967815,193:19300:0:PV-006644524072;193:19300:0:PV-006644527253;193:19300:0:PV-006644527254;;
OC1CCNC1,34128189,193:19300:0:PV-006644524097;193:19300:0:PV-006644524098;193:19300:0:PV-006644525820;;
c1cnsc1,17874129,193:19300:0:PV-006644524097;193:19300:0:PV-006644524098;193:19300:0:PV-006644528778;;
C1CC2CNCC(C1)C2,2036692,193:19300:0:PV-006644524332;193:19300:1:PV-003884916441;193:19300:2:PV-006644581387;;
C1CC2CNC(C1)C2,2332707,193:19300:0:PV-006644524458;193:19300:0:PV-006644553575;193:19300:0:PV-003884901575;;
Cc1ccccc1Cl,5344394,193:19300:0:PV-006644524509;193:19300:0:PV-006644524510;193:19300:0:PV-006644524511;;
CC1CCCO1,10146153,193:19300:0:PV-006644524509;193:19300:0:PV-006644524510;193:19300:0:PV-006644524511;;
FC1CCNCC1,10010473,193:19300:0:PV-006644524656;193:19300:0:PV-006644524657;193:19300:0:PV-006644527177;;
CC1=CSCCO1,1163100,193:19300:0:PV-006644524672;193:19300:0:PV-006644525583;193:19300:0:PV-006644558549;;
Cc1ncco1,7714864,193:19300:0:PV-006644524672;193:19300:0:PV-006644527048;193:19300:0:PV-006644527049;;
Clc1cncnc1,2062218,193:19300:0:PV-006644524753;193:19300:0:PV-006644524754;193:19300:0:PV-006644526704;;
C1CC2(C1)CCOC2,1757385,193:19300:0:PV-006644524756;193:19300:0:PV-006644547895;193:19300:0:PV-003884893745;;
Cc1ccc(C)nc1,4238585,193:19300:0:PV-006644524759;193:19300:0:PV-006644528130;193:19300:0:PV-003884892982;;
FC1(F)CCNCC1,1124034,193:19300:0:PV-006644524785;193:19300:1:PV-003034707302;193:19300:1:PV-004136968581;;
Fc1cccnc1,18248015,193:19300:0:PV-006644524785;193:19300:0:PV-006644527137;193:19300:0:PV-006644527138;;
OC1CCc2cc(F)ccc21,25575,193:19300:0:PV-006644524810;193:19301:3:PV-002238750427;193:19302:9:PV-003885400510;;
Cc1nccs1,8967907,193:19300:0:PV-006644524857;193:19300:0:PV-006644528228;193:19300:0:PV-006644528229;;
CC1CCNCC1,19996645,193:19300:0:PV-006644524857;193:19300:0:PV-006644530214;193:19300:0:PV-006644533159;;
Cc1ccn[nH]1,17414700,193:19300:0:PV-006644524857;193:19300:0:PV-006644554400;193:19300:0:PV-003034697454;;
CC1CNCC(C)C1,1244191,193:19300:0:PV-006644524896;193:19300:0:PV-004136964937;193:19300:1:PV-003884922058;;
O=S1(=O)CCC1,3479016,193:19300:0:PV-006644524962;193:19300:0:PV-006644528307;193:19300:0:PV-006644533194;;
C1CC2(CN1)CNC2,6519219,193:19300:0:PV-006644524996;193:19300:0:PV-006644532417;193:19300:0:PV-006644550699;;
Cc1csc(C)c1C,642915,193:19300:0:PV-006644525079;193:19300:0:PV-006644525080;193:19300:0:PV-006644525081;;
C1CSCCN1,3023853,193:19300:0:PV-006644525079;193:19300:0:PV-006644525080;193:19300:0:PV-006644525081;;
O=S1(=O)CC2CC2C1,83777,193:19300:0:PV-006644525085;193:19300:2:PV-006644653875;193:19300:3:PV-006644717136;;
FC12CNCC(C1)C2,260445,193:19300:0:PV-006644525134;193:19300:0:PV-006644527035;193:19300:0:PV-006644527036;;
O=S1(=O)CCCC1,3466520,193:19300:0:PV-006644525134;193:19300:0:PV-006644526691;193:19300:0:PV-006644526778;;
c1ccoc1,53170568,193:19300:0:PV-006644525311;193:19300:0:PV-006644527389;193:19300:0:PV-006644537104;;
Cc1ccc2[nH]ccc2c1,669951,193:19300:0:PV-006644525518;193:19300:0:PV-006644525519;193:19300:0:PV-006644525520;;
Clc1ccc2occc2c1,300071,193:19300:0:PV-006644525580;193:19300:1:PV-001679339985;193:19300:4:PV-000509980861;;
C1CNCC2(C1)CC2,2936550,193:19300:0:PV-006644525583;193:19300:0:PV-006644550480;193:19300:0:PV-003884900710;;
C1=CCCCC1,568636,193:19300:0:PV-006644525593;193:19300:0:PV-006644535552;193:19300:0:PV-006644537746;;
OC1CCC1,16241102,193:19300:0:PV-006644525593;193:19300:0:PV-006644532741;193:19300:0:PV-006644532742;;
CC1CCCCC1,12706328,193:19300:0:PV-006644525631;193:19300:0:PV-006644525632;193:19300:0:PV-006644525633;;
Cc1cccnc1,17971391,193:19300:0:PV-006644525666;193:19300:0:PV-006644536301;193:19300:0:PV-000455699500;;
Cn1nccc1Cl,3430283,193:19300:0:PV-006644525673;193:19300:0:PV-006644525674;193:19300:0:PV-006644527046;;
c1ccc2c(c1)CNCCO2,400307,193:19300:0:PV-006644525694;193:19300:6:PV-006644834001;193:19301:1:PV-003885090652;;
Cc1cnc[nH]1,6037225,193:19300:0:PV-006644525888;193:19300:0:PV-003884892423;193:19300:0:PV-003884896323;;
Oc1cccc(Cl)c1,1612775,193:19300:0:PV-006644525913;193:19300:0:PV-006644539107;193:19300:0:PV-006644543750;;
C1CC2(C1)CC2,5926851,193:19300:0:PV-006644525913;193:19300:0:PV-006644534910;193:19300:0:PV-003884892593;;
Nc1ncccn1,985793,193:19300:0:PV-006644526061;193:19300:0:PV-004136962272;193:19300:1:PV-003034705543;;
Nc1cc2ccccc2cn1,76287,193:19300:0:PV-006644526147;193:19305:2:PV-003885788927;193:19305:2:PV-003885788928;;
C1CC2CCC(CN1)N2,1573807,193:19300:0:PV-006644526221;193:19300:0:PV-006644556112;193:19300:0:PV-003884894138;;
Cc1cc(Cl)cs1,520070,193:19300:0:PV-006644526231;193:19300:2:PV-006644585857;193:19300:2:PV-006644598036;;
C1CNCC2CC2C1,649821,193:19300:0:PV-006644526234;193:19300:1:PV-003884926008;193:19300:2:PV-003884937248;;
CC1CCC(F)CC1,498485,193:19300:0:PV-006644526246;193:19300:1:PV-003884926778;193:19300:2:PV-003884939694;;
