fragment_smiles,occurences,example_ligands
Nc1nn[nH]n1,137,1:00100:0:Z3052128448;1:00101:9:Z3051095549;1:00101:9:Z4471857014;
Cc1ccnc(C)n1,3378,1:00100:0:Z2149977176;1:00100:0:Z3378685791;1:00100:0:Z3176027801;
OC1CCC2CCNC12,892,1:00100:0:Z3716073639;1:00100:0:Z2723089631;1:00100:1:Z2707919576;
Oc1ccc2ccccc2c1,338,1:00100:0:Z4887807684;1:00100:0:Z4352730649;1:00100:4:Z4149878663;
CC1CCCC(C)NC1,313,1:00100:0:Z3391072067;1:00100:1:Z1411281669;1:00100:2:Z3514599997;
Cc1nn[nH]n1,1051,1:00100:0:Z1444783925;1:00100:2:Z3443506853;1:00100:3:Z3611089014;
O=S1(=O)CCNCCN1,546,1:00100:0:Z4170687827;1:00100:1:Z3475565773;1:00100:5:Z3561955762;
C1CC2CNCC2CO1,1266,1:00100:0:Z4273483747;1:00100:0:Z3642102912;1:00100:1:Z4117085117;
Cc1cccc(F)c1Cl,250,1:00100:0:Z3172387401;1:00100:5:Z2285040431;1:00101:0:Z1926890793;
c1cnc2ncnn2c1,2409,1:00100:0:Z1205171295;1:00100:0:Z2771619142;1:00100:1:Z3393898761;
Cc1nnc2n1CCNC2C,189,1:00100:0:Z3320472849;1:00100:2:Z3591077985;1:00100:4:Z3591064682;
c1ncc2nn[nH]c2n1,479,1:00100:0:Z2968420727;1:00100:1:Z2969768581;1:00100:3:Z2972269438;
Cc1csc2ncncc12,274,1:00100:0:Z2346820138;1:00100:0:Z4929727078;1:00100:1:Z2347131549;
C1COCC2(C1)CCOCC2,261,1:00100:0:Z2861289068;1:00100:9:Z2836165932;1:00101:4:Z3576402252;
Cc1csnn1,3288,1:00100:0:Z3144654750;1:00100:0:Z2207919494;1:00100:1:Z3363259716;
c1ccc2oncc2c1,1285,1:00100:0:Z4406032271;1:00100:0:Z4404614141;1:00100:0:Z4406032122;
OC1CCNC12CCC2,432,1:00100:0:Z3832788358;1:00100:5:Z3291969864;1:00101:3:Z4178291473;
Cc1cn(C)cn1,1829,1:00100:0:Z3515556827;1:00100:1:Z2640367513;1:00100:1:Z3512211653;
Cc1cccc(C)n1,3712,1:00100:0:Z3550321857;1:00100:0:Z2928807613;1:00100:1:Z4452097396;
C1=NOC2(C1)CNC2,348,1:00100:0:Z4232976871;1:00100:1:Z4490684112;1:00100:3:Z4232979264;
c1nc2c(o1)CCNC2,481,1:00100:0:Z4243975621;1:00100:0:Z4279479956;1:00100:1:Z4221200100;
OC1C2CNCC(C2)C1O,329,1:00100:0:Z4140265294;1:00100:1:Z4138953683;1:00100:2:Z4120553556;
CC1CCN(C)CC1,796,1:00100:0:Z2407444247;1:00100:1:Z4058937629;1:00100:3:Z1632284932;
CC1(O)CCNCC1,811,1:00100:0:Z2864232289;1:00100:0:Z1417415381;1:00100:1:Z2185321615;
C1CC2CC2CN1,2063,1:00100:0:Z2864232289;1:00100:0:Z2629322409;1:00100:1:Z2931720144;
Cc1conc1C,526,1:00100:0:Z2956610644;1:00100:0:Z2960411095;1:00100:8:Z2960850351;
Fc1cccc2ocnc12,383,1:00100:0:Z3310572849;1:00100:3:Z4489744056;1:00100:5:Z1900611272;
c1ccn2nncc2c1,997,1:00100:0:Z3807780956;1:00100:0:Z3554907585;1:00100:1:Z3510072599;
c1ccc2c(c1)CNCCN2,177,1:00100:0:Z2393187970;1:00100:2:Z4925230194;1:00100:3:Z2393190263;
Cc1cnc2n1CCCC2,1104,1:00100:0:Z4242238987;1:00100:0:Z4242239024;1:00100:0:Z4505476737;
CC1C2CNC1C2,96,1:00100:0:Z4576312472;1:00101:3:Z3861647461;1:00101:5:Z4576303585;
Fc1cccn2ccnc12,658,1:00100:0:Z4154868923;1:00100:1:Z1517981732;1:00100:2:Z3843236674;
C1CC2COCC(C1)C2,341,1:00100:0:Z4563420576;1:00100:3:Z3899041009;1:00100:6:Z3798392886;
NC1CC2CCC1C2,1402,1:00100:0:Z4521314727;1:00100:1:Z4001044170;1:00100:1:Z4061656883;
c1cnc2ccsc2c1,2421,1:00100:0:Z4223231146;1:00100:0:Z1508241329;1:00100:1:Z1272386763;
C1COC2(C1)CNC2,1684,1:00100:0:Z3383152225;1:00100:1:Z4274418391;1:00100:3:Z3373199069;
O=c1cc2n(c(=O)[nH]1)CCOC2,11,1:00100:0:Z5058751538;1:00138:3:Z5057605405;1:00138:3:Z5057605408;
CC1CCNC1C,777,1:00100:0:Z1365839899;1:00100:2:Z3515056356;1:00100:4:Z1366582697;
CN1CC2CCCC2C1,531,1:00100:0:Z3143316653;1:00100:5:Z4107016905;1:00100:6:Z4350658568;
CN1CCCC12CCCC2,317,1:00100:0:Z3358933054;1:00100:2:Z3511154754;1:00101:3:Z4448097677;
FC12CCCC(CC1)C2,226,1:00100:0:Z4923666774;1:00100:4:Z4921792943;1:00102:9:Z4921635192;
CN1CCCC2(CCNC2)C1=O,129,1:00100:0:Z3143237188;1:00100:0:Z3143237160;1:00100:0:Z3551086166;
C1CC2(CCN1)CCOC2,938,1:00100:0:Z3532592038;1:00100:0:Z4482403679;1:00100:1:Z2788529335;
C1CCC2CCCCC2C1,611,1:00100:0:Z2484788691;1:00100:0:Z4294399167;1:00100:1:Z2973901239;
CC1NCCC1(C)C,440,1:00100:0:Z3583834956;1:00100:4:Z3133266439;1:00100:5:Z3849908316;
Cc1ccc2c(c1)CNC2,337,1:00100:0:Z1962091646;1:00100:2:Z3617302410;1:00100:6:Z1969383293;
Fc1ccc2c(c1)CCCS2,177,1:00100:0:Z355423944;1:00101:1:Z2351102581;1:00101:6:Z4168561570;
c1cc2n(n1)NCCC2,223,1:00100:0:Z4295767211;1:00100:7:Z4287407322;1:00100:7:Z4293432778;
Clc1ccnc2sccc12,128,1:00100:0:Z4140715136;1:00100:9:Z4141533985;1:00101:0:Z4304491587;
CC1(C)CC2(CC2)C1,771,1:00100:0:Z3795135406;1:00100:0:Z4600404016;1:00100:0:Z4602879088;
Cc1nscc1N,374,1:00100:0:Z3366103932;1:00100:1:Z3370683971;1:00100:1:Z3102042960;
C1CC2CNC2C1,1116,1:00100:0:Z3154170199;1:00100:1:Z4281365126;1:00100:1:Z4319490333;
c1cnc2c(c1)CCC2,3457,1:00100:0:Z2295999240;1:00100:0:Z3641395866;1:00100:0:Z3381895483;
O=C1NN=CC2C1C2(F)F,8,1:00100:0:Z2789919348;1:00104:5:Z2790008735;1:00109:3:Z2790062544;
Cc1n[nH]c(=O)o1,454,1:00100:0:Z2589449001;1:00100:8:Z3343024722;1:00100:9:Z4203130461;
OC1CNCCc2ccccc21,132,1:00100:0:Z3821789946;1:00101:0:Z3821793209;1:00101:4:Z3881201992;
C1CC2CCC(C1)OC2,312,1:00100:0:Z2957211509;1:00100:5:Z2957214141;1:00100:5:Z2966170740;
Oc1ccc2ccccc2n1,386,1:00100:0:Z3366845202;1:00100:1:Z2826874420;1:00100:7:Z1428212629;
CN1CC2CCC(C2)C1,69,1:00100:0:Z2926206849;1:00100:1:Z2927651563;1:00101:5:Z2927621088;
CC1CC2CCC1O2,771,1:00100:0:Z3470913641;1:00100:2:Z2854266866;1:00100:2:Z3471828532;
C1CC2CC2CO1,3170,1:00100:0:Z4167197910;1:00100:1:Z3571594548;1:00100:1:Z3077417553;
O=C1NCC2(CNC2)N1,365,1:00100:0:Z4045423203;1:00100:1:Z3842121199;1:00100:3:Z3778136903;
Cc1ncccc1Cl,873,1:00100:0:Z3592308124;1:00100:0:Z3696436980;1:00100:1:Z3652848637;
CN1C2CCCC1CNCC2,147,1:00100:0:Z4271079381;1:00100:5:Z4224454042;1:00100:7:Z4224447537;
C1COC2(C1)CC2,976,1:00100:0:Z3656816786;1:00100:0:Z4110417312;1:00100:1:Z3656816789;
C1COC2(C1)COC2,693,1:00100:0:Z2980756796;1:00100:0:Z4614204760;1:00100:3:Z2979214958;
Cc1n[nH]c2ncccc12,442,1:00100:0:Z1537571616;1:00100:1:Z4560081234;1:00100:2:Z2945549041;
C1CC2(CCOC2)CN1,1100,1:00100:0:Z3374632913;1:00100:1:Z2870461892;1:00100:1:Z3789106392;
CN1C(=O)NC2CNCCC21,236,1:00100:0:Z4835068239;1:00101:0:Z4835064985;1:00101:0:Z4871559077;
Cc1cc2ncccc2[nH]1,251,1:00100:0:Z4213215275;1:00100:1:Z4875730230;1:00100:1:Z4875808472;
c1onc2c1CCCC2,312,1:00100:0:Z2640524959;1:00100:1:Z2633399696;1:00100:1:Z3585880625;
CN1CCC2NCCCC2C1,194,1:00100:0:Z1505957624;1:00100:0:Z1499059503;1:00100:2:Z3298868821;
Cn1cnc2cnccc21,461,1:00100:0:Z2767008979;1:00100:4:Z2976934541;1:00100:6:Z2991874057;
CC1(C)CCNCC1,2538,1:00100:0:Z3888525864;1:00100:0:Z3032590958;1:00100:1:Z3132963201;
c1cc2sccc2s1,526,1:00100:0:Z4419317643;1:00100:0:Z4419318094;1:00100:0:Z4419317379;
O=C1CCNCC12CCC2,283,1:00100:0:Z3323076181;1:00100:3:Z3611136831;1:00100:8:Z3680585420;
Cc1cnc(C)o1,1756,1:00100:0:Z2222482962;1:00100:0:Z4209803271;1:00100:1:Z2356982904;
CN1CCNC2(CCCCC2)C1,79,1:00100:0:Z2222482962;1:00100:5:Z4289097828;1:00100:9:Z3351930955;
c1ccc2c(c1)CSCCN2,123,1:00100:0:Z4314858154;1:00100:5:Z4493116211;1:00103:0:Z4329286661;
C1CNC2(C1)CCOC2,498,1:00100:0:Z2619371321;1:00100:4:Z2041150249;1:00100:7:Z2080324542;
Cc1ccncc1O,214,1:00100:0:Z2892621924;1:00100:5:Z2891648099;1:00101:6:Z3648570796;
Cc1cc(=O)n2nccc2[nH]1,43,1:00100:0:Z2790296661;1:00103:3:Z2827763493;1:00107:1:Z3060830586;
CN1CC2CNCC2C1,484,1:00100:0:Z2069374935;1:00100:2:Z4117097971;1:00100:4:Z4060174299;
O=C1NCCCc2cc[nH]c21,149,1:00100:0:Z4252503374;1:00100:2:Z3627804351;1:00100:5:Z4257954200;
C1CN2CCC(C2)N1,672,1:00100:0:Z2640791689;1:00100:4:Z2909296675;1:00100:4:Z2774467807;
FC1CCCOC1,1750,1:00100:0:Z4225409640;1:00100:1:Z3295869398;1:00100:1:Z4170787208;
Cn1cc2c(n1)CCSC2,436,1:00100:0:Z4141123628;1:00100:3:Z3806999786;1:00100:6:Z2852891303;
C1CNCCC2(C1)CC2,497,1:00100:0:Z2722745131;1:00100:1:Z2722288901;1:00100:6:Z2827317429;
CC1(C)CNCCS1=O,419,1:00100:0:Z4021348537;1:00100:1:Z1395735737;1:00100:3:Z2772545112;
CC1CC(O)CN1,1381,1:00100:0:Z2754572019;1:00100:1:Z2789995892;1:00100:1:Z4507298349;
Cc1ccc(=O)[nH]n1,544,1:00100:0:Z3544318601;1:00100:3:Z2274203909;1:00100:6:Z3534913228;
Nc1cnsc1,410,1:00100:0:Z4465933743;1:00100:0:Z4465915641;1:00100:2:Z4352707277;
c1ccc2n[nH]cc2c1,681,1:00100:0:Z1332902885;1:00100:1:Z4962580835;1:00100:2:Z2190057288;
FC1(F)CCC2(CCNCC2)C1,129,1:00100:0:Z4089451638;1:00101:2:Z4274093448;1:00101:4:Z3898744049;
Cn1cc[nH]c1=O,919,1:00100:0:Z2966828313;1:00100:0:Z4271635042;1:00100:1:Z3057556936;
C1CCC2(CCOCC2)OC1,625,1:00100:0:Z3752452514;1:00100:0:Z1583005979;1:00100:1:Z4195400661;
Cc1cn2ncsc2n1,351,1:00100:0:Z3079038902;1:00100:0:Z3648922741;1:00100:0:Z1091675368;
Oc1ccc2c(c1)CNC2,205,1:00100:0:Z4214870682;1:00100:0:Z3671133126;1:00100:0:Z2717994856;
c1nc2c(s1)CCCCC2,537,1:00100:0:Z3367176307;1:00100:2:Z3832692451;1:00100:2:Z3603456338;
c1ncc2c(n1)NCC2,87,1:00100:0:Z4330702648;1:00100:6:Z4330709527;1:00101:1:Z4330706504;
Cc1cn[nH]c(=O)c1,273,1:00100:0:Z4641827830;1:00100:2:Z4642133461;1:00100:2:Z4642622260;
C1CC2NCCOC2C1,683,1:00100:0:Z4298775628;1:00100:0:Z4610419574;1:00100:0:Z2824470685;
c1scc2c1CCC2,981,1:00100:0:Z3668685743;1:00100:3:Z4140216375;1:00100:3:Z3788322222;
Oc1cccc2c1OCO2,83,1:00100:0:Z4220987194;1:00100:2:Z3320248732;1:00100:6:Z3352588467;
CC1NCCS1,135,1:00100:0:Z4562349002;1:00100:8:Z4402783523;1:00100:9:Z1738989697;
Cc1sc2nccc(=O)n2c1C,40,1:00100:0:Z4770736486;1:00100:0:Z3203940491;1:00100:0:Z2882796853;
Cc1cc2ccccc2nc1C,46,1:00100:0:Z2852613971;1:00100:7:Z2347896167;1:00100:7:Z4128243807;
Cc1ccc2scnc2c1,283,1:00100:0:Z2763216090;1:00101:5:Z3392399685;1:00102:0:Z3341715606;
Fc1ccc2c(c1)CCO2,620,1:00100:0:Z3403109725;1:00100:0:Z1698956205;1:00100:3:Z1698906256;
NC1CC2(C1)CC1(CCC1)C2,36,1:00100:0:Z3699169515;1:00101:1:Z3511469698;1:00101:8:Z3515679241;
Cn1cnc2c1c(=O)[nH]c(=O)n2C,55,1:00100:0:Z4026619966;1:00100:0:Z3834187035;1:00100:0:Z1607188446;
c1cc2c(s1)CCC2,1144,1:00100:0:Z900737910;1:00100:0:Z2810198697;1:00100:0:Z1583054783;
C1CCC2(CC1)CNCCO2,404,1:00100:0:Z1267262691;1:00100:0:Z3183928685;1:00100:2:Z3536665587;
c1cc2c([nH]1)CCOC2,199,1:00100:0:Z2804345148;1:00100:1:Z3713156206;1:00100:2:Z2303757913;
C1CC2CC2N1,3611,1:00100:0:Z4062654224;1:00100:0:Z3384873813;1:00100:0:Z2826056526;
O=C1CCNC(=O)N1,3351,1:00100:0:Z3339079774;1:00100:1:Z3529188137;1:00100:1:Z3800317763;
Nc1ncncc1Cl,231,1:00100:0:Z1874059206;1:00100:8:Z1874225360;1:00102:3:Z3999445441;
NC1CNCC12CC2,475,1:00100:0:Z2452977440;1:00100:1:Z2448493612;1:00100:2:Z2446410564;
Cc1cnn(C)c(=O)c1,296,1:00100:0:Z4642503164;1:00100:2:Z4923841686;1:00100:7:Z4643305437;
Cc1cnc(C)s1,2850,1:00100:0:Z1497784848;1:00100:1:Z3190045325;1:00100:1:Z1590344739;
c1ccc2c(c1)CCC21CC1,213,1:00100:0:Z1454823950;1:00100:4:Z3092923595;1:00100:4:Z2441063757;
C1CCC2(C1)CCNC2,1533,1:00100:0:Z2482984962;1:00100:1:Z3384078137;1:00100:2:Z2771835586;
Cc1cnn2cccnc12,395,1:00100:0:Z3177552563;1:00100:2:Z3831090840;1:00100:5:Z3556727251;
C1CC2OCCC2CN1,609,1:00100:0:Z3032590958;1:00100:0:Z4116459361;1:00100:0:Z2841214311;
CC1CNCC(=O)N1,734,1:00100:0:Z2669630057;1:00100:1:Z2285257278;1:00100:3:Z2265629775;
c1cc2sccc2cn1,1070,1:00100:0:Z2274009381;1:00100:1:Z4479001569;1:00100:1:Z4479341303;
Cn1nccn1,4363,1:00100:0:Z3843128711;1:00100:1:Z2792427961;1:00100:1:Z2928386216;
Cc1cccc2cnccc12,198,1:00100:0:Z3497024804;1:00100:0:Z2444607593;1:00100:0:Z3497026685;
OC1CNCC12CCOCC2,202,1:00100:0:Z3882792280;1:00100:5:Z3899492135;1:00100:7:Z3834597870;
Cc1sc2ncncc2c1C,216,1:00100:0:Z1560803904;1:00100:3:Z1239010058;1:00100:7:Z2094240053;
Cc1cc[nH]c1,2620,1:00100:0:Z3542296771;1:00100:1:Z3707879841;1:00100:3:Z1616770972;
C1CC2CNC(C1)C2,2861,1:00100:0:Z2965793770;1:00100:0:Z3794870271;1:00100:1:Z3611182309;
Fc1ccc2nccnc2c1,317,1:00100:0:Z1957676490;1:00100:1:Z3830969500;1:00100:5:Z1957786029;
NC1CCNC1,5094,1:00100:0:Z3385336235;1:00100:0:Z3385336234;1:00100:0:Z2606138684;
O=C1CCC(F)CC1,339,1:00100:0:Z4291464108;1:00101:0:Z4390161864;1:00102:6:Z4290326551;
CC1CNCCC1O,643,1:00100:0:Z4157101701;1:00100:1:Z2971313997;1:00100:2:Z2775096982;
c1n[nH]c2c1CCCN2,687,1:00100:0:Z4295556384;1:00100:1:Z5034582726;1:00100:4:Z5034454358;
CC1CCC(F)(F)C1,689,1:00100:0:Z3049322177;1:00100:1:Z4285287842;1:00100:1:Z4325371794;
C1CC2CC1C2,2020,1:00100:0:Z4517365656;1:00100:2:Z4412917971;1:00100:4:Z4412588502;
Cc1coc(=O)o1,257,1:00100:0:Z3513437002;1:00100:6:Z1335924742;1:00100:7:Z3515734832;
CC1CCNCCN1,773,1:00100:0:Z3213851765;1:00100:1:Z4028851345;1:00100:1:Z5037830794;
C1NOC2COCC12,477,1:00100:0:Z3621258660;1:00100:1:Z3609924998;1:00100:2:Z3435061493;
CC1CCC(C)CC1,753,1:00100:0:Z2267778074;1:00100:3:Z4032647830;1:00100:4:Z4432206227;
Cc1cccc2[nH]cnc12,188,1:00100:0:Z2932962591;1:00100:2:Z4289922395;1:00100:3:Z1552810511;
Nc1ccnc2ccnn12,87,1:00100:0:Z4486887003;1:00100:3:Z4467034027;1:00101:9:Z4448045892;
CC12CCCNC1CCOC2,128,1:00100:0:Z4194089193;1:00100:4:Z3871025446;1:00100:7:Z3916647953;
CC12CCC(CN1)C2,724,1:00100:0:Z3056783368;1:00100:0:Z3056784789;1:00100:1:Z3370875521;
OC1CC2(CCC2)C1,1212,1:00100:0:Z3642489930;1:00100:1:Z4291222508;1:00100:2:Z4934729315;
C1CCC2CNC2CC1,383,1:00100:0:Z5013964662;1:00100:0:Z2302766967;1:00100:3:Z1363995143;
CC=C1CCCC1,17,1:00100:0:Z4254745298;1:00105:4:Z3500804830;1:00107:6:Z3500384779;
CC1=NOCC1C,926,1:00100:0:Z4934029137;1:00100:0:Z4934029138;1:00100:2:Z4934561328;
Oc1nc2cnccc2[nH]1,40,1:00100:0:Z4324548160;1:00101:1:Z4320829865;1:00102:8:Z4467435842;
C1CC2COCC2CN1,567,1:00100:0:Z4324548160;1:00100:1:Z4642254569;1:00100:9:Z2647282564;
CC1(C)CCCCC1,5244,1:00100:0:Z3519828482;1:00100:0:Z3519826549;1:00100:0:Z3519828333;
Clc1cccc2[nH]ccc12,370,1:00100:0:Z2666445594;1:00100:4:Z2212955335;1:00101:0:Z4155323693;
FC1(F)CCC2CC1CN2,316,1:00100:0:Z3618616127;1:00100:3:Z3304565432;1:00100:4:Z3056448386;
C1CC12CNOC2,507,1:00100:0:Z3587270784;1:00100:1:Z3186925398;1:00100:3:Z3186036249;
c1cnc2c(c1)CCCC2,3421,1:00100:0:Z2158625664;1:00100:0:Z3513416457;1:00100:0:Z3861207987;
Clc1cccc2c1OCO2,482,1:00100:0:Z283260100;1:00100:0:Z3599152965;1:00100:2:Z4348207117;
C1CC2CCC(C1)C2,1278,1:00100:0:Z4271635042;1:00100:1:Z4077300731;1:00100:1:Z3572422165;
C1NCC12COC2,706,1:00100:0:Z3184342517;1:00100:1:Z3361553515;1:00100:1:Z3848435712;
CC1(O)CCC1,2191,1:00100:0:Z4124827846;1:00100:1:Z3608378853;1:00100:1:Z2358215438;
CC1CCCCNC1,569,1:00100:0:Z2906913411;1:00100:3:Z2879957185;1:00100:8:Z4205902764;
Cc1ccc2[nH]nnc2c1,64,1:00100:0:Z3338668448;1:00104:8:Z3055806700;1:00105:7:Z4266643380;
Nc1ncncn1,1753,1:00100:0:Z195605526;1:00100:1:Z3075606108;1:00100:1:Z3399746432;
Fc1ccc2ncncc2c1,175,1:00100:0:Z1593026822;1:00100:2:Z1576625931;1:00102:2:Z2347848699;
O=c1[nH]nccc1Cl,479,1:00100:0:Z1481186807;1:00100:3:Z3561204574;1:00100:3:Z2143771158;
CC1CNCC(C)S1,665,1:00100:0:Z3696389989;1:00100:2:Z1274880349;1:00100:3:Z1274884305;
Cn1cnccc1=O,1270,1:00100:0:Z2505961186;1:00100:2:Z2701715260;1:00100:2:Z4446355648;
FC1(F)CCC2CC21,1679,1:00100:0:Z4017854756;1:00100:1:Z4076622143;1:00100:1:Z4018851120;
CC1CNCCCO1,1722,1:00100:0:Z2624009492;1:00100:0:Z3787870181;1:00100:7:Z1070635778;
C1CSCS1,3231,1:00100:0:Z2624009492;1:00100:0:Z3787870181;1:00100:1:Z1532807267;
NC1CCCOC1,951,1:00100:0:Z3796194590;1:00100:0:Z3807465082;1:00100:1:Z5017777549;
c1cc2sccc2o1,650,1:00100:0:Z2375022835;1:00100:1:Z2392588676;1:00100:8:Z2440222483;
O=C1CNCc2ccccc2N1,99,1:00100:0:Z2504445839;1:00100:6:Z4214835620;1:00101:1:Z4267052487;
C1CCC2(C1)OCCO2,1679,1:00100:0:Z3439016586;1:00100:3:Z3507738681;1:00100:3:Z2092168206;
C1CC2(C1)OCC1CC12,765,1:00100:0:Z2917470326;1:00100:3:Z2958248736;1:00100:4:Z3009610848;
c1nc2c([nH]1)C1(CCNC1)NCC2,35,1:00100:0:Z4054961947;1:00102:9:Z3135336064;1:00102:9:Z3135347716;
CC1CCC(C)NC1,1203,1:00100:0:Z1286726120;1:00100:0:Z3092392364;1:00100:3:Z3207834691;
CC1CCNCCO1,890,1:00100:0:Z2953384967;1:00100:2:Z2953381588;1:00100:2:Z2953378693;
C1CC2(CCO1)OCCO2,117,1:00100:0:Z1779502625;1:00100:8:Z4210040980;1:00102:1:Z4412655156;
C1CNCC2CCCN2C1,300,1:00100:0:Z2267582602;1:00100:1:Z957043072;1:00100:2:Z3667089367;
Cc1c[nH]c(=O)c(C)c1,30,1:00100:0:Z3339779070;1:00104:1:Z4526225753;1:00106:4:Z3339778957;
Cc1ccnc2c1CNC2,156,1:00100:0:Z4227600439;1:00101:2:Z4227593228;1:00102:3:Z4227588045;
Nc1ccn[nH]1,1597,1:00100:0:Z4227600439;1:00100:1:Z4182324836;1:00100:1:Z1736223050;
CC1(C)C2CCCC21,1364,1:00100:0:Z4045848433;1:00100:4:Z3201671027;1:00100:4:Z3145128445;
NC1CCCn2nccc21,83,1:00100:0:Z3385749125;1:00100:0:Z3019472141;1:00100:0:Z3385839087;
C1COC2(C1)CCOC2,1250,1:00100:0:Z3820479206;1:00100:1:Z3514460373;1:00100:5:Z4414916983;
O=C1CC2CCCC2C1,288,1:00100:0:Z3381872026;1:00100:6:Z3184575135;1:00100:9:Z3189644483;
O=C1CCCCn2nccc21,113,1:00100:0:Z3060649218;1:00100:6:Z3172696262;1:00103:0:Z2961201849;
CC1=CS(=O)(=O)CCO1,301,1:00100:0:Z4351646508;1:00100:1:Z4218681885;1:00100:3:Z4465200815;
FC1(F)CCCC2CC21,379,1:00100:0:Z4084548645;1:00100:4:Z3841479370;1:00100:5:Z4331482643;
c1nc2c(o1)CCSC2,141,1:00100:0:Z4907648868;1:00102:2:Z4907635534;1:00102:5:Z4907644557;
CC1(C)OC2CNCC2O1,340,1:00100:0:Z4612180930;1:00100:3:Z4609310590;1:00100:6:Z4621415069;
C1CCC2(C1)CCCO2,2058,1:00100:0:Z2956927345;1:00100:1:Z4196174606;1:00100:2:Z4112807235;
C1COC2COCC2N1,1191,1:00100:0:Z4539335164;1:00100:2:Z3514599997;1:00100:3:Z3511849277;
C1CC2(C1)NCCS2,262,1:00100:0:Z4250100140;1:00101:4:Z2965535758;1:00101:7:Z4216760289;
c1ccc2c(c1)CC1CCC2C1,23,1:00100:0:Z4151566880;1:00100:2:Z4154688405;1:00115:9:Z4158172705;
CC1CN(C)CCN1C,239,1:00100:0:Z2221793402;1:00100:0:Z3551847889;1:00101:3:Z2221798218;
C1CC2CCC1CN2,2981,1:00100:0:Z3816142747;1:00100:2:Z2860613975;1:00100:2:Z4015177572;
CC1CC2(CCNCC2)CN1,160,1:00100:0:Z3816084811;1:00100:6:Z4204334593;1:00101:3:Z2387768132;
Cn1nc(O)c2c1CNCC2,194,1:00100:0:Z3136765289;1:00100:1:Z4267726771;1:00100:5:Z3313361493;
Cc1cc[nH]c(=O)n1,40,1:00100:0:Z2789000287;1:00105:8:Z2613454352;1:00110:4:Z3339217973;
Cn1cnc2ccc(F)cc21,219,1:00100:0:Z1994548452;1:00100:7:Z1753666781;1:00101:4:Z4391556167;
C1NCC2CC1CN2,741,1:00100:0:Z3699759246;1:00100:1:Z3639631807;1:00100:3:Z3639294381;
CC1(C)CCC2(CCN2)C1,211,1:00100:0:Z4051063254;1:00100:5:Z4051065618;1:00100:6:Z4026962603;
CC1(C)Cc2ccccc2O1,785,1:00100:0:Z1930904189;1:00100:1:Z3392167146;1:00100:2:Z4028035797;
CC1NCCNC1=O,1237,1:00100:0:Z2828486478;1:00100:1:Z2948908741;1:00100:1:Z2710214807;
O=C1CCCc2ccccc2N1,309,1:00100:0:Z4023178248;1:00100:0:Z4022862939;1:00100:1:Z3392824634;
c1cnc2nncn2c1,300,1:00100:0:Z2928807613;1:00100:3:Z2962914059;1:00101:1:Z2930055770;
Cc1ccc2cnn(C)c2n1,230,1:00100:0:Z4185063687;1:00100:9:Z4888914412;1:00101:3:Z4464945962;
FC1(F)CCC2CCCNC2C1,72,1:00100:0:Z4051329534;1:00101:3:Z4027558192;1:00101:6:Z4027559923;
CN1CCCNCC1=O,591,1:00100:0:Z1801961585;1:00100:1:Z1801757899;1:00100:1:Z2202624266;
C1=NCCCN1,499,1:00100:0:Z3861918280;1:00100:1:Z3301863051;1:00100:2:Z4075839686;
OC1CCOc2ccccc21,444,1:00100:0:Z2254689348;1:00100:1:Z3366170095;1:00100:1:Z2615625925;
Cc1cnc2n1CCC2,503,1:00100:0:Z4251598382;1:00100:1:Z4251571339;1:00100:1:Z3507952342;
Nc1ncccn1,1710,1:00100:0:Z4251598382;1:00100:1:Z3010978509;1:00100:2:Z3830868685;
Fc1ccc(F)c2c1CCCN2,36,1:00100:0:Z1886573695;1:00100:9:Z1663397286;1:00102:5:Z1420912409;
CC1(C)CNCC(=O)N1,678,1:00100:0:Z2271933327;1:00100:4:Z4217086986;1:00100:5:Z4116859352;
c1cnn2cnnc2c1,1571,1:00100:0:Z2271933327;1:00100:1:Z3718089120;1:00100:2:Z1590668461;
Nc1cnns1,203,1:00100:0:Z2447749587;1:00100:5:Z2449552544;1:00100:6:Z2827317429;
Cc1cccc2scc(Cl)c12,53,1:00100:0:Z1564027925;1:00102:9:Z1455021604;1:00103:2:Z280249426;
CC1(C)CCC(N)C1,184,1:00100:0:Z3145413006;1:00100:7:Z3700456668;1:00101:5:Z3101672682;
Nc1ncns1,120,1:00100:0:Z4351185195;1:00101:1:Z5045459614;1:00101:2:Z4351187734;
CC1CN(C)C(=O)CN1,572,1:00100:0:Z2309170505;1:00101:0:Z4059519910;1:00101:1:Z2191835267;
O=C1NCCCc2occc21,212,1:00100:0:Z2908986022;1:00100:9:Z3358430555;1:00101:3:Z3574708041;
Nc1nnco1,671,1:00100:0:Z1752280137;1:00100:3:Z2636512714;1:00100:4:Z3938423985;
CC1=CCCCC1,414,1:00100:0:Z5007498865;1:00100:9:Z5006702318;1:00101:0:Z5005691798;
C1CC2CNCC1O2,1634,1:00100:0:Z4303069357;1:00100:1:Z1303125397;1:00100:1:Z2851105755;
Cc1cc(O)no1,262,1:00100:0:Z4284705196;1:00100:7:Z4285744454;1:00100:7:Z4284237955;
CC1(C)COC=N1,182,1:00100:0:Z4266372237;1:00100:3:Z4270649446;1:00100:5:Z4268543476;
c1n[nH]c2c1CC1CC21,243,1:00100:0:Z3817980994;1:00100:8:Z3613171956;1:00101:5:Z4032129956;
