fragment_smiles,occurences,example_ligands
Clc1cccnc1,21155,1:00100:0:Z2373252672;1:00100:0:Z2373252653;1:00100:0:Z2229095464;
C1CC2(C1)COC2,1124,1:00100:0:Z5064355144;1:00100:1:Z4147983202;1:00100:5:Z4280840887;
c1nnc[nH]1,27532,1:00100:0:Z5064355144;1:00100:0:Z4311132252;1:00100:0:Z4352153340;
C1CC2(CC2)CN1,6667,1:00100:0:Z4213122354;1:00100:0:Z5057751884;1:00100:0:Z3104924822;
N=S1(=O)CCCC1,1853,1:00100:0:Z4213122354;1:00100:1:Z3671695464;1:00100:1:Z3369802950;
Clc1cn[nH]c1,8407,1:00100:0:Z3804944832;1:00100:0:Z3299493344;1:00100:0:Z3054515852;
Cc1cn2ccccc2n1,1281,1:00100:0:Z2797988989;1:00100:0:Z2606552902;1:00100:0:Z3593675422;
CC1CCCNCC1,1325,1:00100:0:Z2797988989;1:00100:0:Z2483013121;1:00100:1:Z4934329197;
Clc1nccs1,3954,1:00100:0:Z4257425274;1:00100:0:Z3092936690;1:00100:0:Z3586320942;
CC1(C)CCCC(F)(F)C1,231,1:00100:0:Z3809355576;1:00100:0:Z4492378923;1:00100:0:Z4492378926;
C1CCNCC1,256980,1:00100:0:Z3505267996;1:00100:0:Z1185994162;1:00100:0:Z2824529061;
c1cnc2ccncc2c1,991,1:00100:0:Z3505267996;1:00100:0:Z3650572813;1:00100:1:Z3646923196;
CC1CNc2ccccc2NC1=O,29,1:00100:0:Z4436777641;1:00110:9:Z2716662027;1:00113:4:Z1250518956;
OC1CCC1,28677,1:00100:0:Z2705107262;1:00100:0:Z2792587243;1:00100:0:Z2705105469;
Cc1ccn[nH]1,19626,1:00100:0:Z3620920890;1:00100:0:Z4055111722;1:00100:0:Z2781766271;
c1ccsc1,120367,1:00100:0:Z3620920890;1:00100:0:Z4173832152;1:00100:0:Z3898636528;
Cc1cc(C)[nH]n1,12205,1:00100:0:Z2479781608;1:00100:0:Z4153238106;1:00100:0:Z2641193784;
FC1(F)CCCOC1,1551,1:00100:0:Z3341318421;1:00100:1:Z4595479262;1:00100:1:Z3468364208;
c1ccnnc1,17925,1:00100:0:Z3341318421;1:00100:0:Z4061833674;1:00100:0:Z1884092817;
C1CNCC2(C1)COCCO2,231,1:00100:0:Z4285144990;1:00100:0:Z2964231576;1:00100:6:Z2964224690;
C1CCSC1,15864,1:00100:0:Z1531138852;1:00100:0:Z3791909495;1:00100:0:Z3791909735;
C1CCC2(CC1)CCCC2,917,1:00100:0:Z2170418860;1:00100:2:Z5009061105;1:00100:3:Z2260845849;
c1cn[nH]c1,177866,1:00100:0:Z2435398094;1:00100:0:Z3521194688;1:00100:0:Z2479058643;
Cc1cncc(C)c1,3529,1:00100:0:Z3368492665;1:00100:0:Z2961975168;1:00100:0:Z3585183283;
c1cnccn1,27539,1:00100:0:Z3368492665;1:00100:0:Z3179986480;1:00100:0:Z2613322791;
Cc1cn[nH]c1,9417,1:00100:0:Z1185994162;1:00100:0:Z1403814416;1:00100:0:Z1931931191;
CC1CCCC(F)(F)C1,883,1:00100:0:Z4173832152;1:00100:0:Z4149097745;1:00100:0:Z4149624784;
Nc1nccs1,2699,1:00100:0:Z4055111722;1:00100:0:Z1566462696;1:00100:0:Z4622457119;
Cc1nc[nH]n1,3417,1:00100:0:Z4288565153;1:00100:0:Z4335725029;1:00100:0:Z4055729876;
Cc1ccc(C)s1,4579,1:00100:0:Z4288565153;1:00100:0:Z1796996931;1:00100:0:Z1353269522;
O=S1(=O)CCCNc2ccccc21,32,1:00100:0:Z4269788904;1:00100:0:Z4269785515;1:00101:5:Z4132277381;
c1ccc2scnc2c1,6467,1:00100:0:Z1557343445;1:00100:0:Z4773097372;1:00100:0:Z2960990462;
c1c[nH]nn1,68056,1:00100:0:Z2312229036;1:00100:0:Z4230325834;1:00100:0:Z3093682424;
CC1(C)CNCCN1,2774,1:00100:0:Z2312229036;1:00100:0:Z2392739411;1:00100:0:Z2948480263;
Cn1ncc2c1CCCC2,1301,1:00100:0:Z2800681052;1:00100:0:Z3875928556;1:00100:0:Z2287700402;
c1ncon1,106595,1:00100:0:Z2879104612;1:00100:0:Z2171937633;1:00100:0:Z4387626393;
C1CC2CCC1C2,13264,1:00100:0:Z3521194688;1:00100:0:Z3828391013;1:00100:0:Z4381111661;
Cc1nnc[nH]1,4020,1:00100:0:Z4451321670;1:00100:0:Z2826144580;1:00100:1:Z1680760641;
OC1CCNCC1,11838,1:00100:0:Z4451321670;1:00100:0:Z1529038516;1:00100:0:Z1445509347;
c1nc2c(s1)CCCC2,2890,1:00100:0:Z4221400487;1:00100:0:Z3633688576;1:00100:0:Z2234841068;
Cc1cccnc1,23905,1:00100:0:Z2627894090;1:00100:0:Z4215353546;1:00100:0:Z1354991338;
C1CCCNCC1,20226,1:00100:0:Z1951941408;1:00100:0:Z3652427863;1:00100:0:Z3626668833;
Cn1c(=O)n(C)c2ccccc21,142,1:00100:0:Z1608494020;1:00100:5:Z4000750361;1:00100:7:Z4964014729;
Oc1nc2ccccc2s1,100,1:00100:0:Z4999123065;1:00100:3:Z5012348254;1:00100:5:Z4998975225;
Cc1cnco1,9623,1:00100:0:Z3315132184;1:00100:0:Z1451419352;1:00100:0:Z4275304043;
C1CCCCC1,107629,1:00100:0:Z3315132184;1:00100:0:Z4003559989;1:00100:0:Z2911372875;
c1cnc2[nH]ccc2c1,2866,1:00100:0:Z2297877360;1:00100:0:Z3597837689;1:00100:0:Z3296818193;
Clc1cc2nccnc2cc1Cl,73,1:00100:0:Z1642900173;1:00101:0:Z1642833778;1:00103:4:Z4026642223;
O=S1(=O)CCCCC1,7460,1:00100:0:Z4576206032;1:00100:0:Z2188734708;1:00100:0:Z3550317501;
CC1CN=CS1,397,1:00100:0:Z3357046573;1:00100:1:Z4307776411;1:00100:2:Z2408310244;
Cc1ccncn1,18507,1:00100:0:Z4889216276;1:00100:0:Z3392350339;1:00100:0:Z4403801143;
Cc1ncncn1,346,1:00100:0:Z1695663241;1:00100:1:Z2144001703;1:00100:3:Z1449819741;
c1ccc2c(c1)OCO2,5434,1:00100:0:Z2171937633;1:00100:0:Z1513502235;1:00100:0:Z4483646843;
FC1(F)CCOC1,1987,1:00100:0:Z3684589384;1:00100:0:Z4486670239;1:00100:0:Z4352832701;
O=C1CC2NCCCC2N1,372,1:00100:0:Z3614932117;1:00100:8:Z3345423324;1:00101:0:Z4194491897;
CC1(C)CCc2oncc2C1,272,1:00100:0:Z3092330876;1:00100:1:Z2800432797;1:00100:2:Z3474691611;
Cc1nccn1C,2997,1:00100:0:Z3060527740;1:00100:0:Z3133407177;1:00100:0:Z3293225914;
CC1CNC(C)(C)CO1,338,1:00100:0:Z2200562569;1:00100:4:Z3194934573;1:00100:5:Z3803602452;
c1cc2c(s1)CCNC2,1689,1:00100:0:Z3650598796;1:00100:0:Z3650439637;1:00100:0:Z954355470;
C1NC2CC1C2,9257,1:00100:0:Z4188195313;1:00100:0:Z3501251811;1:00100:0:Z2602439659;
Clc1cscn1,4892,1:00100:0:Z1256588659;1:00100:0:Z4153238106;1:00100:0:Z4230862078;
Cc1ccco1,21535,1:00100:0:Z4537942311;1:00100:0:Z3381680196;1:00100:0:Z1444627186;
CC1(F)CCC1,3887,1:00100:0:Z4537942311;1:00100:0:Z3381680196;1:00100:0:Z4540824615;
c1ccc2c(c1)CCC2,11605,1:00100:0:Z4012810390;1:00100:0:Z4194613269;1:00100:0:Z4341558660;
c1ccc2c(c1)CC2,2141,1:00100:0:Z4377137283;1:00100:0:Z4292989749;1:00100:1:Z3091937560;
c1cnc2c(c1)CCCN2,552,1:00100:0:Z4377137283;1:00100:1:Z4055789405;1:00100:2:Z2774917621;
Cc1n[nH]c(Cl)n1,69,1:00100:0:Z2919009918;1:00100:3:Z2919011558;1:00101:0:Z2919009901;
C1=CSCCO1,456,1:00100:0:Z4387626393;1:00100:1:Z4378047969;1:00100:3:Z4378576253;
CC1CCCO1,21212,1:00100:0:Z4387626393;1:00100:0:Z4482513051;1:00100:0:Z3475322798;
O=c1ccnc[nH]1,2874,1:00100:0:Z1539354574;1:00100:0:Z4065926172;1:00100:0:Z2874161775;
Cc1ccccn1,28724,1:00100:0:Z3501251811;1:00100:0:Z3344233945;1:00100:0:Z3642440942;
Clc1cc(Cl)sn1,320,1:00100:0:Z4284669858;1:00100:0:Z4284754116;1:00100:1:Z4285306024;
FC1(F)CCCNCC1,1347,1:00100:0:Z3630106718;1:00100:0:Z3715255222;1:00100:1:Z3811591084;
