fragment_smiles,occurences,example_ligands
c1ccccc1,1602748,136:13600:0:Z2069553942;136:13600:0:Z2187837556;136:13600:0:Z1824067411;
c1ccc2scnc2c1,13356,136:13600:0:Z2069553942;136:13600:0:Z3695643141;136:13600:0:Z4289343815;
C1CNCCN1,198441,136:13600:0:Z1443865523;136:13600:0:Z2286750938;136:13600:0:Z2956258825;
Clc1ccccc1,219694,136:13600:0:Z1443865523;136:13600:0:Z1163115896;136:13600:0:Z729631972;
C1CCNC1,381333,136:13600:0:Z1443865523;136:13600:0:Z1824067411;136:13600:0:Z2312694028;
Fc1ccccc1,352177,136:13600:0:Z4188064417;136:13600:0:Z2898321231;136:13600:0:Z2356968087;
Cc1ccccc1,241207,136:13600:0:Z4319035271;136:13600:0:Z4876171234;136:13600:0:Z1629515487;
O=c1cc2c(n[nH]1)CCOC2,176,136:13600:0:Z4319035271;136:13600:4:Z4324080432;136:13600:9:Z4325221693;
CC1(C)NCCC1O,179,136:13600:0:Z2187837556;136:13600:2:Z2189962424;136:13600:6:Z2851122567;
c1ccncc1,457045,136:13600:0:Z2187837556;136:13600:0:Z3898807723;136:13600:0:Z4311135761;
c1ccnnc1,19568,136:13600:0:Z1824067411;136:13600:0:Z2841045428;136:13600:0:Z1316667170;
C1=CCNCC1,8700,136:13600:0:Z3898807723;136:13600:0:Z4455867805;136:13600:0:Z4263219894;
Oc1ccccc1,42907,136:13600:0:Z3898807723;136:13600:0:Z3176867234;136:13600:0:Z2305821483;
c1nnco1,29802,136:13600:0:Z2898321231;136:13600:0:Z4220565638;136:13600:0:Z3395296429;
c1cscn1,169918,136:13600:0:Z2898321231;136:13600:0:Z4996439911;136:13600:0:Z4380737557;
O=C1NCCc2ccccc21,2924,136:13600:0:Z4311135761;136:13600:0:Z2283986282;136:13600:0:Z2099785121;
C1COCCN1,169074,136:13600:0:Z4147367782;136:13600:0:Z2097791929;136:13600:0:Z4769985911;
Cn1cccn1,162884,136:13600:0:Z4147367782;136:13600:0:Z1163115896;136:13600:0:Z5051547206;
CC1CC(=O)NCCN1,284,136:13600:0:Z3536519248;136:13600:0:Z2631557285;136:13600:0:Z2497206737;
C1CCNCC1,620877,136:13600:0:Z3536519248;136:13600:0:Z2631557285;136:13600:0:Z2497206737;
Fc1cccc(F)c1,62314,136:13600:0:Z1584097865;136:13600:0:Z1401894118;136:13600:0:Z2916715729;
Fc1ccccc1F,27996,136:13600:0:Z1584097865;136:13600:0:Z1893096569;136:13600:0:Z3174886289;
c1cc2c(s1)CNCC2,955,136:13600:0:Z3588818237;136:13600:1:Z3189871792;136:13600:2:Z4573420024;
C1CC2CCOC2C1,2424,136:13600:0:Z3588818237;136:13600:0:Z3609144116;136:13600:0:Z2961829491;
Cc1nccs1,14231,136:13600:0:Z2312694028;136:13600:0:Z2312693480;136:13600:0:Z1100751840;
c1ncon1,153220,136:13600:0:Z2312694028;136:13600:0:Z2312693480;136:13600:0:Z4888906770;
C1CCCC1,133055,136:13600:0:Z2097791929;136:13600:0:Z4475985616;136:13600:0:Z2301833401;
c1cn[nH]c1,285808,136:13600:0:Z3055225788;136:13600:0:Z3057066104;136:13600:0:Z1445122045;
C1CC2CCC2C1,4868,136:13600:0:Z3055225788;136:13600:0:Z3057066104;136:13600:0:Z4127324142;
c1ccc2c(c1)CCCO2,14914,136:13600:0:Z2356968087;136:13600:0:Z3595954511;136:13600:0:Z997500522;
c1cncnc1,91313,136:13600:0:Z3615036031;136:13600:0:Z3603444590;136:13600:0:Z1264582415;
Cn1cnnc1,29143,136:13600:0:Z3615036031;136:13600:0:Z2286750938;136:13600:0:Z2392427217;
c1nc2c([nH]1)CCNC21CCOCC1,175,136:13600:0:Z3063288265;136:13600:1:Z3062188793;136:13603:3:Z4058800491;
Cn1nccc1O,787,136:13600:0:Z3063288265;136:13600:0:Z5035312724;136:13600:0:Z5047250090;
c1cnsc1,7892,136:13600:0:Z4222950318;136:13600:0:Z3724027713;136:13600:0:Z3576798435;
C1CC2(C1)CCNC2,5953,136:13600:0:Z4996439911;136:13600:0:Z4063925214;136:13600:0:Z2092689931;
c1ncc2nc[nH]c2n1,16612,136:13600:0:Z4769985911;136:13600:0:Z4768171212;136:13600:0:Z4772190745;
OC1CCOC1,4157,136:13600:0:Z4769985911;136:13600:0:Z4000837273;136:13600:0:Z4269674197;
Cc1coc2ccccc12,2420,136:13600:0:Z1728400444;136:13600:0:Z1629402703;136:13600:0:Z4322043581;
c1ccc2c(c1)OCCO2,19960,136:13600:0:Z1728400444;136:13600:0:Z3582088182;136:13600:0:Z2769229770;
Cc1cnn[nH]1,10321,136:13600:0:Z1445122045;136:13600:0:Z4571295032;136:13600:0:Z4209503823;
c1nc[nH]n1,52763,136:13600:0:Z3695643141;136:13600:0:Z3138166299;136:13600:0:Z1577998388;
Cc1nc2c(F)cccc2cc1O,70,136:13600:0:Z4348803418;136:13600:8:Z4351103141;136:13601:4:Z4350772143;
CN1CCCCC1,23694,136:13600:0:Z4348803418;136:13600:0:Z2493793562;136:13600:0:Z4307761531;
C1CCOCC1,178420,136:13600:0:Z2774979574;136:13600:0:Z4126038763;136:13600:0:Z3795671100;
CC1(C)Cc2ccccc2O1,2484,136:13600:0:Z2493793562;136:13600:0:Z3416646161;136:13600:0:Z2922140235;
Cc1ccncc1,13866,136:13600:0:Z4303965110;136:13600:0:Z3700744609;136:13600:0:Z1701241182;
Cc1ccn[nH]1,38680,136:13600:0:Z4303965110;136:13600:0:Z4486808303;136:13600:0:Z1610397201;
CC1Cc2ccccc2N1,2227,136:13600:0:Z1608164876;136:13600:0:Z2505956908;136:13600:1:Z910942568;
CN1CCNCC1,28354,136:13600:0:Z3137366905;136:13600:0:Z2407457857;136:13600:0:Z4105249930;
OC1CC2CCC1C2,1564,136:13600:0:Z3137366905;136:13600:0:Z3855044781;136:13600:1:Z3741353827;
CC1CCCNc2ccccc21,100,136:13600:0:Z1667422599;136:13602:9:Z4113647297;136:13603:5:Z1673494082;
Cc1cnnn1C,745,136:13600:0:Z2286750938;136:13600:0:Z2390740563;136:13600:0:Z4985236214;
CC1(C)CCCO1,3049,136:13600:0:Z4594901436;136:13600:0:Z3633011374;136:13600:0:Z3651180309;
c1cnoc1,75937,136:13600:0:Z4594901436;136:13600:0:Z2335198146;136:13600:0:Z3434957666;
c1c[nH]nn1,88365,136:13600:0:Z4380737557;136:13600:0:Z4179087983;136:13600:0:Z4255602768;
c1ccsc1,126662,136:13600:0:Z2392427217;136:13600:0:Z1254326396;136:13600:0:Z1906436053;
c1nnc[nH]1,71297,136:13600:0:Z3138166299;136:13600:0:Z1647077559;136:13600:0:Z3153430845;
C1CCC2(CC1)CNCCS2,169,136:13600:0:Z3138166299;136:13600:3:Z3098452191;136:13601:2:Z1356396412;
CC1CNCC(C)O1,8189,136:13600:0:Z4381010336;136:13600:0:Z2873752579;136:13600:0:Z4509607698;
CC1CCCN1,18393,136:13600:0:Z4381010336;136:13600:0:Z2873752579;136:13600:0:Z3434957666;
Nc1ncnc2sc3c(c12)CCNC3,82,136:13600:0:Z1987335058;136:13602:1:Z1833806811;136:13604:5:Z2636244145;
c1cc[nH]c1,27261,136:13600:0:Z1987335058;136:13600:0:Z3369299258;136:13600:0:Z3369299257;
CC1CNCCN1,15253,136:13600:0:Z2335198146;136:13600:0:Z4416531967;136:13600:0:Z2704049294;
c1nnc2n1CCCC2,8573,136:13600:0:Z4405238933;136:13600:0:Z3313923253;136:13600:0:Z3582088182;
O=c1cccc[nH]1,28077,136:13600:0:Z3159465068;136:13600:0:Z1401894118;136:13600:0:Z3057757239;
CN1CCn2nccc2C1,863,136:13600:0:Z3363024112;136:13600:1:Z4403483943;136:13600:3:Z2803369869;
Cc1cccc(F)c1,12463,136:13600:0:Z1843936288;136:13600:0:Z5035815649;136:13600:0:Z2067365588;
c1nn[nH]n1,33567,136:13600:0:Z4416531967;136:13600:0:Z2568493967;136:13600:0:Z4424935429;
Cn1ccnc1,40487,136:13600:0:Z4416531967;136:13600:0:Z2063293114;136:13600:0:Z2802897006;
CC1(C)COc2ccccc21,821,136:13600:0:Z2710934133;136:13600:3:Z3867034324;136:13600:9:Z4645266423;
CN=[SH](C)=O,689,136:13600:0:Z2869286827;136:13600:3:Z4312402026;136:13600:3:Z4472459786;
c1cnccn1,31598,136:13600:0:Z3598785220;136:13600:0:Z3722108027;136:13600:0:Z1647077559;
C1CCCCC1,154052,136:13600:0:Z1254326396;136:13600:0:Z3058638046;136:13600:0:Z1537751528;
c1ccc2c(c1)CCOC2,11581,136:13600:0:Z2994426284;136:13600:0:Z2784342016;136:13600:0:Z3584099480;
c1ccn2ccnc2c1,10866,136:13600:0:Z4152166723;136:13600:0:Z3808966810;136:13600:0:Z5035715948;
c1cn2c(n1)SCC2,834,136:13600:0:Z4152166723;136:13600:3:Z1701770222;136:13600:3:Z3642492151;
Cc1n[nH]c(=O)n1C,362,136:13600:0:Z2496610839;136:13600:0:Z2961913500;136:13600:2:Z2492975111;
O=C1CCCN1,93059,136:13600:0:Z4179087983;136:13600:0:Z358944252;136:13600:0:Z1815552404;
CN1CCOCC1,4071,136:13600:0:Z2704049294;136:13600:0:Z1461474272;136:13600:0:Z3136301595;
c1cocn1,50469,136:13600:0:Z2704049294;136:13600:0:Z3867254303;136:13600:0:Z2703546932;
c1cc2n(n1)CCC2,2123,136:13600:0:Z4026804366;136:13600:0:Z3176367008;136:13600:0:Z4024767476;
Cc1ccncn1,16978,136:13600:0:Z4026804366;136:13600:0:Z2615031250;136:13600:0:Z3830864448;
c1ccc2oncc2c1,1974,136:13600:0:Z2495519574;136:13600:1:Z2505252585;136:13600:1:Z4279437640;
O=S1(=O)CCCC2CNCC21,830,136:13600:0:Z2977511432;136:13600:0:Z4991773963;136:13600:0:Z3318598561;
c1cnc2nccnc2c1,832,136:13600:0:Z2977511432;136:13600:2:Z2615961665;136:13600:2:Z2220494972;
CC1(C)CCCOC1,2463,136:13600:0:Z3313923253;136:13600:0:Z4270823781;136:13600:0:Z3621793044;
