fragment_smiles,occurences,example_ligands
c1nnn[nH]1,27668,100:10000:0:Z2011752214;100:10000:0:Z1240228049;100:10000:0:Z805726870;
Fc1ccc(F)cc1,11747,100:10000:0:Z738083328;100:10000:0:Z3339700386;100:10000:0:Z2260202274;
C1CNC2CCCC2C1,1409,100:10000:0:Z3501578184;100:10000:0:Z4210965973;100:10000:1:Z3531658049;
c1ccc2c(c1)OCCO2,16168,100:10000:0:Z1204868973;100:10000:0:Z2253051678;100:10000:0:Z3254312977;
CC1CCCN1,19068,100:10000:0:Z1818522901;100:10000:0:Z1900121158;100:10000:0:Z1239416937;
C1CC2CCC(C1)O2,2216,100:10000:0:Z3581545831;100:10000:1:Z3470424992;100:10000:2:Z3547099241;
FC1CCNCC1,4236,100:10000:0:Z3581545831;100:10000:0:Z2849802078;100:10000:0:Z3998366112;
c1[nH]nc2c1CCC2,531,100:10000:0:Z2453769105;100:10000:1:Z3694571464;100:10000:3:Z4346078386;
Cn1cncn1,12976,100:10000:0:Z2453769105;100:10000:0:Z5045679928;100:10000:0:Z4220802409;
Clc1cccnc1,19911,100:10000:0:Z4390342729;100:10000:0:Z3683627612;100:10000:0:Z3394078421;
c1nn[nH]n1,34362,100:10000:0:Z4390342729;100:10000:0:Z4511273316;100:10000:0:Z4385223064;
C1CC2(CCN1)CCOC2,1946,100:10000:0:Z4390342729;100:10000:0:Z4146754182;100:10000:0:Z3135692679;
CC1(C)CCCN1,8141,100:10000:0:Z3588387019;100:10000:0:Z3381004080;100:10000:0:Z3899326355;
FC1(F)C2(CCC2)C12CC2,375,100:10000:0:Z4319708319;100:10000:0:Z4154772856;100:10000:2:Z4155542101;
C1CNC2(C1)CCC2,4093,100:10000:0:Z5054344719;100:10000:0:Z4907609300;100:10000:0:Z3867437053;
C1CCCC1,133629,100:10000:0:Z5054344719;100:10000:0:Z4645182238;100:10000:0:Z4772657206;
c1nncs1,30330,100:10000:0:Z4929644475;100:10000:0:Z2698947403;100:10000:0:Z2232348427;
C1CCC2(C1)CCOCC2,1984,100:10000:0:Z4929644475;100:10000:0:Z3899077658;100:10000:0:Z4110345369;
c1ccc2c(c1)CNC2,6475,100:10000:0:Z4907038826;100:10000:0:Z3048937793;100:10000:0:Z2702065767;
O=C1CCc2ccccc21,3132,100:10000:0:Z4907038826;100:10000:0:Z2893662245;100:10000:0:Z3819292903;
Clc1cncnc1,3374,100:10000:0:Z1682668658;100:10000:0:Z2648502924;100:10000:2:Z2756817126;
C1COCCN1,145639,100:10000:0:Z1682668658;100:10000:0:Z2640414192;100:10000:0:Z1959343821;
FC1(F)C2CCCCC21,2457,100:10000:0:Z3649340793;100:10000:0:Z3569571642;100:10000:0:Z2629458815;
Fc1ccc2ccncc2c1,781,100:10000:0:Z3649340793;100:10000:1:Z3899417326;100:10000:2:Z3669496667;
CC1CCNC1,21156,100:10000:0:Z4250846478;100:10000:0:Z1348686270;100:10000:0:Z1273947558;
C1CC2(C1)CC2,5749,100:10000:0:Z2792712969;100:10000:0:Z4350782810;100:10000:0:Z2778958640;
Cc1ccn[nH]1,35930,100:10000:0:Z3697545961;100:10000:0:Z2292990243;100:10000:0:Z1494701406;
c1nnco1,28041,100:10000:0:Z3631713094;100:10000:0:Z2086180024;100:10000:0:Z4380505205;
Cn1ccc2cccc(Cl)c21,125,100:10000:0:Z3631713094;100:10000:5:Z3629767766;100:10001:0:Z4424435790;
OC1CC2CNC1C2,686,100:10000:0:Z4511273316;100:10000:0:Z3549501078;100:10000:2:Z4248757325;
c1c[nH]nn1,86308,100:10000:0:Z2846620220;100:10000:0:Z4267343332;100:10000:0:Z4261095194;
Fc1cccnc1,27014,100:10000:0:Z2846620220;100:10000:0:Z1843784590;100:10000:0:Z4641133105;
CC1CCCNC1,19878,100:10000:0:Z3368929024;100:10000:0:Z3176478380;100:10000:0:Z1940619979;
OC1CCCNC1,9951,100:10000:0:Z2304214741;100:10000:0:Z4540615619;100:10000:0:Z4421990547;
c1ccc2c(c1)CCCN2,14707,100:10000:0:Z3593599300;100:10000:0:Z3808586824;100:10000:0:Z2322980724;
Cc1cscn1,38196,100:10000:0:Z2408332741;100:10000:0:Z1323406838;100:10000:0:Z4248254169;
Cc1nc2cccnc2s1,187,100:10000:0:Z4448442862;100:10000:7:Z4153045493;100:10000:8:Z4153847989;
NC1CCNC1,3839,100:10000:0:Z4448442862;100:10000:0:Z4144588152;100:10000:0:Z3686888539;
c1cc2nc[nH]c2cn1,383,100:10000:0:Z2273910261;100:10000:1:Z2269806691;100:10000:4:Z1527366784;
c1ccc2cnccc2c1,11085,100:10000:0:Z4144588152;100:10000:0:Z4049211259;100:10000:0:Z4272920980;
Cc1ncsc1C,2249,100:10000:0:Z3870778884;100:10000:0:Z1510333432;100:10000:0:Z3382648300;
C1CC2(CCN1)CCNC2,947,100:10000:0:Z3870778884;100:10000:3:Z4053531935;100:10000:3:Z3792751700;
c1csnn1,3592,100:10000:0:Z1188899789;100:10000:0:Z1785935687;100:10000:0:Z3653187692;
C1CC2CCC1C2,11890,100:10000:0:Z4771292209;100:10000:0:Z3694549623;100:10000:0:Z3657470903;
c1cnsc1,9512,100:10000:0:Z3664792072;100:10000:0:Z3639331192;100:10000:0:Z4073838123;
c1nc[nH]n1,50798,100:10000:0:Z1498731148;100:10000:0:Z1344696969;100:10000:0:Z2911617442;
c1cn[nH]n1,9328,100:10000:0:Z1498731148;100:10000:0:Z1253477507;100:10000:0:Z4151932310;
Cc1coc(=O)c2ccccc12,176,100:10000:0:Z2506718392;100:10000:0:Z4476749463;100:10001:0:Z3288982853;
Cc1ccccn1,28700,100:10000:0:Z1927282384;100:10000:0:Z1815639776;100:10000:0:Z2721932696;
CC1CCCNCC1,802,100:10000:0:Z2286499988;100:10000:0:Z2286511993;100:10000:0:Z2187977463;
C1=CCNC1,1438,100:10000:0:Z4044600057;100:10000:0:Z1958178922;100:10000:0:Z1697350719;
Cc1cccc(F)c1,11681,100:10000:0:Z3407931497;100:10000:0:Z2840285597;100:10000:0:Z2101859006;
C1COCO1,9449,100:10000:0:Z3407931497;100:10000:0:Z4266886431;100:10000:0:Z4477196723;
C1CNOC1,1543,100:10000:0:Z4267573396;100:10000:1:Z3591959621;100:10000:2:Z3606403632;
O=S1(=O)CCC(O)C1,506,100:10000:0:Z4271909256;100:10000:5:Z2951063808;100:10000:5:Z2951066482;
C1CC2NCCOC2C1,607,100:10000:0:Z2718905447;100:10000:2:Z4622400039;100:10000:3:Z4005312397;
Cc1coc2ccc(Cl)cc12,245,100:10000:0:Z4267343332;100:10000:0:Z4261095194;100:10000:0:Z3610713284;
CN1CCC1,1308,100:10000:0:Z2600350860;100:10000:0:Z3539246027;100:10000:0:Z4271552689;
CN1CCCCC1=O,3473,100:10000:0:Z4086947860;100:10000:0:Z1401211947;100:10000:0:Z2499747694;
c1ccc2ncccc2c1,23325,100:10000:0:Z3050789794;100:10000:0:Z1874207581;100:10000:0:Z4242418192;
Cn1ccnc1,36288,100:10000:0:Z3700786372;100:10000:0:Z4072399165;100:10000:0:Z3799940322;
C1CNCCOC1,12842,100:10000:0:Z1778961993;100:10000:0:Z3706689981;100:10000:0:Z4773452565;
c1ccc2c(c1)CCCCC2,2319,100:10000:0:Z3806371564;100:10000:0:Z4288076985;100:10000:0:Z2697612539;
FC1(F)CCC1,12415,100:10000:0:Z3806371564;100:10000:0:Z4140504553;100:10000:0:Z3804817328;
c1ccc2c(c1)CCNCC2,1907,100:10000:0:Z4403912104;100:10000:0:Z4403901356;100:10000:0:Z3351291792;
CC1CCCC(C)O1,2480,100:10000:0:Z3750488097;100:10000:0:Z4275414279;100:10000:1:Z4602502195;
CC1(C)CC2(CCC2)CO1,475,100:10000:0:Z3570950152;100:10000:2:Z2928430810;100:10000:4:Z2999152596;
Cc1cnc(Cl)o1,114,100:10000:0:Z4286894233;100:10001:0:Z4286387835;100:10001:1:Z4286729815;
FC1(F)CC2(CCOC2)C1,624,100:10000:0:Z4883830150;100:10000:1:Z4879016684;100:10000:3:Z4643554049;
C1CCC2(CC1)OCCO2,4231,100:10000:0:Z4883830150;100:10000:0:Z4123554077;100:10000:0:Z1886164864;
Cn1c(=O)oc2ccccc21,2235,100:10000:0:Z2698947403;100:10000:0:Z1096847205;100:10000:1:Z1874317480;
C1CC2(CC2)CN1,4522,100:10000:0:Z4467008867;100:10000:0:Z2864088392;100:10000:0:Z2963157030;
O=S1CC2(CNC2)C1,230,100:10000:0:Z4467008867;100:10000:4:Z4407071768;100:10000:4:Z4466990240;
Cc1ccc(F)cc1,5461,100:10000:0:Z4608721175;100:10000:0:Z741197020;100:10000:0:Z1568388659;
c1ccc2nccnc2c1,2993,100:10000:0:Z2276995070;100:10000:0:Z509634432;100:10000:0:Z364822292;
Cc1ncn[nH]1,5525,100:10000:0:Z2877147954;100:10000:0:Z3701328150;100:10000:0:Z3587738588;
CC1CNCCO1,15679,100:10000:0:Z2190862850;100:10000:0:Z3353129843;100:10000:0:Z3519320835;
OC1CCC12CCC2,1471,100:10000:0:Z4256894089;100:10000:0:Z3907137085;100:10000:0:Z2615872045;
Oc1cn[nH]c1,1483,100:10000:0:Z4256894089;100:10000:0:Z2625820967;100:10000:1:Z3644868654;
Cc1cc2ccccc2[nH]1,2070,100:10000:0:Z2620776532;100:10000:0:Z2880462124;100:10000:0:Z1147916203;
Cn1cn[nH]c1=O,2721,100:10000:0:Z3644973838;100:10000:0:Z4126465424;100:10000:0:Z3634029852;
c1cn2ccsc2n1,3553,100:10000:0:Z3514386050;100:10000:0:Z1796123152;100:10000:0:Z3524027518;
c1ccc2[nH]cnc2c1,19078,100:10000:0:Z3514386050;100:10000:0:Z4141771982;100:10000:0:Z4275633218;
c1ccc2scnc2c1,13019,100:10000:0:Z5007298861;100:10000:0:Z3361967375;100:10000:0:Z3175916068;
O=C1CCCCCN1,4674,100:10000:0:Z5007298861;100:10000:0:Z3613134978;100:10000:0:Z3495933831;
O=S1(=O)CCC12CCCCC2,145,100:10000:0:Z4229183571;100:10000:5:Z3627771718;100:10000:7:Z3622255613;
FC1COC1,767,100:10000:0:Z4229183571;100:10000:3:Z3573026803;100:10000:3:Z4127001127;
CC1CCCCN1,15300,100:10000:0:Z2643740869;100:10000:0:Z4090074203;100:10000:0:Z1995411331;
c1c[nH]cn1,72406,100:10000:0:Z3820933501;100:10000:0:Z3194112945;100:10000:0:Z3174195499;
c1cnc2c(c1)NCCC2,721,100:10000:0:Z3788986320;100:10000:0:Z3294615221;100:10000:2:Z4060445490;
Cc1cccnc1,22077,100:10000:0:Z2253051678;100:10000:0:Z2626707387;100:10000:0:Z3776563689;
c1cc2cc[nH]c2cn1,983,100:10000:0:Z2595356548;100:10000:0:Z4046634730;100:10000:0:Z2224191030;
C1CCC2(CCC2)OC1,3528,100:10000:0:Z4459403913;100:10000:0:Z2309493898;100:10000:0:Z4293890359;
c1ccc2c(c1)OCO2,15429,100:10000:0:Z4259590122;100:10000:0:Z3618267943;100:10000:0:Z1675851216;
Cc1ccc2[nH]ccc2c1,1527,100:10000:0:Z1472773830;100:10000:0:Z4335699140;100:10000:1:Z4054930011;
Cc1ccnn1C,9215,100:10000:0:Z1874207581;100:10000:0:Z2145189743;100:10000:0:Z2443838390;
NC1CC2CCCCC12,150,100:10000:0:Z3828763017;100:10001:1:Z3829825746;100:10001:4:Z3828125820;
CC1CCC2(CCCO2)CC1,158,100:10000:0:Z4959798661;100:10000:4:Z3629744535;100:10002:1:Z4508619563;
C1CC2(C1)CNC2,5441,100:10000:0:Z4192846981;100:10000:0:Z4858668317;100:10000:0:Z4253097337;
Cc1cccc(C)c1,27671,100:10000:0:Z2640414192;100:10000:0:Z1843823692;100:10000:0:Z4264623081;
CN1CCCC1,10126,100:10000:0:Z2640414192;100:10000:0:Z3599463381;100:10000:0:Z3343380637;
C1COCCO1,7848,100:10000:0:Z3194112945;100:10000:0:Z3174297230;100:10000:0:Z4141520072;
C1CC2CCC(C1)N2,9297,100:10000:0:Z2962518003;100:10000:0:Z4448673335;100:10000:0:Z4430226017;
