fragment_smiles,occurences,example_ligands
FC1(F)CC12CCCNC2,338,100:10000:0:Z2477556583;100:10000:2:Z3097430497;100:10001:3:Z3009072316;
C1CNC2CCC2C1,916,100:10000:0:Z4352813802;100:10000:1:Z3047243584;100:10000:1:Z3346595719;
Nc1cc[nH]n1,646,100:10000:0:Z4099270017;100:10000:1:Z4252168615;100:10000:1:Z5060428358;
Clc1cnc2n1NCCC2,95,100:10000:0:Z4217073312;100:10001:1:Z4270339347;100:10002:0:Z4217072031;
CC1CC2CC12,226,100:10000:0:Z3624696481;100:10000:0:Z3624696545;100:10000:5:Z3565951008;
CC1COc2ccccc2C1,575,100:10000:0:Z2224191030;100:10000:1:Z5053251026;100:10000:1:Z4021632860;
CC1CNCCC1O,260,100:10000:0:Z2792466452;100:10001:8:Z2119446897;100:10001:9:Z2118431646;
Cc1coc2c(C)cccc12,289,100:10000:0:Z3564742733;100:10000:1:Z2860810336;100:10000:2:Z2804967770;
CC1CNCC(C)C1(F)F,234,100:10000:0:Z3601456650;100:10000:8:Z3601479320;100:10001:6:Z3601489546;
C1C2CC1C2,2718,100:10000:0:Z3577922584;100:10000:0:Z4603210196;100:10000:1:Z4430906235;
C1CC2CCC1CO2,2131,100:10000:0:Z4879067402;100:10000:1:Z5035090255;100:10000:1:Z4879223807;
CC1=CCn2nnnc2N1C,172,100:10000:0:Z2298392533;100:10001:5:Z2648212129;100:10001:5:Z3702825576;
C1CC2CCC(C1)S2,920,100:10000:0:Z2964629866;100:10000:1:Z2949992202;100:10000:2:Z2874623887;
CC1CC2(CCCC2)CN1,455,100:10000:0:Z4907197454;100:10000:0:Z4907154962;100:10000:0:Z3613510545;
NC1CCCc2ccccc2C1,150,100:10000:0:Z3519296959;100:10000:1:Z3522485124;100:10000:7:Z3701140206;
FC1(F)CCC2(CCNC2)CC1,231,100:10000:0:Z3597457161;100:10000:4:Z4140371486;100:10000:8:Z4132957782;
CC1(C)CNCC1O,269,100:10000:0:Z3683636275;100:10000:8:Z1930871090;100:10000:9:Z2076166989;
O=c1ccc2ccc(F)cc2[nH]1,730,100:10000:0:Z3683636275;100:10000:1:Z3244970212;100:10000:2:Z3201375079;
c1cn2c(n1)COCC2,1862,100:10000:0:Z2971534361;100:10000:1:Z2967080005;100:10000:1:Z4191563971;
Cn1ncc2c1CCCN2,773,100:10000:0:Z4247341033;100:10000:0:Z4367041944;100:10000:1:Z3550656103;
c1cc2n(c1)CCCC2,1026,100:10000:0:Z4247341033;100:10000:2:Z2621718624;100:10000:3:Z2768554105;
Cn1ncc(=O)n(C)c1=O,18,100:10000:0:Z3563898042;100:10002:8:Z4122251583;100:10009:2:Z3563897734;
C1CC2OC1C1CC21,636,100:10000:0:Z3563898042;100:10000:1:Z4271315017;100:10000:8:Z3600459821;
CC1CC(C)(C)N1,62,100:10000:0:Z1535518455;100:10003:3:Z1887555353;100:10004:3:Z2766988803;
Cc1cc2n(n1)CCNC2,609,100:10000:0:Z3195966408;100:10000:6:Z4316802803;100:10000:6:Z5008846663;
C1CCC2(C1)CCCOC2,715,100:10000:0:Z3611012087;100:10000:2:Z3207117483;100:10000:3:Z3621363345;
CC1CNc2ccccc2SC1,93,100:10000:0:Z4132001264;100:10001:2:Z1511585435;100:10002:6:Z4131998857;
FC12CCCC1CNC2,903,100:10000:0:Z4451954385;100:10000:3:Z4279063035;100:10000:5:Z4080041035;
O=C1C2CCCCC1CCC2,297,100:10000:0:Z4572868372;100:10001:4:Z2813916861;100:10001:5:Z3568492784;
Cc1nc2c(s1)CCCC2,1391,100:10000:0:Z1949397703;100:10000:1:Z1628676096;100:10000:2:Z2907062933;
O=C1CC2CCCCC2N1,450,100:10000:0:Z4907351596;100:10000:5:Z4298914909;100:10000:8:Z2966660919;
OC1CC2CCC(C1)N2,711,100:10000:0:Z3439078341;100:10000:2:Z4270822798;100:10000:3:Z4302779221;
CC1(C)CCCS1(=O)=O,777,100:10000:0:Z3799681976;100:10000:5:Z3367198434;100:10000:5:Z3362989984;
C1CC2CNCC(C1)N2,404,100:10000:0:Z4055949436;100:10000:6:Z2606715652;100:10000:6:Z1784346689;
Cc1ccnc2c1NCCO2,187,100:10000:0:Z4341017822;100:10000:3:Z4279636021;100:10000:4:Z4218679358;
Nc1cnnc2ccccc12,181,100:10000:0:Z1887344495;100:10000:1:Z1479526339;100:10000:4:Z1250855772;
O=C1CC2CCCC(C1)C2,336,100:10000:0:Z4021757275;100:10000:3:Z4382044511;100:10000:4:Z4384258138;
Cc1cnn2c1CCCC2,358,100:10000:0:Z4009479754;100:10000:1:Z4009077501;100:10001:4:Z4003742358;
Cc1nc2ccccn2n1,1074,100:10000:0:Z4023227914;100:10000:2:Z4383191780;100:10000:3:Z3640893182;
NC1CC2(CCOCC2)C1,192,100:10000:0:Z3382915750;100:10000:7:Z3346780198;100:10000:8:Z3381113107;
CC1CCCN1C,1581,100:10000:0:Z4882608859;100:10000:1:Z2454931377;100:10000:1:Z2266955819;
Fc1cccc2c1OCC2,335,100:10000:0:Z1264383081;100:10000:7:Z2295979535;100:10000:8:Z2408088592;
Fc1cccc2ncccc12,531,100:10000:0:Z3907004283;100:10000:3:Z644336194;100:10000:4:Z4362396870;
CC12CNC(CO1)C2,240,100:10000:0:Z2966254116;100:10000:6:Z2966249028;100:10000:7:Z2966249627;
CC1(C)CCC(=O)c2ccccc21,184,100:10000:0:Z3517583001;100:10000:6:Z3542761830;100:10002:3:Z3552234398;
Cc1coc(C)c1,793,100:10000:0:Z2684962575;100:10000:1:Z3658225740;100:10000:1:Z4579464112;
Cc1cc2[nH]ccc2s1,362,100:10000:0:Z3382313273;100:10000:3:Z3356296526;100:10000:5:Z3299348715;
CC1CNC(C)CN1,579,100:10000:0:Z1552892499;100:10000:3:Z3103320955;100:10000:4:Z1552897009;
C1NC2COCC12,210,100:10000:0:Z4329445422;100:10000:3:Z4318425041;100:10000:5:Z4318341645;
CC1OCCC1O,361,100:10000:0:Z5044132207;100:10000:6:Z1920528468;100:10000:7:Z5050211483;
c1cc2sccc2s1,565,100:10000:0:Z2213954865;100:10000:2:Z4262561803;100:10000:6:Z3514236048;
FC1(F)C2CCNCC21,784,100:10000:0:Z2644161454;100:10000:4:Z2348356573;100:10000:6:Z2329113701;
C1=NOC2CCCC12,430,100:10000:0:Z4110203659;100:10000:2:Z4309184913;100:10000:3:Z4112037564;
O=C1COCCC2(CNC2)N1,152,100:10000:0:Z4278485702;100:10000:3:Z4265377488;100:10001:4:Z4265370061;
Cc1[nH]ncc1F,134,100:10000:0:Z1827732904;100:10003:7:Z3091968220;100:10004:2:Z3589083597;
O=C1CNC2(CCNCC2)N1,146,100:10000:0:Z3795101600;100:10000:4:Z3521556665;100:10000:5:Z3521556239;
OC1CCC2CNCCC2C1,321,100:10000:0:Z2960183789;100:10000:2:Z2297704390;100:10000:6:Z2307149755;
C1COC2COCC2N1,1255,100:10000:0:Z3514151816;100:10000:2:Z4312948676;100:10000:2:Z3514756897;
Clc1ccc2cnccc2c1,188,100:10000:0:Z3497702909;100:10000:7:Z3652140589;100:10000:9:Z3707990449;
Fc1ccc2[nH]ccc2c1F,190,100:10000:0:Z3509947925;100:10000:1:Z1907337906;100:10000:5:Z1616317653;
Cc1ccc2ccc(F)cc2n1,452,100:10000:0:Z3060520339;100:10000:1:Z4026058538;100:10000:4:Z3588716237;
Fc1cccc2c1NCC2,369,100:10000:0:Z4455740232;100:10000:2:Z2634282518;100:10000:8:Z1451615516;
Fc1ccc2c(c1)CCO2,894,100:10000:0:Z1251873109;100:10000:1:Z2616112230;100:10000:1:Z3549938614;
Cc1ncsc1F,65,100:10000:0:Z1568025616;100:10000:7:Z1568028783;100:10000:9:Z2996130364;
CC12CCC(O)C(C1)NC2,197,100:10000:0:Z3591620962;100:10000:6:Z4488596304;100:10000:7:Z3607218007;
Clc1csnc1Cl,117,100:10000:0:Z4217019790;100:10000:6:Z2478299005;100:10001:5:Z2228644769;
CC1(C)CCCCN1,1821,100:10000:0:Z4591704976;100:10000:1:Z4448163906;100:10000:2:Z4090158722;
OC1C2CCC(C2)C1O,863,100:10000:0:Z4289962274;100:10000:1:Z4325650023;100:10000:2:Z4139076376;
c1ccc2c(c1)OC1(CCCCC1)O2,75,100:10000:0:Z2946845148;100:10002:1:Z4056416785;100:10008:1:Z3045696645;
CC1(C)NCCNC1=O,524,100:10000:0:Z3514925256;100:10000:6:Z2778117395;100:10000:6:Z3051096614;
Fc1cc(F)c2c(c1)CCCO2,1072,100:10000:0:Z5048305780;100:10000:0:Z5048305779;100:10000:2:Z5052186659;
O=c1cn[nH]c(=O)[nH]1,281,100:10000:0:Z3604718424;100:10000:8:Z1127836892;100:10000:8:Z1174842092;
C1CCC2(CCNC2)NC1,386,100:10000:0:Z3046185721;100:10000:3:Z3364469447;100:10000:5:Z4055361707;
CC1CCC(=O)N1,1705,100:10000:0:Z2269631554;100:10000:1:Z2298457225;100:10000:2:Z3503694838;
C1CSC2(CNC2)N1,74,100:10000:0:Z4211373133;100:10000:6:Z4211409690;100:10001:4:Z4211358903;
Clc1ccc2c(c1)CCCN2,299,100:10000:0:Z2415373719;100:10001:7:Z3629156113;100:10001:7:Z997777688;
O=c1[nH]cn[nH]1,1997,100:10000:0:Z2949625436;100:10000:2:Z1767225452;100:10000:2:Z3602013898;
C1COC2(C1)COC2,663,100:10000:0:Z2949625436;100:10000:1:Z3009943107;100:10000:5:Z2921736920;
C1CC2(CCN1)COC2,476,100:10000:0:Z4118649094;100:10000:1:Z3373183411;100:10000:3:Z3155115495;
OC1CNCc2ccccc21,187,100:10000:0:Z1185900537;100:10000:4:Z2967692931;100:10001:3:Z1583614464;
CC12CNCC1C1CCC2C1,64,100:10000:0:Z3582233438;100:10000:9:Z2964285653;100:10002:1:Z2964283744;
CC1CNCC2(CCOCC2)O1,384,100:10000:0:Z1930830623;100:10000:1:Z2776281665;100:10000:5:Z3195797910;
Cc1cnc2ccccn12,908,100:10000:0:Z4322920157;100:10000:1:Z4241489277;100:10000:3:Z4236650258;
c1ccc2c(c1)CCCCO2,1377,100:10000:0:Z1904783057;100:10000:1:Z982666368;100:10000:2:Z3504026770;
c1ccc2c(c1)CC1CNCCCN21,188,100:10000:0:Z2179909138;100:10000:3:Z2639630121;100:10002:2:Z2178339931;
CC1CNCC2(CCOC2C)O1,358,100:10000:0:Z1932088526;100:10000:1:Z5034501253;100:10000:2:Z4273723688;
Cc1n[nH]c2ncccc12,1024,100:10000:0:Z2628393488;100:10000:3:Z1310891553;100:10000:3:Z4476598570;
FC1(F)CCC2CC21,1073,100:10000:0:Z3912499976;100:10000:1:Z3833831086;100:10000:1:Z3843447989;
CN1CCC(O)C1=O,156,100:10000:0:Z2801628421;100:10000:4:Z2801231493;100:10000:7:Z4032057820;
c1cnc2scnc2c1,1083,100:10000:0:Z1635999165;100:10000:1:Z4342126916;100:10000:1:Z3603792879;
Cc1cccn2ccnc12,2185,100:10000:0:Z3009451870;100:10000:1:Z4289146249;100:10000:1:Z1171819051;
c1cnc2cnccc2c1,1109,100:10000:0:Z2961205413;100:10000:1:Z4225135146;100:10000:1:Z2407515865;
CC1(C)CCC(=O)N1,1177,100:10000:0:Z4406913616;100:10000:7:Z4277484535;100:10000:8:Z3563485897;
O=C1CCSc2ccccc2N1,559,100:10000:0:Z1014793452;100:10000:4:Z3357632055;100:10001:0:Z3615793419;
NC1CCS(=O)(=O)C1,96,100:10000:0:Z5017907793;100:10001:3:Z3101064649;100:10004:6:Z3100188520;
c1cc2n(c1)CCSC2,547,100:10000:1:Z4020887876;100:10000:1:Z4023160174;100:10000:3:Z4000625015;
Cc1ccn2ncnc2n1,1483,100:10000:1:Z2387338970;100:10000:1:Z751501398;100:10000:2:Z4907062093;
Cc1nn(C)c2ncccc12,2092,100:10000:1:Z2607381884;100:10000:1:Z1274956355;100:10000:2:Z1843491049;
O=C1CC2(CCC2)CCN1,679,100:10000:1:Z3360020794;100:10000:6:Z4126179959;100:10000:7:Z3367270876;
Cc1ccc(C)c(C)c1,1305,100:10000:1:Z1545709073;100:10000:1:Z4906416540;100:10000:2:Z3943926052;
O=C1CNc2ccncc2N1,105,100:10000:1:Z1550011173;100:10000:1:Z1892429817;100:10000:2:Z1522111662;
C1CC2NC1C1CCC2O1,104,100:10000:1:Z4556737372;100:10000:8:Z4590131833;100:10000:9:Z4556757933;
Cc1sc(C)c2sccc12,63,100:10000:1:Z3519595287;100:10002:3:Z3440568721;100:10006:7:Z3408657512;
Cc1cc2cncnc2s1,254,100:10000:1:Z1537178510;100:10000:7:Z4198729016;100:10000:8:Z3515054858;
O=c1[nH]ccc2cccn12,108,100:10000:1:Z4320354112;100:10000:5:Z4326606135;100:10000:8:Z4319736574;
CC1CCC2(CC1)OCCO2,754,100:10000:1:Z1639316094;100:10000:3:Z4406054967;100:10000:3:Z3056613571;
CC1(C)CCC2(CCN2)CC1,90,100:10000:1:Z3554906433;100:10004:8:Z3590232356;100:10006:7:Z3645844073;
c1cnc2c(c1)COCC2,1818,100:10000:1:Z3583062857;100:10000:1:Z4455794435;100:10000:1:Z3007179195;
C1CC2CCC1O2,5233,100:10000:1:Z4274647416;100:10000:1:Z4078349337;100:10000:1:Z4112322019;
c1cnc2c(n1)CCCC2,444,100:10000:1:Z3083675315;100:10000:3:Z3572422962;100:10000:3:Z4574145771;
C1CCC2NCCCC2C1,1698,100:10000:1:Z3711276574;100:10000:1:Z5037115484;100:10000:1:Z5036075823;
CC1(C)COCCN1,2581,100:10000:1:Z1098681615;100:10000:1:Z3712726283;100:10000:2:Z2798291010;
Cc1ccc2sncc2c1,227,100:10000:1:Z4240394311;100:10000:1:Z3010645729;100:10000:8:Z2962486672;
OC1CCC2(CC1)CC2,294,100:10000:1:Z3637768189;100:10000:2:Z4113618730;100:10000:3:Z3701626417;
OC1CCCC2CCCNC12,99,100:10000:1:Z4353070119;100:10000:5:Z4353065853;100:10000:6:Z4353063814;
O=S1(=O)CCNc2ccccc2C1,167,100:10000:1:Z4378651919;100:10000:2:Z4402166575;100:10000:3:Z4402166814;
CC1=NC(C)CS1,166,100:10000:1:Z4264999159;100:10002:6:Z4235856770;100:10002:6:Z4503863294;
CC12CCCNC1COC2,242,100:10000:1:Z3910728754;100:10000:9:Z3787742044;100:10000:9:Z3838669130;
Cc1ccc2c(c1C)OCCC2,442,100:10000:1:Z3093318760;100:10000:1:Z3588124058;100:10000:6:Z3588129781;
C1COC2COCCC2N1,203,100:10000:1:Z3369255836;100:10000:3:Z4386889060;100:10001:0:Z3087400056;
Fc1ccc2c(c1)NCCO2,207,100:10000:1:Z1393252052;100:10000:7:Z4112285184;100:10000:9:Z1395927698;
C1COC2(CCCC2)OC1,282,100:10000:1:Z4906788464;100:10000:4:Z4909679539;100:10000:4:Z4906784503;
c1ncc2c(n1)COCC2,268,100:10000:1:Z3091023484;100:10000:8:Z3293474254;100:10000:8:Z4172701054;
Fc1cc(F)c2c(c1)NCCO2,92,100:10000:1:Z4127464655;100:10003:8:Z4127466557;100:10004:2:Z4127464822;
CC1CS(=O)(=O)C1,764,100:10000:1:Z4517926314;100:10000:1:Z3597955729;100:10000:1:Z4275816262;
c1n[nH]c2c1CCC2,2666,100:10000:1:Z4315394779;100:10000:1:Z4315390824;100:10000:1:Z2456747586;
CC1CC2CCC1C2,786,100:10000:1:Z4329750092;100:10000:3:Z4329750121;100:10000:5:Z3843531231;
Fc1cccc2c1CNCCO2,308,100:10000:1:Z3051752581;100:10000:2:Z2010742427;100:10000:8:Z2014977448;
CC1C=CNC(=O)N1,171,100:10000:1:Z2952965982;100:10001:0:Z3520677799;100:10002:3:Z4249667711;
CN1CCc2ccccc2C1,1071,100:10000:1:Z4602789971;100:10000:2:Z3294818074;100:10000:4:Z2708637678;
Cc1ccc(=O)[nH]c1C,266,100:10000:1:Z4183059613;100:10000:2:Z3408462323;100:10000:6:Z3474849173;
Cc1n[nH]c(C)c1C,573,100:10000:1:Z4226881530;100:10000:8:Z3493041897;100:10000:8:Z3577959776;
NC1CCc2n[nH]c(=O)cc2C1,24,100:10000:1:Z3863557332;100:10000:8:Z3863559631;100:10004:2:Z3863558119;
O=S1(=O)Cc2ccccc2C1,426,100:10000:1:Z2643172228;100:10001:0:Z2476078461;100:10001:7:Z2476085388;
CN1CCNCC1(C)C,703,100:10000:1:Z1997076267;100:10000:1:Z2711520405;100:10000:2:Z4123532412;
FC1(F)C2COCC21,228,100:10000:1:Z3668544923;100:10001:2:Z3670231375;100:10001:2:Z5019117438;
CC1CNCCc2ccccc21,384,100:10000:1:Z1550054880;100:10000:1:Z2771074559;100:10000:3:Z3289865295;
Cc1cccc2nc[nH]c12,179,100:10000:1:Z1685240299;100:10000:6:Z3928590897;100:10003:6:Z3947706875;
C1CC2CCNC2CN1,463,100:10000:1:Z2827324716;100:10000:1:Z3135708641;100:10000:2:Z2954053840;
Cn1[nH]c(=O)c2ccccc2c1=O,4,100:10000:1:Z2898301594;100:10010:4:Z3339606747;100:10022:8:Z4216184405;
CC1CC(O)C1,188,100:10000:1:Z4252010500;100:10000:7:Z4251998086;100:10001:2:Z4251988660;
Cc1nc2ncccn2n1,552,100:10000:1:Z2282940466;100:10000:1:Z2962510715;100:10000:3:Z1953541241;
C1CC2OCCC2N1,749,100:10000:1:Z3385269001;100:10000:1:Z4031449387;100:10000:1:Z4096736968;
CC1CCCCC1C,1101,100:10000:1:Z2606844513;100:10000:3:Z795771778;100:10000:4:Z2452860430;
C1=Cc2ccccc2CC1,518,100:10000:1:Z1848567329;100:10000:3:Z4143171634;100:10000:4:Z1873491452;
c1cc2n(n1)CCO2,591,100:10000:1:Z2174607603;100:10000:1:Z2172750865;100:10000:1:Z4097998153;
CC1CC2NCCC2O1,423,100:10000:1:Z4576389513;100:10000:1:Z4576384042;100:10001:2:Z3570510329;
c1ccc2c(c1)CNCC1(CCC1)O2,134,100:10000:1:Z3366043353;100:10000:1:Z2862640574;100:10002:1:Z2884925580;
C1COC2(CCN1)CCOCC2,398,100:10000:1:Z1708494572;100:10000:1:Z4021668788;100:10000:4:Z3469333445;
C1CC2(CCN1)COCCO2,861,100:10000:1:Z4429305921;100:10000:2:Z4126619606;100:10000:2:Z2852150728;
O=S1(=O)CCC2(CCN2)CC1,297,100:10000:1:Z3595474280;100:10000:2:Z3615476600;100:10000:5:Z4410208325;
c1nnc2n1CCOC2,1920,100:10000:1:Z3545943513;100:10000:2:Z4960520120;100:10000:2:Z4960515724;
CC1(C)CC2(CC2)C1,287,100:10000:1:Z3520245781;100:10000:4:Z3819612450;100:10000:5:Z3544960985;
CC1CN2CCCC2CN1,380,100:10000:1:Z1773636315;100:10000:2:Z1942620066;100:10000:3:Z4307021347;
c1cc2c(cn1)CCNC2,997,100:10000:1:Z4581689819;100:10000:2:Z4483618833;100:10000:2:Z3603313318;
CC1(C)Oc2ccccc2O1,714,100:10000:1:Z4423768914;100:10000:2:Z2189820817;100:10000:2:Z5058322562;
O=C1NCC2(CCNCC2)N1,369,100:10000:1:Z3650257650;100:10000:4:Z3865670550;100:10000:6:Z3714248282;
O=C1CCC(F)CC1,277,100:10000:1:Z4291992776;100:10000:2:Z4288426172;100:10000:7:Z4290186417;
c1cc2cnccn2c1,86,100:10000:1:Z5023324162;100:10000:1:Z4232987949;100:10002:1:Z4223850216;
FC1CC2CNCCN2C1,186,100:10000:1:Z4614022975;100:10000:9:Z3618512754;100:10000:9:Z3354881425;
O=S1(=O)CCc2ncccc2C1,201,100:10000:1:Z4176251105;100:10000:3:Z4308507682;100:10000:7:Z4178047407;
CC1NCc2ccccc21,386,100:10000:1:Z2605429937;100:10000:1:Z1320183711;100:10001:9:Z2605435554;
NC1CCC2(CCOCC2)NC1,142,100:10000:1:Z4392354829;100:10000:1:Z4914779891;100:10000:2:Z4387300330;
Cc1ccnc2c(Cl)cccc12,146,100:10000:1:Z2778681488;100:10000:9:Z4575683605;100:10000:9:Z4570508472;
CC1(C)CCCCS1(=O)=O,198,100:10000:1:Z4153331726;100:10000:3:Z4325155441;100:10000:3:Z3582579305;
CC1(C)CCCC(O)C1,619,100:10000:1:Z3644105019;100:10000:7:Z4257716065;100:10000:9:Z1784526704;
CN1CCN(C)CC1,947,100:10000:1:Z4318138666;100:10000:1:Z2953788845;100:10000:2:Z3844508253;
C1CCC2OCCC2C1,1981,100:10000:1:Z3293274417;100:10000:3:Z1425671060;100:10000:3:Z3530300758;
C1CCCSCC1,399,100:10000:1:Z3590259488;100:10000:1:Z4490357578;100:10000:9:Z2591120298;
c1cc2c(cn1)NCC2,410,100:10000:1:Z4127030026;100:10000:2:Z1886902746;100:10000:2:Z4047841796;
CC1(C)CNCC(C)(C)O1,338,100:10000:1:Z3873598582;100:10000:3:Z1798191194;100:10000:4:Z1797368929;
C1CCC2(CC1)CNC2,791,100:10000:1:Z4473478697;100:10000:3:Z1927607180;100:10000:3:Z4416196682;
NC1CCC2(CC1)CC2,307,100:10000:1:Z4056560184;100:10000:1:Z3101169248;100:10000:2:Z3278078303;
c1ccc2c(c1)OCCC21CC1,895,100:10000:1:Z3820028577;100:10000:1:Z3819960547;100:10000:5:Z4504331048;
Cc1ccc2ccoc2c1,521,100:10000:1:Z3646420132;100:10000:2:Z2138803431;100:10000:5:Z2122276199;
C1CNCCC2(C1)CCCO2,375,100:10000:1:Z3646420132;100:10000:2:Z3661150671;100:10000:3:Z4326260561;
C1CC2(CC2)CO1,2053,100:10000:1:Z1830444273;100:10000:1:Z2860900006;100:10000:1:Z4233308505;
CN1CC2NCCCC2C1=O,383,100:10000:1:Z4735745024;100:10001:1:Z4776610484;100:10001:2:Z4777439458;
Clc1ncccn1,837,100:10000:1:Z5023185460;100:10000:5:Z5064597723;100:10000:6:Z5064496192;
CC1(C)CCC(O)C1,133,100:10000:1:Z4931688832;100:10002:1:Z4935238034;100:10003:0:Z4930140183;
Nc1ccccn1,2351,100:10000:1:Z4002464178;100:10000:2:Z2824927867;100:10000:2:Z3599560108;
Clc1cccc2c1CCNC2,585,100:10000:1:Z4002464178;100:10000:2:Z4640386351;100:10000:8:Z5020775588;
C1CC2(CCN1)CC2,4180,100:10000:1:Z5054384905;100:10000:1:Z5054488270;100:10000:1:Z5053228927;
CC1NCCn2cccc21,613,100:10000:1:Z4029639348;100:10000:4:Z3105670446;100:10000:4:Z3100961792;
c1cc2ccsc2[nH]1,282,100:10000:1:Z1023795486;100:10001:3:Z1401442992;100:10001:9:Z812218240;
O=C1CC2(CCCCC2)CN1,847,100:10000:1:Z4257543974;100:10000:2:Z3645976807;100:10000:3:Z4346690093;
C1CNC2CCOCC2C1,534,100:10000:1:Z3829536173;100:10000:2:Z4114496658;100:10000:3:Z3828651287;
c1nc2c([nH]1)CCNC2,1557,100:10000:1:Z2976165612;100:10000:1:Z1616913352;100:10000:1:Z4422265654;
CN1CCC2(CCNCC2)C1=O,408,100:10000:1:Z1889388347;100:10000:2:Z1950961655;100:10000:8:Z3097851190;
CC1CCNCCN1,662,100:10000:1:Z3843372683;100:10000:3:Z3385184086;100:10000:3:Z3198683819;
CC1=NNCC1,319,100:10000:1:Z2783317817;100:10000:1:Z2232398422;100:10001:4:Z917553992;
CC1C(=O)CC2CCC1N2,238,100:10000:1:Z2783317817;100:10000:5:Z3591482512;100:10001:3:Z2783326208;
CC12CCC(C1)OC2,646,100:10000:1:Z4272244000;100:10000:2:Z3700338771;100:10000:2:Z3637584929;
O=C1CCNCC1,730,100:10000:1:Z2873264581;100:10000:2:Z4274736502;100:10000:2:Z4275669771;
Cc1nnc2cnccn12,236,100:10000:1:Z3079742105;100:10000:2:Z1767628891;100:10001:1:Z2218219196;
Clc1cccc2c1CCN2,160,100:10000:1:Z1402070888;100:10001:1:Z1404517621;100:10001:6:Z1401743160;
OC1CCNCC1(F)F,284,100:10000:1:Z3697748592;100:10000:4:Z2614726580;100:10001:5:Z4073769078;
Cc1ccnc(O)c1,464,100:10000:1:Z3362647421;100:10000:3:Z2212484489;100:10000:3:Z1625623021;
C1CCC2(CCNC2)CNC1,244,100:10000:1:Z2860810336;100:10000:9:Z2873670639;100:10001:5:Z2873696312;
C1CCC2(C1)CCNC2,1569,100:10000:1:Z3878430261;100:10000:1:Z3878430171;100:10000:1:Z3322330740;
CC1CCCC(C)(C)C1,633,100:10000:1:Z4478041757;100:10000:1:Z4478473314;100:10000:1:Z338058280;
Cc1cccc2ccnnc12,239,100:10000:1:Z3950515790;100:10000:1:Z3833941591;100:10000:2:Z3845078251;
CC12CCC(CNC1)C2(C)C,173,100:10000:1:Z3950515790;100:10000:4:Z3444060105;100:10000:9:Z3209006393;
Cn1cnc2cnc(N)nc21,52,100:10000:1:Z4231877286;100:10000:3:Z4999820802;100:10003:0:Z4224482027;
CN1C(=O)CCOc2ccccc21,326,100:10000:1:Z3699089984;100:10000:1:Z3701267456;100:10002:7:Z3626833376;
c1nc2n(n1)CCCN2,687,100:10000:1:Z4086385656;100:10000:2:Z3522911631;100:10000:2:Z3385812001;
Cc1cc(O)on1,29,100:10000:1:Z3095608920;100:10001:8:Z3095608533;100:10003:4:Z3095608918;
CC1C(=O)Nc2ccccc2N1C,200,100:10000:1:Z1667741860;100:10001:2:Z1954392443;100:10001:2:Z4878787116;
O=S1(=O)CC2(CCN2)C1,259,100:10000:1:Z4270890740;100:10000:2:Z3396151825;100:10000:4:Z4270903120;
O=C1CCNc2ccc(O)cc21,73,100:10000:1:Z3358548739;100:10000:1:Z2914320344;100:10001:3:Z2914322526;
c1ccc2c(c1)CCCS2,918,100:10000:1:Z3358548739;100:10000:1:Z2833280294;100:10000:2:Z3298884334;
C1CNC2CCNC2C1,224,100:10000:1:Z4080808167;100:10000:3:Z4029390339;100:10000:6:Z4091612431;
O=C1CCc2ccc(Cl)cc21,202,100:10000:1:Z4639547900;100:10000:1:Z4642630619;100:10001:2:Z4639462923;
c1ccc2c(c1)OCC21CCNCC1,154,100:10000:1:Z3510873208;100:10000:2:Z4117413903;100:10000:5:Z3569490523;
Oc1ccc2cc(O)ccc2c1,80,100:10000:1:Z4313185864;100:10000:5:Z4310176906;100:10000:8:Z4311292700;
C1COCC2(C1)CCCO2,508,100:10000:1:Z4620932570;100:10000:1:Z4022919656;100:10000:2:Z4620987824;
Cc1[nH]c2ncncc2c1C,189,100:10000:1:Z2433786098;100:10000:2:Z2672808467;100:10000:3:Z2433786875;
C1CCC2OCCNC2C1,598,100:10000:1:Z4267533277;100:10000:1:Z4006462757;100:10000:5:Z2773389489;
C1NCC2COCC1C2,155,100:10000:1:Z3385813279;100:10001:0:Z3365982417;100:10003:3:Z3360474162;
Cc1cc(F)ccc1F,921,100:10000:1:Z1409223692;100:10000:1:Z2299693364;100:10000:5:Z1429468889;
C1CCC2CNCCC2C1,1964,100:10000:1:Z3496993672;100:10000:2:Z3105220105;100:10000:2:Z3831678133;
c1cnc2nccnc2c1,762,100:10000:1:Z3496993672;100:10000:2:Z3078217159;100:10000:5:Z3577702013;
C1NCC12CSC2,119,100:10000:1:Z4994677115;100:10000:4:Z3707277103;100:10000:6:Z3174620328;
NC1CNc2ccccc2C1,97,100:10000:1:Z4054303845;100:10000:4:Z2378789929;100:10002:3:Z2384931177;
C1CNCC2(C1)CC2,1289,100:10000:1:Z4216134034;100:10000:1:Z4060512398;100:10000:3:Z4188258640;
C1CNCC2(CC2)CN1,156,100:10000:1:Z5060669480;100:10000:4:Z5057778682;100:10000:8:Z5060667997;
Cn1c2ccccc2n2cnnc12,22,100:10000:1:Z3255538996;100:10000:2:Z1838383298;100:10006:2:Z1913111937;
O=c1ccoc2ccc(Cl)cc12,210,100:10000:1:Z4273904430;100:10000:1:Z1549402784;100:10000:8:Z3714043086;
