fragment_smiles,occurences,example_ligands
c1cc2n(n1)CCCC2,6689,94:09400:0:Z2269081220;94:09400:0:Z3625446368;94:09400:0:Z3867666697;
O=C1CCCN1,78561,94:09400:0:Z4352966613;94:09400:0:Z2191203060;94:09400:0:Z1247604376;
c1n[nH]c2c1CCCC2,7928,94:09400:0:Z4352966613;94:09400:0:Z3787756826;94:09400:0:Z4639666356;
CC1(C)CCC1,9274,94:09400:0:Z3092531517;94:09400:0:Z1247604376;94:09400:0:Z1373847641;
O=C1CCc2ccccc2N1,6614,94:09400:0:Z3092531517;94:09400:0:Z2965837326;94:09400:0:Z1720936336;
Clc1ccccc1,202456,94:09400:0:Z1865064191;94:09400:0:Z2289253780;94:09400:0:Z2963818556;
c1nnn[nH]1,27618,94:09400:0:Z1865064191;94:09400:0:Z4400078191;94:09400:0:Z4013518905;
CN1CCCNCC1,1465,94:09400:0:Z2352221117;94:09400:0:Z2352879323;94:09400:1:Z4217092056;
c1ccc2scnc2c1,13279,94:09400:0:Z2352221117;94:09400:0:Z3141720446;94:09400:0:Z372190864;
Fc1ccc(F)cc1,11691,94:09400:0:Z2916722537;94:09400:0:Z3999171962;94:09400:0:Z2979462265;
C1COCCN1,145654,94:09400:0:Z2916722537;94:09400:0:Z1883009324;94:09400:0:Z4388001045;
Fc1ccccc1,308218,94:09400:0:Z1416518809;94:09400:0:Z4768422079;94:09400:0:Z3824422784;
Cc1cc(C)cc(C)c1,3701,94:09400:0:Z1416518809;94:09400:0:Z1367394196;94:09400:0:Z924366452;
CN1CCCCC1,21381,94:09400:0:Z3408762591;94:09400:0:Z1840115243;94:09400:0:Z3595765231;
O=S1(=O)CC2(CCCCC2)C1,416,94:09400:0:Z3360629133;94:09400:0:Z3360629400;94:09400:2:Z3389539462;
Clc1cccc2c1CCN2,129,94:09400:0:Z1883009324;94:09400:9:Z2392580851;94:09401:5:Z1401741524;
O=C1CC2(CCNCC2)CN1,528,94:09400:0:Z1367394196;94:09400:1:Z3095397462;94:09400:2:Z1366079120;
Cc1ccon1,12142,94:09400:0:Z2723003829;94:09400:0:Z3058490256;94:09400:0:Z4613273136;
c1cc2scnc2cn1,245,94:09400:0:Z2723003829;94:09400:2:Z3475265101;94:09400:3:Z2646747701;
Cc1ccccc1Cl,6200,94:09400:0:Z4886963516;94:09400:0:Z442624740;94:09400:0:Z162939742;
C1CC2CNC(C1)C2,2415,94:09400:0:Z4907413897;94:09400:0:Z3994290867;94:09400:0:Z2863267164;
c1nncs1,30305,94:09400:0:Z4487718790;94:09400:0:Z4394582462;94:09400:0:Z4329921895;
FC1(F)CNCCSC1,134,94:09400:0:Z4487718790;94:09400:2:Z4419066156;94:09400:6:Z4418953683;
OC1CC2(CCNCC2)Oc2c[nH]nc21,69,94:09400:0:Z3416886532;94:09402:5:Z3416883171;94:09403:4:Z3416889433;
Cc1nc[nH]n1,2327,94:09400:0:Z3393864180;94:09400:1:Z1268312478;94:09400:1:Z2635793471;
CC1CNCCO1,15541,94:09400:0:Z2407669910;94:09400:0:Z2474151680;94:09400:0:Z2706499242;
c1ccc2nonc2c1,1413,94:09400:0:Z4382168981;94:09400:0:Z4228786048;94:09400:3:Z4216491334;
Cc1cscn1,38220,94:09400:0:Z3620574112;94:09400:0:Z2715006289;94:09400:0:Z2792847887;
C1CCCNCCC1,1493,94:09400:0:Z4271324933;94:09400:1:Z5017819961;94:09400:2:Z3210863240;
Cc1cc2ccccc2o1,1219,94:09400:0:Z3889410118;94:09400:1:Z3778374455;94:09400:1:Z3778374456;
C1CC2(CCN1)CCNC2,965,94:09400:0:Z3889410118;94:09400:1:Z1901281575;94:09400:1:Z4055094242;
O=c1cc2c(n[nH]1)CCNC2,375,94:09400:0:Z1730118984;94:09400:0:Z4406116882;94:09400:0:Z2872359062;
FC1CCCC1,4059,94:09400:0:Z2308586090;94:09400:0:Z3796136905;94:09400:0:Z2095119837;
OC1CCNCC1,19859,94:09400:0:Z2308586090;94:09400:0:Z3578961342;94:09400:0:Z2645314425;
Fc1cccc(F)c1,56710,94:09400:0:Z2308586090;94:09400:0:Z2218087783;94:09400:0:Z2999129382;
Cc1cc(C)on1,9628,94:09400:0:Z766876868;94:09400:0:Z2228277012;94:09400:0:Z4833498459;
Cc1ccn(C)n1,13777,94:09400:0:Z2289253780;94:09400:0:Z4574503784;94:09400:0:Z2313463997;
c1cn[nH]n1,9160,94:09400:0:Z2289253780;94:09400:0:Z2718589776;94:09400:0:Z4996316863;
Cc1n[nH]c2ncccc12,1014,94:09400:0:Z3057867286;94:09400:0:Z4227329684;94:09400:0:Z4165777079;
Cc1ncn[nH]1,5493,94:09400:0:Z1570631886;94:09400:0:Z2392537204;94:09400:0:Z1747863254;
Cc1cc2cncnc2s1,283,94:09400:0:Z1537382358;94:09400:1:Z2835520729;94:09400:1:Z2835520822;
CC1CNC(C)(C)CO1,209,94:09400:0:Z1635435173;94:09400:5:Z1584601085;94:09400:6:Z1584601626;
