fragment_smiles,occurences,example_ligands
O=c1[nH]c2cccnc2[nH]1,516,94:09400:0:Z2485693479;94:09400:2:Z4887203047;94:09400:6:Z2915052685;
c1cnn2ccnc2c1,920,94:09400:0:Z4896925181;94:09400:0:Z4230622386;94:09400:0:Z4111900469;
CC1(C)CNCCS1,615,94:09400:0:Z4471514045;94:09400:2:Z4471515057;94:09400:5:Z1362608679;
C1CCC2(CC1)CCCNC2,245,94:09400:0:Z3511251144;94:09401:9:Z3723894534;94:09401:9:Z3152915875;
OC1CC2CC1CN2,490,94:09400:0:Z4779874850;94:09400:0:Z4779835183;94:09400:1:Z2945748800;
CC1CCCC(C)C1,945,94:09400:0:Z2410316448;94:09400:1:Z1629374333;94:09400:2:Z1166839230;
CC12CNC(CO1)C2,242,94:09400:0:Z3135654059;94:09400:9:Z4128212510;94:09401:1:Z2966243035;
OC1CC2CNC1C2,691,94:09400:0:Z3549086423;94:09400:0:Z3571975547;94:09400:0:Z4221736048;
Oc1cccc2c1CCCC2,493,94:09400:0:Z1669144621;94:09400:3:Z1669140578;94:09400:4:Z1669130809;
CC1COCCN1C,240,94:09400:0:Z3687108218;94:09400:2:Z5001434776;94:09400:3:Z3686250651;
C1CNC2(C1)CC2,1123,94:09400:0:Z4043134214;94:09400:1:Z3805029909;94:09400:3:Z3608706563;
c1ccc2c(c1)CCNCC2,1984,94:09400:0:Z4348456490;94:09400:1:Z1883305011;94:09400:1:Z1785834959;
C1CC2CCC2C1,5138,94:09400:0:Z4348456490;94:09400:0:Z3587124268;94:09400:0:Z3299251676;
C1CC2CCC2CN1,204,94:09400:0:Z4169343120;94:09400:2:Z3518646977;94:09402:8:Z4178572041;
CC12CNCC1(C)COC2,393,94:09400:0:Z3358467391;94:09400:2:Z2603081551;94:09400:3:Z3843389243;
C1CCC2(CC1)CNCCS2,215,94:09400:0:Z1357000278;94:09400:1:Z1354851524;94:09400:7:Z4275559294;
O=S1(=O)CCNc2sccc21,121,94:09400:0:Z4401480724;94:09401:2:Z4264244378;94:09401:6:Z4264296552;
CC1=NOC(C)C1,464,94:09400:0:Z3367605140;94:09400:2:Z3582149904;94:09400:4:Z3623032928;
OC1CCCc2occc21,220,94:09400:0:Z4096941113;94:09400:1:Z3545207139;94:09400:4:Z4085565804;
OC1CC2CNCCN2C1,362,94:09400:0:Z5039078050;94:09400:5:Z2500657156;94:09400:7:Z2500657381;
O=C1CSCCN1,307,94:09400:0:Z4032097542;94:09400:2:Z3832280338;94:09400:5:Z3095171927;
Oc1cnc2c(F)cccc2c1,75,94:09400:0:Z4156236386;94:09400:2:Z3598514903;94:09401:5:Z3623327312;
c1ccc2[nH]ncc2c1,9284,94:09400:0:Z4049294319;94:09400:0:Z2835609801;94:09400:0:Z4483119145;
C1NC2CC1C2,3307,94:09400:0:Z4313554048;94:09400:0:Z3881979321;94:09400:2:Z4031221275;
CN=[SH](C)=O,678,94:09400:0:Z4313554048;94:09400:1:Z4012197398;94:09400:3:Z2840990074;
Cc1csc2ncncc12,392,94:09400:0:Z3558342165;94:09400:0:Z2465917363;94:09401:0:Z3558779608;
C1CNC2CC2C1,1667,94:09400:0:Z3619489131;94:09400:0:Z3103384446;94:09400:0:Z4019099003;
CN1CCCNc2cc(Cl)ccc21,81,94:09400:0:Z1362045205;94:09400:6:Z1486734105;94:09404:0:Z1422674866;
O=c1ccocc1,1102,94:09400:0:Z3627793197;94:09400:1:Z3521581459;94:09400:2:Z2365339175;
CC1(C)CC2(CCN2)CCO1,281,94:09400:0:Z4031744575;94:09400:0:Z4051563576;94:09401:0:Z4034985439;
FC1(F)CCC2(CC1)CNCCO2,234,94:09400:0:Z4295743588;94:09401:8:Z3831769972;94:09402:1:Z3785424341;
CC1CCC(C)N1C,156,94:09400:0:Z4240176178;94:09400:7:Z4320904161;94:09401:0:Z4323870798;
c1cc2[nH]ccc2cn1,676,94:09400:0:Z4240176178;94:09400:1:Z4424056208;94:09400:2:Z2956077112;
c1ccc2c(c1)CNCC1(CNC1)O2,82,94:09400:0:Z4212171634;94:09403:0:Z4212141267;94:09403:6:Z4204234138;
Cc1cccc2ccnn12,385,94:09400:0:Z3842675804;94:09400:8:Z3948321671;94:09400:8:Z4048245262;
c1cnc2c(n1)CCNC2,353,94:09400:0:Z2779979805;94:09400:3:Z2601609043;94:09400:6:Z2618882589;
O=c1[nH]ccc2ccc(Cl)cc12,166,94:09400:0:Z4350423361;94:09400:2:Z4350680007;94:09400:8:Z4350232922;
OC1CCCCNC1,338,94:09400:0:Z3520319869;94:09400:0:Z4034325276;94:09400:1:Z4068640853;
c1ccc2snnc2c1,156,94:09400:0:Z4462820010;94:09401:0:Z4489936791;94:09402:8:Z4492052959;
c1ccn2cccc2c1,572,94:09400:0:Z1204171509;94:09400:1:Z4293598912;94:09400:2:Z4021608818;
CN1CCC2(CC1)CNCCO2,329,94:09400:0:Z4251009801;94:09400:6:Z2438301829;94:09400:7:Z2703846317;
C1CC2(CCN1)CCN2,258,94:09400:0:Z3470114741;94:09400:8:Z2441845845;94:09400:9:Z2378812383;
Cc1cc(C)c2c(c1)CNCC2,210,94:09400:0:Z1739781207;94:09400:2:Z1739419375;94:09400:5:Z2626821075;
Cc1csc(N)n1,97,94:09400:0:Z2437121074;94:09400:6:Z2392017653;94:09400:7:Z2776590062;
O=C1CCc2sccc21,214,94:09400:0:Z5007416003;94:09400:8:Z5001309644;94:09401:3:Z5000200351;
Clc1ncc2nc[nH]c2n1,134,94:09400:0:Z2770530534;94:09400:1:Z2770068996;94:09402:0:Z2861686971;
O=C1C2CCCC1CC2,412,94:09400:0:Z4006998897;94:09400:1:Z4023262741;94:09400:2:Z4021352028;
C1CC2(CCS1)CNC2,386,94:09400:0:Z3189441818;94:09400:0:Z3187962799;94:09400:1:Z3785036754;
CC12CNCC1COC2,378,94:09400:0:Z2645894873;94:09400:3:Z2610952877;94:09400:3:Z2628988652;
O=c1ccnc2scnn12,639,94:09400:0:Z1359554669;94:09400:2:Z2368299620;94:09400:4:Z1422037973;
C1COC2(CCN1)CCSC2,385,94:09400:0:Z3787125234;94:09400:4:Z3881767152;94:09400:4:Z3800390893;
Cc1ccc(C)s1,3070,94:09400:0:Z3056264904;94:09400:0:Z1373824889;94:09400:1:Z932695892;
CC1CNCCC1N,126,94:09400:0:Z2440351191;94:09400:2:Z2440353231;94:09400:6:Z2440350210;
c1ccc2c(c1)CC1(CCCC1)C2,79,94:09400:0:Z4412792973;94:09402:0:Z4347014656;94:09407:0:Z4412732208;
C1NOC2COCC12,159,94:09400:0:Z3437086508;94:09400:4:Z3434425702;94:09400:8:Z3609923324;
CN1C(=O)Cc2ccccc21,1704,94:09400:0:Z3437086508;94:09400:1:Z1513817892;94:09400:2:Z2220274426;
Fc1cccc2ncccc12,584,94:09400:0:Z399224590;94:09400:4:Z792403770;94:09400:4:Z4519304887;
CC1(C)CCC(O)CC1,596,94:09400:0:Z3547672679;94:09400:2:Z4086316254;94:09400:2:Z4604415197;
CC1NCC1O,53,94:09400:0:Z4120914314;94:09401:9:Z4120914021;94:09404:0:Z4142495215;
C1CCC2(C1)CCCN2,1270,94:09400:0:Z4120914314;94:09400:4:Z4003587038;94:09400:4:Z4111666231;
Cc1csc2ncn(C)c(=O)c12,354,94:09400:0:Z4024061275;94:09400:1:Z2876726198;94:09400:3:Z1533598670;
CN1C(=O)NCC12CNC2,284,94:09400:0:Z4024061275;94:09400:0:Z4024049316;94:09400:1:Z4012197398;
c1cn2c(n1)NCCCC2,110,94:09400:0:Z4335760809;94:09404:3:Z4335764729;94:09405:7:Z4216882702;
FC1(F)CC2CC1CN2,282,94:09400:0:Z3597487106;94:09400:6:Z3568585629;94:09401:3:Z3436711333;
Cc1ccc2ccc(F)c(F)c2n1,46,94:09400:0:Z3832677992;94:09401:5:Z3831703634;94:09403:1:Z3834409077;
CC1(C)CCCCO1,4358,94:09400:0:Z3438180148;94:09400:1:Z3135134390;94:09400:1:Z4077832583;
Nc1ccncc1,471,94:09400:0:Z3505380755;94:09400:1:Z2926987208;94:09400:4:Z4208415059;
Cc1ccc(=O)n(C)c1,336,94:09400:0:Z1438028961;94:09400:5:Z2837485612;94:09400:7:Z2494705470;
NC1CS(=O)(=O)C2CNCC12,113,94:09400:0:Z3364848826;94:09400:7:Z3385719719;94:09402:8:Z3385718565;
Clc1ccc2[nH]ccc2c1,1344,94:09400:0:Z4384280539;94:09400:2:Z5034935095;94:09400:2:Z1533892798;
Cc1n[nH]c(=O)c2ccccc12,217,94:09400:0:Z3591762803;94:09400:5:Z2393220111;94:09403:3:Z1819621174;
CC12CCCC(CN1)C2,181,94:09400:0:Z3591762803;94:09400:4:Z3591776046;94:09401:1:Z3591776028;
Cn1cc(F)cn1,534,94:09400:0:Z5039115196;94:09400:1:Z5039015866;94:09400:1:Z5035190027;
FC=C1CCCC1,152,94:09400:0:Z5039115196;94:09400:2:Z4879237291;94:09400:4:Z4888061417;
Cc1ncc2cc[nH]c2n1,321,94:09400:0:Z3667515874;94:09400:0:Z4013862844;94:09400:1:Z4225912903;
O=C1CC2OCCC2CN1,287,94:09400:0:Z4418702694;94:09400:5:Z3634984738;94:09401:3:Z4620997616;
CC1(C)CCc2ccccc21,507,94:09400:0:Z4488327627;94:09400:1:Z3414491566;94:09400:6:Z1460937114;
C1CCC2(CC1)CCNCC2,1626,94:09400:0:Z4056148337;94:09400:1:Z4207682774;94:09400:1:Z2626694743;
CC1CCCNCC1,781,94:09400:0:Z4403932607;94:09400:0:Z2087919896;94:09400:0:Z4061329197;
O=C1COc2ccccc2N1,5241,94:09400:0:Z3887569343;94:09400:0:Z1711615541;94:09400:1:Z2178130159;
C1CC2CC(CO2)O1,862,94:09400:0:Z3887569343;94:09400:0:Z4264783569;94:09400:0:Z4278514639;
CC1Cc2ccccc2CN1,538,94:09400:0:Z4643117241;94:09400:4:Z3093821487;94:09400:4:Z3696165995;
CC1(C)CCC(C)(C)C1,27,94:09400:0:Z4227312780;94:09403:5:Z4227309058;94:09409:4:Z4227314072;
CN1CCOc2ccccc21,1374,94:09400:0:Z4971758564;94:09400:0:Z4770965819;94:09400:1:Z3056592728;
c1cnc2c(c1)CCNC2,591,94:09400:0:Z4971758564;94:09400:2:Z3057471320;94:09400:9:Z3345995990;
CN1CCNCc2cccnc21,327,94:09400:0:Z3783778549;94:09400:2:Z2791601994;94:09400:5:Z2791576423;
C1CC2OCCC2O1,762,94:09400:0:Z3783778549;94:09400:1:Z3906964165;94:09400:1:Z3649037978;
c1nc2c([nH]1)CCNC2,1564,94:09400:0:Z2918901420;94:09400:1:Z4099496633;94:09400:2:Z4137412072;
O=C1CCNCCCCCN1,386,94:09400:0:Z2956560465;94:09400:1:Z2968739406;94:09400:4:Z2965254071;
OC1CCC12CCNCC2,1411,94:09400:0:Z2015253460;94:09400:1:Z4276123363;94:09400:1:Z4276159850;
CC1(C)COCCO1,3983,94:09400:0:Z4462833079;94:09400:0:Z4518421776;94:09400:1:Z3651111462;
c1cn2c(n1)CNCCC2,836,94:09400:0:Z4462833079;94:09400:2:Z3549415585;94:09400:2:Z3570655052;
C1CCC2(C1)CC2,1968,94:09400:0:Z1324497089;94:09400:1:Z3357526640;94:09400:2:Z2697907169;
CC1CCCOC1,3463,94:09400:0:Z1887007297;94:09400:0:Z4024545899;94:09400:0:Z2718644477;
FC1CNCC(F)C1,246,94:09400:0:Z4142279800;94:09400:0:Z4142289117;94:09400:1:Z4142168811;
Fc1cncnc1,2077,94:09400:0:Z3357364118;94:09400:1:Z1481118760;94:09400:1:Z4410509164;
CC1CNc2cccc(F)c2O1,145,94:09400:0:Z2774978999;94:09400:7:Z4112946875;94:09401:2:Z1883857474;
O=c1cccco1,345,94:09400:0:Z4289931373;94:09401:2:Z4296235317;94:09401:4:Z4295520075;
C1CC2(C1)COCCN2,1715,94:09400:0:Z3655331478;94:09400:1:Z3514493990;94:09400:1:Z3511069804;
Nc1cnc2ccccc2n1,25,94:09400:0:Z5023221480;94:09406:4:Z5061111044;94:09410:2:Z4402583774;
CC1COCC(C)N1,239,94:09400:0:Z2071473468;94:09400:0:Z3372433745;94:09401:0:Z4146896298;
C1CSCCS1,736,94:09400:0:Z1629428645;94:09400:1:Z1630313723;94:09400:5:Z1391269686;
O=c1[nH]cnc2[nH]ncc12,576,94:09400:0:Z2769217042;94:09400:4:Z4235722695;94:09400:7:Z4236046594;
C1=CSCCO1,278,94:09400:0:Z2800870431;94:09400:9:Z4373220340;94:09401:2:Z4227338590;
O=c1ccnc2ccccn12,941,94:09400:0:Z2642312624;94:09400:3:Z4642204189;94:09400:3:Z2493247181;
c1occ2c1CCCC2,212,94:09400:0:Z2642312624;94:09400:3:Z2623700445;94:09401:1:Z2618385793;
OC1CCC12CCOCC2,385,94:09400:0:Z2963723750;94:09400:5:Z4914993875;94:09401:1:Z2963724070;
Cn1ccc(Cl)n1,846,94:09400:0:Z4581496799;94:09400:2:Z3599000173;94:09400:2:Z4024271636;
c1nc2c([nH]1)CCCC2,2797,94:09400:0:Z3707964468;94:09400:0:Z2691717505;94:09400:0:Z2170673747;
O=S1(=O)C=CNC=C1,228,94:09400:0:Z4020483849;94:09400:0:Z4023299347;94:09400:0:Z4023299406;
Nc1ccncc1F,121,94:09400:0:Z4310769038;94:09400:1:Z4311235576;94:09400:1:Z4311270855;
OC1CCC12CCC2,1441,94:09400:0:Z2924128266;94:09400:0:Z2616137591;94:09400:1:Z4298402309;
C1CC2(C1)CCNCC2,3738,94:09400:0:Z5063434574;94:09400:0:Z4227761284;94:09400:1:Z4060385392;
Cc1c[nH]c(C)c1,2248,94:09400:0:Z2646901869;94:09400:0:Z2692041157;94:09400:0:Z2232033944;
CC1CNCC(C)S1(=O)=O,320,94:09400:0:Z3869629872;94:09400:1:Z2184852991;94:09400:6:Z2170735684;
Fc1cccc2[nH]cnc12,986,94:09400:0:Z3869629872;94:09400:2:Z1206247431;94:09400:4:Z2457215066;
C1CCC2CC2CC1,746,94:09400:0:Z3192119447;94:09400:0:Z3054603130;94:09400:0:Z3837684304;
Cc1cccc2cnccc12,239,94:09400:0:Z3713663746;94:09401:3:Z3713496429;94:09401:5:Z4329859571;
c1[nH]nc2c1CCC2,475,94:09400:0:Z4346971864;94:09400:2:Z1720692437;94:09400:3:Z1716141069;
O=C1NCC2CC12,513,94:09400:0:Z3842401566;94:09400:0:Z3893084236;94:09400:1:Z4162448717;
O=c1ccc(F)c[nH]1,234,94:09400:0:Z5033591133;94:09400:1:Z5034498995;94:09401:3:Z5034789551;
C1COCC2(CCOCC2)CN1,452,94:09400:0:Z3345943696;94:09400:7:Z4403873098;94:09401:0:Z1654300813;
Clc1nccs1,1124,94:09400:0:Z5000989229;94:09400:1:Z5000606091;94:09400:2:Z1715263685;
Cc1cc2ccoc2cc1C,635,94:09400:0:Z4474499148;94:09400:1:Z2256354135;94:09400:2:Z1664765403;
CC1CNC1,8288,94:09400:0:Z2306760685;94:09400:0:Z2958452104;94:09400:0:Z3606105555;
Fc1cccc2c1CCNC2,996,94:09400:0:Z4194106991;94:09400:0:Z1522942203;94:09400:2:Z3887664975;
c1cc2c(s1)CCCCC2,233,94:09400:0:Z281762166;94:09400:1:Z3091345150;94:09400:4:Z1831039243;
Cc1cc(C)n2cccc2n1,210,94:09400:0:Z3048950680;94:09400:6:Z3083395568;94:09400:7:Z4471193248;
c1cnc2ccnn2c1,3944,94:09400:0:Z4484671900;94:09400:0:Z1749268224;94:09400:1:Z2449108796;
Cc1nc2n(n1)CCCC2,895,94:09400:0:Z1360034561;94:09400:2:Z3390385342;94:09400:2:Z3571634295;
C1CCC2OCCC2C1,2061,94:09400:0:Z3187408264;94:09400:1:Z4018891388;94:09400:1:Z1425668395;
Cn1cc(N)cn1,540,94:09400:0:Z3700088610;94:09400:0:Z4319291778;94:09400:1:Z4317418591;
CC1CNCC(C)NC1,287,94:09400:0:Z3614951758;94:09400:9:Z3709053093;94:09401:2:Z3518303985;
Cn1cnc2c(F)cccc21,297,94:09400:0:Z1171486171;94:09400:1:Z1983473907;94:09400:5:Z1983381669;
Cn1cnc2cnccc21,524,94:09400:0:Z3811284146;94:09400:1:Z2771500172;94:09400:3:Z2771961545;
Cc1coc2ccccc12,2319,94:09400:0:Z1175489526;94:09400:0:Z2529388820;94:09400:0:Z3186479693;
c1cc2c3c(cccc3c1)CC2,228,94:09400:0:Z3603026503;94:09400:0:Z1656914811;94:09400:3:Z3618940225;
Cc1cncn1C,149,94:09400:0:Z4437736900;94:09400:5:Z3391354868;94:09400:8:Z2047552207;
C1CC2(CCNC2)CN1,376,94:09400:0:Z3104229144;94:09400:0:Z2354817832;94:09400:3:Z3104227699;
OC1Cc2ccccc2C1,2147,94:09400:0:Z4127262413;94:09400:0:Z4128651909;94:09400:0:Z4127262542;
c1ccc2c(c1)CCCCN2,1449,94:09400:0:Z4127262413;94:09400:0:Z4128651909;94:09400:0:Z4127262542;
CC1(C)CCNCC1,1556,94:09400:0:Z3174025825;94:09400:0:Z2858079828;94:09400:1:Z3684449566;
C1CC2SCCSC2C1,304,94:09400:0:Z2024452485;94:09400:2:Z2601705039;94:09400:5:Z3640467561;
Nc1cn[nH]c1,1281,94:09400:0:Z3800083294;94:09400:0:Z3795035715;94:09400:1:Z3519731004;
O=c1[nH]ccs1,862,94:09400:0:Z4278633911;94:09400:3:Z2774962280;94:09400:4:Z759160616;
O=c1cc[nH]c2ccnn12,263,94:09400:0:Z1126765153;94:09401:0:Z4451610294;94:09402:0:Z3996156278;
Cc1ccnc2c1NCCO2,168,94:09400:0:Z4218704289;94:09401:0:Z4218654078;94:09401:2:Z4218655515;
FC1(F)C2CCNCC21,769,94:09400:0:Z2233013053;94:09400:1:Z2581183372;94:09400:2:Z3171215074;
O=c1ccnc[nH]1,4878,94:09400:0:Z1333175869;94:09400:0:Z3205167463;94:09400:0:Z4216726612;
CC1(C)CNCC(C)(C)C1O,328,94:09400:0:Z4603010811;94:09400:1:Z4575397568;94:09400:3:Z4574395637;
C1CC2CSCC2CN1,268,94:09400:0:Z4437272104;94:09401:7:Z3097396076;94:09402:1:Z4000578803;
Cc1ccc(C)c(C)c1,1353,94:09400:0:Z4388155345;94:09400:1:Z4182890239;94:09400:2:Z4643817032;
Cn1cnc2ncnc(O)c21,47,94:09400:0:Z3718934444;94:09400:8:Z3718886496;94:09400:8:Z3718930315;
Clc1ccc2c(c1)C=CCO2,62,94:09400:0:Z1748303887;94:09405:8:Z1717513891;94:09405:8:Z4962138807;
FC1CCCCC1,5589,94:09400:0:Z2175615566;94:09400:0:Z2175143018;94:09400:0:Z1961203547;
Cn1nnc2c1CCNC2,400,94:09400:0:Z4176523336;94:09400:0:Z2922994686;94:09400:0:Z1942117738;
C1=Cc2ccccc2CC1,516,94:09400:0:Z4470749181;94:09400:1:Z3554772043;94:09400:3:Z4574720711;
Cc1cc(O)cc(=O)[nH]1,678,94:09400:0:Z1373379230;94:09400:1:Z4005696720;94:09400:4:Z1783744342;
CC1NCCn2cnnc21,958,94:09400:0:Z2710706872;94:09400:1:Z3573536880;94:09400:2:Z4264997622;
Clc1cccc2c1CC2,174,94:09400:0:Z2710706872;94:09400:1:Z2698563396;94:09400:4:Z2966117804;
Cc1ccc2cnccc2c1,414,94:09400:0:Z2980663325;94:09400:1:Z4129029497;94:09400:1:Z3836728435;
FC1(F)CC12CCCNCC2,243,94:09400:0:Z3440703609;94:09400:8:Z3696684067;94:09400:9:Z3615220000;
Cc1ccc2cc[nH]c2c1,1458,94:09400:0:Z1309849703;94:09400:0:Z2154318921;94:09400:1:Z1014458722;
Cn1c(=O)sc2ccccc21,504,94:09400:0:Z2876096544;94:09400:1:Z4344790088;94:09400:1:Z1949490628;
Cc1cc(C)c2c(n1)NCC(=O)N2,69,94:09400:0:Z4394491219;94:09400:2:Z4394483037;94:09403:9:Z4394492256;
O=S1CCNCC1,1352,94:09400:0:Z1711615541;94:09400:1:Z1711609263;94:09400:2:Z1426793398;
O=C1CCC2(CCC2)CC1,382,94:09400:0:Z4350187355;94:09400:3:Z5051326986;94:09400:3:Z4344942086;
C1CCC2(CNC2)OC1,1179,94:09400:0:Z5059999532;94:09400:0:Z5035434815;94:09400:1:Z4635378828;
O=S1(=O)CC2(CCNCC2)C1,323,94:09400:0:Z3391630754;94:09400:2:Z3560065011;94:09400:6:Z3317721287;
Cc1ccc2c(n1)CCCC2,441,94:09400:0:Z2037188967;94:09400:0:Z4263897842;94:09400:2:Z3867729753;
C1COC2COCCC2N1,198,94:09400:0:Z2964871625;94:09402:5:Z3582607533;94:09402:5:Z2964860182;
Cc1csc(=O)[nH]1,1028,94:09400:0:Z1183618648;94:09400:2:Z1269828221;94:09400:3:Z4344837300;
c1cn2cnnc2cn1,1040,94:09400:0:Z1798394768;94:09400:0:Z4239492287;94:09400:0:Z1973714872;
C1CC2CCNC2CN1,422,94:09400:0:Z3046388433;94:09400:8:Z2954043859;94:09400:8:Z3135726009;
Cc1cccc2[nH]cnc12,686,94:09400:0:Z1467738740;94:09400:2:Z1616448250;94:09400:2:Z4979454392;
O=C1NCCn2nccc21,493,94:09400:0:Z4090098342;94:09400:1:Z3537434742;94:09400:2:Z3368159878;
CN1CCNc2cnccc21,259,94:09400:0:Z1540734828;94:09400:2:Z4147209876;94:09400:2:Z4147211417;
CC1NCN(C)C1=O,256,94:09400:0:Z4413627816;94:09400:0:Z4173347901;94:09400:1:Z2960605937;
OC1CCNCC1O,1103,94:09400:0:Z4638376509;94:09400:3:Z4638356604;94:09400:5:Z4215014080;
Cc1ccc2c(C)nn(C)c2n1,717,94:09400:0:Z3141719149;94:09400:2:Z2498448098;94:09400:3:Z4215715453;
CN1CCNCCC12CCOCC2,340,94:09400:0:Z3042674912;94:09400:7:Z4115081859;94:09401:0:Z3043672875;
C=C1NC(=O)c2ccccc21,655,94:09400:0:Z4096843938;94:09400:2:Z941325110;94:09400:3:Z2298451023;
c1ncc2ncsc2n1,517,94:09400:0:Z4026391196;94:09400:1:Z4025306855;94:09400:2:Z4272378130;
Cn1cc2c(n1)CCCC2,3534,94:09400:0:Z3577319886;94:09400:0:Z5012855748;94:09400:0:Z2021627957;
Oc1ccc2cccnc2n1,237,94:09400:0:Z3577319886;94:09400:3:Z4021309980;94:09401:0:Z4055441322;
Cn1ncc2c(O)cccc21,193,94:09400:0:Z3912791470;94:09400:7:Z2177024087;94:09400:7:Z2177004824;
CC1(C)CNCC(O)C(O)C1,255,94:09400:0:Z3912791470;94:09400:5:Z3912748876;94:09400:7:Z3912820369;
C1CNCC2(C1)CCNCC2,287,94:09400:0:Z2362389894;94:09400:3:Z5017497035;94:09400:6:Z2447949882;
Cc1csc2cncnc12,351,94:09400:0:Z4596518865;94:09400:2:Z4233660173;94:09400:5:Z3295460487;
C1COC2(CN1)CC1CCC2C1,180,94:09400:0:Z2103216093;94:09400:3:Z1995331902;94:09401:9:Z1995030114;
C1CCONC1,192,94:09400:0:Z2017039713;94:09400:2:Z1798574089;94:09400:2:Z3546082156;
O=S1(=O)CCNC1,120,94:09400:0:Z4770965819;94:09401:3:Z4771447223;94:09401:7:Z4771009315;
Cn1ccc2cccnc21,431,94:09400:0:Z2821806847;94:09401:0:Z2821814352;94:09401:1:Z4993644616;
Oc1cccc2cccc(O)c12,86,94:09400:0:Z4311786575;94:09401:5:Z4595393556;94:09403:8:Z4310363509;
O=c1[nH]ncc(Cl)c1Cl,282,94:09400:0:Z4870869950;94:09400:6:Z4871537110;94:09400:9:Z4870766236;
Clc1ccc2ncccc2c1,739,94:09400:0:Z1907579492;94:09400:0:Z3582018024;94:09400:0:Z1082661870;
c1cc2c(s1)COCC2,395,94:09400:0:Z3614366391;94:09400:2:Z1197849837;94:09400:7:Z2964239249;
CC1(O)CCNCC1,448,94:09400:0:Z4063220656;94:09400:0:Z3562527160;94:09400:9:Z2843687823;
C1CNC2CNCC2C1,504,94:09400:0:Z3293172311;94:09400:7:Z4203874326;94:09400:8:Z3510441713;
CC1=CCCO1,212,94:09400:0:Z3317063951;94:09400:1:Z3190333630;94:09400:3:Z3521616153;
c1cc2c(s1)CCCNC2,672,94:09400:0:Z1643141019;94:09400:1:Z3627655142;94:09400:1:Z2819552509;
Cc1coc2ccc(Cl)cc12,288,94:09400:0:Z3703484703;94:09400:2:Z438067276;94:09400:5:Z3912748876;
c1cnc2c(c1)CCC2,2935,94:09400:0:Z3703484703;94:09400:0:Z1675894317;94:09400:1:Z3621797543;
C1CNC2(C1)CCOCC2,2770,94:09400:0:Z3880557736;94:09400:1:Z4271820602;94:09400:1:Z3913533015;
Cn1cnccc1=O,837,94:09400:0:Z3579561612;94:09400:1:Z4638452916;94:09400:1:Z3584364300;
Cc1cccc(C)n1,2894,94:09400:0:Z1499797475;94:09400:1:Z3627720166;94:09400:1:Z3606924999;
C1CC12CNC2,746,94:09400:0:Z4116964135;94:09400:0:Z4116962599;94:09400:1:Z3822594563;
C1CC2CNCC1N2,877,94:09400:0:Z2607440205;94:09400:1:Z3134669053;94:09400:3:Z2611575444;
Cc1cn2c(n1)CCC(C)C2,202,94:09400:0:Z4906220529;94:09400:3:Z4906530742;94:09400:7:Z4959655263;
CC1(C)COCCN1,2525,94:09400:0:Z3777236246;94:09400:1:Z3475320989;94:09400:1:Z3621250925;
Cc1cccc2c1C(C)CC2=O,161,94:09400:0:Z2230877700;94:09403:0:Z3831977486;94:09404:1:Z2721551212;
Cc1ncsn1,1152,94:09400:0:Z1275590636;94:09400:0:Z3609192542;94:09400:1:Z1315718417;
O=S1(=O)CCc2ccccc21,2766,94:09400:0:Z1732660228;94:09400:1:Z4623180809;94:09400:1:Z4640033168;
Cc1ccccc1O,2842,94:09400:0:Z3710237382;94:09400:1:Z4004971737;94:09400:2:Z3819553072;
c1ccc2c(c1)Cc1scnc1-2,53,94:09400:0:Z1530611577;94:09401:1:Z3210031467;94:09401:5:Z1537885851;
C1CC2CNCC(C1)C2,1683,94:09400:0:Z5060512187;94:09400:0:Z4573450762;94:09400:1:Z4573448515;
c1cnc2c(c1)CNCC1CCCN21,778,94:09400:0:Z2803280070;94:09400:0:Z2785358269;94:09400:1:Z4251612435;
Clc1cc2ccccc2o1,188,94:09400:0:Z2922994686;94:09400:2:Z4274409757;94:09400:3:Z3680283110;
CN1C(=O)COc2ccccc21,1315,94:09400:0:Z1989673602;94:09400:1:Z2439086234;94:09400:1:Z2846026470;
CC1CN2CCCCC2CN1,266,94:09400:0:Z2187056148;94:09400:5:Z2497074203;94:09400:7:Z2770953232;
C1CC2CNCC2N1,856,94:09400:0:Z3553765667;94:09400:1:Z4347267735;94:09400:1:Z4421815920;
CC1=CCNC(=O)N1,217,94:09400:0:Z740988742;94:09400:4:Z2442585092;94:09400:8:Z3359646443;
C1CC2COCC(C2)N1,272,94:09400:0:Z4352926153;94:09400:1:Z4599833524;94:09400:3:Z4352927059;
Cc1nc2c(s1)CCCC2,1418,94:09400:0:Z4573457568;94:09400:1:Z1438042949;94:09400:2:Z2044959519;
c1nncnn1,90,94:09400:0:Z2477003933;94:09400:7:Z2481956055;94:09401:3:Z3558971042;
c1ccc2c(c1)COCCN2,713,94:09400:0:Z4132085334;94:09400:1:Z4160662157;94:09400:2:Z4132855993;
CN1C(=O)CCc2ccccc21,1961,94:09400:0:Z2959993423;94:09400:1:Z2614370565;94:09400:1:Z2803591726;
CC1Cc2ccccc2C1,867,94:09400:0:Z4319291778;94:09400:1:Z4869595074;94:09400:2:Z3184524162;
Cn1cc2c(n1)CCOC2,1057,94:09400:0:Z4145972969;94:09400:0:Z3626630920;94:09400:1:Z3605884529;
O=S1(=O)CCOc2ccccc21,364,94:09400:0:Z2435427938;94:09400:6:Z4478544580;94:09400:7:Z2302730405;
