fragment_smiles,occurences,example_ligands
c1ccc2cnccc2c1,12361,407:40700:0:Z3289048705;407:40700:0:Z2932258456;407:40700:0:Z1894101779;
CN1C(=O)CCOc2ccccc21,624,407:40700:0:Z4932285053;407:40700:0:Z4932271287;407:40700:4:Z3435334780;
Cc1cccc(C)c1,36958,407:40700:0:Z1203167250;407:40700:0:Z4422711990;407:40700:0:Z4145536730;
CC1CCCNC1,24109,407:40700:0:Z3699736298;407:40700:0:Z4643337136;407:40700:0:Z2973751089;
Cn1cn[nH]c1=O,3111,407:40700:0:Z3699736298;407:40700:0:Z4643337136;407:40700:0:Z3721731570;
c1ccc2ccccc2c1,27066,407:40700:0:Z3699736298;407:40700:0:Z4643337136;407:40700:0:Z1040246234;
c1ccc2c(c1)CCN2,37191,407:40700:0:Z2103019674;407:40700:0:Z1227022436;407:40700:0:Z2174520368;
C1=NOC2(C1)CNC2,375,407:40700:0:Z4253519956;407:40700:2:Z4478114934;407:40700:4:Z4478115135;
Cn1ccnn1,7731,407:40700:0:Z2610597164;407:40700:0:Z3310772154;407:40700:0:Z2627123751;
O=C1NCCc2ccccc21,4274,407:40700:0:Z2225234101;407:40700:0:Z1919488310;407:40700:0:Z4324149422;
c1cn2c(n1)SCC2,375,407:40700:0:Z1699515330;407:40700:0:Z1846570161;407:40700:3:Z2954001341;
O=c1cc2c(n[nH]1)CCNC2,554,407:40700:0:Z1730117498;407:40700:0:Z1725658482;407:40700:0:Z1726225683;
Cc1ccc2c(Cl)cc(Cl)cc2n1,34,407:40700:0:Z2078454463;407:40711:4:Z729579374;407:40711:9:Z970867062;
Fc1cccc(F)c1,79830,407:40700:0:Z1117332515;407:40700:0:Z1716053571;407:40700:0:Z4194245931;
FC1(F)CCCCCC1,322,407:40700:0:Z3685378725;407:40700:0:Z4112696742;407:40700:0:Z3685374045;
C1CC2(CCN1)CC2,6025,407:40700:0:Z3685378725;407:40700:0:Z1579060560;407:40700:0:Z2698194725;
CC1CCNCC1,25167,407:40700:0:Z3697113149;407:40700:0:Z2810088033;407:40700:0:Z4140705149;
FC1CCCCC1,2445,407:40700:0:Z4434968893;407:40700:0:Z1875521151;407:40700:0:Z1962283355;
C1CNCCNC1,57353,407:40700:0:Z4434968893;407:40700:0:Z3136041392;407:40700:0:Z1348826230;
c1nn[nH]n1,30702,407:40700:0:Z4434968893;407:40700:0:Z2496544155;407:40700:0:Z4434965420;
Cc1c[nH]c2c1C(=O)CCC2,325,407:40700:0:Z2843314626;407:40700:1:Z1540680229;407:40700:2:Z1631540015;
Cc1cc(=O)[nH]n1C,1535,407:40700:0:Z2843314626;407:40700:0:Z2601329503;407:40700:0:Z4451657799;
Cc1cn[nH]n1,2886,407:40700:0:Z4422711990;407:40700:0:Z4246545300;407:40700:0:Z2407726341;
O=C1NCCNC12CCNCC2,170,407:40700:0:Z4422711990;407:40702:0:Z4422710157;407:40702:1:Z4418923127;
C1CNC2(C1)CC2,887,407:40700:0:Z3783315055;407:40700:0:Z3909755545;407:40700:0:Z4077050403;
CC1CNCCN1,17754,407:40700:0:Z2957807259;407:40700:0:Z2801609808;407:40700:0:Z1894101779;
c1ccnnc1,20240,407:40700:0:Z2957807259;407:40700:0:Z4450277806;407:40700:0:Z1007389416;
CC1=CCn2ncnc2N1C,105,407:40700:0:Z4392761487;407:40700:3:Z1715299120;407:40701:0:Z1715274671;
c1ccc2c(c1)CCNCC2,4639,407:40700:0:Z1920953751;407:40700:0:Z2102232235;407:40700:0:Z3600742981;
O=S1(=O)CCNCC1,3826,407:40700:0:Z1438946873;407:40700:0:Z3870442089;407:40700:1:Z1547426779;
C1=NOCC1,8882,407:40700:0:Z1839666359;407:40700:0:Z3629277938;407:40700:0:Z3136474546;
c1ccc2c(c1)nc1n2CCCN1,37,407:40700:0:Z4182720182;407:40702:8:Z4113233563;407:40705:9:Z4113253366;
c1nncnn1,296,407:40700:0:Z2477004207;407:40700:1:Z2476998376;407:40701:5:Z2476993967;
FC12CCC(CC1)C2,73,407:40700:0:Z3553393628;407:40700:9:Z3541598568;407:40703:5:Z4575932457;
C1CNC2CC2N1,100,407:40700:0:Z3997959271;407:40700:3:Z2962415531;407:40700:4:Z2962414358;
c1c[nH]nn1,99145,407:40700:0:Z2381875304;407:40700:0:Z4450277806;407:40700:0:Z1903845258;
