fragment_smiles,occurences,example_ligands
Cc1ccccc1,242037,134:13400:0:Z4143985868;134:13400:0:Z2589790936;134:13400:0:Z2095696600;
CC1(C)COCCN1,2445,134:13400:0:Z4143985868;134:13400:0:Z2416021972;134:13400:0:Z3586994278;
Clc1ccccc1,220078,134:13400:0:Z3435199964;134:13400:0:Z1822912503;134:13400:0:Z3315224847;
Cc1cccc(F)c1,12574,134:13400:0:Z2355617077;134:13400:0:Z355332844;134:13400:0:Z3592511753;
c1cn[nH]c1,285579,134:13400:0:Z2355617077;134:13400:0:Z3551454636;134:13400:0:Z2828066033;
C1CCNCC1,620286,134:13400:0:Z1822912503;134:13400:0:Z1249343194;134:13400:0:Z3474668819;
CC1CNCCO1,15453,134:13400:0:Z1822912503;134:13400:0:Z3469789415;134:13400:0:Z1310493046;
Cc1cscn1,39661,134:13400:0:Z4200072039;134:13400:0:Z1679106832;134:13400:0:Z1588932579;
OC1CCOCC1,5803,134:13400:0:Z4200072039;134:13400:0:Z1640205030;134:13400:0:Z3174563909;
Fc1ccccc1,350825,134:13400:0:Z4200072039;134:13400:0:Z4153188512;134:13400:0:Z4153194192;
c1ncon1,154575,134:13400:0:Z1249343194;134:13400:0:Z2614814434;134:13400:0:Z1583662190;
C1CC2CCC(C1)N2,9765,134:13400:0:Z3551454636;134:13400:0:Z2828066033;134:13400:0:Z4984587322;
C1CCOCC1,178095,134:13400:0:Z3551454636;134:13400:0:Z2828066033;134:13400:0:Z1151983428;
C1CCNC1,381451,134:13400:0:Z4153188512;134:13400:0:Z4153194192;134:13400:0:Z2614814434;
C1CNCCN1,197873,134:13400:0:Z3343222159;134:13400:0:Z4231173117;134:13400:0:Z4417733413;
c1ccccc1,1602978,134:13400:0:Z3343222159;134:13400:0:Z3474668819;134:13400:0:Z2363892193;
OC1COC1,1747,134:13400:0:Z3343222159;134:13400:0:Z3703446565;134:13400:0:Z4318795647;
c1ccncc1,455589,134:13400:0:Z2822884069;134:13400:0:Z3861473398;134:13400:0:Z4621699213;
Cc1cc[nH]n1,31602,134:13400:0:Z2640276478;134:13400:0:Z1587273758;134:13400:0:Z3548181031;
CC1CNCC(C)N1,2155,134:13400:0:Z2640276478;134:13400:0:Z2229797965;134:13400:1:Z2624112536;
Cc1ncco1,3636,134:13400:0:Z3474668819;134:13400:0:Z295512674;134:13400:0:Z2147661001;
Cn1ccnc1Cl,613,134:13400:0:Z4424347190;134:13400:0:Z4178618235;134:13400:0:Z4424290150;
FC1(F)CCCNC1,3749,134:13400:0:Z4424347190;134:13400:0:Z4178618235;134:13400:0:Z4424290150;
O=C1CCCN1,92445,134:13400:0:Z2614814434;134:13400:0:Z872952462;134:13400:0:Z2873756448;
CC1CCNC1,22019,134:13400:0:Z2783688127;134:13400:0:Z3513141736;134:13400:0:Z2439393713;
c1cc2n(n1)CCC2,2224,134:13400:0:Z2783688127;134:13400:0:Z3695522605;134:13400:0:Z3176367451;
NC1CCNC1,3470,134:13400:0:Z4066392119;134:13400:0:Z2765449334;134:13400:0:Z4081576417;
c1n[nH]c2c1CCC2,3567,134:13400:0:Z4066392119;134:13400:0:Z2446764237;134:13400:0:Z3817166900;
CN1CCNCC1,28230,134:13400:0:Z3714169172;134:13400:0:Z3642116747;134:13400:0:Z2164788324;
Clc1ccc2sccc2c1,280,134:13400:0:Z1498085173;134:13400:1:Z4422553270;134:13400:1:Z4343564473;
c1cscn1,169985,134:13400:0:Z2829586693;134:13400:0:Z1221601265;134:13400:0:Z3153872541;
C1COC2(C1)CCC2,3453,134:13400:0:Z2829586693;134:13400:0:Z2619480238;134:13400:0:Z1676003758;
c1ccc2c(c1)CCNC2,30099,134:13400:0:Z3861473398;134:13400:0:Z2873756448;134:13400:0:Z2625104518;
C1CNCCNC1,32259,134:13400:0:Z2217709626;134:13400:0:Z328697880;134:13400:0:Z2505544066;
c1cnc2cnccc2c1,1066,134:13400:0:Z2217709626;134:13400:0:Z2407481116;134:13400:1:Z2905421364;
OC1CCCNC1,9837,134:13400:0:Z1325544166;134:13400:0:Z5063459034;134:13400:0:Z2390886610;
c1ccc2c(c1)CCCO2,15103,134:13400:0:Z1782368020;134:13400:0:Z3601286301;134:13400:0:Z1748816252;
C1CCOC1,145551,134:13400:0:Z4621699213;134:13400:0:Z4001902790;134:13400:0:Z3315224847;
c1ccsc1,127058,134:13400:0:Z3299246956;134:13400:0:Z2655691240;134:13400:0:Z3666100760;
C1CC2(C1)CNCCO2,2348,134:13400:0:Z3820253518;134:13400:0:Z3907275728;134:13400:0:Z4206754608;
Cc1cc2cccc(C)n2n1,203,134:13400:0:Z4473006591;134:13400:1:Z3843774989;134:13400:1:Z3863078887;
C1CCCCC1,155059,134:13400:0:Z4473006591;134:13400:0:Z1493318454;134:13400:0:Z4177734472;
