fragment_smiles,occurences,example_ligands
c1cn[nH]c1,243860,53:05300:0:Z4484336611;53:05300:0:Z3384911593;53:05300:0:Z3382023940;
Cc1cn[nH]c1,12043,53:05300:0:Z2861092590;53:05300:0:Z3711999029;53:05300:0:Z2460246550;
Cn1ccnc1,32194,53:05300:0:Z3143991145;53:05300:0:Z4045759152;53:05300:0:Z1625562204;
C1CNC2CC2C1,2058,53:05300:0:Z3143991145;53:05300:0:Z5039169610;53:05300:0:Z3618288198;
CN1CCCC1,10620,53:05300:0:Z2879418764;53:05300:0:Z2862914980;53:05300:0:Z3468707603;
C1CC2(CCOC2)CN1,1089,53:05300:0:Z2879418764;53:05300:0:Z3507084569;53:05300:1:Z2996381591;
c1ccnnc1,19109,53:05300:0:Z3843863792;53:05300:0:Z1643944970;53:05300:0:Z2174898074;
O=C1CC2CCCC2CN1,107,53:05300:0:Z3639238833;53:05301:6:Z3639896648;53:05301:9:Z3639594805;
Cc1cnccn1,7359,53:05300:0:Z2569308168;53:05300:0:Z3555042734;53:05300:0:Z3516339471;
CC1CCCO1,11653,53:05300:0:Z3604215568;53:05300:0:Z3649383831;53:05300:0:Z4467910739;
c1ccc2ncccc2c1,18508,53:05300:0:Z3604215568;53:05300:0:Z4478431939;53:05300:0:Z2840321660;
Cc1ccccc1,173640,53:05300:0:Z2601454721;53:05300:0:Z1419267022;53:05300:0:Z2891023632;
O=c1[nH]nco1,1012,53:05300:0:Z2601454721;53:05300:0:Z3353986101;53:05300:0:Z2503997121;
c1cocn1,51576,53:05300:0:Z4582292635;53:05300:0:Z3986121118;53:05300:0:Z4325128788;
Cc1cccc(C)c1,24660,53:05300:0:Z1571946693;53:05300:0:Z2146150644;53:05300:0:Z3346042310;
C1=CCNCC1,6574,53:05300:0:Z1571946693;53:05300:0:Z2277887187;53:05300:0:Z2086481908;
Cc1c(Cl)cccc1Cl,215,53:05300:0:Z4345466791;53:05300:6:Z2983450209;53:05301:1:Z3693608949;
FC1(F)CCCCC1,10305,53:05300:0:Z4277340329;53:05300:0:Z2500976854;53:05300:0:Z2097919526;
C1CNCCOC1,13654,53:05300:0:Z4277340329;53:05300:0:Z3521466311;53:05300:0:Z4993445076;
CC1(C)CCC1O,2261,53:05300:0:Z2225362919;53:05300:0:Z1752548146;53:05300:0:Z3525412027;
