fragment_smiles,occurences,example_ligands
C1CSC2(CCOCC2)CN1,407,53:05300:1:Z3050961218;53:05300:1:Z3196340997;53:05300:1:Z3196340924;
O=C1C2CCCC1CC2,408,53:05300:1:Z4225915586;53:05300:4:Z4471022798;53:05300:5:Z4022042136;
Cc1ccc2[nH]ccc2c1C,304,53:05300:1:Z3367481076;53:05301:6:Z3603803825;53:05302:0:Z1221577593;
CC1CCS(=O)(=O)CC1,650,53:05300:1:Z3367481076;53:05300:3:Z3611032390;53:05300:3:Z4230958656;
FC1(F)CC12CCOCC2,453,53:05300:1:Z3612041694;53:05300:3:Z3683624119;53:05300:3:Z3612040766;
OC1CNCCC1(F)F,421,53:05300:1:Z3704453355;53:05300:1:Z3872596411;53:05301:1:Z5006122849;
CC1CCn2nccc2N1,305,53:05300:1:Z4335769447;53:05300:7:Z4335773156;53:05300:8:Z4335771983;
CC1NCCOc2ccccc21,199,53:05300:1:Z4070184386;53:05301:2:Z2960988653;53:05301:8:Z2650046409;
C1CCC2(C1)CNCCO2,557,53:05300:1:Z1441373479;53:05300:4:Z2947451397;53:05300:4:Z3844307450;
CC1CCCC(O)C1,394,53:05300:1:Z1232653148;53:05300:3:Z2917246922;53:05300:3:Z4253008071;
CC1CNCCS1=O,562,53:05300:1:Z1247172860;53:05300:2:Z2090834418;53:05300:3:Z2090811070;
CC1CCCC1O,792,53:05300:1:Z2841252657;53:05300:3:Z2307805633;53:05300:5:Z4181435362;
CC1(C)CCNC(=O)C1,520,53:05300:1:Z4240423589;53:05300:3:Z3540286096;53:05300:4:Z4599812709;
C1CCC2(CC1)COCCO2,626,53:05300:1:Z4907266414;53:05300:3:Z3680184802;53:05300:5:Z3380149415;
Cn1c(=O)[nH]c(=O)c2[nH]cnc21,35,53:05300:1:Z925919872;53:05302:8:Z1185806611;53:05303:1:Z3343477639;
Clc1ccc2cccnc2c1,930,53:05300:1:Z1730994354;53:05300:1:Z4179096187;53:05300:2:Z3830121723;
CC1CNCc2cn[nH]c2C1,281,53:05300:1:Z3366759459;53:05300:2:Z3618101879;53:05300:3:Z4293922501;
CC1CC(F)(F)CN1,1215,53:05300:1:Z4910417939;53:05300:1:Z3699498429;53:05300:2:Z3627057133;
c1ccc2c(c1)OCCC21CC1,712,53:05300:1:Z4402711685;53:05300:1:Z1517549884;53:05300:1:Z5021806978;
c1ccc2c(c1)CNC1(CC1)C2,87,53:05300:1:Z4491885456;53:05302:6:Z3715749638;53:05304:6:Z3715753979;
Cc1ccc2ncccc2c1,1421,53:05300:1:Z3615488044;53:05300:2:Z2227625092;53:05300:2:Z3289850301;
Cc1ccnc2c1NCCO2,173,53:05300:1:Z4341021754;53:05300:2:Z4218705104;53:05300:4:Z4218675130;
Cc1cnc(C)c(C)n1,1020,53:05300:1:Z3571770828;53:05300:1:Z1697472321;53:05300:2:Z2963010993;
Fc1ccc(F)c2c1CCC2,145,53:05300:1:Z1498560748;53:05300:9:Z1508386717;53:05301:6:Z1497506432;
CC1CCc2ncccc2C1,206,53:05300:1:Z4661289507;53:05300:8:Z4406965498;53:05301:5:Z4405956815;
Nc1cc(Cl)ccn1,39,53:05300:1:Z4614607650;53:05303:4:Z4614618200;53:05309:9:Z4614615695;
c1nnn2c1CNCC2,632,53:05300:1:Z3944193481;53:05300:2:Z3820359579;53:05300:4:Z3670057342;
Clc1cccc2c1OCCC2,253,53:05300:1:Z1583522893;53:05300:7:Z3100549284;53:05300:7:Z3100549357;
Cc1cc2ccsc2s1,295,53:05300:1:Z4635154962;53:05300:1:Z3137441270;53:05300:8:Z2773514189;
NC1CC2(CC2)C1,409,53:05300:1:Z3517656728;53:05300:1:Z4002704876;53:05302:7:Z4058311230;
CC1OC2(CCNCC2)NC1=O,295,53:05300:1:Z3040997851;53:05300:4:Z3040601972;53:05300:9:Z3041147184;
CC1Cc2ccc(F)cc2CN1,162,53:05300:1:Z2149131313;53:05300:2:Z5004261293;53:05300:5:Z1241805977;
c1cnc2ncoc2c1,263,53:05300:1:Z2149131313;53:05300:1:Z4288344970;53:05300:3:Z4295619525;
CC1(C)CNCC2CCOC2C1,244,53:05300:1:Z3386035017;53:05300:2:Z3613138417;53:05300:6:Z3613159484;
c1cc2c(o1)COC2,343,53:05300:1:Z3082960667;53:05300:5:Z3189120901;53:05300:7:Z4581065667;
Cc1cnc(C)s1,1732,53:05300:1:Z2838737983;53:05300:2:Z4574533553;53:05300:2:Z2959937054;
CC1COCCN1C,228,53:05300:1:Z4603722617;53:05300:3:Z3687119440;53:05301:2:Z3687119627;
CC1CCCc2nccn21,910,53:05300:1:Z2704135470;53:05300:1:Z4138493793;53:05300:1:Z4133823740;
Cc1cnc2n1CCC2,411,53:05300:1:Z4251548361;53:05300:2:Z4231828652;53:05300:2:Z4277925745;
FC1(F)CNCc2ccccc21,163,53:05300:1:Z1466165428;53:05300:4:Z1465704417;53:05300:8:Z4418234138;
CC1CCS(=O)CCN1,351,53:05300:1:Z2959040831;53:05300:4:Z1870891439;53:05300:7:Z2790016786;
Cc1ccc(C)nc1,1571,53:05300:1:Z3608985343;53:05300:2:Z3646539562;53:05300:2:Z3354792656;
c1cc2n(c1)CCOC2,604,53:05300:1:Z3085283373;53:05300:2:Z3047677999;53:05300:2:Z4470796485;
O=C1NCC2(CNC2)N1,309,53:05300:1:Z3855373603;53:05300:4:Z3855378332;53:05300:8:Z4492021375;
O=c1ccc2c([nH]1)CCNC2,508,53:05300:1:Z4888981088;53:05300:2:Z3612122915;53:05300:6:Z3395917374;
O=c1cnc2ccccc2[nH]1,642,53:05300:1:Z2974643711;53:05300:1:Z4006124655;53:05300:1:Z4322862798;
Fc1cc(F)cc(Cl)c1,348,53:05300:1:Z2293057907;53:05300:3:Z3592032641;53:05300:6:Z1718794321;
O=c1oc2ccccc2o1,206,53:05300:1:Z3850450992;53:05301:0:Z4621002265;53:05302:2:Z3837129673;
C1COC2CNCC2O1,466,53:05300:1:Z3714371828;53:05300:9:Z4077026199;53:05301:0:Z3714366589;
Cc1ccc2scnc2c1C,240,53:05300:1:Z4176879549;53:05300:4:Z2783368266;53:05300:7:Z4170075004;
C1CCC2(CNC2)OC1,1125,53:05300:1:Z4314871121;53:05300:2:Z3209980820;53:05300:2:Z5056076118;
c1ccc2c(c1)CSCCN2,186,53:05300:1:Z4314871121;53:05301:0:Z4313483370;53:05301:1:Z4312505855;
Cc1cccnc1C,741,53:05300:1:Z3598374386;53:05300:1:Z4387703828;53:05300:4:Z3809087819;
C1CNC2(C1)CCOC2,456,53:05300:1:Z2045877747;53:05300:1:Z2045880276;53:05300:2:Z2080351458;
CC1CC2(CCC2)CN1,749,53:05300:1:Z4456472360;53:05300:1:Z4456351210;53:05300:1:Z3807533518;
Clc1cccc2c1OCCCC2,178,53:05300:1:Z2497881965;53:05300:1:Z1595544148;53:05300:3:Z2439090748;
O=c1ccc2ccc(F)cc2[nH]1,573,53:05300:1:Z5057707320;53:05300:1:Z3343920271;53:05300:3:Z1246284049;
C1CSC2COCCC2N1,243,53:05300:1:Z2957734967;53:05301:1:Z4613907438;53:05301:2:Z1454093972;
N=S1(=O)CCCC2(C1)OCCO2,116,53:05300:1:Z4508360731;53:05301:9:Z3640991452;53:05302:6:Z3640995722;
Clc1nc2ccccc2s1,386,53:05300:1:Z1481091682;53:05300:6:Z4205663995;53:05301:0:Z2862555992;
O=C1NCCNC12CCC2,212,53:05300:1:Z3139789205;53:05300:2:Z4325315274;53:05300:4:Z3090164954;
C1CCC2SCCNC2C1,183,53:05300:1:Z1661247511;53:05300:2:Z3843670562;53:05300:9:Z1874198309;
Cc1cccc(F)c1F,755,53:05300:1:Z2701815778;53:05300:3:Z2952371058;53:05300:3:Z2767651965;
N=S1(=O)CCC2(CC1)CNCCO2,295,53:05300:1:Z3415041883;53:05300:9:Z3416604726;53:05301:0:Z3416607262;
Clc1csc2cccnc12,168,53:05300:1:Z3581137850;53:05300:5:Z4576470523;53:05300:6:Z3538178657;
Clc1ccc2c(c1)CNCC2,528,53:05300:1:Z5063245839;53:05300:2:Z3139384595;53:05300:2:Z2702616636;
OC1CC2CCC(C1)N2,532,53:05300:1:Z3627217777;53:05300:4:Z3627229008;53:05301:1:Z3622203000;
Oc1cccc2ccccc12,850,53:05300:1:Z4146290798;53:05300:1:Z4055530214;53:05300:6:Z2918629863;
C1CC2(CCN1)CCOC2,1690,53:05300:1:Z2828292177;53:05300:1:Z4963508546;53:05300:1:Z4054836379;
Cc1ccc2c(c1)CCCC2,593,53:05300:1:Z2131931691;53:05300:1:Z2202662536;53:05300:1:Z1632376032;
Cc1cc(=O)[nH]c(C)n1,495,53:05300:1:Z4432492727;53:05300:4:Z2783881776;53:05300:5:Z3875953614;
CC1COCc2ccccc21,196,53:05300:1:Z5007776074;53:05301:0:Z5006248054;53:05301:2:Z5005698983;
FC1CCOC1,2344,53:05300:1:Z3784415406;53:05300:3:Z4036098743;53:05300:4:Z4423854180;
CC1NCCC1=O,120,53:05300:1:Z4032110672;53:05300:5:Z4032127851;53:05303:1:Z4032107690;
CC1CNC(C)(C)C1,632,53:05300:1:Z4447587536;53:05300:2:Z4621835800;53:05300:2:Z4621824087;
Cc1ccc(Cl)cn1,461,53:05300:1:Z4138561666;53:05300:2:Z4081945384;53:05300:2:Z4081945408;
Fc1ccc2ccccc2c1,377,53:05300:1:Z4021612361;53:05300:4:Z2989204464;53:05300:6:Z4023255096;
Cc1ccn2nccc2c1,245,53:05300:1:Z4883815516;53:05301:0:Z2277203748;53:05301:3:Z2277592224;
CC1CNC2(COC2)CO1,179,53:05300:1:Z4883815516;53:05300:4:Z4883819001;53:05300:7:Z4883815362;
Fc1cccn2cncc12,226,53:05300:1:Z3602229586;53:05300:6:Z2714289418;53:05300:8:Z2712739666;
Cc1ccc2nccc(=O)n2c1,338,53:05300:1:Z1331570569;53:05300:1:Z1329090496;53:05300:2:Z1366965046;
C1CNCC2CCOC2C1,405,53:05300:1:Z3093835960;53:05300:4:Z3392716314;53:05300:6:Z3189032464;
CN1CCC2NCCCC21,364,53:05300:1:Z4157631363;53:05300:1:Z4156961227;53:05300:2:Z4157511911;
Cc1[nH]ncc1Cl,565,53:05300:1:Z3580073117;53:05300:1:Z2175107719;53:05300:5:Z3707905512;
FC1(F)CC2(CNC2)C1,163,53:05300:1:Z4109308955;53:05300:3:Z1483930712;53:05300:8:Z4170256774;
C1CCC2(C1)CCN2,258,53:05300:1:Z2477895843;53:05301:2:Z2483677689;53:05301:2:Z2913278016;
CC1CNCCS1(=O)=O,1143,53:05300:1:Z2783731934;53:05300:1:Z2782118461;53:05300:1:Z2776795738;
C1NCC2CC1C2,722,53:05300:1:Z4125504925;53:05300:1:Z4118640938;53:05300:2:Z4592118241;
Cc1ncn(C)c1C,339,53:05300:1:Z3802183023;53:05300:2:Z3800962268;53:05300:5:Z4040239639;
CC1CNCc2ccccc21,227,53:05300:1:Z2042451224;53:05300:2:Z3308072447;53:05300:8:Z1137605672;
O=S1(=O)CCc2ncccc2C1,145,53:05300:1:Z4170319855;53:05300:7:Z4177288572;53:05300:8:Z4176892169;
CC1NCCCC1O,686,53:05300:1:Z4110840728;53:05300:1:Z4110838635;53:05300:4:Z2884765855;
CC1CNCCS(=O)C1,382,53:05300:1:Z1870743300;53:05300:5:Z1870752572;53:05300:6:Z1870746501;
OC1CNC2(CCC2)C1,322,53:05300:1:Z3628548427;53:05300:9:Z3622306695;53:05301:0:Z3628543480;
CN1CCOCC12CNCOC2,155,53:05300:1:Z4107325723;53:05301:5:Z3611152411;53:05301:9:Z3611150482;
Cc1cc2cc[nH]c(=O)c2n1C,11,53:05300:1:Z3341111966;53:05308:7:Z3341111356;53:05310:1:Z3339317485;
O=S1(=O)CCC2(CCNC2)CC1,500,53:05300:1:Z3622392036;53:05300:1:Z4313292290;53:05300:4:Z3346801765;
O=C1NCCC12CCNCC2,391,53:05300:1:Z2793425317;53:05300:1:Z2804153700;53:05300:4:Z2804154523;
C1COCC2(C1)CCCO2,475,53:05300:1:Z4620957288;53:05300:4:Z4611487538;53:05300:8:Z4620975423;
CN1CCNCC12CC2,401,53:05300:1:Z4329663251;53:05300:6:Z4329669700;53:05300:7:Z4329658552;
Cc1nn(C)c2ccccc12,285,53:05300:1:Z2624086218;53:05300:9:Z2791628267;53:05301:0:Z2951959835;
Cc1ccc2cccnc2c1,1054,53:05300:1:Z3652438545;53:05300:2:Z3352398888;53:05300:2:Z3870412629;
C1CCC2(CCCC2)OC1,1311,53:05300:1:Z2906035782;53:05300:1:Z2837875559;53:05300:1:Z2851322201;
c1n[nH]c2c1COCC2,827,53:05300:1:Z3560399408;53:05300:3:Z4105317446;53:05301:1:Z2991398535;
Cc1cc(F)n(C)n1,427,53:05300:1:Z2961060177;53:05300:5:Z2958451963;53:05300:9:Z2958044401;
CN1C2CCCC1CC2,1263,53:05300:1:Z4231613130;53:05300:2:Z3085112524;53:05300:2:Z5050442239;
C1CNCC2(C1)CCSC2,351,53:05300:1:Z2291823598;53:05300:9:Z2291478458;53:05301:1:Z2298793273;
FC1CC2CCC1C2,246,53:05300:1:Z3622024485;53:05300:8:Z3540830144;53:05301:1:Z3625367755;
CC1(C)CNCc2ccc(F)cc21,106,53:05300:1:Z4470414903;53:05300:1:Z4424100294;53:05300:5:Z4393091094;
Cc1[nH]c2cccc(C)c2c1C,95,53:05300:1:Z4091519720;53:05300:2:Z4030316450;53:05300:3:Z4030315363;
O=C1CCC12CCC2,856,53:05300:1:Z4313364935;53:05300:2:Z4479303408;53:05300:3:Z4178359037;
CC1(C)CN=CS1,153,53:05300:1:Z1250701307;53:05300:6:Z2850763628;53:05300:7:Z1411084275;
c1cc2n(c1)CCCC2,872,53:05300:1:Z3613803298;53:05300:4:Z2639345322;53:05300:8:Z2453688712;
CC1CNCC(=O)N1,345,53:05300:1:Z2285257029;53:05300:6:Z4140452405;53:05301:0:Z2292029609;
Cc1n[nH]c(=O)c2ccccc12,110,53:05300:1:Z3637259937;53:05300:1:Z3056897070;53:05300:1:Z1565090342;
CC1CNCC1O,674,53:05300:1:Z3637259937;53:05300:1:Z3056897070;53:05300:1:Z1565090342;
Cc1cccc2ccnn12,489,53:05300:1:Z3948744483;53:05300:4:Z3773913622;53:05300:4:Z4247678255;
Nc1ccn[nH]1,2478,53:05300:1:Z2952962854;53:05300:1:Z3536089300;53:05300:1:Z3582264369;
CC1CCNCCS1=O,347,53:05300:1:Z1867073844;53:05300:6:Z1865523808;53:05300:7:Z1867071507;
Clc1cccc2c1OCCCO2,859,53:05300:1:Z2202304732;53:05300:1:Z3625613634;53:05300:2:Z2769320719;
C1CC2CCC2CN1,139,53:05300:1:Z4178572499;53:05300:9:Z4178571741;53:05301:5:Z3316240042;
Cc1cccc2c1NCC2,309,53:05300:1:Z4127073293;53:05300:4:Z738216992;53:05300:6:Z4109396826;
Nc1cccnc1,1964,53:05300:1:Z4127073293;53:05300:2:Z4255162069;53:05300:3:Z4643452487;
Cn1ccc2c1CNCC2,198,53:05300:1:Z4328444921;53:05301:1:Z4328437037;53:05302:0:Z4303199567;
Cc1ccc2c(C)n[nH]c2n1,270,53:05300:1:Z1274566897;53:05300:2:Z991664474;53:05302:4:Z1463118080;
Cc1cn2ncsc2n1,160,53:05300:1:Z4576460319;53:05300:4:Z3830769203;53:05300:7:Z751565906;
Cc1ccc2c(c1)CCS2,233,53:05300:1:Z3082321707;53:05300:4:Z3358655991;53:05300:8:Z3571568601;
c1cc2c(cn1)NCCS2,237,53:05300:1:Z3082321707;53:05300:2:Z1530987565;53:05300:3:Z1374877231;
CC1(C)CCCC(F)(F)C1,266,53:05300:1:Z4370026295;53:05301:3:Z3910623149;53:05301:5:Z3809355957;
Cn1cnc2c1CCNC2,192,53:05300:1:Z1481797169;53:05301:1:Z3049791252;53:05301:1:Z1481795963;
c1cnc2c(c1)CCCC2,5471,53:05300:1:Z1814903145;53:05300:1:Z2448878284;53:05300:2:Z1841922570;
C1CCC2(CC1)CCNC2,1477,53:05300:1:Z4079417150;53:05300:2:Z3496029847;53:05300:2:Z3521004056;
Cc1ccc(O)nc1,185,53:05300:1:Z2959835088;53:05300:3:Z3624951285;53:05300:9:Z2955070433;
c1cc2c(o1)CCCNC2,507,53:05300:1:Z2959835088;53:05300:5:Z4422290071;53:05300:6:Z2145960815;
Cc1ccc2c(c1)CNC2,302,53:05300:1:Z1961343237;53:05300:2:Z3547418602;53:05300:5:Z1961346823;
C1CC2(CN1)COCCO2,507,53:05300:1:Z2994814152;53:05300:3:Z2994824825;53:05300:3:Z4304559502;
Clc1c[nH]cn1,156,53:05300:1:Z3362388730;53:05300:4:Z4150383287;53:05301:7:Z3366086531;
C1CC2CCN(C1)C2,1177,53:05300:1:Z2925952434;53:05300:1:Z4960438602;53:05300:5:Z3203152649;
O=C1NS(=O)(=O)c2ccccc21,332,53:05300:1:Z736907748;53:05300:2:Z2860697055;53:05300:5:Z2458179768;
C1COCC2(CC2)CN1,422,53:05300:1:Z4268489969;53:05300:7:Z2497960663;53:05300:8:Z4140864145;
Cc1nn2ccnc2s1,235,53:05300:1:Z3366478512;53:05300:7:Z3352869759;53:05301:0:Z3707266648;
Fc1cccc2ccccc12,1004,53:05300:1:Z2149700960;53:05300:2:Z2275312444;53:05300:2:Z3619992084;
Oc1cc(F)c2c(c1)CCNC2,190,53:05300:1:Z3440021525;53:05300:1:Z3560969649;53:05300:3:Z3681103525;
Fc1cccc2c1CCN2,367,53:05300:1:Z2978987097;53:05300:3:Z4194611776;53:05300:8:Z4421778270;
Clc1cccc2c1CCC2,988,53:05300:1:Z4993719709;53:05300:1:Z4993719712;53:05300:1:Z4993604886;
CC1CNCCc2ccccc21,328,53:05300:1:Z3517165055;53:05300:5:Z3541666901;53:05301:0:Z1498615582;
Nc1nc2ccccc2o1,406,53:05300:1:Z4352948638;53:05300:2:Z4254319918;53:05300:6:Z4303920274;
CC1(C)CCNCCN1,148,53:05300:1:Z3517744509;53:05300:4:Z2791556678;53:05300:5:Z3517744663;
C1CC2(C1)CCNCCO2,385,53:05300:1:Z4034583838;53:05300:5:Z3609022632;53:05300:5:Z3093734206;
O=S1(=O)CCCCN1,808,53:05300:1:Z4323770723;53:05300:5:Z3053403083;53:05300:7:Z3656490506;
CC1Sc2ccccc2NC1=O,209,53:05300:1:Z3584482913;53:05300:7:Z2299163544;53:05301:4:Z1619050588;
O=C1CSC2=NCCN12,310,53:05300:1:Z4350138719;53:05300:7:Z4348654089;53:05300:8:Z4351114408;
Fc1cc(F)c2c(c1)CCCC2,351,53:05300:1:Z3597720526;53:05300:1:Z3597720522;53:05300:2:Z3337914085;
CC1=NOC(C)C1,656,53:05300:1:Z3562332276;53:05300:3:Z3656863938;53:05300:7:Z3000213416;
CN1C(=O)CC2CNCCC21,405,53:05300:1:Z4118311125;53:05300:3:Z4208866609;53:05300:5:Z3586007191;
Cc1cc(Cl)ccc1Cl,81,53:05300:1:Z1818531489;53:05300:4:Z1848195504;53:05302:4:Z5048592379;
CC1CC2CC12,510,53:05300:1:Z3568552395;53:05300:1:Z3548286975;53:05300:1:Z3508173385;
Cc1sc2nc[nH]c(=O)c2c1C,544,53:05300:1:Z1460284583;53:05300:3:Z3294178502;53:05300:4:Z238172092;
CC1(C)CCNCC(C)(C)N1,225,53:05300:1:Z3207013807;53:05300:2:Z3697296777;53:05300:5:Z4271199454;
NC1COC2CC1C2,55,53:05300:1:Z5017477263;53:05301:7:Z5017566206;53:05302:9:Z5017458156;
C1CNCC2CCCN2C1,363,53:05300:1:Z2625761982;53:05300:3:Z4405238070;53:05300:3:Z2455318468;
C1CSCCS1,1159,53:05300:1:Z4635347640;53:05300:5:Z3091655759;53:05300:5:Z3092419615;
C1CNCC2(C1)CCOC2,452,53:05300:1:Z2279681751;53:05300:4:Z2293590566;53:05300:5:Z2279682235;
c1cc2n(n1)CCN2,221,53:05300:1:Z3105430117;53:05300:7:Z3102384532;53:05301:7:Z4059331084;
FC1(F)CCCCNCC1,208,53:05300:1:Z5024052072;53:05301:0:Z4446297793;53:05301:4:Z5017810965;
OC1CC2CC12,422,53:05300:1:Z4083986842;53:05301:0:Z4084937949;53:05301:4:Z4083982720;
c1cc2nncn2cn1,51,53:05300:1:Z3560185154;53:05300:2:Z3560611562;53:05300:2:Z3558783546;
Cn1cc(Cl)c2ccccc21,220,53:05300:1:Z4595095055;53:05300:3:Z1092867358;53:05300:8:Z2485561454;
CC1(C)OCC2CC21,586,53:05300:1:Z3359999557;53:05300:4:Z4005999857;53:05300:5:Z3986692479;
c1ccc2c(c1)CC1(CCOCC1)C2,59,53:05300:1:Z3550740903;53:05301:1:Z3515605626;53:05302:1:Z2184297086;
Clc1ccc2ccncc2c1,293,53:05300:1:Z4213570137;53:05300:7:Z3297751794;53:05300:9:Z3612723012;
Fc1cccs1,400,53:05300:1:Z4429139462;53:05300:1:Z4871452223;53:05300:3:Z3860263447;
CN1C=NCCC1,99,53:05300:1:Z4260342920;53:05300:5:Z3629921598;53:05303:2:Z4260327529;
C1=NOC2(C1)CCNC2,284,53:05300:1:Z4353370377;53:05300:1:Z4353372458;53:05300:2:Z4601296427;
Cc1cn2c(n1)C(C)NCC2,303,53:05300:1:Z2382014629;53:05300:2:Z2870291136;53:05300:3:Z2400786724;
CC1CCC(=O)NC1,826,53:05300:1:Z2898678308;53:05300:2:Z3834444011;53:05300:4:Z2594768866;
Clc1cccn2ccnc12,505,53:05300:1:Z4000466030;53:05300:2:Z4013596137;53:05300:7:Z3950788957;
C1CN2CCC(C2)N1,386,53:05300:1:Z2640786811;53:05300:1:Z3998100879;53:05300:3:Z3143704293;
Cn1c(=O)c2cccnc2n(C)c1=O,108,53:05300:1:Z1331703748;53:05300:1:Z2227137299;53:05300:5:Z4023808442;
Cc1ccc2c(c1)CC2,237,53:05300:1:Z2767441246;53:05300:2:Z2773427742;53:05300:3:Z2803374663;
C1CC2(CCOC2)N1,378,53:05300:1:Z3373459264;53:05300:3:Z3703432105;53:05300:7:Z2669793406;
Cc1ccc2c(cnn2C)n1,248,53:05300:1:Z4017558047;53:05300:9:Z3795146561;53:05301:6:Z4935345919;
C1CC2NC1C1CCC2O1,158,53:05300:1:Z4582622618;53:05300:1:Z4598748440;53:05300:2:Z4556728810;
O=C1NS(=O)(=O)Cc2ccccc21,27,53:05300:1:Z2918381445;53:05302:1:Z1013832418;53:05302:3:Z968461238;
Cn1nccc1F,600,53:05300:1:Z3381198108;53:05300:1:Z4113930070;53:05300:2:Z3832216890;
C1CC2OC1C1CNCC21,478,53:05300:1:Z3057409951;53:05300:1:Z1952343188;53:05300:4:Z1311717534;
Clc1c[nH]c(Cl)n1,78,53:05300:1:Z4215321890;53:05300:2:Z4207168937;53:05300:8:Z3535133976;
C1CCC2CCC2C1,812,53:05300:1:Z2834701004;53:05300:1:Z3133409320;53:05300:3:Z3622310452;
C1CC2COCC2N1,714,53:05300:1:Z4601822642;53:05300:2:Z3891921244;53:05300:5:Z4579858020;
Fc1ccc2c(c1)NCC2,404,53:05300:1:Z3381118748;53:05300:1:Z3381118771;53:05300:4:Z942488086;
Clc1ccc2c(c1)CCN2,211,53:05300:1:Z1492645708;53:05300:9:Z4118872342;53:05301:2:Z4393885570;
CC1CCNCC1(C)C,245,53:05300:1:Z4303469127;53:05300:2:Z1677642165;53:05300:9:Z2437629233;
Cc1cc(C)c2[nH]ccc2c1,158,53:05300:1:Z3358466509;53:05300:3:Z3699614516;53:05300:4:Z4199303079;
CC1CNCC2(CCOC2)O1,354,53:05300:1:Z1954678855;53:05300:1:Z4123501338;53:05300:4:Z1951645054;
C1NCC12COC2,407,53:05300:1:Z3848460219;53:05300:2:Z4220591580;53:05300:3:Z3187646126;
CC1NCCCC12CCC2,189,53:05300:1:Z4420330659;53:05300:3:Z3916565370;53:05300:3:Z3883538847;
C1CC2(CCNC2)CN1,324,53:05300:1:Z2355667024;53:05300:8:Z2451119622;53:05300:9:Z2451119669;
C1CC2(CCN1)COCCN2,204,53:05300:1:Z3639498866;53:05300:3:Z3635237258;53:05300:9:Z3701459075;
O=C1CCC2(CNC2)N1,307,53:05300:1:Z3623192019;53:05300:5:Z3659820318;53:05301:4:Z3569126380;
CN1CC23CCCC2(CNC3)C1,189,53:05300:1:Z3621647042;53:05300:9:Z4609024680;53:05301:4:Z3613910108;
OC1CCC2(CCNC2)CC1,366,53:05300:1:Z4471212256;53:05300:6:Z4471204891;53:05300:8:Z4391288637;
FC1(F)CC2CNCC2C1,398,53:05300:1:Z4154323300;53:05300:2:Z4154321391;53:05300:2:Z4155517146;
CC1(C)COCCN1,2584,53:05300:1:Z3791183496;53:05300:1:Z4393786984;53:05300:1:Z3700677526;
Oc1cccc2c1CCCC2,449,53:05300:1:Z1712930551;53:05300:2:Z2208430494;53:05300:2:Z4009771752;
CC1(C)CCC(=O)N1,1277,53:05300:1:Z3363160261;53:05300:1:Z3344020028;53:05300:2:Z3596770385;
FC1(F)C2CCCCC21,2794,53:05300:1:Z3622715335;53:05300:2:Z3703669109;53:05300:2:Z3750755066;
Cc1ccc(=O)[nH]c1C,307,53:05300:1:Z3537334021;53:05300:5:Z3540657179;53:05300:6:Z3546551540;
C1CC2C3CCC(C3)C2C1,121,53:05300:1:Z451124544;53:05300:2:Z2969979282;53:05302:8:Z2374947034;
OC1CNc2ccc(F)cc2C1,95,53:05300:1:Z5018030010;53:05300:6:Z5018865123;53:05301:0:Z5018028116;
CC1CCNCC1O,702,53:05300:1:Z3601720489;53:05300:1:Z1581888019;53:05300:5:Z2926123867;
O=C1NCN2Cc3ccccc3CC12,32,53:05300:1:Z2788092316;53:05300:1:Z2762805074;53:05315:9:Z2830893124;
Clc1ncc2[nH]cnc2n1,89,53:05300:1:Z2970695762;53:05300:2:Z2969496059;53:05301:1:Z2974956327;
Cn1nnc2c1NCCC2,447,53:05300:1:Z4771808349;53:05300:2:Z4770995717;53:05300:4:Z4770826234;
O=S1(=O)CCC2CNCC21,1254,53:05300:1:Z4401412256;53:05300:1:Z2629150696;53:05300:1:Z2629155213;
c1occ2c1CCCC2,269,53:05300:1:Z4599616594;53:05301:2:Z4611974533;53:05301:8:Z4226049151;
Cc1nc2ccccc2[nH]1,2220,53:05300:1:Z1961426582;53:05300:1:Z1817849489;53:05300:1:Z3641173154;
C1CCC2CCCC2CC1,112,53:05300:1:Z4444589785;53:05300:6:Z3609566444;53:05301:2:Z3693560394;
CN1CC2(CCNC2)C1,277,53:05300:1:Z3051480793;53:05301:5:Z4262721857;53:05302:1:Z3353437914;
CC1COC(C)(C)CN1,344,53:05300:1:Z3097698372;53:05300:4:Z1852039168;53:05300:6:Z3983320659;
Cc1coc2c1C(=O)CCC2,304,53:05300:1:Z3385336953;53:05300:1:Z1229765980;53:05300:5:Z4469839249;
O=c1ccc2c(o1)CCCC2,39,53:05300:1:Z4256046464;53:05302:8:Z4256452425;53:05304:5:Z4252821759;
O=C1CCc2cc(F)ccc2N1,191,53:05300:1:Z3467843904;53:05300:4:Z2393456409;53:05301:5:Z2291216133;
Cc1cc(C)cc(Cl)c1,889,53:05300:1:Z3890052681;53:05300:2:Z1241404983;53:05300:4:Z4093918174;
C1CCC2(CC1)CCCCC2,382,53:05300:1:Z1976197739;53:05300:5:Z4487016340;53:05300:5:Z4299332004;
O=S1(=O)CCC2(CCCCN2)CC1,147,53:05300:1:Z4639779185;53:05300:1:Z4644720315;53:05301:5:Z4644721564;
CC1OCCc2ccccc21,387,53:05300:1:Z3810990577;53:05300:7:Z4248318538;53:05300:8:Z2862085053;
NC1CCCNC1,1966,53:05300:1:Z3810990577;53:05300:2:Z3134917491;53:05300:3:Z3135816077;
O=c1occc2ccccc12,396,53:05300:1:Z3210101448;53:05300:9:Z1972414573;53:05301:0:Z4572070730;
