fragment_smiles,occurences,example_ligands
c1ccccc1,1601865,141:14100:0:Z1973970477;141:14100:0:Z1165157303;141:14100:0:Z2455821680;
c1ccncc1,455971,141:14100:0:Z3880749611;141:14100:0:Z2455821680;141:14100:0:Z1171783100;
C1CCC2(C1)CCOC2,881,141:14100:0:Z3880749611;141:14100:0:Z4638732956;141:14100:0:Z4573877698;
O=C1CCCN1,92908,141:14100:0:Z2455821680;141:14100:0:Z2215717218;141:14100:0:Z1359806397;
Cc1cccc(C)c1,29593,141:14100:0:Z4062791664;141:14100:0:Z4206135672;141:14100:0:Z4141209160;
c1cc2n(n1)CCC2,2282,141:14100:0:Z4062791664;141:14100:0:Z2884056022;141:14100:0:Z2477513551;
c1c[nH]cn1,72569,141:14100:0:Z4886494841;141:14100:0:Z2276273300;141:14100:0:Z4481937492;
CC1CCNC1,22292,141:14100:0:Z2292111374;141:14100:0:Z2929409197;141:14100:0:Z1359752179;
c1nncs1,30042,141:14100:0:Z2292111374;141:14100:0:Z2213271134;141:14100:0:Z1374096130;
Fc1ccccc1,350900,141:14100:0:Z2292111374;141:14100:0:Z2960247847;141:14100:0:Z1732873668;
Cc1cscn1,39402,141:14100:0:Z2911183118;141:14100:0:Z1995570051;141:14100:0:Z2764245567;
FC1CNCC12COC2,679,141:14100:0:Z2911183118;141:14100:0:Z4073794236;141:14100:1:Z4574753643;
C1CCOC1,145592,141:14100:0:Z2911183118;141:14100:0:Z2698373119;141:14100:0:Z2764245567;
c1cnccn1,31865,141:14100:0:Z3394916066;141:14100:0:Z4346926810;141:14100:0:Z3175724121;
CN1CCCCC1,23964,141:14100:0:Z3394916066;141:14100:0:Z1638791420;141:14100:0:Z3135990128;
Cn1cccn1,162848,141:14100:0:Z3394916066;141:14100:0:Z2159573770;141:14100:0:Z1581079725;
Clc1ccccc1,218896,141:14100:0:Z1171783100;141:14100:0:Z3577366655;141:14100:0:Z2276273300;
Cc1ccccc1,241042,141:14100:0:Z4288949353;141:14100:0:Z1679848041;141:14100:0:Z3842830989;
C1COCCN1,168257,141:14100:0:Z4288949353;141:14100:0:Z1359752179;141:14100:0:Z4269947212;
c1nnc2n1CCCCC2,3613,141:14100:0:Z4288949353;141:14100:0:Z4121770294;141:14100:0:Z2873008274;
c1nnc[nH]1,71615,141:14100:0:Z3097671635;141:14100:0:Z3135990128;141:14100:0:Z2668350651;
c1cscn1,169277,141:14100:0:Z3097671635;141:14100:0:Z3652950224;141:14100:0:Z4271359732;
c1cc2c(cn1)CNCC2,870,141:14100:0:Z3097671635;141:14100:3:Z4118835895;141:14100:4:Z3175543205;
c1cn[nH]c1,285556,141:14100:0:Z4427293093;141:14100:0:Z4427293078;141:14100:0:Z4427291800;
Cc1cc[nH]n1,31739,141:14100:0:Z2292312031;141:14100:0:Z1430791295;141:14100:0:Z4576890998;
C1CCNCC1,620384,141:14100:0:Z2292312031;141:14100:0:Z2656468050;141:14100:0:Z1638791420;
CC1CCCCC1,14581,141:14100:0:Z2292312031;141:14100:0:Z3893021470;141:14100:0:Z4206411973;
