fragment_smiles,occurences,example_ligands
Clc1cccc2nonc12,57,3:00300:1:Z2214064274;3:00300:6:Z2214040822;3:00301:1:Z3619783637;
C1CCC2(C1)CCNCC2,767,3:00300:1:Z1375895005;3:00300:1:Z3100796122;3:00300:2:Z3350430878;
Oc1ccc(F)cc1,516,3:00300:1:Z4227702184;3:00300:4:Z3354738883;3:00300:6:Z4171448766;
Cc1ncoc1C,1618,3:00300:1:Z999043436;3:00300:1:Z4645888547;3:00300:2:Z2891303578;
C1CC2CNCC1N2,1072,3:00300:1:Z4114980197;3:00300:1:Z3132745527;3:00300:1:Z3793462401;
CN1CCNC(C)(C)C1=O,319,3:00300:1:Z1395786914;3:00300:1:Z1395782610;3:00300:2:Z2222905231;
c1cc2c(cn1)CCN2,356,3:00300:1:Z1232186321;3:00301:1:Z4126896575;3:00301:5:Z1229774627;
Fc1cccc2c1NCCO2,99,3:00300:1:Z1434438556;3:00301:0:Z1883915666;3:00302:2:Z1434444419;
CC1COc2ccccc21,749,3:00300:1:Z4770682124;3:00300:2:Z3358282105;3:00300:3:Z4769174393;
FC1(F)CCNC2(CCC2)C1,131,3:00300:1:Z4097483338;3:00300:7:Z4084254020;3:00301:4:Z4084255661;
CN1CCOc2ccccc21,509,3:00300:1:Z4914607261;3:00300:1:Z3187982188;3:00300:3:Z1318974838;
CN1CCNCc2ccccc21,169,3:00300:1:Z1083839330;3:00300:5:Z1083840142;3:00301:5:Z3641353256;
Cc1cn2c(n1)C(C)CCC2,79,3:00300:1:Z4019133458;3:00300:8:Z4019112639;3:00303:1:Z4563934486;
NC12CCC(CC1)NC2,191,3:00300:1:Z3999456458;3:00300:6:Z4005004986;3:00300:7:Z4005002219;
CC1(C)CCCC2(CCN2)C1,98,3:00300:1:Z4492712702;3:00300:8:Z4051058926;3:00302:3:Z3997535689;
Cc1ccc2c(c1)NCCC2,131,3:00300:1:Z3534347386;3:00300:1:Z4111958517;3:00300:2:Z1882494294;
CC1CCCCS1,2770,3:00300:1:Z3534347386;3:00300:1:Z4600100919;3:00300:2:Z3526363732;
FC1CCC2CC12,356,3:00300:1:Z4404796088;3:00300:1:Z4387711493;3:00300:1:Z4385281117;
c1cc2c(cn1)CCNC2,491,3:00300:1:Z4421655061;3:00300:3:Z4343774276;3:00300:4:Z4343784043;
NC1CCCCNC1,385,3:00300:1:Z3795208676;3:00300:1:Z3699854573;3:00300:2:Z3699862772;
Fc1cc(F)cc(F)c1,1223,3:00300:1:Z3323058663;3:00300:1:Z3323053633;3:00300:1:Z1728261854;
NC1CCC2CNCC12,295,3:00300:1:Z2393999028;3:00300:7:Z2444807514;3:00300:7:Z2443602675;
C1CNC2COCC2N1,295,3:00300:1:Z4421744905;3:00300:1:Z4308297431;3:00300:2:Z4421738736;
O=c1[nH]cncc1Cl,285,3:00300:1:Z2092262360;3:00300:9:Z2976350605;3:00301:0:Z4234212117;
CC1(C)COc2ccccc21,360,3:00300:1:Z3346520965;3:00300:1:Z4217628413;3:00301:0:Z3548622360;
Fc1ccc2c(c1)CCCCO2,85,3:00300:1:Z2067995647;3:00300:1:Z3362280180;3:00301:1:Z2286269435;
c1nnc2n1CCCCC2,940,3:00300:1:Z3556817536;3:00300:1:Z1575433278;3:00300:1:Z2897044654;
CC1(C)CC2CCC1C2,330,3:00300:1:Z3044086241;3:00300:2:Z3048913035;3:00300:8:Z3710440777;
O=S1(=O)CCC(O)CC1,319,3:00300:1:Z3044086241;3:00300:1:Z1560839225;3:00300:2:Z2405380692;
CC1(C)CNC1(C)C,511,3:00300:1:Z1661236731;3:00300:2:Z4156081778;3:00300:7:Z3620859517;
Cc1[nH]ncc1F,457,3:00300:1:Z1938403888;3:00300:2:Z2998063082;3:00300:4:Z4210476530;
Cc1ccn2ccnc2c1,668,3:00300:1:Z2284639056;3:00300:2:Z1541936117;3:00300:3:Z3132088192;
CC1OC2CCC1C2,478,3:00300:1:Z4525942144;3:00300:1:Z4600786312;3:00300:6:Z4600799100;
CN1C(=O)CCc2ccccc21,302,3:00300:1:Z2918785244;3:00300:2:Z2995153876;3:00300:5:Z2924082825;
Fc1cccc2c1CCN2,377,3:00300:1:Z2712611721;3:00300:2:Z4406098298;3:00300:2:Z4194594917;
NC1CC2CC(C1)CS(=O)(=O)C2,18,3:00300:1:Z2441124686;3:00302:6:Z2394276344;3:00304:4:Z2394276962;
C1COC2(CC2)CN1,682,3:00300:1:Z3820292742;3:00300:2:Z3783073981;3:00300:2:Z3844867889;
c1cnc2c(c1)NCCCC2,77,3:00300:1:Z2791585751;3:00300:5:Z4126714462;3:00301:6:Z2791610676;
c1cnon1,1189,3:00300:1:Z3370378217;3:00300:1:Z2599881420;3:00300:1:Z2275369175;
C1CCC2COCCC2C1,514,3:00300:1:Z4123676702;3:00300:4:Z4115238736;3:00300:8:Z4215522129;
Fc1cccc2ncccc12,274,3:00300:1:Z2918612357;3:00300:1:Z3320426134;3:00300:4:Z3392417216;
Cn1ccc2cc(F)ccc21,101,3:00300:1:Z4053544130;3:00301:0:Z3168614723;3:00301:1:Z1971953214;
CC1(C)COCCCN1,324,3:00300:1:Z3652800304;3:00300:2:Z3652800877;3:00300:5:Z3807859613;
CC1CCNCCO1,926,3:00300:1:Z4111255511;3:00300:1:Z2932331470;3:00300:2:Z2932307336;
CC1CC2CC2C1,1034,3:00300:1:Z2220269249;3:00300:3:Z2312352370;3:00300:3:Z2701898188;
OC1CCc2ccccc21,885,3:00300:1:Z4961741341;3:00300:1:Z3068887757;3:00300:2:Z2645457579;
CC1CNCO1,1224,3:00300:1:Z4265517541;3:00300:1:Z4220100711;3:00300:1:Z4265611668;
CC1(O)CCCC1,500,3:00300:1:Z3189464498;3:00300:3:Z3673144382;3:00300:4:Z3208956821;
C1CCCCNCCC1,351,3:00300:1:Z2297810304;3:00300:8:Z3826501320;3:00300:9:Z3052421429;
FC1(F)CCCNCC1,1328,3:00300:1:Z4080801860;3:00300:2:Z3715251891;3:00300:2:Z3575591352;
Cn1ncc2ccsc21,343,3:00300:1:Z3369940976;3:00300:3:Z3627576792;3:00300:4:Z3370556542;
CN1CCNCC12CC2,620,3:00300:1:Z4313930318;3:00300:1:Z4329658958;3:00300:6:Z4314016025;
Cn1ncc2c1CCC(F)C2,79,3:00300:1:Z3508612849;3:00300:5:Z3508543209;3:00300:5:Z3506134252;
CC1CC2(CCC2)CN1,1131,3:00300:1:Z4479344186;3:00300:1:Z4479006811;3:00300:2:Z4455937928;
CN1CCCNCC1,1303,3:00300:1:Z4351497061;3:00300:1:Z2957613360;3:00300:2:Z3466575062;
O=S1(=O)CCCC2CNCC21,262,3:00300:1:Z3788402517;3:00301:3:Z2979402149;3:00301:3:Z3143590077;
Cn1cc(N)cn1,915,3:00300:1:Z3240308610;3:00300:3:Z3518410926;3:00300:5:Z3488457743;
CC1=CSCCO1,1069,3:00300:1:Z1981900597;3:00300:1:Z4402801837;3:00300:2:Z4256335457;
OC1CCNC12CCSC2,241,3:00300:1:Z2604917123;3:00300:1:Z2802238840;3:00300:6:Z3313173067;
C1CC2COCC2N1,1078,3:00300:1:Z4602286678;3:00300:1:Z4205054020;3:00300:3:Z4579877074;
O=C1C2CCCC1CC2,348,3:00300:1:Z4021278810;3:00300:1:Z4013657536;3:00300:3:Z4021960789;
Nc1ccn2nccc2c1,84,3:00300:1:Z4059774189;3:00300:7:Z3698711614;3:00304:6:Z3799551224;
Cc1coc2ccc(F)cc12,207,3:00300:1:Z4133981426;3:00300:3:Z815420980;3:00301:3:Z2040398201;
Cc1cc(Cl)cc2c1CNCC2,72,3:00300:1:Z3610791324;3:00300:1:Z4285480587;3:00301:4:Z3610791265;
Cn1ncc2c(N)ncnc21,113,3:00300:1:Z3650633169;3:00301:5:Z1787624380;3:00302:9:Z1883189720;
OC1CC2CNCCN2C1,352,3:00300:1:Z4221686200;3:00300:1:Z3816086133;3:00300:5:Z3599470470;
Nc1cnccn1,1370,3:00300:1:Z1733464209;3:00300:2:Z2216238315;3:00300:4:Z1207470344;
Cn1ncc2c1CCCC2,1318,3:00300:1:Z4477289281;3:00300:3:Z3642579276;3:00300:7:Z3657311924;
CN1CCCC2NCCC21,328,3:00300:1:Z2842070622;3:00301:2:Z3784685071;3:00301:7:Z2805084243;
c1ccc2cnncc2c1,366,3:00300:1:Z4231437924;3:00300:8:Z4225771293;3:00301:1:Z4233070343;
N=S1(=O)CCC2(CCNC2)CC1,53,3:00300:1:Z4005091198;3:00303:4:Z4213923391;3:00308:8:Z4005094135;
Cc1cccc(Cl)c1Cl,366,3:00300:1:Z3855411029;3:00300:2:Z4608818477;3:00300:2:Z1534348655;
c1ccc2c(c1)COCO2,179,3:00300:1:Z3179610139;3:00300:7:Z1468373978;3:00301:0:Z1788103453;
Cc1ncnc(O)c1C,50,3:00300:1:Z1892287507;3:00303:2:Z2142948409;3:00304:9:Z1815385402;
c1cnc2c(n1)CCNC2,409,3:00300:1:Z2647943038;3:00300:3:Z2607311208;3:00301:1:Z4138110698;
CC1CNCC1N,1159,3:00300:1:Z3518196217;3:00300:1:Z3516919148;3:00300:1:Z3135948345;
CC1NCCN(C)C1C,456,3:00300:1:Z4211166538;3:00300:4:Z3299349058;3:00301:2:Z3668577996;
CC1(C)CCCCN1,2828,3:00300:1:Z4342517775;3:00300:1:Z4591702551;3:00300:1:Z3899347689;
CN1CCC(=O)NC2CNCCC21,66,3:00300:1:Z4194840089;3:00301:6:Z4194315226;3:00309:6:Z4194310325;
Cc1ccncc1Cl,1043,3:00300:1:Z2264089466;3:00300:1:Z2351670695;3:00300:1:Z2295395339;
FC1(F)CC2(CNC2)C1,252,3:00300:1:Z5006002130;3:00300:4:Z3514281993;3:00300:9:Z1942373379;
Cc1cn2cccc(F)c2n1,101,3:00300:1:Z3630149488;3:00300:2:Z3667610092;3:00303:8:Z4013713712;
Fc1ccc2nccnc2c1,295,3:00300:1:Z1958037097;3:00300:5:Z1957733336;3:00300:8:Z2153458014;
Cc1ccn2ncnc2n1,744,3:00300:1:Z3085495679;3:00300:1:Z441162604;3:00300:2:Z2060326488;
Fc1cccc2ccccc12,376,3:00300:1:Z3532195097;3:00300:5:Z3637150898;3:00300:5:Z2776271826;
C1CCC2(C1)OCCO2,1648,3:00300:1:Z2312502546;3:00300:1:Z4117774724;3:00300:5:Z4199030857;
Cc1ccc2ncsc2c1,86,3:00300:1:Z3232749597;3:00301:0:Z4280956017;3:00301:8:Z1541750565;
CC1CCNCC1O,1383,3:00300:1:Z3845915123;3:00300:1:Z3896805437;3:00300:2:Z3374160074;
c1ccc2c(c1)CCCCO2,660,3:00300:1:Z2012015991;3:00300:2:Z1583054409;3:00300:5:Z2928506932;
Nc1ccncc1Cl,453,3:00300:1:Z4105278447;3:00301:1:Z4287286079;3:00301:2:Z4294834119;
FC1(F)CNCCO1,629,3:00300:1:Z2713898917;3:00300:1:Z4590632221;3:00300:2:Z2801508263;
Oc1ccc(Cl)cc1,934,3:00300:1:Z4266248897;3:00300:3:Z4065736207;3:00300:4:Z4524229936;
O=C1CCNc2cnccc2N1,92,3:00300:1:Z4147346040;3:00300:1:Z3040107342;3:00300:9:Z3040094056;
c1nc2c(s1)CCNC2,194,3:00300:1:Z2786184931;3:00300:6:Z2899329890;3:00300:6:Z2874419574;
C1NCC2CC1C2,1379,3:00300:1:Z4137557146;3:00300:1:Z5014438221;3:00300:2:Z3494004790;
Cc1ncc2cn[nH]c2n1,209,3:00300:1:Z3392523343;3:00300:1:Z3391433151;3:00300:2:Z3393561659;
Cc1ccc(C)c(C)n1,341,3:00300:1:Z4107732063;3:00300:8:Z4022165134;3:00301:6:Z4020299503;
FC1(F)CC12CCOCC2,153,3:00300:1:Z3640035416;3:00301:6:Z3395904666;3:00301:7:Z4231052799;
C1SC2CNC1C2,708,3:00300:1:Z2842551234;3:00300:3:Z4272599503;3:00300:4:Z3052568151;
O=C1CCC2CCCCN12,484,3:00300:1:Z2347803662;3:00300:3:Z2769937951;3:00300:7:Z2015522079;
Cn1cnc2ccc(F)cc21,201,3:00300:1:Z2615972752;3:00300:9:Z2212431848;3:00301:5:Z2212400630;
c1cc2n(n1)CCCNC2,522,3:00300:1:Z4056132347;3:00300:3:Z3621733352;3:00300:5:Z3495918892;
c1cc2c(cn1)CNC2,233,3:00300:1:Z2502080919;3:00300:3:Z2143559832;3:00301:1:Z2143557644;
Fc1cccc2c1CNCC2,456,3:00300:1:Z3845687109;3:00300:5:Z3520823451;3:00301:0:Z2998192267;
CC1(C)NCCC1N,373,3:00300:1:Z5005146241;3:00300:1:Z4996439869;3:00300:2:Z5005119379;
CC1CCC(=O)N(C)C1,444,3:00300:1:Z4254033427;3:00300:3:Z4254058841;3:00300:4:Z4572230523;
CC1CCCn2ccnc21,515,3:00300:1:Z3053092216;3:00300:2:Z4140459358;3:00300:3:Z4035728184;
O=S1(=O)CC2(CCC2)C1,402,3:00300:1:Z4482188449;3:00300:4:Z2978568484;3:00300:6:Z2968456566;
Cc1ncn(C)c1C,629,3:00300:1:Z3800368813;3:00300:2:Z3801343073;3:00300:3:Z3802511379;
FC1CCCOC1,1688,3:00300:1:Z4476064396;3:00300:1:Z3600774869;3:00300:3:Z4170798705;
Cn1ncc2cccnc21,1041,3:00300:1:Z4590068240;3:00300:1:Z2875526974;3:00300:2:Z4611065901;
CN1CCC=N1,323,3:00300:1:Z4468686980;3:00300:2:Z4468660081;3:00300:4:Z4468690797;
Cc1ccc2c(c1)OCCN2,170,3:00300:1:Z1883357851;3:00301:6:Z2825211005;3:00301:6:Z2825210948;
Cc1cc2n(n1)CCNC2,434,3:00300:1:Z3056033990;3:00300:3:Z4026294727;3:00300:3:Z3346017317;
Clc1cccc2c1CCOC2,32,3:00300:1:Z2928532515;3:00305:5:Z2927168460;3:00307:6:Z2926358139;
CC1(C)CCC2(CCN2)C1,189,3:00300:1:Z4043435675;3:00304:1:Z3995944090;3:00304:3:Z4013130295;
CN1CC2CCC1C2,291,3:00300:1:Z3615772045;3:00300:5:Z3853328598;3:00300:5:Z3615774301;
c1ncc2scnc2n1,308,3:00300:1:Z4370101814;3:00300:3:Z1576886065;3:00300:4:Z4576084354;
CC1CNCCC(F)(F)C1,351,3:00300:1:Z3495507100;3:00300:2:Z3562154290;3:00300:2:Z3562153680;
c1cc2c(s1)CCNC2,1726,3:00300:1:Z4425026073;3:00300:2:Z1323674444;3:00300:2:Z4471751127;
CC1Oc2ccccc2C1C,216,3:00300:1:Z2452972998;3:00300:1:Z3053780675;3:00300:6:Z1610369293;
NC1CNCC12CC2,501,3:00300:1:Z2452972998;3:00300:6:Z2444640795;3:00300:7:Z2826296091;
Clc1ncc2sccc2n1,80,3:00300:1:Z4641622966;3:00302:4:Z4629564330;3:00302:4:Z3770048610;
O=C1CC2(CCNCC2)CN1,250,3:00300:1:Z3391192958;3:00300:1:Z2970104957;3:00300:3:Z3301805893;
C1CC2(CCSCC2)CN1,607,3:00300:1:Z3625013825;3:00300:3:Z3909849444;3:00300:4:Z4118374290;
CC1CCOC(C)C1,678,3:00300:1:Z4666852375;3:00300:5:Z2803557421;3:00300:6:Z4149237471;
N=S1(=O)CCC(N)C1,160,3:00300:1:Z3521832369;3:00300:1:Z3795111256;3:00300:1:Z3521824514;
CC12CCCNC1COC2,281,3:00300:1:Z4115065583;3:00301:0:Z4094623867;3:00301:9:Z3822111722;
Cc1cncnc1F,194,3:00300:1:Z3650608537;3:00300:3:Z2974951517;3:00300:7:Z2792545419;
C1CCC2(CC1)CCCO2,963,3:00300:1:Z3650608537;3:00300:5:Z3715455286;3:00300:6:Z4707885415;
O=C1CCCc2ncccc21,281,3:00300:1:Z3633880693;3:00300:4:Z2966349393;3:00300:9:Z2673659109;
NC1CNCCOC1,477,3:00300:1:Z2784303289;3:00300:2:Z3342082632;3:00300:4:Z2763757297;
CC1CNc2ccccc2S1,67,3:00300:1:Z1737050823;3:00303:9:Z4374567592;3:00305:5:Z4374567557;
OC1CCNCC1(F)F,549,3:00300:1:Z2644203812;3:00300:2:Z3554957435;3:00300:4:Z2644212656;
CC1CC2CCN1CC2,209,3:00300:1:Z4389043162;3:00300:4:Z4389043882;3:00300:6:Z4390537557;
O=c1[nH]ccc2sccc12,169,3:00300:1:Z4295460917;3:00300:6:Z1627221871;3:00300:7:Z4296211768;
CC1(C)CCCCS1,513,3:00300:1:Z2899669102;3:00300:6:Z3682394970;3:00300:7:Z3191567277;
CC1(C)OCC(O)CO1,110,3:00300:1:Z4274565571;3:00301:2:Z4275952736;3:00301:7:Z4260239472;
C1COC2(CCN1)CCSC2,239,3:00300:1:Z4274565571;3:00300:2:Z3910699348;3:00300:4:Z4313448075;
Cc1ccc2occc2n1,148,3:00300:1:Z3139766568;3:00300:2:Z1642447358;3:00300:9:Z3855984450;
CC1CC(=O)NCCN1,531,3:00300:1:Z3461816393;3:00300:1:Z2623444373;3:00300:1:Z2873016064;
Cc1nn(C)c2c1NCCO2,164,3:00300:1:Z3843837864;3:00300:6:Z1407874309;3:00300:7:Z3294617685;
O=C1CCSc2ccccc21,94,3:00300:1:Z3548320782;3:00300:2:Z3542296550;3:00302:7:Z3582888223;
C1CC2(C1)COC2,1135,3:00300:1:Z4285655996;3:00300:2:Z4285016015;3:00300:2:Z4285636881;
CC1CNCCS(=O)C1,507,3:00300:1:Z3829371442;3:00300:3:Z4059970897;3:00300:3:Z3546876300;
Cc1cccc(O)c1,1661,3:00300:1:Z2932430998;3:00300:1:Z2708515281;3:00300:2:Z3370628926;
OC1CCOc2ccccc21,473,3:00300:1:Z2304890522;3:00300:8:Z2721337960;3:00301:2:Z4392047779;
Oc1cnn2c1CNCC2,228,3:00300:1:Z3717585045;3:00300:5:Z4492001026;3:00300:7:Z4232779153;
Cn1[nH]cnc1=N,18,3:00300:1:Z2754350332;3:00304:4:Z2142648618;3:00304:5:Z2918741598;
c1cc2n(n1)CCCO2,1191,3:00300:1:Z4105906473;3:00300:5:Z3354695668;3:00300:5:Z2225929998;
Cc1cccn1C,2269,3:00300:1:Z2020131569;3:00300:1:Z4254092087;3:00300:2:Z3672163020;
Cn1cc[nH]c1=O,972,3:00300:1:Z2617865615;3:00300:2:Z3208448350;3:00300:2:Z3712933488;
Clc1ccc2c(c1)NCC2,236,3:00300:1:Z941389876;3:00300:2:Z3516387883;3:00301:4:Z1631634395;
CC1CC1F,1793,3:00300:1:Z2722048728;3:00300:1:Z2410629017;3:00300:4:Z2453643775;
O=C1CCCc2occc2N1,76,3:00300:1:Z4041657593;3:00300:3:Z3380372511;3:00306:1:Z3185123218;
O=c1oc2ccccc2o1,170,3:00300:1:Z4124565764;3:00301:2:Z1996448930;3:00301:8:Z3937836566;
Clc1c[nH]c2ccccc12,159,3:00300:1:Z1550749531;3:00300:1:Z3645411374;3:00300:5:Z4218091303;
c1ncn2c1CCCC2,2110,3:00300:1:Z3700577211;3:00300:2:Z4215594645;3:00300:2:Z3582475650;
Cc1cnccc1Cl,840,3:00300:1:Z4229214744;3:00300:2:Z3831781638;3:00300:2:Z3807194542;
c1cnc2c(c1)OCCNC2,253,3:00300:1:Z4229214744;3:00300:7:Z2791356216;3:00301:3:Z2776153131;
O=c1nccc2[nH]ccn12,22,3:00300:1:Z2852666186;3:00308:1:Z4187797911;3:00320:0:Z2852666256;
O=C1CCCCn2nccc21,101,3:00300:1:Z2959780053;3:00300:4:Z2961137676;3:00300:4:Z2961441575;
C1CN2CC3CC2(CO1)C3,32,3:00300:1:Z3198022072;3:00307:8:Z3198027421;3:00310:8:Z4964540015;
C1CCC2(CCNCC2)OC1,456,3:00300:1:Z2853500571;3:00300:9:Z4212032910;3:00301:1:Z4447428080;
Cc1cnc2ncccc2n1,104,3:00300:1:Z4138977373;3:00300:1:Z3392961552;3:00300:6:Z4436026917;
OC1CC2(CCNCC2)C1,416,3:00300:1:Z4138977373;3:00300:7:Z4183402481;3:00301:1:Z4231521223;
NC1CC2CCCC12,1177,3:00300:1:Z4079064798;3:00300:1:Z3823771628;3:00300:2:Z4482929911;
Fc1ccncc1,992,3:00300:1:Z4481623814;3:00300:1:Z4481791103;3:00300:2:Z5045298902;
Cc1ccc2[nH]cnc2c1,393,3:00300:1:Z2000244463;3:00301:2:Z1309232957;3:00301:4:Z1441988362;
CC12CNCC1COC2,552,3:00300:1:Z2601857347;3:00300:1:Z3009096609;3:00300:3:Z3555152372;
CC1CNC2CCCCC12,216,3:00300:1:Z1648871755;3:00300:5:Z2480613455;3:00300:6:Z1648872195;
C1CN2CCC(C2)N1,627,3:00300:1:Z4123755804;3:00300:3:Z3175364072;3:00300:6:Z2640787382;
NC12CC(C1)C2,733,3:00300:1:Z3365695492;3:00300:2:Z3138475348;3:00300:2:Z4079357085;
CC12CNCC1CSC2,526,3:00300:1:Z3878150685;3:00300:1:Z3878150820;3:00300:1:Z2957409325;
Cc1ccnc2scc(C)c12,87,3:00300:1:Z2440693597;3:00301:2:Z2295618422;3:00301:2:Z1547955655;
Cc1c[nH]c(C)n1,397,3:00300:1:Z2918488061;3:00300:1:Z2949296647;3:00300:4:Z2948420962;
CC1CCS(=O)(=O)N1C,256,3:00300:1:Z3700036318;3:00300:6:Z3504940987;3:00301:4:Z3633162462;
C1CC2(C1)CCNCC2,2775,3:00300:1:Z3799694549;3:00300:2:Z3383778630;3:00300:2:Z4170676187;
CC1COc2ccnn2C1,194,3:00300:1:Z5005220569;3:00301:1:Z5006994794;3:00301:4:Z5008315011;
O=C1COc2ncncc2N1,89,3:00300:1:Z3560568442;3:00300:1:Z3557851147;3:00300:1:Z3559860826;
CC1CCCC(=O)C1,420,3:00300:1:Z1545835944;3:00300:1:Z1591497678;3:00300:2:Z2177783035;
CC1(C)CCCc2ccccc21,128,3:00300:1:Z4454760402;3:00300:1:Z4454738408;3:00300:2:Z1542787617;
c1ccc2nccnc2c1,1629,3:00300:1:Z3047356076;3:00300:2:Z4453702788;3:00300:2:Z4049010560;
C1=Cc2ccccc2C1,203,3:00300:1:Z4465963907;3:00300:1:Z4465999271;3:00300:1:Z4487417171;
OC1CNCC12CCC2,468,3:00300:1:Z3856085263;3:00300:1:Z3842999421;3:00300:2:Z3856082666;
Cc1cncn1C,466,3:00300:1:Z2698487210;3:00300:3:Z2992546434;3:00300:5:Z2717612481;
CC1CNCC(C)O1,5350,3:00300:1:Z3905463481;3:00300:1:Z3836424108;3:00300:1:Z3905463708;
O=c1cccco1,345,3:00300:1:Z4289480220;3:00300:1:Z4230187563;3:00300:6:Z4293845534;
c1ccc2c(c1)nc1n2CCN1,41,3:00300:1:Z1949500263;3:00300:3:Z1999622146;3:00301:2:Z735831332;
NC1CC2COCC(C1)C2,62,3:00300:1:Z2386143234;3:00300:2:Z2386168927;3:00300:3:Z4205364579;
C1=COCCC1,1747,3:00300:1:Z1843194925;3:00300:1:Z3588785453;3:00300:2:Z4663411462;
O=S1(=O)CCC2(CCCNC2)C1,133,3:00300:1:Z3877388694;3:00301:2:Z3312350600;3:00301:6:Z4063222011;
C1CC2CCNC(C1)C2,108,3:00300:1:Z3142787170;3:00301:9:Z3142770604;3:00302:0:Z3510678316;
O=c1cccc2n1CCC2,17,3:00300:1:Z3701443011;3:00302:3:Z3018939601;3:00306:7:Z3132200964;
O=C1NCCC12CCCN2,294,3:00300:1:Z2774455345;3:00300:1:Z2640762558;3:00300:2:Z3515688418;
O=C1COC2(CCNC2)C1,145,3:00300:1:Z4049325317;3:00300:9:Z4049325493;3:00301:3:Z4295963218;
CC1=CCCO1,748,3:00300:1:Z3191834042;3:00300:1:Z3203215657;3:00300:5:Z4224934883;
Cc1ccc2ncncc2c1,224,3:00300:1:Z4232003557;3:00300:2:Z1465168736;3:00300:5:Z1365796098;
Cc1ccc(Cl)cc1C,564,3:00300:1:Z4666030635;3:00300:1:Z2295497455;3:00300:3:Z2356217803;
c1cnc2cccnc2c1,894,3:00300:1:Z4611567157;3:00300:3:Z3938521136;3:00300:5:Z3383808326;
CN1Cc2ccccc2C1,337,3:00300:1:Z4080630927;3:00300:7:Z4453228929;3:00300:8:Z3383741113;
CC1(C)CNCc2ccccc2O1,64,3:00300:1:Z2150047486;3:00300:5:Z3392368479;3:00301:0:Z2456722084;
CC1CNCC(C)C1(F)F,331,3:00300:1:Z3321570502;3:00300:1:Z3601459742;3:00300:4:Z3620735465;
CC1CN(C)C(C)CN1,388,3:00300:1:Z4866754583;3:00300:4:Z4666553398;3:00301:1:Z4666537845;
Cc1cn[nH]c(=O)c1,278,3:00300:1:Z4414777082;3:00300:5:Z3831202622;3:00301:0:Z4642563091;
Cc1cc2c(s1)CCC2,66,3:00300:1:Z3506863990;3:00300:1:Z3506858613;3:00300:1:Z3508645838;
OC1CCCC2CCC1N2,189,3:00300:1:Z4204050175;3:00301:2:Z3605677453;3:00302:0:Z3830482025;
C1CC2OCCC2CN1,607,3:00300:1:Z2436220212;3:00300:5:Z3865902539;3:00300:9:Z2434243741;
c1ccc2c(c1)CNCC21CC1,171,3:00300:1:Z3514902024;3:00300:3:Z3634399229;3:00300:4:Z1733093549;
O=C1NCCc2ccncc21,155,3:00300:1:Z4595066710;3:00300:1:Z3433993217;3:00300:3:Z4264818852;
C1CC2(C1)CNC1COCC12,181,3:00300:1:Z4106935572;3:00301:3:Z3619192706;3:00301:6:Z3316899111;
OC1CCC2CCNC1C2,134,3:00300:1:Z4294613952;3:00301:1:Z3584999738;3:00301:1:Z3585001931;
Cn1cnc2cccnc21,517,3:00300:1:Z2175246743;3:00300:3:Z2913894081;3:00300:3:Z1796307433;
Cc1cccc2c1CCN2,406,3:00300:1:Z3789219623;3:00300:6:Z2826115937;3:00300:9:Z1451932186;
O=C1CC2(CCCCC2)CN1,325,3:00300:1:Z4256827693;3:00300:4:Z4285889144;3:00300:5:Z4271675052;
Cc1cnn2ccc(Cl)nc12,145,3:00300:1:Z3559966591;3:00300:3:Z3559574942;3:00301:3:Z3558527278;
CN1C(=O)COc2ccccc21,198,3:00300:1:Z2853617666;3:00301:1:Z2853617855;3:00301:5:Z3986431486;
NC1CCCCCNC1,327,3:00300:1:Z2763697653;3:00300:3:Z3363922573;3:00300:4:Z3409439270;
CN1CCC2CNCCC21,355,3:00300:1:Z2975098838;3:00300:2:Z4141223981;3:00300:2:Z4862020588;
OC1CC2CNCC2C1,1018,3:00300:1:Z4154358685;3:00300:1:Z4178892370;3:00300:7:Z4181528990;
CC1(C)CC2(CCC2)CO1,308,3:00300:1:Z3388671071;3:00300:5:Z4216237637;3:00300:5:Z4255960257;
Cn1cnc2ccncc21,591,3:00300:1:Z1764440592;3:00300:2:Z4451350537;3:00300:2:Z1994608464;
OC12CCCCC1CNCC2,245,3:00300:1:Z4316321904;3:00300:6:Z4314929643;3:00300:6:Z4316356595;
CC1NCCc2c(F)cc(F)cc21,49,3:00300:1:Z1411763479;3:00301:0:Z3563216503;3:00301:0:Z2270402263;
CC1CCCC1(F)F,1080,3:00300:1:Z3795111256;3:00300:2:Z3783913606;3:00300:2:Z3778802088;
Clc1nc[nH]c1Cl,61,3:00300:1:Z2168972449;3:00301:0:Z1654706443;3:00301:5:Z4236343195;
Oc1ccc2c(c1)CNC2,212,3:00300:1:Z2862999797;3:00300:3:Z2705821634;3:00301:1:Z2717990756;
Nc1nccc(Cl)n1,418,3:00300:1:Z1546948998;3:00300:3:Z5036977860;3:00300:3:Z3562102376;
Cc1ccc(Cl)c(C)c1,171,3:00300:1:Z4005805822;3:00300:1:Z4005805740;3:00300:1:Z4005805746;
OC1C2CC3CNC1C3C2,221,3:00300:1:Z1998607329;3:00300:1:Z1994199442;3:00300:7:Z1998307734;
Cc1cc2ccccc2[nH]1,979,3:00300:1:Z3869430740;3:00300:2:Z3180258884;3:00300:2:Z3639004994;
