fragment_smiles,occurences,example_ligands
Cc1cc(C)c2c(c1)NCCO2,87,90:09000:0:PV-003031761310;90:09002:1:PV-002445326352;90:09003:3:PV-003878454315;
C1CC2(CCN1)CNC2,3709,90:09000:0:PV-003031761317;90:09000:0:PV-003031767101;90:09000:0:PV-003877337745;
Cc1c(F)ccc2scnc12,53,90:09000:0:PV-003031761339;90:09000:7:PV-006622650735;90:09006:8:PV-003879659505;
Fc1cc2[nH]ccc2cc1Cl,48,90:09000:0:PV-003031761345;90:09000:1:PV-002341787644;90:09002:2:PV-003032048020;
Clc1cc[nH]c1Cl,1777,90:09000:0:PV-003877320763;90:09000:1:PV-006622064796;90:09000:1:PV-006622064797;
OC1CCCC1(F)F,225,90:09000:0:PV-003877320800;90:09000:1:PV-003877351534;90:09000:4:PV-003877462300;
Cc1nc2ccccc2[nH]1,1243,90:09000:0:PV-004134906609;90:09000:1:PV-001976572407;90:09000:1:PV-003031771256;
CC1CCC(=O)N(C)C1,230,90:09000:0:PV-003877320924;90:09000:0:PV-003877320925;90:09000:0:PV-003877320926;
O=c1[nH]nc2n1CCCC2,419,90:09000:0:PV-003877320967;90:09000:0:PV-003877340990;90:09000:2:PV-003031788180;
O=S1(=O)CCNC2CCCN21,62,90:09000:0:PV-003877320967;90:09000:4:PV-003031810899;90:09004:5:PV-002186624821;
OC1CCOCC1,3204,90:09000:0:PV-002134785639;90:09000:0:PV-003031767732;90:09000:0:PV-003031767733;
c1cc2n(n1)CCCC2,2450,90:09000:0:PV-003877321004;90:09000:1:PV-003031772704;90:09000:1:PV-003031775000;
c1ccc2cnncc2c1,420,90:09000:0:PV-002393537035;90:09000:1:PV-003877348109;90:09000:7:PV-001980653088;
Oc1ccccc1Cl,3209,90:09000:0:PV-003877321060;90:09000:0:PV-003877332532;90:09000:1:PV-003877352475;
OC1CNCC1O,1336,90:09000:0:PV-003877321145;90:09000:0:PV-006621999548;90:09000:3:PV-003877416936;
c1ccc2n[nH]cc2c1,678,90:09000:0:PV-003877321191;90:09000:1:PV-003877361610;90:09000:1:PV-003877365214;
Oc1ccc2ccccc2c1,670,90:09000:0:PV-003031761540;90:09000:1:PV-003031777422;90:09000:1:PV-003031780689;
C1CCC2(CCNCC2)OC1,389,90:09000:0:PV-003877321224;90:09000:0:PV-003031765385;90:09000:1:PV-003877367733;
Oc1cn[nH]c1,288,90:09000:0:PV-002600531477;90:09000:8:PV-002238298808;90:09000:8:PV-002290050165;
CC12CCC(CC1)OC2,265,90:09000:0:PV-003031761578;90:09001:0:PV-003031897764;90:09001:8:PV-003877934072;
Nc1cccnc1,8180,90:09000:0:PV-003031761579;90:09000:0:PV-003031762249;90:09000:0:PV-003031762250;
c1cnc2ccnn2c1,3868,90:09000:0:PV-002186532273;90:09000:0:PV-003877328316;90:09000:1:PV-002548782878;
OC1Cc2ccccc2C1,963,90:09000:0:PV-002445283609;90:09000:0:PV-002497036624;90:09000:0:PV-002341786613;
Clc1ccn2nccc2c1,206,90:09000:0:PV-002445283609;90:09000:0:PV-002497036624;90:09000:1:PV-006622066780;
Cn1c(=O)ccc2ccccc21,307,90:09000:0:PV-003031761749;90:09000:1:PV-002600534116;90:09000:2:PV-002134789693;
Cc1cccc(Cl)c1,7479,90:09000:0:PV-003877321799;90:09000:0:PV-003877327454;90:09000:0:PV-003877329792;
CN1C(=O)Cc2ccccc21,466,90:09000:0:PV-002445283631;90:09000:7:PV-003031860251;90:09000:8:PV-006622910347;
Fc1ccc(Cl)c2c1NCCC2,30,90:09000:0:PV-003031761780;90:09013:3:PV-002290307311;90:09015:1:PV-003033761248;
c1cc2[nH]ccc2cn1,1271,90:09000:0:PV-002238282898;90:09000:1:PV-002238285576;90:09000:2:PV-003031787894;
C1CNC2CNCC2C1,2812,90:09000:0:PV-003877321823;90:09000:0:PV-003031766468;90:09000:0:PV-003031766621;
Cn1cnccc1=O,1739,90:09000:0:PV-003877321835;90:09000:1:PV-003877354711;90:09000:1:PV-003877354712;
CN1CCNCC1,8935,90:09000:0:PV-003877321840;90:09000:0:PV-003877322620;90:09000:0:PV-003031765813;
Cc1ccc2c(c1)NCCN2,43,90:09000:0:PV-003031761805;90:09012:7:PV-003033442340;90:09016:0:PV-003033884218;
OC1CC2CCC1C2,1745,90:09000:0:PV-003877321914;90:09000:0:PV-003877321915;90:09000:0:PV-003877321916;
C1=NOC2OCCC12,25,90:09000:0:PV-003877321949;90:09004:1:PV-006626196164;90:09012:2:PV-003881487347;
CC1(C)COCCO1,3315,90:09000:0:PV-003877321956;90:09000:1:PV-003877356072;90:09000:1:PV-003877365482;
OC1CCC2CNCC12,275,90:09000:0:PV-003877321972;90:09001:3:PV-003877761578;90:09001:8:PV-003877941522;
Fc1cccc2ccccc12,768,90:09000:0:PV-003031761829;90:09000:1:PV-003031771847;90:09000:1:PV-003877368911;
CN1CCC2CNCC21,309,90:09000:0:PV-003877322122;90:09000:4:PV-003877472439;90:09000:5:PV-006622495313;
FC1CC2(CCC2)C1,1565,90:09000:0:PV-003877322186;90:09000:1:PV-006622100182;90:09000:1:PV-003031777813;
Cc1cnnn1C,2287,90:09000:0:PV-003877322190;90:09000:2:PV-003877385491;90:09000:2:PV-003877385492;
c1cc2c(s1)CCNC2,993,90:09000:0:PV-003877322266;90:09000:1:PV-001661650348;90:09000:2:PV-003031793503;
c1ccc2c(c1)CC2,2376,90:09000:0:PV-002497036667;90:09000:1:PV-003877354642;90:09000:1:PV-003877359680;
FC1(F)CCC2CC21,1590,90:09000:0:PV-003877322347;90:09000:0:PV-003877329029;90:09000:1:PV-003877358656;
Clc1cccc2c1CCC2,503,90:09000:0:PV-003031761954;90:09000:1:PV-002186534444;90:09000:1:PV-002238285119;
Clc1ccc2occc2c1,305,90:09000:0:PV-003877322354;90:09000:8:PV-003031867546;90:09001:1:PV-002548801774;
Cc1cc(C)c(F)c(C)c1,116,90:09000:0:PV-003877322424;90:09001:8:PV-003877922574;90:09002:7:PV-002497092116;
C1CSCSC1,4310,90:09000:0:PV-004134906986;90:09000:0:PV-004134906987;90:09000:0:PV-003031762690;
CC1CCCNCC1,306,90:09000:0:PV-002341785422;90:09000:9:PV-003031888046;90:09000:9:PV-003877650930;
FC1CC1(F)F,1046,90:09000:0:PV-003877322488;90:09000:6:PV-003877521183;90:09000:6:PV-003877525427;
C1COC2(CN1)CNC2,3363,90:09000:0:PV-003877322542;90:09000:0:PV-003031765747;90:09000:0:PV-003877335951;
CC1CCS(=O)(=O)C1,321,90:09000:0:PV-003877322564;90:09000:3:PV-003877438937;90:09000:6:PV-003877533179;
CC1CNc2ccccc2S1,37,90:09000:0:PV-003031762042;90:09000:0:PV-003031762138;90:09000:1:PV-006622011013;
C1COC2CC2C1,1871,90:09000:0:PV-003877322620;90:09000:0:PV-003877343155;90:09000:1:PV-006622131594;
Cc1ccc2[nH]ncc2c1,614,90:09000:0:PV-001641854200;90:09000:1:PV-006622070643;90:09000:1:PV-006622070644;
Clc1cccc2nonc12,71,90:09000:0:PV-003877322810;90:09000:2:PV-004134922815;90:09000:3:PV-002393543434;
OC1CCSC1,2242,90:09000:0:PV-003877322856;90:09000:0:PV-006621999774;90:09000:1:PV-003031782255;
c1cnn2cnnc2c1,623,90:09000:0:PV-003877322977;90:09000:0:PV-006621989604;90:09000:3:PV-003031808837;
O=C1NCc2ccccc2N1,325,90:09000:0:PV-003031762186;90:09000:2:PV-003031784896;90:09000:2:PV-003877400134;
c1cc2c(cn1)CCCN2,112,90:09000:0:PV-003031762186;90:09000:8:PV-003031866656;90:09000:8:PV-003031872186;
CC1(F)CNCCNC1,1323,90:09000:0:PV-003031762190;90:09000:0:PV-003877337075;90:09000:1:PV-003877367807;
C1CC2(C1)CCOC2,2171,90:09000:0:PV-003031762194;90:09000:1:PV-003031771569;90:09000:1:PV-003877375462;
c1cnc2c(c1)OCCNC2,111,90:09000:0:PV-003031762255;90:09005:5:PV-006627562694;90:09005:7:PV-002186648287;
C1CNCCSC1,373,90:09000:0:PV-003031762276;90:09000:0:PV-002445284026;90:09000:3:PV-002186537800;
Cn1cccc(O)c1=O,138,90:09000:0:PV-003877323387;90:09000:2:PV-003877392637;90:09000:2:PV-003877392638;
c1cnc2[nH]ncc2c1,2625,90:09000:0:PV-003031762303;90:09000:1:PV-006622075032;90:09000:1:PV-003031774002;
O=C1CNCCN1,4635,90:09000:0:PV-003877323457;90:09000:0:PV-002548780097;90:09000:0:PV-003031763357;
NC1CCOC1,521,90:09000:0:PV-003877323457;90:09000:5:PV-003877481858;90:09000:6:PV-003877515280;
O=c1cc[nH][nH]1,2570,90:09000:0:PV-003031762342;90:09000:0:PV-003877325050;90:09000:0:PV-003877326640;
O=C1NCC2CNCCC12,432,90:09000:0:PV-003877323479;90:09000:2:PV-006622251906;90:09000:3:PV-003877420546;
CC1(O)CCC1,4599,90:09000:0:PV-003877323507;90:09000:0:PV-003877332657;90:09000:1:PV-003877347462;
c1ncc2cc[nH]c2n1,2016,90:09000:0:PV-003877323524;90:09000:0:PV-003877323525;90:09000:0:PV-003877323526;
O=C1Cc2ccccc2N1,1551,90:09000:0:PV-003031762378;90:09000:0:PV-003877335093;90:09000:0:PV-003877335094;
C1CCCCCC1,912,90:09000:0:PV-003877323648;90:09000:1:PV-006622086912;90:09000:1:PV-006622110280;
c1cc2c(s1)CCC2,1307,90:09000:0:PV-000490546935;90:09000:0:PV-000495984150;90:09000:2:PV-003877379748;
C1CNC2(C1)CC2,6335,90:09000:0:PV-003877323733;90:09000:0:PV-003877328316;90:09000:0:PV-006621987206;
Cc1ccc2ccccc2n1,1093,90:09000:0:PV-003031762454;90:09000:0:PV-003031763053;90:09000:1:PV-002497039451;
CC1(C)CNC1,3100,90:09000:0:PV-003031762454;90:09000:0:PV-003877345446;90:09000:2:PV-003877383809;
c1ccc2[nH]ncc2c1,6429,90:09000:0:PV-003031762459;90:09000:0:PV-003877330541;90:09000:0:PV-003031764965;
c1ccc2oncc2c1,2133,90:09000:0:PV-003877323915;90:09000:0:PV-003877323916;90:09000:0:PV-003877323917;
CC1(C)C2CCC1CC2,1312,90:09000:0:PV-002238283024;90:09000:1:PV-003031774929;90:09000:2:PV-006622232151;
Cc1ccc2c(c1)CCCO2,137,90:09000:0:PV-002393537222;90:09000:7:PV-003877552323;90:09000:9:PV-003877611885;
FC1CCC2CCC1N2,756,90:09000:0:PV-003877324013;90:09000:1:PV-006622012596;90:09000:2:PV-006622144207;
O=c1c2ccccc2nc2n1CCC2,23,90:09000:0:PV-003877324200;90:09001:3:PV-003031932440;90:09006:0:PV-006628062267;
c1cnc2[nH]cnc2c1,1815,90:09000:0:PV-002238283042;90:09000:1:PV-003877362626;90:09000:1:PV-002600534168;
CC1CNCCc2ccc(F)cc21,62,90:09000:0:PV-003877324223;90:09000:8:PV-003031864827;90:09004:2:PV-003032317659;
NC1CC2CCC1O2,153,90:09000:0:PV-003877324223;90:09000:8:PV-003877600330;90:09001:0:PV-003877669153;
CC1Cc2ccccc2O1,1636,90:09000:0:PV-003031762636;90:09000:0:PV-003877324309;90:09000:1:PV-003031782098;
C1=NCC2CCCCN12,128,90:09000:0:PV-003031762636;90:09000:0:PV-003877324309;90:09003:3:PV-003032200062;
O=S1(=O)CCNC2CCCC21,61,90:09000:0:PV-002445283784;90:09000:6:PV-003877519413;90:09004:9:PV-003878994726;
O=S1(=O)CCCCN1,1273,90:09000:0:PV-003877324382;90:09000:1:PV-003877354229;90:09000:2:PV-003877380338;
Oc1csc(O)n1,259,90:09000:0:PV-003031762679;90:09000:0:PV-003031762680;90:09000:2:PV-003877386222;
Cc1ccnnc1C,1191,90:09000:0:PV-003031762757;90:09000:2:PV-003031793016;90:09000:4:PV-003877459208;
CC1(C)CC2(CC2)C1,858,90:09000:0:PV-003877324690;90:09000:0:PV-003031766079;90:09000:2:PV-006622172756;
O=S1(=O)CCc2ccccc21,897,90:09000:0:PV-003877324713;90:09000:1:PV-003877350710;90:09000:1:PV-003877350711;
c1ccn2ncnc2c1,2670,90:09000:0:PV-003877324784;90:09000:1:PV-003877360246;90:09000:2:PV-002134788987;
Fc1cccn2cncc12,255,90:09000:0:PV-002341785556;90:09000:7:PV-003877558036;90:09000:8:PV-002445299217;
Cc1n[nH]c2ncncc12,73,90:09000:0:PV-003877324934;90:09001:8:PV-003877937602;90:09002:9:PV-003878298537;
Cc1cccnc1C,2439,90:09000:0:PV-003877325005;90:09000:0:PV-003877325006;90:09000:0:PV-001677787562;
C1CCC2(C1)CCC2,3786,90:09000:0:PV-003877325033;90:09000:0:PV-003877325034;90:09000:0:PV-003877325035;
O=c1[nH]c2ccccc2o1,2913,90:09000:0:PV-003877325083;90:09000:1:PV-002238284505;90:09000:1:PV-002600534134;
O=C1CCCCCN1,2151,90:09000:0:PV-003877325083;90:09000:1:PV-003031771291;90:09000:1:PV-003031781409;
Cc1cccc2ccsc12,241,90:09000:0:PV-003877325190;90:09000:8:PV-002497052851;90:09001:1:PV-001049286426;
C1CCN2CCCC2C1,1044,90:09000:0:PV-003877325190;90:09000:2:PV-003877402568;90:09000:4:PV-006622330872;
CC1=CCCC1,6678,90:09000:0:PV-003031762961;90:09000:0:PV-003031767341;90:09000:0:PV-003877336501;
C1CNCC2(C1)CCC2,3091,90:09000:0:PV-003031762964;90:09000:0:PV-002134786012;90:09000:0:PV-003031767898;
Cc1nccc2ccccc12,165,90:09000:0:PV-002445283845;90:09000:2:PV-006622293332;90:09000:4:PV-003031816757;
c1cc2n(c1)CCCC2,746,90:09000:0:PV-002445283845;90:09000:0:PV-001975472510;90:09000:1:PV-001467437177;
Cn1ccc2cccnc21,201,90:09000:0:PV-003877325301;90:09001:2:PV-003877749730;90:09002:7:PV-006624700058;
Clc1csc(Cl)c1,1812,90:09000:0:PV-003877325301;90:09000:1:PV-006622021848;90:09000:1:PV-006622029427;
Nc1ccn2nccc2n1,40,90:09000:0:PV-003031763000;90:09001:9:PV-003032006564;90:09002:3:PV-003032062435;
Fc1ccc(F)c2c1CCNC2,81,90:09000:0:PV-003031763000;90:09004:0:PV-003032283635;90:09005:6:PV-003032499235;
CC1(C)OC2CC1C2,841,90:09000:0:PV-003877325356;90:09000:1:PV-002393539469;90:09000:6:PV-003877508152;
CC1=NOCC1,5755,90:09000:0:PV-003877325358;90:09000:0:PV-003031769899;90:09000:0:PV-003031770127;
c1cnc2c(c1)NCCN2,88,90:09000:0:PV-002393537306;90:09000:6:PV-003031846728;90:09003:4:PV-002497106334;
CC1CC2(CCNCC2)CN1,257,90:09000:0:PV-003031763027;90:09001:2:PV-003031924789;90:09001:4:PV-003031944383;
C1CC2CCC(C1)O2,1642,90:09000:0:PV-003031763053;90:09000:1:PV-003877361736;90:09000:1:PV-003877361737;
Nc1ncco1,2708,90:09000:0:PV-003877325535;90:09000:0:PV-003877325536;90:09000:0:PV-003031765664;
Cn1ccc2sccc21,410,90:09000:0:PV-003877325583;90:09000:1:PV-003877356681;90:09000:5:PV-006622599929;
Cc1nnn[nH]1,915,90:09000:0:PV-003877325702;90:09000:0:PV-002445284301;90:09000:2:PV-003031785981;
Cc1cccc2cccnc12,576,90:09000:0:PV-003877325707;90:09000:1:PV-003031778736;90:09000:3:PV-003031806377;
CN1C(=O)CCc2ccccc21,412,90:09000:0:PV-003877325768;90:09000:9:PV-003877610915;90:09000:9:PV-003877615018;
Fc1cc(F)cc(F)c1,1035,90:09000:0:PV-002548780132;90:09000:0:PV-001937002112;90:09000:1:PV-003877346023;
O=C1CCNCCCN1,69,90:09000:0:PV-003031763211;90:09000:4:PV-002134794348;90:09003:8:PV-002497114424;
C1CC2(C1)CSC2,2189,90:09000:0:PV-003877325916;90:09000:0:PV-003877325917;90:09000:1:PV-003031771744;
Cc1ncsc1C,2465,90:09000:0:PV-001763948949;90:09000:0:PV-001498738670;90:09000:0:PV-001365734228;
CN1CCC(O)C1,650,90:09000:0:PV-003877325945;90:09000:2:PV-003877397827;90:09000:2:PV-003877397828;
Fc1ccc2cn[nH]c2c1,72,90:09000:0:PV-003031763245;90:09004:3:PV-002134873930;90:09006:2:PV-003032576175;
c1nc2c(s1)CCCC2,1192,90:09000:0:PV-003031763248;90:09000:1:PV-003031781000;90:09000:2:PV-006622218269;
C1CC2CCC(CN1)N2,1625,90:09000:0:PV-000555295647;90:09000:1:PV-003877374953;90:09000:3:PV-000554923118;
C1CCC2(CCC2)OC1,1405,90:09000:0:PV-003877326070;90:09000:2:PV-003877392766;90:09000:3:PV-003031809269;
c1cnc2ccsc2c1,2199,90:09000:0:PV-003031763289;90:09000:0:PV-003031763687;90:09000:0:PV-003877339245;
c1ccc2nccnc2c1,1640,90:09000:0:PV-003031763289;90:09000:2:PV-002548784221;90:09000:2:PV-003031790957;
CC1CNCC(=O)N1C,98,90:09000:0:PV-003031763345;90:09001:6:PV-002548812573;90:09002:5:PV-003032097060;
Clc1ccc2c(c1)SCCCN2,37,90:09000:0:PV-003031763345;90:09000:6:PV-003031835667;90:09003:7:PV-003032244006;
Fc1ccc2[nH]cnc2c1,814,90:09000:0:PV-001864304878;90:09000:0:PV-001822595788;90:09000:2:PV-001864308776;
Cc1ncc2n1CCCC2,370,90:09000:0:PV-003877326392;90:09000:3:PV-003877417167;90:09001:0:PV-003877662329;
c1cc2n(n1)CCC2,2069,90:09000:0:PV-003877326446;90:09000:0:PV-003877337373;90:09000:1:PV-001592180186;
CC1(C)CNC2COCC21,242,90:09000:0:PV-003877326474;90:09001:5:PV-003877831018;90:09001:7:PV-003877901461;
Oc1cnsn1,1640,90:09000:0:PV-003877326475;90:09000:1:PV-003877352776;90:09000:1:PV-003877352777;
CC12CCCC(C1)OC2,104,90:09000:0:PV-003031763503;90:09000:6:PV-003031836247;90:09002:6:PV-003032103675;
Cn1ccn(C)c1=O,790,90:09000:0:PV-003877326654;90:09000:0:PV-003877326655;90:09000:0:PV-003877326656;
NC1CCCNC1,679,90:09000:0:PV-003877326723;90:09000:4:PV-003877461315;90:09000:9:PV-003031873174;
C1CC2CCOC2C1,1237,90:09000:0:PV-003877326872;90:09000:4:PV-006622307080;90:09000:4:PV-006622307081;
Cc1nccc(N)n1,693,90:09000:0:PV-003031763631;90:09000:6:PV-003877514112;90:09001:2:PV-003031920856;
C1CCC2CNCC2C1,2059,90:09000:0:PV-003877326922;90:09000:0:PV-003877326923;90:09000:0:PV-003877343377;
Cc1ccc2nonc2c1,235,90:09000:0:PV-003877327061;90:09000:5:PV-003877488255;90:09000:7:PV-006622742284;
CC12CCC(C1)C(C)(C)C2,22,90:09000:0:PV-003877327067;90:09016:4:PV-003882938124;90:09019:8:PV-003884089946;
c1scc2c1CCC2,1063,90:09000:0:PV-003031763736;90:09000:1:PV-003031774395;90:09000:2:PV-003877381477;
C1CCC2(CC1)CCNCC2,506,90:09000:0:PV-003031763736;90:09000:2:PV-003031783040;90:09000:9:PV-003877618839;
OC1CCc2ccccc21,1060,90:09000:0:PV-003877327295;90:09000:2:PV-006622260871;90:09000:3:PV-003877405160;
Cc1n[nH]c(C)n1,1044,90:09000:0:PV-003877327372;90:09000:2:PV-006622262247;90:09000:6:PV-003877505923;
c1ccn2ccnc2c1,7009,90:09000:0:PV-003877327416;90:09000:0:PV-002600532300;90:09000:0:PV-003877334928;
CN1CCC2CNCC2C1,408,90:09000:0:PV-003877327454;90:09000:0:PV-003877335297;90:09000:5:PV-003877480717;
CC1CCC2(CC2)NC1,62,90:09000:0:PV-004134908338;90:09000:3:PV-003031804134;90:09001:2:PV-003877731622;
Nc1ccncc1F,637,90:09000:0:PV-003031763855;90:09000:0:PV-003031763856;90:09000:3:PV-003031797908;
Cc1ccc2[nH]ccc2c1,722,90:09000:0:PV-003877327581;90:09000:2:PV-003031783326;90:09001:0:PV-003031898871;
Cc1csc2ccc(Cl)cc12,101,90:09000:0:PV-003877327662;90:09002:8:PV-003878280997;90:09003:2:PV-003878419033;
C1CC2CCCC2C1,1757,90:09000:0:PV-003031763941;90:09000:0:PV-003031765465;90:09000:0:PV-003877334121;
C1CNC2CCCC2C1,880,90:09000:0:PV-003031763957;90:09000:0:PV-003031768184;90:09000:0:PV-003877342702;
Cn1ncc(Cl)c1Cl,931,90:09000:0:PV-003877327831;90:09000:0:PV-003877327832;90:09000:0:PV-003877327833;
C1CNCC2(C1)CCNC2,996,90:09000:0:PV-003031763963;90:09000:4:PV-006622438456;90:09000:5:PV-000583194420;
CC1(C)CCCS1(=O)=O,377,90:09000:0:PV-003877327901;90:09000:0:PV-003877327902;90:09000:0:PV-002290034724;
c1cnc2cn[nH]c2c1,1206,90:09000:0:PV-003031763986;90:09000:1:PV-003031781062;90:09000:3:PV-002341790924;
Oc1ccn[nH]1,629,90:09000:0:PV-003877327943;90:09000:0:PV-003877335264;90:09000:2:PV-006622228209;
c1ccc2c(c1)CCCCC2,1332,90:09000:0:PV-002341785756;90:09000:1:PV-002186535299;90:09000:2:PV-003031784947;
Cn1cn[nH]c1=O,1243,90:09000:0:PV-002445284012;90:09000:0:PV-003877344872;90:09000:1:PV-003877373119;
Cn1ccc2ccccc2c1=O,292,90:09000:0:PV-003877327998;90:09001:4:PV-002134813077;90:09001:8:PV-006623849340;
CC12CC(C1)C2,2528,90:09000:0:PV-003877328040;90:09000:0:PV-003877331241;90:09000:0:PV-003877331243;
CN1CCC2NCCCC21,334,90:09000:0:PV-003877328128;90:09000:1:PV-003877355916;90:09000:3:PV-003877428633;
Fc1cccc2[nH]cnc12,680,90:09000:0:PV-002445284026;90:09000:1:PV-003031780794;90:09000:5:PV-003031830221;
Cc1cscc1Cl,2920,90:09000:0:PV-003877328317;90:09000:0:PV-001343161356;90:09000:0:PV-003877334804;
C1CCC2(CC1)CCC2,3602,90:09000:0:PV-003031764161;90:09000:0:PV-003031770212;90:09000:1:PV-003877350872;
Fc1cccc2ncsc12,80,90:09000:0:PV-003877328399;90:09001:3:PV-003031936526;90:09002:3:PV-002341831182;
CC1CCCCS1(=O)=O,508,90:09000:0:PV-003877328408;90:09000:2:PV-003031792983;90:09000:5:PV-003877483475;
Nc1ccn2nccc2c1,50,90:09000:0:PV-003877328408;90:09002:1:PV-003878033682;90:09004:0:PV-004135271497;
Cn1ccc(N)n1,1407,90:09000:0:PV-003877328496;90:09000:1:PV-003877366183;90:09000:3:PV-003877409849;
Cc1conc1C,2225,90:09000:0:PV-001708246015;90:09000:0:PV-000509647723;90:09000:0:PV-000505438800;
Cc1ncccn1,5248,90:09000:0:PV-002238283311;90:09000:0:PV-001664841935;90:09000:0:PV-003031769770;
CC1CCCC1C,655,90:09000:0:PV-000491230783;90:09000:1:PV-003877369702;90:09000:4:PV-003877453287;
c1ccc2nnccc2c1,776,90:09000:0:PV-004134908744;90:09000:2:PV-002134789913;90:09000:3:PV-001984442654;
CN1CCOc2ccccc21,516,90:09000:0:PV-002290034800;90:09000:2:PV-006622163675;90:09000:2:PV-006622256801;
Cc1ccc2c(n1)NCC(=O)N2,36,90:09000:0:PV-003031764474;90:09003:3:PV-003032196155;90:09007:3:PV-003032725435;
C1CNC2(C1)CCCOC2,192,90:09000:0:PV-003877329347;90:09000:6:PV-003877508885;90:09001:3:PV-006623379680;
O=C1NCC(O)CC12CCNCC2,73,90:09000:0:PV-002186532767;90:09001:1:PV-002393559724;90:09001:9:PV-006623969040;
C1CC12CC21CC1,1425,90:09000:0:PV-003877329663;90:09000:0:PV-003877329664;90:09000:0:PV-003877329665;
Clc1cnc2nccn2c1,366,90:09000:0:PV-003877329808;90:09000:0:PV-003877330305;90:09000:3:PV-003877429994;
Cc1cccc2c1NC(=O)C2,18,90:09000:0:PV-003877329829;90:09008:4:PV-003880202097;90:09015:2:PV-006637402216;
Cc1ccc(Cl)cc1O,230,90:09000:0:PV-003877329851;90:09000:4:PV-003877446689;90:09000:4:PV-003877457877;
NC1CC2(CCCC2)C1,155,90:09000:0:PV-003877329895;90:09000:0:PV-003877340333;90:09000:4:PV-004134946185;
FC1(F)CCC2CNCC21,306,90:09000:0:PV-003877329956;90:09000:2:PV-004134922815;90:09001:0:PV-003877670633;
Nc1cncc(F)c1,806,90:09000:0:PV-003877329965;90:09000:0:PV-003877329966;90:09000:0:PV-003877342216;
CC1CCCC(C)N1,680,90:09000:0:PV-003877330030;90:09000:2:PV-006622257471;90:09000:3:PV-003877418162;
Nc1cncc(Cl)c1,106,90:09000:0:PV-003877330032;90:09000:7:PV-003877553058;90:09001:0:PV-003877678559;
Cc1noc2ncccc12,538,90:09000:0:PV-003031764783;90:09000:0:PV-003877341328;90:09000:0:PV-003877342605;
Cc1ccnc(Cl)n1,44,90:09000:0:PV-003031764854;90:09002:6:PV-003032110258;90:09007:2:PV-003032718033;
Nc1cnccn1,3018,90:09000:0:PV-003877330491;90:09000:2:PV-003031784229;90:09000:2:PV-003877393944;
c1ccc2c(c1)OCCO2,3428,90:09000:0:PV-002238283426;90:09000:0:PV-004134909673;90:09000:0:PV-003031767602;
Clc1cccc2nsnc12,244,90:09000:0:PV-004134909136;90:09000:0:PV-006622007493;90:09000:0:PV-006622007494;
CC1CNC(C)(C)C1,838,90:09000:0:PV-003877330721;90:09000:0:PV-003877330727;90:09000:2:PV-003877380074;
C1CN2CCN1CC2,138,90:09000:0:PV-003031765032;90:09000:7:PV-003031854190;90:09001:1:PV-003031913256;
Cc1cc[nH]c1C,2650,90:09000:0:PV-003031765049;90:09000:1:PV-003877360741;90:09000:1:PV-003031779969;
Fc1cccs1,7300,90:09000:0:PV-001403454110;90:09000:0:PV-003877341177;90:09000:1:PV-003031774906;
Cc1cnc2ccccc2c1,398,90:09000:0:PV-003031765102;90:09000:1:PV-006622061309;90:09000:3:PV-003031797054;
c1cnc2c(c1)CCNC2,320,90:09000:0:PV-003031765102;90:09000:4:PV-003877456209;90:09000:4:PV-003031817291;
Cc1cc(C)oc(=O)c1,473,90:09000:0:PV-003877331033;90:09000:1:PV-006622094998;90:09000:1:PV-003877376154;
Cc1cc(C)c2ccsc2n1,92,90:09000:0:PV-003031765160;90:09001:6:PV-003877856127;90:09001:6:PV-003877856128;
FC1COC1,476,90:09000:0:PV-002704692712;90:09000:0:PV-003877333397;90:09000:6:PV-003031836108;
Cc1ccc2c(C)cc(O)nc2c1,44,90:09000:0:PV-003031765231;90:09007:2:PV-003879795142;90:09015:4:PV-002497351580;
Cn1cnc2cnccc21,445,90:09000:0:PV-003877331351;90:09000:4:PV-002186540581;90:09000:5:PV-003877477140;
c1n[nH]c2c1CCC2,2203,90:09000:0:PV-003031765239;90:09000:0:PV-003031765240;90:09000:0:PV-003031765241;
CN1CCc2ccccc2C1,258,90:09000:0:PV-003877331571;90:09000:0:PV-003877331572;90:09000:0:PV-003877331573;
O=c1ccn2[nH]ccc2n1,66,90:09000:0:PV-003877331843;90:09001:7:PV-003877908062;90:09004:9:PV-003878983228;
O=S1(=O)CCCc2ccccc21,260,90:09000:0:PV-003031765456;90:09001:0:PV-003031893209;90:09001:0:PV-006623073348;
c1occ2c1CCCC2,327,90:09000:0:PV-003031765486;90:09000:0:PV-003031765487;90:09000:0:PV-003031765488;
C1COC2(CCNC2)CN1,1030,90:09000:0:PV-000244960436;90:09000:1:PV-003031771111;90:09000:2:PV-003031791162;
Cc1cn(C)cn1,2413,90:09000:0:PV-001708487890;90:09000:1:PV-001601853538;90:09000:1:PV-001774585196;
c1n[nH]c2c1NCCC2,197,90:09000:0:PV-003031765520;90:09000:7:PV-006622669129;90:09000:8:PV-003877600675;
Cc1cccc(C)c1C,75,90:09000:0:PV-003031765520;90:09001:9:PV-002497074621;90:09002:4:PV-002600580234;
Cc1ccc2ccc(O)cc2n1,37,90:09000:0:PV-003877332233;90:09003:4:PV-003032214338;90:09005:1:PV-003032431199;
