fragment_smiles,occurences,example_ligands
Clc1ncc[nH]1,4172,90:09000:0:PV-003031754914;90:09000:0:PV-003031757730;90:09000:0:PV-003877329256;
Cn1cnnc1,7285,90:09000:0:PV-003031754916;90:09000:0:PV-003031754917;90:09000:0:PV-003031754918;
Clc1cccs1,32995,90:09000:0:PV-003031754916;90:09000:0:PV-003031754917;90:09000:0:PV-003031754918;
c1cncnc1,55761,90:09000:0:PV-003877304041;90:09000:0:PV-000545436753;90:09000:0:PV-001805745417;
CN1CCC2NCCC2C1,274,90:09000:0:PV-003877304055;90:09000:0:PV-003877309076;90:09001:0:PV-003877658031;
Cc1cnoc1,17164,90:09000:0:PV-003877304077;90:09000:0:PV-003877304078;90:09000:0:PV-000579386369;
OC1CCNC1,69170,90:09000:0:PV-003877304077;90:09000:0:PV-003877304078;90:09000:0:PV-003877304841;
Fc1ccc2cnoc2c1,256,90:09000:0:PV-002600530431;90:09000:2:PV-003877382188;90:09000:3:PV-003877416661;
CC1CCNC1,115195,90:09000:0:PV-003031754941;90:09000:0:PV-003877304187;90:09000:0:PV-000557114775;
Cc1ccccn1,26349,90:09000:0:PV-003877304095;90:09000:0:PV-001339282785;90:09000:0:PV-003031756943;
Cn1nccc1F,4461,90:09000:0:PV-003877304095;90:09000:0:PV-003877313580;90:09000:1:PV-002497039524;
Cc1ccnc(N)c1,1104,90:09000:0:PV-003877304099;90:09000:0:PV-003031759404;90:09000:3:PV-003031802536;
FC1CCCNC1,33777,90:09000:0:PV-003877304126;90:09000:0:PV-003877306808;90:09000:0:PV-003877306810;
Nc1nc[nH]n1,799,90:09000:0:PV-003877304126;90:09000:0:PV-003877339623;90:09000:1:PV-003031770937;
Cc1ccccc1,88770,90:09000:0:PV-002134784624;90:09000:0:PV-002341784376;90:09000:0:PV-001511355016;
O=C1Cc2ccc(Cl)cc2N1,176,90:09000:0:PV-002134784624;90:09001:6:PV-003031974856;90:09002:4:PV-003032078720;
c1ccc2scnc2c1,5607,90:09000:0:PV-003877304141;90:09000:0:PV-003877316424;90:09000:0:PV-003031760764;
c1ccc2[nH]cnc2c1,7326,90:09000:0:PV-003877304141;90:09000:0:PV-003877316094;90:09000:0:PV-003877324888;
c1nnn[nH]1,8677,90:09000:0:PV-002497035579;90:09000:0:PV-003031755835;90:09000:0:PV-003877307724;
c1cocn1,64201,90:09000:0:PV-002497035579;90:09000:0:PV-003877304447;90:09000:0:PV-003877305179;
Cn1ccc(Cl)c1,2792,90:09000:0:PV-003877304167;90:09000:0:PV-003877304168;90:09000:1:PV-003877362825;
C1COCO1,12754,90:09000:0:PV-003877304167;90:09000:0:PV-003877304168;90:09000:0:PV-003877304434;
CC1CCCOC1,3351,90:09000:0:PV-003877304172;90:09000:0:PV-003877304173;90:09000:0:PV-003877304894;
Cc1ccc2cc[nH]c2c1,497,90:09000:0:PV-003031754990;90:09000:5:PV-003877496843;90:09001:3:PV-003031934071;
Cc1ncc[nH]1,13364,90:09000:0:PV-003877304187;90:09000:0:PV-001503472485;90:09000:0:PV-003877307191;
C1CCC2CC2CC1,2055,90:09000:0:PV-003877304200;90:09000:0:PV-003877334336;90:09000:0:PV-003031769918;
C1CCCNCCC1,6716,90:09000:0:PV-001247532355;90:09000:0:PV-003877310265;90:09000:0:PV-003877329851;
C1=Cc2ccccc2C1,244,90:09000:0:PV-003031755013;90:09000:0:PV-003031758171;90:09000:0:PV-003031759240;
C1CCCNCC1,42524,90:09000:0:PV-003877304260;90:09000:0:PV-003877307180;90:09000:0:PV-000579386369;
c1cn2c(n1)SCC2,1589,90:09000:0:PV-003877304260;90:09000:0:PV-003877328242;90:09000:0:PV-002548780732;
Cc1[nH]ncc1F,2299,90:09000:0:PV-003877304284;90:09000:0:PV-003877317076;90:09000:0:PV-003877317077;
Cc1ccnnc1,5596,90:09000:0:PV-003877304289;90:09000:0:PV-003877331539;90:09000:0:PV-003877335570;
Cc1cccc(F)c1,10542,90:09000:0:PV-001991460126;90:09000:0:PV-003877317956;90:09000:0:PV-003031760746;
c1nc[nH]n1,120116,90:09000:0:PV-001991460126;90:09000:0:PV-003877304353;90:09000:0:PV-003877305700;
c1cc[nH]c1,64305,90:09000:0:PV-001991460126;90:09000:0:PV-003031755459;90:09000:0:PV-000546230814;
