fragment_smiles,occurences,example_ligands
Cc1nccs1,21812,387:38700:0:PV-004962070104;387:38700:0:PV-004962071773;387:38700:0:PV-004962071774;
C1CCNC1,596505,387:38700:0:PV-004962070104;387:38700:0:PV-004962070153;387:38700:0:PV-004962070154;
c1ccoc1,131568,387:38700:0:PV-004962070104;387:38700:0:PV-004962070564;387:38700:0:PV-004962070918;
Cc1ccccc1,113422,387:38700:0:PV-004962070109;387:38700:0:PV-004962071438;387:38700:0:PV-004962071723;
CC1CNC1,47027,387:38700:0:PV-004962070109;387:38700:0:PV-004962071298;387:38700:0:PV-004962071301;
C1CC2CCC1C2,21162,387:38700:0:PV-004962070109;387:38700:0:PV-004962070544;387:38700:0:PV-004962070612;
c1ccsc1,124917,387:38700:0:PV-004962070117;387:38700:0:PV-004962070118;387:38700:0:PV-004962070780;
FC1CCCNC1,63517,387:38700:0:PV-004962070117;387:38700:0:PV-004962070118;387:38700:0:PV-004962070593;
c1cn[nH]c1,256992,387:38700:0:PV-004962070117;387:38700:0:PV-004962070118;387:38700:0:PV-004962070601;
C1CCCNCC1,97397,387:38700:0:PV-004962070138;387:38700:0:PV-004962070139;387:38700:0:PV-004962070728;
Fc1ccn[nH]1,8044,387:38700:0:PV-004962070138;387:38700:0:PV-004962070139;387:38700:0:PV-004962073296;
c1ccccc1,387289,387:38700:0:PV-004962070138;387:38700:0:PV-004962070139;387:38700:0:PV-004962070279;
c1ccc2oncc2c1,5945,387:38700:0:PV-004962070152;387:38700:0:PV-004962073966;387:38700:0:PV-004962073967;
C1CCCCC1,222039,387:38700:0:PV-004962070153;387:38700:0:PV-004962070154;387:38700:0:PV-004962070195;
Clc1cc[nH]c1,7769,387:38700:0:PV-004962070153;387:38700:0:PV-004962070154;387:38700:0:PV-004962071066;
Cc1ncco1,20363,387:38700:0:PV-004962070169;387:38700:0:PV-004962072668;387:38700:0:PV-004962072669;
C1CCC2NCCCC2C1,696,387:38700:0:PV-004962070169;387:38700:2:PV-004962126971;387:38700:2:PV-004962134694;
C1CCC2(C1)CC2,9937,387:38700:0:PV-004962070170;387:38700:0:PV-004962074651;387:38700:0:PV-004962079753;
Clc1ccccc1,74041,387:38700:0:PV-004962070170;387:38700:0:PV-004962070649;387:38700:0:PV-004962071100;
