fragment_smiles,occurences,example_ligands
Cc1ccccn1,51176,323:32300:0:PV-006220087686;323:32300:0:PV-006220087687;323:32300:0:PV-006220089787;
C1CC2CCC(C1)N2,34917,323:32300:0:PV-006220087686;323:32300:0:PV-006220087687;323:32300:0:PV-006220087866;
Clc1ccco1,14394,323:32300:0:PV-006220087686;323:32300:0:PV-006220087687;323:32300:0:PV-006220088740;
C1CNC2(C1)CC2,11765,323:32300:0:PV-006220087692;323:32300:0:PV-006220088168;323:32300:0:PV-006220092120;
c1cn[nH]c1,255710,323:32300:0:PV-006220087692;323:32300:0:PV-006220087727;323:32300:0:PV-006220088080;
c1cnoc1,130008,323:32300:0:PV-006220087692;323:32300:0:PV-006220087751;323:32300:0:PV-006220088068;
C1CC2CNCC2O1,7924,323:32300:0:PV-006220087694;323:32300:0:PV-006220088397;323:32300:0:PV-006220089090;
c1ccncc1,288829,323:32300:0:PV-006220087694;323:32300:0:PV-006220087872;323:32300:0:PV-006220087873;
c1cncnc1,63940,323:32300:0:PV-006220087701;323:32300:0:PV-006220088041;323:32300:0:PV-006220088326;
Cc1cccc(Cl)c1,14830,323:32300:0:PV-006220087701;323:32300:0:PV-006220090652;323:32300:0:PV-006220091302;
Cc1cccc(C)c1F,2503,323:32300:0:PV-006220087712;323:32300:0:PV-006220107629;323:32300:1:PV-006220117796;
C1CNCCNC1,28293,323:32300:0:PV-006220087712;323:32300:0:PV-006220088067;323:32300:0:PV-006220089080;
Cn1cnnc1,3903,323:32300:0:PV-006220087712;323:32300:0:PV-006220093300;323:32300:0:PV-006220093301;
CC1CCCCN1,63800,323:32300:0:PV-006220087713;323:32300:0:PV-006220088901;323:32300:0:PV-006220088902;
O=c1[nH]cnc2sccc12,574,323:32300:0:PV-006220087713;323:32300:2:PV-006220161180;323:32300:6:PV-006220231240;
Cn1cccn1,130783,323:32300:0:PV-006220087725;323:32300:0:PV-006220087770;323:32300:0:PV-006220087771;
CC1(C)CCCNC1,27346,323:32300:0:PV-006220087725;323:32300:0:PV-006220088905;323:32300:0:PV-006220092009;
C1CC2(C1)CCNC2,20466,323:32300:0:PV-006220087727;323:32300:0:PV-006220087854;323:32300:0:PV-006220088240;
FC1CNC1,21239,323:32300:0:PV-006220087728;323:32300:0:PV-006220088995;323:32300:0:PV-006220090301;
Cc1cc(C)cc(F)c1,1834,323:32300:0:PV-006220087729;323:32300:1:PV-006220127666;323:32300:1:PV-006220127667;
c1cn[nH]n1,7363,323:32300:0:PV-006220087729;323:32300:0:PV-006220089133;323:32300:0:PV-006220089517;
CC1CCNC1,168937,323:32300:0:PV-006220087731;323:32300:0:PV-006220087732;323:32300:0:PV-006220087733;
C1CCOC1,136861,323:32300:0:PV-006220087731;323:32300:0:PV-006220087732;323:32300:0:PV-006220087733;
c1ccccc1,386749,323:32300:0:PV-006220087740;323:32300:0:PV-006220087867;323:32300:0:PV-006220087868;
C1NCC2CC12,104437,323:32300:0:PV-006220087740;323:32300:0:PV-006220087782;323:32300:0:PV-006220087904;
FC1CCNC1,71321,323:32300:0:PV-006220087751;323:32300:0:PV-006220088124;323:32300:0:PV-006220089448;
c1cscn1,95263,323:32300:0:PV-006220087751;323:32300:0:PV-006220087932;323:32300:0:PV-006220088484;
Cc1ccoc1,44413,323:32300:0:PV-006220087755;323:32300:0:PV-006220089219;323:32300:0:PV-006220090327;
C1CCNCC1,551748,323:32300:0:PV-006220087755;323:32300:0:PV-006220087768;323:32300:0:PV-006220087860;
C1CNCCN1,152188,323:32300:0:PV-006220087755;323:32300:0:PV-006220087886;323:32300:0:PV-006220087931;
C1CCCC1,238567,323:32300:0:PV-006220087757;323:32300:0:PV-006220087758;323:32300:0:PV-006220087888;
c1cc2n(c1)CCCC2,4004,323:32300:0:PV-006220087757;323:32300:0:PV-006220087758;323:32300:0:PV-006220088370;
C1CCNC1,596308,323:32300:0:PV-006220087766;323:32300:0:PV-006220087840;323:32300:0:PV-006220087867;
Oc1ccccc1F,11045,323:32300:0:PV-006220087766;323:32300:0:PV-006220095837;323:32300:0:PV-006220102563;
CC1CNC1,47153,323:32300:0:PV-006220087767;323:32300:0:PV-006220087838;323:32300:0:PV-006220088102;
Cc1ccc(C)[nH]1,10765,323:32300:0:PV-006220087767;323:32300:0:PV-006220095693;323:32300:0:PV-006220100059;
FC1(F)CCC1,22223,323:32300:0:PV-006220087767;323:32300:0:PV-006220087879;323:32300:0:PV-006220087880;
OC1CCC1,38003,323:32300:0:PV-006220087768;323:32300:0:PV-006220087840;323:32300:0:PV-006220089290;
OC1CCNC1,92124,323:32300:0:PV-006220087770;323:32300:0:PV-006220087771;323:32300:0:PV-006220088048;
Cn1ccnc1,40851,323:32300:0:PV-006220087782;323:32300:0:PV-006220088053;323:32300:0:PV-006220088309;
CC1=CCCO1,8929,323:32300:0:PV-006220087783;323:32300:0:PV-006220088461;323:32300:0:PV-006220089272;
C1COC2(C1)CNC2,8679,323:32300:0:PV-006220087783;323:32300:0:PV-006220090575;323:32300:0:PV-006220091122;
Oc1ccccc1,42585,323:32300:0:PV-006220087818;323:32300:0:PV-006220089452;323:32300:0:PV-006220092369;
c1cnc2c(c1)CCO2,1657,323:32300:0:PV-006220087818;323:32300:0:PV-006220091047;323:32300:0:PV-006220091048;
Cc1cncc(F)c1,8249,323:32300:0:PV-006220087838;323:32300:0:PV-006220092887;323:32300:0:PV-006220092888;
c1cc2n(c1)CCSC2,2223,323:32300:0:PV-006220087838;323:32300:1:PV-006220126139;323:32300:1:PV-006220133934;
Cn1ccc2ccncc21,859,323:32300:0:PV-006220087840;323:32300:1:PV-006220137158;323:32300:1:PV-006220137159;
C1CC2CNCC1N2,22427,323:32300:0:PV-006220087853;323:32300:0:PV-006220088075;323:32300:0:PV-006220089921;
CC1CCNCC1,57019,323:32300:0:PV-006220087853;323:32300:0:PV-006220088200;323:32300:0:PV-006220088692;
FC1(F)CCCC1,13086,323:32300:0:PV-006220087854;323:32300:0:PV-006220095310;323:32300:0:PV-006220097891;
Cc1cnnn1C,3170,323:32300:0:PV-006220087860;323:32300:0:PV-006220088165;323:32300:0:PV-006220089786;
CC1CNCCCN1,30752,323:32300:0:PV-006220087862;323:32300:0:PV-006220087863;323:32300:0:PV-006220088212;
Cc1cccc(O)c1,11185,323:32300:0:PV-006220087866;323:32300:0:PV-006220091319;323:32300:0:PV-006220091320;
C1CCSC1,11954,323:32300:0:PV-006220087866;323:32300:0:PV-006220088241;323:32300:0:PV-006220089507;
FC1CC2(CCC2)C1,3990,323:32300:0:PV-006220087867;323:32300:0:PV-006220087868;323:32300:0:PV-006220087869;
FC1(F)CCCNC1,5472,323:32300:0:PV-006220087872;323:32300:0:PV-006220087873;323:32300:0:PV-006220087874;
Fc1ccn[nH]1,7826,323:32300:0:PV-006220087879;323:32300:0:PV-006220087880;323:32300:0:PV-006220088449;
Fc1cccc(F)c1,33265,323:32300:0:PV-006220087886;323:32300:0:PV-006220088401;323:32300:0:PV-006220089460;
C1CC2(CN1)CNC2,20173,323:32300:0:PV-006220087888;323:32300:0:PV-006220087889;323:32300:0:PV-006220088433;
Cc1ncnn1C,2919,323:32300:0:PV-006220087918;323:32300:0:PV-006220087919;323:32300:0:PV-006220090190;
Fc1cccnc1,49378,323:32300:0:PV-006220087920;323:32300:0:PV-006220087921;323:32300:0:PV-006220088090;
C1CC2CCC(C1)C2,467,323:32300:0:PV-006220087920;323:32300:0:PV-006220087921;323:32300:8:PV-006220296453;
Cc1ccno1,30209,323:32300:0:PV-006220087931;323:32300:0:PV-006220088547;323:32300:0:PV-006220088721;
FC1CCCC1,15388,323:32300:0:PV-006220087931;323:32300:0:PV-006220091004;323:32300:0:PV-006220091005;
CC1CCCC1(C)C,296,323:32300:0:PV-006220087932;323:32300:0:PV-006220103597;323:32300:0:PV-006220103598;
