fragment_smiles,occurences,example_ligands
Cc1cccc(C)c1,27638,92:09200:0:Z2783390027;92:09200:0:Z3576685201;92:09200:0:Z4170535890;
C1CCOC1,144115,92:09200:0:Z4313502904;92:09200:0:Z3000701782;92:09200:0:Z3205250808;
c1ccc2c(c1)OCO2,15093,92:09200:0:Z1478599900;92:09200:0:Z1787481460;92:09200:0:Z2047246369;
C1CCC2(CC1)CCC2,4523,92:09200:0:Z3551891572;92:09200:0:Z4472874775;92:09200:0:Z3578319067;
CC1CNCCNC1,1314,92:09200:0:Z3551891572;92:09200:2:Z2880803561;92:09200:5:Z2909256371;
Cc1ccno1,14356,92:09200:0:Z3179535612;92:09200:0:Z3634002245;92:09200:0:Z2169050956;
c1nnc[nH]1,56998,92:09200:0:Z3179535612;92:09200:0:Z1184939563;92:09200:0:Z2492870056;
O=C1CCNC(=O)N1,20661,92:09200:0:Z3463393826;92:09200:0:Z3529907398;92:09200:0:Z3529593966;
CC1(C)CCOC1,2766,92:09200:0:Z3463393826;92:09200:0:Z3610170051;92:09200:0:Z2870648764;
c1cc2n(n1)CCCC2,6708,92:09200:0:Z3507656678;92:09200:0:Z2863312678;92:09200:0:Z2850286331;
CC1CNC1,8308,92:09200:0:Z2191279842;92:09200:0:Z1862697248;92:09200:0:Z4200109534;
CN1CCCCC1,21569,92:09200:0:Z2191279842;92:09200:0:Z1873239522;92:09200:0:Z1522027625;
CC1(C)CCNCCN1,124,92:09200:0:Z2791557552;92:09200:8:Z3517744229;92:09201:4:Z2791542062;
C1CC2(C1)CCNC2,6090,92:09200:0:Z3395797940;92:09200:0:Z2656345146;92:09200:0:Z3916901875;
c1cncnc1,89756,92:09200:0:Z3395797940;92:09200:0:Z2667773971;92:09200:0:Z4170535890;
CC1CCCN1,18932,92:09200:0:Z4095037124;92:09200:0:Z4021444273;92:09200:0:Z4666360332;
CC1(C)CCCCC1,2952,92:09200:0:Z4095037124;92:09200:0:Z2233202387;92:09200:0:Z3542302235;
c1ccnnc1,19952,92:09200:0:Z3821461430;92:09200:0:Z4391306538;92:09200:0:Z4349134629;
Cc1ccc2c(c1)NCC2,183,92:09200:0:Z3289854144;92:09200:1:Z1651401900;92:09200:2:Z1881252992;
c1ccc2c(c1)OCCO2,16137,92:09200:0:Z3289854144;92:09200:0:Z4883301512;92:09200:0:Z2623263571;
Cn1ncc2cnc(N)nc21,87,92:09200:0:Z2506099404;92:09200:5:Z2977117006;92:09201:0:Z2615236372;
O=C1CNCCN1,16546,92:09200:0:Z2506099404;92:09200:0:Z1158481515;92:09200:0:Z981935002;
NC1CCS(=O)(=O)C2(CCC2)C1,77,92:09200:0:Z3105174097;92:09201:9:Z3105687136;92:09202:0:Z3102115268;
Cn1cccn1,156063,92:09200:0:Z3504247771;92:09200:0:Z3373730205;92:09200:0:Z3593213694;
C1CCCCC1,153615,92:09200:0:Z3504247771;92:09200:0:Z2296233058;92:09200:0:Z4113855229;
Cc1ccn[nH]1,36045,92:09200:0:Z2232896362;92:09200:0:Z1594683066;92:09200:0:Z3091604460;
C1CNCCOC1,12869,92:09200:0:Z2232896362;92:09200:0:Z4263371064;92:09200:0:Z4994890983;
Cc1c[nH]c(=O)[nH]1,926,92:09200:0:Z1949898058;92:09200:1:Z2496424024;92:09200:2:Z2170497713;
C1CNCCN1,158749,92:09200:0:Z3575965687;92:09200:0:Z1259587275;92:09200:0:Z2210039471;
Cc1cnnn1C,809,92:09200:0:Z1259587275;92:09200:1:Z1259873066;92:09200:1:Z3011165653;
FC1(F)CCCC1,4084,92:09200:0:Z3058983512;92:09200:0:Z1964712174;92:09200:0:Z4383807084;
Fc1ccc2c(c1)NCCC2,475,92:09200:0:Z1880157960;92:09200:4:Z4087282795;92:09200:5:Z4087284544;
c1ccc2occc2c1,14079,92:09200:0:Z3443936180;92:09200:0:Z1961465722;92:09200:0:Z652175494;
C1CNCCNC1,25533,92:09200:0:Z3531355251;92:09200:0:Z1307010778;92:09200:0:Z3512944537;
Oc1ccc2ccccc2c1,781,92:09200:0:Z3531355251;92:09200:1:Z4134913393;92:09200:3:Z4887881116;
C1CCC2(CC1)OCCO2,4164,92:09200:0:Z1824629198;92:09200:0:Z1593834547;92:09200:0:Z4304846646;
Cn1cnc2cncnc21,710,92:09200:0:Z3830055352;92:09200:1:Z3829060908;92:09200:5:Z4650321278;
c1ccn2ccnc2c1,9770,92:09200:0:Z1373518524;92:09200:0:Z4994890983;92:09200:0:Z755650198;
Oc1ccccc1,40638,92:09200:0:Z1634523428;92:09200:0:Z4472874775;92:09200:0:Z3299851281;
Cn1ccnc1,36559,92:09200:0:Z1634523428;92:09200:0:Z3855052342;92:09200:0:Z3802414123;
NC1CCn2nccc2C1,170,92:09200:0:Z4056540485;92:09201:1:Z5060412069;92:09201:7:Z3100189665;
Clc1ccccc1,202461,92:09200:0:Z3619716837;92:09200:0:Z2767467759;92:09200:0:Z4393220543;
Cc1ccc2c(c1C)OCC2,285,92:09200:0:Z4316019342;92:09200:6:Z3437092609;92:09200:9:Z3790897009;
