fragment_smiles,occurences,example_ligands
C1CNCCN1,57279,22:02200:0:Z3203324573;22:02200:0:Z2364460125;22:02200:0:Z2363777471;
FC1CCC1,19557,22:02200:0:Z3203324573;22:02200:0:Z4194130252;22:02200:0:Z4113766613;
c1ccc2c(c1)CCO2,8741,22:02200:0:Z4429097379;22:02200:0:Z4429075219;22:02200:0:Z4429075530;
C1CCNC1,261594,22:02200:0:Z4429097379;22:02200:0:Z4429075219;22:02200:0:Z4429075530;
c1ccoc1,76676,22:02200:0:Z1768246994;22:02200:0:Z3505009295;22:02200:0:Z370893664;
c1ccccc1,440750,22:02200:0:Z1768246994;22:02200:0:Z3009425509;22:02200:0:Z4004763012;
C1CCCC1,123590,22:02200:0:Z2364460125;22:02200:0:Z2363777471;22:02200:0:Z2363777470;
Cn1nccn1,4376,22:02200:0:Z2272423492;22:02200:0:Z3550026749;22:02200:1:Z2590193746;
CC1(C)CCC(C)(C)O1,1304,22:02200:0:Z2272423492;22:02200:1:Z2897008840;22:02200:1:Z5064171526;
Cc1ccccc1,95908,22:02200:0:Z1445348691;22:02200:0:Z4998486797;22:02200:0:Z2909223714;
CC1CCNC1,25631,22:02200:0:Z4421244576;22:02200:0:Z3136001619;22:02200:0:Z4421211429;
O=C1CCCN1,46828,22:02200:0:Z4421244576;22:02200:0:Z3136001619;22:02200:0:Z4421211429;
Cc1ccc(Cl)cc1F,586,22:02200:0:Z1417095696;22:02200:0:Z2623896789;22:02200:2:Z1417127345;
c1ccncc1,249489,22:02200:0:Z4028614671;22:02200:0:Z4009017962;22:02200:0:Z4225177569;
O=C1NCCC12CCC2,468,22:02200:0:Z4028614671;22:02200:3:Z4043160328;22:02200:5:Z4077086759;
c1cc2c(o1)CCCC2,1517,22:02200:0:Z4113212688;22:02200:1:Z4109272735;22:02200:3:Z4571587960;
C1CNCCSC1,1966,22:02200:0:Z3009425509;22:02200:0:Z3659737509;22:02200:0:Z1319257171;
Cn1cccn1,105709,22:02200:0:Z2313116393;22:02200:0:Z2703683656;22:02200:0:Z2802879797;
c1scc2c1CCC2,979,22:02200:0:Z3667076717;22:02200:1:Z3654802788;22:02200:2:Z4093949898;
c1cn[nH]c1,178691,22:02200:0:Z3505009295;22:02200:0:Z3824122503;22:02200:0:Z3348138177;
C1CCC2CC2C1,8083,22:02200:0:Z2916270876;22:02200:0:Z2454615217;22:02200:0:Z3068589463;
CN1CCC(=O)NCC1=O,8,22:02200:0:Z4009017962;22:02220:1:Z4208575703;22:02233:2:Z4208570382;
c1ccc2sccc2c1,5911,22:02200:0:Z3805816433;22:02200:0:Z3298372746;22:02200:0:Z3362939243;
Clc1ccccc1,96646,22:02200:0:Z56802763;22:02200:0:Z2999039108;22:02200:0:Z3634368790;
CC1NCCNC1C,340,22:02200:0:Z4004763012;22:02200:7:Z3104556277;22:02200:7:Z3828895405;
CC1CCCN1,24546,22:02200:0:Z4581041477;22:02200:0:Z4177135019;22:02200:0:Z3521703615;
CC1CCC1,15612,22:02200:0:Z4172390201;22:02200:0:Z2645861020;22:02200:0:Z2106027984;
c1cc2c(nn1)CCC2,409,22:02200:0:Z4172390201;22:02200:1:Z2439309870;22:02200:4:Z1309559448;
Oc1cccnn1,322,22:02200:0:Z3600304696;22:02200:0:Z4031053381;22:02200:0:Z4031062980;
