fragment_smiles,occurences,example_ligands
C1CC2(C1)CCNC2,11333,104:10400:0:PV-002713291743;104:10400:0:PV-004181723508;104:10400:0:PV-004181776284;
c1c[nH]nn1,121318,104:10400:0:PV-000386811003;104:10400:0:PV-003055632039;104:10400:0:PV-003055632040;
C1CNCCN1,109451,104:10400:0:PV-000386811003;104:10400:0:PV-003055632153;104:10400:0:PV-002713292264;
Cc1ccoc1C,4531,104:10400:0:PV-000386811003;104:10400:0:PV-004181759701;104:10400:0:PV-004181759702;
Cc1cc[nH]c1,21773,104:10400:0:PV-003055631852;104:10400:0:PV-003055632430;104:10400:0:PV-003055635341;
C1CC2CNCC1N2,17874,104:10400:0:PV-003055631852;104:10400:0:PV-003055633040;104:10400:0:PV-004181864658;
CC1CCOC1,13343,104:10400:0:PV-003055631852;104:10400:0:PV-001791160754;104:10400:0:PV-001400905803;
C1CC2(CN1)CNC2,15322,104:10400:0:PV-003055631855;104:10400:0:PV-002713291754;104:10400:0:PV-004181769651;
C1CC2CC1CN2,22537,104:10400:0:PV-002292615794;104:10400:0:PV-003055632346;104:10400:0:PV-003055633985;
Cc1cccc(C)c1,14184,104:10400:0:PV-002292615794;104:10400:0:PV-004181797243;104:10400:0:PV-003055637392;
Fc1ccccc1,103988,104:10400:0:PV-001644821374;104:10400:0:PV-003055632217;104:10400:0:PV-003055632394;
C1CC2(C1)CNCCN2,5660,104:10400:0:PV-002713291763;104:10400:0:PV-003055637413;104:10400:0:PV-003055641745;
CC1COC1,11880,104:10400:0:PV-002713291763;104:10400:0:PV-002713293479;104:10400:0:PV-004181769222;
CC1=CCCCC1,4282,104:10400:0:PV-003055631896;104:10400:0:PV-002713291769;104:10400:0:PV-002713295772;
C1CCNC1,545324,104:10400:0:PV-003055631896;104:10400:0:PV-002713291769;104:10400:0:PV-000474683744;
Fc1cccc(F)c1,20859,104:10400:0:PV-000533905326;104:10400:0:PV-002396118083;104:10400:0:PV-004181746112;
c1cncnc1,52231,104:10400:0:PV-000533905326;104:10400:0:PV-002551362730;104:10400:0:PV-003055632439;
Cc1cnoc1,22738,104:10400:0:PV-003055631957;104:10400:0:PV-003055631958;104:10400:0:PV-003055632499;
OC1CCNC1,85384,104:10400:0:PV-003055631957;104:10400:0:PV-003055631958;104:10400:0:PV-003055632266;
Cc1cccn1C,12789,104:10400:0:PV-003055631957;104:10400:0:PV-003055631958;104:10400:0:PV-004181715858;
c1cn[nH]c1,188418,104:10400:0:PV-003055631970;104:10400:0:PV-003055632120;104:10400:0:PV-003055632676;
CC1CCC1,56434,104:10400:0:PV-003055631970;104:10400:0:PV-003055632084;104:10400:0:PV-003055632085;
C1CCCC1,207399,104:10400:0:PV-003055631970;104:10400:0:PV-001644179157;104:10400:0:PV-003055632603;
c1ccsc1,161818,104:10400:0:PV-002604836931;104:10400:0:PV-001519475891;104:10400:0:PV-003055632050;
C1CCCNCC1,61763,104:10400:0:PV-002604836931;104:10400:0:PV-001519475891;104:10400:0:PV-003911957050;
Cn1cccn1,89065,104:10400:0:PV-000474683744;104:10400:0:PV-002713291805;104:10400:0:PV-003055631988;
C1CC2CC2C1,36923,104:10400:0:PV-000474683744;104:10400:0:PV-002713291805;104:10400:0:PV-003055631988;
c1ccccc1,281070,104:10400:0:PV-003055632012;104:10400:0:PV-003055632062;104:10400:0:PV-003055632244;
C1CNCCNC1,23211,104:10400:0:PV-003055632019;104:10400:0:PV-002713292344;104:10400:0:PV-002189112951;
C1CCNCC1,386590,104:10400:0:PV-003055632019;104:10400:0:PV-003911956921;104:10400:0:PV-002551362730;
CC1CNCCCN1,21163,104:10400:0:PV-003055632028;104:10400:0:PV-003055632029;104:10400:0:PV-004181726628;
Fc1cc[nH]n1,7862,104:10400:0:PV-003055632028;104:10400:0:PV-003055632029;104:10400:0:PV-004181733779;
O=c1[nH]c2ccccc2[nH]1,1415,104:10400:0:PV-001621639559;104:10400:0:PV-001630342162;104:10400:0:PV-001408422229;
c1cscn1,119620,104:10400:0:PV-001621639559;104:10400:0:PV-001630342162;104:10400:0:PV-001408422229;
CC1(C)CCNC1,23989,104:10400:0:PV-001129770644;104:10400:0:PV-003055632119;104:10400:0:PV-003055632569;
Clc1cccs1,42877,104:10400:0:PV-001129770644;104:10400:0:PV-002551362753;104:10400:0:PV-003911958242;
CC1CCNC1,149440,104:10400:0:PV-003055632039;104:10400:0:PV-003055632040;104:10400:0:PV-003055632508;
c1cc[nH]c1,82860,104:10400:0:PV-003055632039;104:10400:0:PV-003055632040;104:10400:0:PV-002713291894;
CC1CNC1,60112,104:10400:0:PV-003055632058;104:10400:0:PV-003055632682;104:10400:0:PV-003055633117;
c1cocn1,73184,104:10400:0:PV-003055632058;104:10400:0:PV-003055632215;104:10400:0:PV-003055633767;
c1cnc2cc[nH]c2c1,4068,104:10400:0:PV-003055632058;104:10400:0:PV-004181752428;104:10400:0:PV-004181767882;
c1ccncc1,175273,104:10400:0:PV-003055632062;104:10400:0:PV-002551362730;104:10400:0:PV-002713292215;
FC1CCNCC1,22572,104:10400:0:PV-002713291855;104:10400:0:PV-003911958071;104:10400:0:PV-004181750042;
C1CCOCC1,79646,104:10400:0:PV-002713291855;104:10400:0:PV-002713292353;104:10400:0:PV-003055633901;
CC1CCCC1,21672,104:10400:0:PV-003055632084;104:10400:0:PV-003055632085;104:10400:0:PV-001730722226;
O=S1(=O)CCCC1,8702,104:10400:0:PV-001644179157;104:10400:0:PV-004181760046;104:10400:0:PV-004181810017;
C1CC2CCC2C1,4815,104:10400:0:PV-003055632119;104:10400:0:PV-003055635390;104:10400:0:PV-004181733263;
C1CC2(C1)CC2,17875,104:10400:0:PV-003055632120;104:10400:0:PV-004181752951;104:10400:0:PV-004181850969;
Cc1ccn[nH]1,27620,104:10400:0:PV-000546111679;104:10400:0:PV-003055632122;104:10400:0:PV-002713292168;
CC1CCCCC1,23911,104:10400:0:PV-000546111679;104:10400:0:PV-003055632122;104:10400:0:PV-003055634150;
Cc1ccno1,25647,104:10400:0:PV-001363107160;104:10400:0:PV-003055632499;104:10400:0:PV-002713292291;
Cc1cccc(C)n1,4880,104:10400:0:PV-003055632153;104:10400:0:PV-002713292384;104:10400:0:PV-004181842147;
Fc1cncnc1,5356,104:10400:0:PV-002713291893;104:10400:0:PV-003055632508;104:10400:0:PV-002713292051;
CN1CCCCC1,24722,104:10400:0:PV-002713291894;104:10400:0:PV-002713291895;104:10400:0:PV-002713292327;
c1cc2c(s1)CCCC2,1974,104:10400:0:PV-002713291894;104:10400:0:PV-002713291895;104:10400:0:PV-004181819133;
OC1CCCC1,29075,104:10400:0:PV-003055632176;104:10400:0:PV-003055633179;104:10400:0:PV-002713293146;
C1CC2CCC1CC2,2584,104:10400:0:PV-003055632176;104:10400:0:PV-003055632180;104:10400:0:PV-004181784535;
Cc1ccoc1,37170,104:10400:0:PV-003055632180;104:10400:0:PV-003055632266;104:10400:0:PV-003055632267;
C1CC2CNCC12,18273,104:10400:0:PV-003055632215;104:10400:0:PV-004181727750;104:10400:0:PV-004181750194;
C1=CCCC1,161,104:10400:0:PV-003055632217;104:10401:2:PV-002551384817;104:10402:2:PV-003056279544;
Cc1cccs1,38310,104:10400:0:PV-003911956992;104:10400:0:PV-002713293357;104:10400:0:PV-003055635877;
c1ccc2c(c1)CC2,3437,104:10400:0:PV-003055632244;104:10400:0:PV-003055641556;104:10400:0:PV-003055641557;
O=c1cccn[nH]1,13618,104:10400:0:PV-003055632244;104:10400:0:PV-004181857189;104:10400:0:PV-004181862377;
Cc1ccsc1,38902,104:10400:0:PV-003055632249;104:10400:0:PV-002713291947;104:10400:0:PV-001707285625;
C1CC2(C1)CCNCC2,7105,104:10400:0:PV-003055632249;104:10400:0:PV-004181756376;104:10400:0:PV-004181822831;
CC1(C)Cc2ccccc2O1,745,104:10400:0:PV-003055632258;104:10400:0:PV-003055648161;104:10400:0:PV-003055650621;
C1CCC2NCCC2C1,1336,104:10400:0:PV-003055632258;104:10400:0:PV-003055632593;104:10400:0:PV-003055638652;
c1cnsc1,71591,104:10400:0:PV-003055632260;104:10400:0:PV-003055633950;104:10400:0:PV-003055634219;
C1NC2CNC1C2,14905,104:10400:0:PV-003055632260;104:10400:0:PV-004181736511;104:10400:0:PV-004181776381;
CC1(C)CC1O,2687,104:10400:0:PV-003055632260;104:10400:0:PV-003055650155;104:10400:1:PV-003055674432;
C1CCOC1,149682,104:10400:0:PV-003055632266;104:10400:0:PV-003055632267;104:10400:0:PV-003055632268;
Nc1nccs1,11007,104:10400:0:PV-002713291951;104:10400:0:PV-003055635665;104:10400:0:PV-004181740732;
CC1CCCO1,25570,104:10400:0:PV-003055632307;104:10400:0:PV-003055632308;104:10400:0:PV-002713292028;
c1c[nH]cn1,74411,104:10400:0:PV-002713291957;104:10400:0:PV-003055632482;104:10400:0:PV-003055634897;
Cc1cn[nH]c1,16887,104:10400:0:PV-003055632332;104:10400:0:PV-000570918870;104:10400:0:PV-003055635357;
C1CC2CNC(C1)C2,3960,104:10400:0:PV-003055632332;104:10400:0:PV-003055646006;104:10400:0:PV-003055646412;
CC1CC1(F)F,11576,104:10400:0:PV-003055632344;104:10400:0:PV-003911957050;104:10400:0:PV-003911957051;
C1CC2(C1)CCOC2,2904,104:10400:0:PV-003055632346;104:10400:0:PV-002713292620;104:10400:0:PV-003055635882;
Cn1cccc1,27991,104:10400:0:PV-003055632387;104:10400:0:PV-003055632388;104:10400:0:PV-003055633679;
C1CC2CCCC2C1,2101,104:10400:0:PV-003055632394;104:10400:0:PV-002713292344;104:10400:0:PV-002713295368;
Oc1cn[nH]c1,270,104:10400:0:PV-003055632394;104:10400:0:PV-004181738939;104:10400:6:PV-002713358861;
Clc1ccco1,25804,104:10400:0:PV-003911957050;104:10400:0:PV-003911957051;104:10400:0:PV-004181764588;
c1ccc2nnccc2c1,760,104:10400:0:PV-003055632419;104:10400:1:PV-001986890599;104:10400:3:PV-003055722395;
c1ccc2ncccc2c1,8257,104:10400:0:PV-003055632419;104:10400:0:PV-004181718161;104:10400:0:PV-004181740496;
c1ccc2c(c1)CCS2,984,104:10400:0:PV-003055632430;104:10400:0:PV-003055645709;104:10400:1:PV-002713308028;
C1CCCCC1,155520,104:10400:0:PV-003055632439;104:10400:0:PV-002713292021;104:10400:0:PV-002713292101;
Cn1nccc1F,7107,104:10400:0:PV-002713292028;104:10400:0:PV-004181819842;104:10400:0:PV-003055644629;
c1nc[nH]n1,92986,104:10400:0:PV-003055632482;104:10400:0:PV-003055632676;104:10400:0:PV-003055632677;
Cc1ccccc1,73404,104:10400:0:PV-003055632505;104:10400:0:PV-003055632778;104:10400:0:PV-003055633520;
OC1CCCCC1,15975,104:10400:0:PV-003055632507;104:10400:0:PV-003055633482;104:10400:0:PV-004181756049;
Cc1ccnn1C,11305,104:10400:0:PV-002713292064;104:10400:0:PV-002713292065;104:10400:0:PV-002713292066;
CC1CC1F,10506,104:10400:0:PV-003055632569;104:10400:0:PV-003055632570;104:10400:0:PV-003055635281;
OC1CCCNC1,38200,104:10400:0:PV-003055632573;104:10400:0:PV-003055632574;104:10400:0:PV-003055632575;
Cc1ccns1,16546,104:10400:0:PV-003055632593;104:10400:0:PV-003055635390;104:10400:0:PV-004181733850;
Cn1cncn1,9568,104:10400:0:PV-001971388236;104:10400:0:PV-003055632968;104:10400:0:PV-004181758086;
O=C1NCCC1F,5448,104:10400:0:PV-003055632603;104:10400:0:PV-003055632604;104:10400:0:PV-003055632605;
Cc1ccn(C)n1,13442,104:10400:0:PV-003055632638;104:10400:0:PV-003055632639;104:10400:0:PV-003055632640;
C1CSCCN1,6750,104:10400:0:PV-003055632638;104:10400:0:PV-003055632639;104:10400:0:PV-003055632640;
Oc1cccc(Cl)c1,4151,104:10400:0:PV-002713292095;104:10400:1:PV-002713305033;104:10400:1:PV-002713305504;
Cn1cnnc1,4590,104:10400:0:PV-002240864199;104:10400:0:PV-004181778438;104:10400:0:PV-004181817399;
c1ccc2[nH]ncc2c1,6179,104:10400:0:PV-002240864199;104:10400:0:PV-001660749846;104:10400:0:PV-004181717149;
FC1(F)C2CCCC21,5328,104:10400:0:PV-003055632676;104:10400:0:PV-003055632677;104:10400:0:PV-003055632678;
CC1(C)CCCNC1,14188,104:10400:0:PV-002713292114;104:10400:0:PV-003055634509;104:10400:0:PV-004181746636;
Cc1cnccn1,14114,104:10400:0:PV-002713292114;104:10400:0:PV-004181746027;104:10400:0:PV-004181746028;
Nc1ccnc(O)c1,514,104:10400:0:PV-003055632682;104:10400:0:PV-003055654556;104:10400:7:PV-003055853382;
Fc1cc2cc[nH]c2cc1F,175,104:10400:0:PV-003055632689;104:10400:4:PV-002240871857;104:10400:8:PV-003055890589;
c1cnc2nccn2c1,2888,104:10400:0:PV-003055632689;104:10400:0:PV-004181770903;104:10400:0:PV-004181770904;
c1ccn2nccc2c1,5605,104:10400:0:PV-003055632692;104:10400:0:PV-003055639085;104:10400:0:PV-002713299159;
C1CC2CC2N1,26300,104:10400:0:PV-003055632722;104:10400:0:PV-003055633976;104:10400:0:PV-003055634537;
