fragment_smiles,occurences,example_ligands
c1ccccc1,611169,408:40800:0:Z3094149678;408:40800:0:Z3997043028;408:40800:0:Z3997180949;
Cn1cnnc1,6068,408:40800:0:Z3094149678;408:40800:0:Z4504712674;408:40800:0:Z3094056091;
c1nnco1,2817,408:40800:0:Z4219763150;408:40800:0:Z3775881058;408:40800:0:Z201913396;
c1ccc2ccccc2c1,10934,408:40800:0:Z4219763150;408:40800:0:Z2224127270;408:40800:0:Z1274836777;
CC1CCc2c(F)cccc2C1,10,408:40800:0:Z1354995176;408:40800:0:Z1356156947;408:40800:6:Z1607192437;
Cn1ncc2c(=O)[nH]cnc21,196,408:40800:0:Z1354995176;408:40800:0:Z649232320;408:40800:0:Z2649978398;
O=C1CCCc2ccccc2N1,1071,408:40800:0:Z3522723606;408:40800:0:Z3600319115;408:40800:0:Z4022790670;
C1CNCCNC1,31639,408:40800:0:Z3522723606;408:40800:0:Z2765035993;408:40800:0:Z4413753476;
Fc1cccc(F)c1,44577,408:40800:0:Z51441195;408:40800:0:Z2602702256;408:40800:0:Z1843946617;
C1CCNCC1,633126,408:40800:0:Z51441195;408:40800:0:Z1921189154;408:40800:0:Z2774046135;
Cc1cc[nH]n1,57367,408:40800:0:Z1921189154;408:40800:0:Z1383837628;408:40800:0:Z201913396;
C1COCCN1,79166,408:40800:0:Z1921189154;408:40800:0:Z2019040738;408:40800:0:Z975112820;
CC1CCNC1,163448,408:40800:0:Z5050959776;408:40800:0:Z2291018024;408:40800:0:Z2477080838;
O=C1NCCNc2ccccc21,422,408:40800:0:Z5050959776;408:40800:2:Z2206897390;408:40800:3:Z5053659662;
C1CCOCC1,124180,408:40800:0:Z2291018024;408:40800:0:Z4073733265;408:40800:0:Z2355163873;
O=C1CCc2ccccc2N1,5403,408:40800:0:Z1676116606;408:40800:0:Z3408650089;408:40800:0:Z1675383726;
c1ccncc1,388467,408:40800:0:Z1676116606;408:40800:0:Z2774046135;408:40800:0:Z4770120838;
Cn1cccn1,153641,408:40800:0:Z1676116606;408:40800:0:Z2151187757;408:40800:0:Z4093743565;
Fc1ccccc1,241181,408:40800:0:Z1899313556;408:40800:0:Z2774046135;408:40800:0:Z748566236;
c1nc[nH]n1,44670,408:40800:0:Z1899313556;408:40800:0:Z2157864026;408:40800:0:Z1748527371;
C1CCCCC1,252434,408:40800:0:Z733585054;408:40800:0:Z1616324609;408:40800:0:Z1224819792;
C1CNCCN1,175287,408:40800:0:Z147118900;408:40800:0:Z3181743276;408:40800:0:Z436110132;
c1nnn[nH]1,5741,408:40800:0:Z147118900;408:40800:0:Z1318707284;408:40800:0:Z2297248393;
c1ncc2nc[nH]c2n1,1780,408:40800:0:Z4770120838;408:40800:0:Z4771771712;408:40800:0:Z4770182476;
