fragment_smiles,occurences,example_ligands
CN1C(=O)CNc2ccccc21,60,8:00800:0:Z1432233041;8:00800:0:Z2270320153;8:00801:3:Z1335516722;
FC1CCNCC1,4362,8:00800:0:Z4462846891;8:00800:0:Z4116979648;8:00800:0:Z3380297454;
OC1CCC1,28532,8:00800:0:Z3888932800;8:00800:0:Z2043341844;8:00800:0:Z4259144960;
c1cc2c3c(c1)CCC3CCC2,56,8:00800:0:Z3888932800;8:00800:4:Z2260833900;8:00801:6:Z4320238505;
O=C1COc2ncccc2N1,212,8:00800:0:Z4143260955;8:00800:0:Z1575894457;8:00800:5:Z4081857771;
CC1(C)CCCNC1,5675,8:00800:0:Z2456386542;8:00800:0:Z4591776719;8:00800:0:Z4506302356;
O=C1CCCC1,2940,8:00800:0:Z2456386542;8:00800:0:Z3547104590;8:00800:1:Z4290598710;
CC1CC1N,452,8:00800:0:Z4002678543;8:00801:1:Z4002211677;8:00801:2:Z4002236135;
CN1CCNCC1,11429,8:00800:0:Z3875066611;8:00800:0:Z285942410;8:00800:0:Z2472894378;
O=C1CCCN1,46335,8:00800:0:Z3875066611;8:00800:0:Z285942410;8:00800:0:Z2472894378;
CC12CCC1CCN2,488,8:00800:0:Z4116312585;8:00800:3:Z3622609452;8:00800:5:Z3520748143;
CC1CN(C)CC(C)N1,207,8:00800:0:Z4294931305;8:00801:3:Z3621180571;8:00801:7:Z4294931385;
O=c1cccc[nH]1,13694,8:00800:0:Z4403835792;8:00800:0:Z4097447079;8:00800:0:Z3716287348;
NC1CCCC1,7387,8:00800:0:Z3799626154;8:00800:0:Z2873593050;8:00800:0:Z3346884325;
OC1CC2CCC1C2,2359,8:00800:0:Z3799626154;8:00800:0:Z3137370855;8:00800:1:Z4105209853;
C1CCCNCCC1,1981,8:00800:0:Z1687879224;8:00800:0:Z2311084742;8:00800:0:Z2603615892;
Oc1ccccc1Cl,2142,8:00800:0:Z2873593050;8:00800:0:Z1193557972;8:00800:1:Z3821032117;
C1CCC2(CCOC2)OC1,663,8:00800:0:Z3391119860;8:00800:1:Z3363612977;8:00800:4:Z2790561094;
C1CCSC1,15619,8:00800:0:Z3700091905;8:00800:0:Z1557481519;8:00800:0:Z2784360575;
CC1(C)CCCN1,9610,8:00800:0:Z3700091905;8:00800:0:Z5039610803;8:00800:0:Z4418842145;
Cc1ccns1,2197,8:00800:0:Z5007107287;8:00800:0:Z3298160058;8:00800:1:Z1882475149;
c1ccncc1,249847,8:00800:0:Z5007107287;8:00800:0:Z4032721836;8:00800:0:Z3501852980;
CC1CCCN1,25054,8:00800:0:Z3641365403;8:00800:0:Z4107571648;8:00800:0:Z4104943169;
O=C1CCCCN1,20245,8:00800:0:Z3641365403;8:00800:0:Z1815460529;8:00800:0:Z2416191205;
Clc1ccccc1,96248,8:00800:0:Z1212196091;8:00800:0:Z4170341789;8:00800:0:Z1526782081;
CN1CCCCC1=O,4354,8:00800:0:Z4170341789;8:00800:0:Z3558872497;8:00800:0:Z3548641838;
c1cc2n(n1)CCO2,934,8:00800:0:Z4114598285;8:00800:0:Z2648200721;8:00800:0:Z2851750827;
c1ccc2c(c1)CCC2,11562,8:00800:0:Z4414681019;8:00800:0:Z3631408355;8:00800:0:Z1601372248;
CN1CCCC1=O,11473,8:00800:0:Z435529984;8:00800:0:Z4580018794;8:00800:0:Z4580020214;
c1ccc2ocnc2c1,2953,8:00800:0:Z2829265842;8:00800:1:Z3648035081;8:00800:1:Z3078893736;
O=S1(=O)CCC1,6638,8:00800:0:Z3950948856;8:00800:0:Z2915610381;8:00800:0:Z4181250096;
c1ccc2nsnc2c1,2055,8:00800:0:Z3950948856;8:00800:0:Z3622572964;8:00800:0:Z3472211642;
CC1CNCCSC1,648,8:00800:0:Z1852029482;8:00800:1:Z1851321667;8:00800:2:Z1850948369;
c1cnc2c(n1)CCC2,529,8:00800:0:Z4995404609;8:00800:0:Z4995409922;8:00800:1:Z3949900742;
c1cc2c(s1)CCOC2,953,8:00800:0:Z4995404609;8:00800:0:Z2852327030;8:00800:2:Z3539539694;
C1CCCCC1,108061,8:00800:0:Z2335189159;8:00800:0:Z3788193647;8:00800:0:Z3693103972;
Cc1ccc(F)cc1,5624,8:00800:0:Z2335189159;8:00800:0:Z1136356216;8:00800:0:Z1729442277;
OC1CCNC1,28189,8:00800:0:Z2225244398;8:00800:0:Z4506462604;8:00800:0:Z3385326677;
c1c[nH]cn1,68655,8:00800:0:Z1096976261;8:00800:0:Z1607310684;8:00800:0:Z4255138931;
c1ncc2c(n1)CCC2,1005,8:00800:0:Z1096976261;8:00800:0:Z4490315723;8:00800:0:Z4488610897;
Cc1ccccn1,28908,8:00800:0:Z4467681442;8:00800:0:Z1753542507;8:00800:0:Z3634155893;
Cc1csnn1,3259,8:00800:0:Z3848970800;8:00800:0:Z3101824492;8:00800:0:Z1847410993;
Cn1ccnc1,27536,8:00800:0:Z2833812139;8:00800:0:Z3298838371;8:00800:0:Z3374475884;
c1cc2n(c1)CCOC2,332,8:00800:0:Z3637563988;8:00800:0:Z3053294637;8:00801:1:Z3049674401;
CC12CCC(C1)OC2,794,8:00800:0:Z3637592857;8:00800:1:Z3510120858;8:00800:2:Z3561769546;
c1cn2c(n1)CCC2,4266,8:00800:0:Z3637592857;8:00800:0:Z4278942971;8:00800:0:Z3567947930;
Cc1cn[nH]c1,9163,8:00800:0:Z4770515542;8:00800:0:Z4466625289;8:00800:0:Z3866789691;
OC1CCC12CCC2,1971,8:00800:0:Z4770515542;8:00800:0:Z4380811768;8:00800:0:Z4449752781;
C1CC2OCCC2O1,643,8:00800:0:Z3783765927;8:00800:2:Z3643217349;8:00800:3:Z3872650257;
